Scenario,Vaccination_Age,Index,mean,sd,q025,q250,q500,q750,q975
CEA_zostavax_aj_NIC_60,60,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_61,61,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_62,62,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_63,63,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_64,64,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_65,65,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_66,66,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_67,67,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_68,68,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_69,69,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_70,70,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_71,71,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_72,72,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_73,73,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_74,74,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_75,75,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_76,76,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_77,77,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_78,78,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_79,79,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_80,80,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_81,81,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_82,82,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_83,83,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_84,84,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_85,85,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_86,86,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_87,87,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_88,88,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_89,89,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_90,90,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_91,91,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_92,92,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_93,93,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_94,94,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_95,95,ICER,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_60,60,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_61,61,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_62,62,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_63,63,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_64,64,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_65,65,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_66,66,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_67,67,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_68,68,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_69,69,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_70,70,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_71,71,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_72,72,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_73,73,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_74,74,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_75,75,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_76,76,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_77,77,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_78,78,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
CEA_zostavax_aj_NIC_79,79,total_QALYs_gained_d,NA,NA,NA,NA,NA,NA,NA
