time,Age50,Age60,Age70,Age80
0,0.961775020966671,0.957325488858505,0.952862351646479,0.948379104637963
0.1,0.961245444411504,0.956793489706448,0.952313760602281,0.947834100453138
0.2,0.960703988459937,0.956238099039553,0.951762817383758,0.947288458108989
0.3,0.960135789562091,0.955666936661332,0.951200120083921,0.946732492395108
0.4,0.959558982181474,0.955100319442685,0.950645847957712,0.94618150548497
0.5,0.95899030212767,0.954540243737083,0.950084602399403,0.945632205120847
0.6,0.958384558505895,0.953961937874256,0.949523491985321,0.945074425993338
0.7,0.957825239455598,0.953399608072927,0.948966139232571,0.944528180254404
0.8,0.957262509596062,0.952838537336166,0.948400969592035,0.943978280399118
0.9,0.956678813281436,0.952266472541857,0.947839409611491,0.943423919089608
1,0.956140029022457,0.951705026996667,0.947291186048782,0.942876813629513
1.1,0.955537193254086,0.951144868420749,0.946741714039416,0.942334279981022
1.2,0.954968888943498,0.950588508996269,0.946189964283607,0.941794133581461
1.3,0.954415447759405,0.95001635109458,0.945660255356283,0.941251707431089
1.4,0.953854390623428,0.949477670700096,0.945090751777277,0.940714907675638
1.5,0.953280948810624,0.94891573075769,0.944544869804543,0.94018191481919
1.6,0.952706188512019,0.948352189099505,0.943988944485756,0.939626417664884
1.7,0.952141533653618,0.947800131644058,0.943449026872745,0.939082863039531
1.8,0.951592808092952,0.947244126403481,0.942889082090671,0.938542503257847
1.9,0.951038985725544,0.94668842484694,0.942345695051876,0.938004114973561
2,0.950458602181926,0.946132457025155,0.941795463536889,0.937464726997204
2.1,0.949913349884519,0.945578667719171,0.941256005293799,0.936922356135389
2.2,0.949382581622682,0.945030773412498,0.940712893662239,0.936386499979569
2.3,0.948814368898206,0.944485280814118,0.940172298999255,0.935862959729434
2.4,0.948232427615093,0.943929299766866,0.939633640884828,0.935329997198776
2.5,0.947658113708137,0.943384782156723,0.939097418694253,0.934803993069986
2.6,0.947095018054747,0.942848509710934,0.938555917058795,0.934265129141432
2.7,0.946540412850297,0.942294386761924,0.938019036865551,0.933728222962386
2.8,0.946015232576933,0.941748027593577,0.937478849720418,0.933206955011294
2.9,0.945533972286711,0.941198798695788,0.936942084897171,0.932678848544379
3,0.944973466076404,0.940653784256131,0.936394475204046,0.932135579634642
3.1,0.944365230314657,0.940125077748331,0.935873912248498,0.931615796264614
3.2,0.94379755093278,0.939584422768625,0.935330457446503,0.931094672141108
3.3,0.943268836680478,0.939034842639251,0.934822626610179,0.930571201281949
