Age,Data,middle,upper,lower
50,1375.43292608651,2320.43112216546,2756.82588463449,1884.03635969643
51,1939.2514164749,2335.71147350929,2758.77748804477,1912.64545897381
52,1962.37133617781,2355.56729806934,2760.85700592998,1950.2775902087
53,5599.43450744644,2373.79128720778,2763.19511657255,1984.387457843
54,3287.25180824831,2392.05749707117,2765.92249846102,2018.19249568132
55,2320.27728572095,2411.0103554687,2769.16983008395,2052.85088085344
56,1979.9839586893,2427.21131068147,2773.06741376214,2081.35520760079
57,4236.27712783995,2447.57141236027,2777.68653203765,2117.45629268289
58,1785.7980901869,2465.5701048516,2782.97574820032,2148.16446150288
59,1783.13980604472,2482.7228896252,2788.86832644921,2176.57745280119
60,2097.28223653238,2502.64968648429,2795.29753098338,2210.0018419852
61,2248.92223578485,2520.2344509526,2802.19662600189,2238.27227590331
62,2135.54722351167,2538.52342292885,2809.53800580293,2267.50884005476
63,2411.80612483415,2557.72257454197,2817.48318950523,2297.9619595787
64,2233.45075561789,2575.82350682934,2826.25075827163,2325.39625538706
65,2579.97537835765,2591.66141933484,2836.05930511611,2347.26353355357
66,2838.52699392432,2612.74882898877,2847.12742305266,2378.37023492488
67,2215.74276865286,2629.61872721833,2859.67208331091,2399.56537112576
68,2157.98767148318,2647.84255361153,2873.84531836573,2421.83978885732
69,2284.94160024626,2667.54458401923,2889.71369184955,2445.37547618891
70,2628.25363295769,2685.19533311135,2907.33794221449,2463.05272400821
71,2455.07774562383,2702.54084890979,2926.77880791269,2478.30288990689
72,2363.52787023411,2722.36062856748,2948.09702739625,2496.6242297387
73,2989.53590488137,2740.12184634379,2971.3383144745,2508.90537821308
74,2744.36862024684,2754.40167048019,2996.38413065784,2512.41921030255
75,2380.96168439524,2777.61908320242,3023.01471025645,2532.22345614838
76,2374.87624020429,2795.05740670354,3051.00880126116,2539.10601214593
77,2585.33962886876,2813.10875209846,3080.14515166282,2546.0723525341
78,2856.36575640834,2833.77753062981,3110.20250945225,2557.35255180737
79,3179.43037297488,2849.02479012016,3140.959640206,2557.08994003432
80,3250.86430894791,2866.88910891658,3172.23292950394,2561.54528832922
81,3321.85122404501,2887.09986728965,3203.95589304295,2570.24384153636
82,2640.28112405468,2904.80491704838,3236.08477718827,2573.52505690849
83,2588.95260936007,2922.05607021584,3268.57582830516,2575.53631212651
84,3399.18583558027,2941.69092557021,3301.38529275887,2581.99655838155
85,2839.36844498488,2959.17147083311,3334.46881048088,2583.87413118534
86,3019.12868686769,2975.87044664143,3367.77502991608,2583.96586336678
87,2894.90421498232,2995.61520420568,3401.24811640545,2589.98229200591
88,3649.89898391315,3014.17778855031,3434.83216179883,2593.52341530178
89,3448.26872775698,3033.9362296007,3468.47125797969,2599.40120122171
