Age,Data,middle,upper,lower
60,0.0679201264976403,0.070236567239719,0.0824884792626728,0.0579846552167652
61,0.0880617338251514,0.0770618110921349,0.0876604317239707,0.0664631904602992
62,0.0942081519123639,0.0835840126178975,0.092865904294173,0.074302120941622
63,0.0915633358514493,0.0900075484331262,0.0981384170821842,0.0818766797840682
64,0.0944854310155243,0.0963269905267382,0.103509133078548,0.089144847974928
65,0.101122678359007,0.102449492981644,0.108980204918928,0.0959187810443608
66,0.100648663840533,0.10836721320491,0.114534275481632,0.102200150928187
67,0.110791252028416,0.114270362341428,0.120153594131535,0.108387130551321
68,0.124227719077275,0.1199953449729,0.125809175924712,0.114181514021089
69,0.11494733615229,0.125434258411283,0.131444128105184,0.119424388717383
70,0.120737751139221,0.130888996407895,0.136997297920727,0.124780694895063
71,0.11768574198975,0.136167581655968,0.142408738204193,0.129926425107744
72,0.13731058165886,0.141279360357854,0.147644120557967,0.134914600157742
73,0.13911185450669,0.146276788807203,0.152693615385988,0.139859962228418
74,0.157606392232096,0.151040957566009,0.157548374543357,0.144533540588662
75,0.158399363068998,0.155782019241539,0.162199621039966,0.149364417443112
76,0.186047644514387,0.160256200798156,0.166647254490282,0.153865147106029
77,0.156024974925944,0.16470058706657,0.170908061854414,0.158493112278725
78,0.180447770039371,0.168916909526676,0.175000775386847,0.162833043666505
79,0.168108203610497,0.173045212659903,0.178944127342063,0.167146297977743
80,0.173102782327682,0.17703515076202,0.182761076064438,0.171309225459602
81,0.202792975527626,0.180828999418042,0.186498303218756,0.175159695617328
82,0.169915042148691,0.184418665878373,0.190210762722528,0.178626569034218
83,0.198619181736091,0.188099954293625,0.193953417010751,0.182246491576498
84,0.202908282268894,0.191354658913795,0.197778417576997,0.184930900250593
85,0.193379059123124,0.194654022853356,0.20170332010929,0.187604725597421
86,0.216076001879305,0.197690354199507,0.205722414266187,0.189658294132827
87,0.173329776316096,0.200633724615511,0.209829557125675,0.191437892105347
88,0.197149667123164,0.203512533781386,0.214017414546273,0.1930076530165
89,0.204502833951438,0.2060994161397,0.218255681888317,0.193943150391083
