Age,Data,middle,lower,upper
50,2.94091861465981e-05,,,
50,1.98464256591466e-05,,,
50,2.71745039412885e-05,,,
51,4.93461044256099e-05,,,
51,2.91795475823749e-05,,,
51,1.64248596965289e-05,,,
51,5.25174413336959e-05,,,
51,4.36626800761077e-05,,,
51,3.06858747848148e-05,,,
51,1.77854036422943e-05,,,
52,4.25004017870626e-05,,,
52,2.99388906146857e-05,,,
52,4.57237020929601e-05,,,
52,3.0930144060886e-05,,,
53,5.90058439793424e-05,,,
53,4.59527045392771e-05,,,
53,3.11679851981138e-05,,,
53,6.27843843435717e-05,,,
53,4.99831475944553e-05,,,
53,3.24873606958414e-05,,,
53,4.42733532662863e-05,,,
54,6.82700338530727e-05,,,
54,5.30101435666805e-05,,,
54,3.03805381897256e-05,,,
54,6.78224381625442e-05,,,
54,5.56853085077467e-05,,,
54,4.59908716136633e-05,,,
54,3.33117695025824e-05,,,
54,2.67164990486546e-05,,,
55,7.3003116312118e-05,,,
55,5.84969496541935e-05,,,
55,4.92420124045567e-05,,,
55,3.25248338234204e-05,,,
55,7.60665262299538e-05,,,
55,6.1672086747175e-05,,,
55,5.07464890821781e-05,,,
55,3.27850638760533e-05,,,
56,5.44917436033035e-05,,,
56,3.97904568929304e-05,,,
56,5.74028268551237e-05,,,
56,4.70404661592825e-05,,,
56,3.9540636042403e-05,,,
57,5.95692626964713e-05,,,
57,4.38791914798983e-05,,,
57,3.01515357434088e-05,,,
57,3.96933043399477e-05,,,
57,6.07233623267194e-05,,,
57,3.0724041859201e-05,,,
57,5.1830433994745e-05,,,
57,4.20596629518892e-05,,,
58,7.14737549454862e-05,,,
58,5.88456261506002e-05,,,
58,4.61006753507433e-05,,,
58,4.11228347624109e-05,,,
58,7.48070127752107e-05,,,
58,6.28225514179579e-05,,,
58,5.4578463350548e-05,,,
59,6.68589142642649e-05,,,
59,5.1686925795053e-05,,,
59,4.56612468803283e-05,,,
59,6.74026003442967e-05,,,
59,5.0441152487089e-05,,,
59,5.99981879133823e-05,,,
60,8.42724472229772e-05,,,
60,6.9997961402555e-05,,,
60,5.07726607903289e-05,,,
60,4.03421446045122e-05,,,
60,8.82418229591377e-05,,,
60,7.81657153211925e-05,,,
60,6.93109540636043e-05,,,
60,5.58761438796775e-05,,,
60,4.38153483736524e-05,,,
61,7.4224097457313e-05,,,
61,5.51752576045863e-05,,,
61,4.46550240101476e-05,,,
61,7.40055042131014e-05,,,
61,6.06088611035608e-05,,,
61,4.82427290024465e-05,,,
62,9.807963880991e-05,,,
62,8.28554361673999e-05,,,
62,7.06890580709043e-05,,,
62,6.47661362828528e-05,,,
62,0.00010121862825043,,,
62,8.49655612938298e-05,,,
62,6.90819516172875e-05,,,
63,8.79437562829792e-05,,,
63,7.22754948231984e-05,,,
63,6.21494230151475e-05,,,
63,5.31281145238743e-05,,,
63,8.99211742321285e-05,,,
63,8.00079127782308e-05,,,
63,6.88987496602338e-05,,,
63,5.6122282563474e-05,,,
64,9.87196892748316e-05,,,
64,6.68592808147999e-05,,,
64,9.25165352903868e-05,,,
64,7.81657153211925e-05,,,
64,0.000101920902419136,,,
64,6.8013273534475e-05,,,
64,9.29745401830207e-05,,,
64,8.03030714868172e-05,,,
65,0.0001093984349294,,,
65,9.53089772418394e-05,,,
65,8.04806313546135e-05,,,
65,5.8662340309867e-05,,,
65,0.000111905409078554,,,
65,0.000102172805110084,,,
65,8.84555585757001e-05,,,
65,7.82420494699647e-05,,,
65,5.892950983057e-05,,,
66,0.000130674885773826,,,
66,0.000115985816303838,,,
66,0.000108158096320641,,,
66,8.66715204701071e-05,,,
66,0.000134118646371297,,,
66,0.000124042538733352,,,
66,0.000111381974915544,,,
66,8.59136314215821e-05,,,
67,0.000139468976253429,,,
67,0.000120716780398945,,,
67,0.000105123235617935,,,
67,9.56670537942622e-05,,,
67,0.000143965751562925,,,
67,0.000134462150040772,,,
67,0.000121944876325088,,,
67,0.00010444647225566,,,
67,9.51882304974178e-05,,,
68,0.000143102944366196,,,
68,0.000124263907764791,,,
68,0.000108311832228658,,,
68,0.000100798790432183,,,
68,0.000146713780918728,,,
68,0.000136179668388149,,,
68,0.000118714415149044,,,
68,0.00012862258765969,,,
68,0.000104668931774939,,,
69,0.000163129640491552,,,
69,0.000121773332674393,,,
69,9.29102587945811e-05,,,
69,0.000136268493579448,,,
69,0.000116739905167467,,,
69,0.000163125622904775,,,
69,9.26037743175553e-05,,,
69,0.000131141614569176,,,
70,0.000164117966838815,,,
70,0.000139166878076772,,,
70,0.000117984383108058,,,
70,0.000164117966838815,,,
70,0.000141675727099755,,,
70,0.000121294509377548,,,
70,0.000113393924979614,,,
71,0.000184814062924708,,,
71,0.000171733061520341,,,
71,0.000152837475964685,,,
71,0.000139805540454834,,,
71,0.000186712874875419,,,
71,0.000174872600243625,,,
71,0.000161522605780556,,,
71,0.000146988583854308,,,
71,0.000141217722207122,,,
72,0.000215077037524499,,,
72,0.000201757641651635,,,
72,0.000192021034143894,,,
72,0.000187018211470508,,,
72,0.000173951601298307,,,
72,0.000217475536830661,,,
72,0.000208200937754825,,,
72,0.000195109631240373,,,
72,0.000175644423303434,,,
72,0.000187781552958232,,,
73,0.000241689532338593,,,
73,0.000227287410876702,,,
73,0.000215997430131706,,,
73,0.000208086436531666,,,
73,0.00018546971873827,,,
73,0.000245413835281327,,,
73,0.000234421717858114,,,
73,0.000224345610220169,,,
73,0.000212077622024619,,,
73,0.000184441933949443,,,
74,0.000278750048538035,,,
74,0.000253472540416003,,,
74,0.000238856037954978,,,
74,0.000230147005526864,,,
74,0.000214463273882953,,,
74,0.00019407148681707,,,
74,0.000279993204675184,,,
74,0.000256138783183836,,,
74,0.00024587184017396,,,
74,0.000235818632780647,,,
74,0.000216605327534656,,,
74,0.000194987496602338,,,
74,0.000228467654253873,,,
75,0.000293642007061047,,,
75,0.000273268166168343,,,
75,0.000255361265354198,,,
75,0.000232274910797879,,,
75,0.000199865248708888,,,
75,0.000243963486454653,,,
75,0.000223467767509287,,,
75,0.000285082147926671,,,
75,0.000296176044214914,,,
75,0.000272058269910302,,,
75,0.000259474585485186,,,
75,0.000200300353356891,,,
75,0.000239001766784452,,,
75,0.000227780646914923,,,
76,0.000290985322098396,,,
76,0.00027804668388149,,,
76,0.000248786416763449,,,
76,0.000225706393645616,,,
76,0.000267817907946,,,
76,0.00029442035879315,,,
76,0.000283199238923621,,,
76,0.000252970916009785,,,
76,0.000244268823049742,,,
76,0.000227963848871976,,,
76,0.000274497145963577,,,
76,0.000221826583310682,,,
77,0.000366052324001087,,,
