Age,upper,middle,lower
50,0.089433962264151,0.0820828538159244,0.0683339161811046
51,0.0906842724083635,0.0832924950536347,0.0696782725100313
52,0.0919397356251538,0.0845034289088927,0.0710193033615945
53,0.0932055049870996,0.0857170101369751,0.0723536051636165
54,0.0944867335667786,0.0869345935149911,0.0736777743370635
55,0.0957885744367686,0.0881575338200495,0.0749884073029017
56,0.0971161806696473,0.0893871858292593,0.0762821004820974
57,0.0984747053379924,0.0906249043197296,0.0775554502956168
58,0.0998693015143818,0.0918720440685692,0.0788050531644261
59,0.101304821473351,0.0931299583117137,0.0800275055094915
60,0.102780699988515,0.094399615501511,0.0812200031492916
61,0.104291676454835,0.095681095156961,0.0823833372019495
62,0.105832334820841,0.0969743516565217,0.0835196331899764
63,0.107397259035063,0.098279339378651,0.0846310188380585
64,0.108981033046033,0.0995960127018066,0.085719621870882
65,0.110578240802282,0.100924326004446,0.0867875700131332
66,0.11218346625234,0.102264233665028,0.0878369909894983
67,0.113791293344739,0.10361569006201,0.0888700125246635
68,0.115397611724968,0.104978648046199,0.0898887623433151
69,0.117003993629878,0.10635292472513,0.0908954083450338
70,0.118613556837827,0.107738096555848,0.0918926320921883
71,0.120229419158775,0.109133715304859,0.0928834701179878
72,0.121854698402681,0.110539332738669,0.0938709660272506
73,0.123492512379505,0.111954500623783,0.0948581634247949
74,0.125145978899207,0.113378770726709,0.0958481059154387
75,0.126818215771746,0.11481169481395,0.0968438371040003
76,0.128512340807082,0.116252824652015,0.0978484005952979
77,0.130231386182793,0.117701712804351,0.0988648399941495
78,0.131978015859844,0.119158269390772,0.0998959505107147
79,0.133754794848902,0.12062332440901,0.100939002163518
80,0.135564288159345,0.122097853755267,0.101985842187389
81,0.13740906080055,0.123582833325748,0.103028089906338
82,0.139291677781894,0.125079239016655,0.104057364644372
83,0.141214704112756,0.126588046724191,0.105065285725498
84,0.143180703897066,0.12811023234456,0.106043472473726
85,0.14519012683389,0.129646754411605,0.106983544213063
86,0.147236788522781,0.131197241127972,0.107879547408271
87,0.149313206872112,0.132759073009155,0.108737368013268
88,0.151411899790259,0.13432941376395,0.109566496579545
89,0.153525385185596,0.135905427101153,0.110376424514104
90,0.155646180981569,0.13748427672956,0.111176643223945
