Key,Yr,VE
1,1,0.8231230115667938
1,2,0.8148805085466401
1,3,0.8067205434401182
1,4,0.798642289737712
1,5,0.790644929206319
1,6,0.782727651806374
1,7,0.7748896556098015
1,8,0.7671301467187888
1,9,0.7594483391853742
1,10,0.7518434549318397
1,11,0.7443147236719001
1,12,0.7368613828326825
1,13,0.7294826774774864
1,14,0.7221778602293172
1,15,0.7149461911951861
1,16,0.707786937891167
1,17,0.7006993751682046
1,18,0.6936827851386654
1,19,0.686736457103624
1,20,0.6798596874808772
1,21,0.67305177973368
1,22,0.6663120443001936
1,23,0.6596397985236417
1,24,0.6530343665831649
1,25,0.646495079425368
1,26,0.6400212746965522
1,27,0.6336122966756274
1,28,0.6272674962076944
1,29,0.6209862306382934
1,30,0.6147678637483103
2,1,0.8405178705716234
2,2,0.8181861546742583
2,3,0.79644777004608025
2,4,0.7752869524710023
2,5,0.7546883565723312
2,6,0.7346370446846248
2,7,0.7151184760212128
2,8,0.6961184961295283
2,9,0.6776233266265962
2,10,0.6596195552072435
2,11,0.6420941259177788
2,12,0.6250343296880913
2,13,0.6084277951153024
2,14,0.5922624794922869
2,15,0.5765266600745561
2,16,0.5612089255791719
2,17,0.5462981679095269
2,18,0.531783574099987
2,19,0.5176546184745583
2,20,0.5039010550138897
2,21,0.4905129099250771
2,22,0.4774804744088793
2,23,0.4647942976191027
2,24,0.4524451798090481
2,25,0.4404241656600492
2,26,0.4287225377872649
2,27,0.41733181041801637
2,28,0.40624372323808533
2,29,0.3954502354015081
2,30,0.3849435196995245
3,1,0.9718785662579126
3,2,0.9566352403620989
3,3,0.9416309967883295
3,4,0.9268620856753795
3,5,0.9123248159763233
3,6,0.8980155545360676
3,7,0.8839307251833536
3,8,0.8700668078369995
3,9,0.8564203376261624
3,10,0.8429879040243972
3,11,0.829766149997297
3,12,0.8167517711635048
3,13,0.8039415149688802
3,14,0.7913321798736223
3,15,0.7789206145521405
3,16,0.7667037171054745
3,17,0.7546784342860682
3,18,0.7428417607347018
3,19,0.7311907382293921
3,20,0.7197224549460735
3,21,0.7084340447308752
3,22,0.6973226863838117
3,23,0.6863856029537075
3,24,0.6756200610441834
3,25,0.6650233701305235
3,26,0.6545928818872611
3,27,0.644325989526308
3,28,0.6342201271454664
3,29,0.6242727690871582
3,30,0.6144814293072126
4,1,0.8532597804467955
4,2,0.8432512645023661
4,3,0.8333601458544054
4,4,0.8235850474630712
4,5,0.8139246084408409
4,6,0.8043774838630506
4,7,0.7949423445806533
4,8,0.7856178770351757
4,9,0.7764027830758446
4,10,0.7672957797788594
4,11,0.7582955992687822
4,12,0.7494009885420253
4,13,0.7406107092924087
4,14,0.731923537738762
4,15,0.7233382644545512
4,16,0.7148536941995013
4,17,0.7064686457531963
4,18,0.698181951750629
4,19,0.6899924585196813
4,20,0.6818990259205097
4,21,0.673900527186815
4,22,0.6659958487689751
4,23,0.6581838901790159
4,24,0.6504635638374019
4,25,0.6428337949216233
4,26,0.6352935212165599
4,27,0.6278416929665994
4,28,0.6204772727294902
4,29,0.6131992352319097
4,30,0.6060065672267251
5,1,0.8935851840281179
5,2,0.885605459536123
5,3,0.8776969940624134
5,4,0.8698591512632543
5,5,0.8620913004774664
5,6,0.8543928166756811
5,7,0.8467630804100483
5,8,0.8392014777643935
5,9,0.8317074003048189
5,10,0.8242802450307484
5,11,0.8169194143264064
5,12,0.8096243159127318
5,13,0.8023943627997221
5,14,0.7952289732392009
5,15,0.7881275706780086
5,16,0.7810895837116112
5,17,0.7741144460381227
5,18,0.7672015964127388
5,19,0.7603504786025764
5,20,0.7535605413419177
5,21,0.7468312382878534
5,22,0.7401620279763216
5,23,0.7335523737785395
5,24,0.7270017438578253
5,25,0.7205096111268032
5,26,0.7140754532049937
5,27,0.7076987523767793
5,28,0.7013789955497485
5,29,0.6951156742134103
5,30,0.6889082843982768
6,1,0.9613868637818271
6,2,0.9471597833468157
6,3,0.9331432423162105
6,4,0.9193341250233068
6,5,0.9057293619085848
6,6,0.8923259288373907
6,7,0.87912084642771815
6,8,0.8661111793879355
6,9,0.8532940358643155
6,10,0.8406665667982184
6,11,0.8282259652927902
