Age,or70,or70spline
50,0.5256094199502276,0.7344095935865891
51,0.5256094199502276,0.6926495588593169
52,0.5256094199502276,0.6508895241320445
53,0.5256094199502276,0.6091294894047722
54,0.5256094199502276,0.5673694546774999
55,0.5256094199502276,0.5256094199502276
56,0.5256094199502276,0.4839015257967335
57,0.5256094199502276,0.442506475085909
58,0.5256094199502276,0.4017371112604236
59,0.5256094199502276,0.3619062777629468
60,0.16014964645576255,0.32332681803614827
61,0.16014964645576255,0.2863115755226975
62,0.16014964645576255,0.2511733936652639
63,0.16014964645576255,0.21822511590651722
64,0.16014964645576255,0.187779585689127
65,0.16014964645576255,0.16014964645576257
66,0.16014964645576255,0.13554060833346282
67,0.16014964645576255,0.11372764818674307
68,0.16014964645576255,0.09437840956448773
69,0.16014964645576255,0.07716053601558132
70,0,0.061741671088908254
71,0,0.047789458333353046
72,0,0.03497154129780014
73,0,0.02295556353113401
74,0,0.011409168582239143
75,0,0
76,0,-0.011545653756772032
77,0,-0.02326692458955789
78,0,-0.03514429948991159
79,0,-0.04715826544938716
80,-0.12101774497482476,-0.0592893094595386
81,-0.12101774497482476,-0.07151791851191996
82,-0.12101774497482476,-0.08382457959808523
83,-0.12101774497482476,-0.09618977970958845
84,-0.12101774497482476,-0.10859400583798362
85,-0.12101774497482476,-0.12101774497482479
86,-0.12101774497482476,-0.13344473627974024
87,-0.12101774497482476,-0.14587172758465572
88,-0.12101774497482476,-0.1582987188895712
89,-0.12101774497482476,-0.1707257101944867
90,-0.12101774497482476,-0.1831527014994022
91,-0.12101774497482476,-0.19557969280431767
92,-0.12101774497482476,-0.20800668410923318
93,-0.12101774497482476,-0.22043367541414866
94,-0.12101774497482476,-0.23286066671906414
95,-0.12101774497482476,-0.24528765802397962
96,-0.12101774497482476,-0.2577146493288951
97,-0.12101774497482476,-0.2701416406338106
98,-0.12101774497482476,-0.28256863193872606
99,-0.12101774497482476,-0.2949956232436416
100,-0.12101774497482476,-0.307422614548557
