Scenario,Age0,Age1,Arm,Year0,N0,Index,A,M,L,U
Overall,70,80,ReRZV_1d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dYear_Life,5.414066409319478e-4,5.378367840602749e-4,4.376471175736363e-4,6.580279020051094e-4
Overall,70,80,ReRZV_1d,2024,1,dYear_Immunised,10.685501998132207,10.674775748595444,9.631936867276933,11.74521131640981
Overall,70,80,ReRZV_1d,2024,1,dRisk_HZ,-0.09504301776779459,-0.09504142780799314,-0.10479768497203565,-0.0855368056160647
Overall,70,80,ReRZV_1d,2024,1,dRisk_Hosp,-0.004024531139381745,-0.00399559530547507,-0.005106083110705327,-0.0031079006742327215
Overall,70,80,ReRZV_1d,2024,1,dRisk_PHN,-0.007712080500582148,-0.007698715307130748,-0.008781596703777124,-0.00672929498369817
Overall,70,80,ReRZV_1d,2024,1,dRisk_Death,-9.574901669085109e-7,-9.541808605596378e-7,-1.1621891368490095e-6,-7.506526027945095e-7
Overall,70,80,ReRZV_1d,2024,1,dQ_Life,3.737119520325099e-4,3.717322350711427e-4,3.039767712235797e-4,4.519763108713714e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ,0.013481584878621309,0.013436305596811493,0.011379250734653394,0.015800281461966426
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm,0.0043846156284683855,0.004388139964729877,0.003737176538161761,0.0051072894518663075
Overall,70,80,ReRZV_1d,2024,1,dQ_All,0.01385051023685887,0.01380886551158067,0.011702780398540023,0.016248157074769096
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_d,0.013481584878621309,0.013436305596811493,0.011379250734653394,0.015800281461966426
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm_d,0.0043846156284683855,0.004388139964729877,0.003737176538161761,0.0051072894518663075
Overall,70,80,ReRZV_1d,2024,1,dQ_Life_d,3.737119520325099e-4,3.717322350711427e-4,3.039767712235797e-4,4.519763108713714e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_All_d,0.013855296830653953,0.013813123992973964,0.011705631912663782,0.016256285252554868
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp,-17.115590618190865,-16.929131574842476,-22.128574899405965,-12.971741205178475
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN,-10.669178673194919,-10.67862583333762,-11.761414134961049,-9.61025881336622
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN,-4.221610687966129,-4.210506648284884,-4.875870226644611,-3.6723277328440336
Overall,70,80,ReRZV_1d,2024,1,dC_GP,-14.890789361161048,-14.892961454671998,-16.451731490830674,-13.378895230439575
Overall,70,80,ReRZV_1d,2024,1,dC_Med,-32.00637997935191,-31.785353437109965,-38.11843932794813,-26.67699971488988
Overall,70,80,ReRZV_1d,2024,1,dC_VacZVL,110,110,110,110
Overall,70,80,ReRZV_1d,2024,1,dC_VacRZV,68.66206172328035,68.66206559899743,68.66193898107316,68.66216497394237
Overall,70,80,ReRZV_1d,2024,1,dC_Vac,178.66206172328035,178.66206559899743,178.66193898107315,178.6621649739424
Overall,70,80,ReRZV_1d,2024,1,dC_All,146.65568174392843,146.87671839953262,140.5433804031961,151.9849584713215
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp_d,-17.115590618190865,-16.929131574842476,-22.128574899405965,-12.971741205178475
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN_d,-10.669178673194919,-10.67862583333762,-11.761414134961049,-9.61025881336622
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN_d,-4.221610687966129,-4.210506648284884,-4.875870226644611,-3.6723277328440336
Overall,70,80,ReRZV_1d,2024,1,dC_GP_d,-14.890789361161048,-14.892961454671998,-16.451731490830674,-13.378895230439575
Overall,70,80,ReRZV_1d,2024,1,dC_Med_d,-32.00637997935191,-31.785353437109965,-38.11843932794813,-26.67699971488988
Overall,70,80,ReRZV_1d,2024,1,dC_VacZVL_d,110,110,110,110
Overall,70,80,ReRZV_1d,2024,1,dC_VacRZV_d,68.66206172328035,68.66206559899743,68.66193898107316,68.66216497394237
Overall,70,80,ReRZV_1d,2024,1,dC_Vac_d,178.66206172328035,178.66206559899743,178.66193898107315,178.6621649739424
Overall,70,80,ReRZV_1d,2024,1,dC_All_d,146.65568174392843,146.87671839953262,140.5433804031961,151.9849584713215
Overall,70,80,ReRZV_1d,2024,1,dN_VacZVL,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dN_VacRZV,0.807788961450357,0.8077890070470286,0.80778751742439,0.8077901761640279
Overall,70,80,ReRZV_1d,2024,1,dN_VacZVL_d,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dN_VacRZV_d,0.807788961450357,0.8077890070470286,0.80778751742439,0.8077901761640279
Overall,70,80,ReRZV_1d,2024,1,ICER,10667.407842807694,10634.699084518114,8797.14722227402,12832.806071560804
Overall,70,80,ReRZV_1d,2024,1,Price0,85,85,84.99999999999999,85.00000000000001
Overall,70,80,ReRZV_1d,2024,1,Thres20,382.6646930393552,381.6059499184021,324.6035831464313,445.7072606303846
Overall,70,80,ReRZV_1d,2024,1,Thres30,554.1859370355112,552.3244699695401,469.90119716265514,647.8173108218676
Overall,70,80,ReRZV_1d,2024,1,Thres20_50,NA,381.6059499184021,NA,NA
Overall,70,80,ReRZV_1d,2024,1,Thres30_90,NA,497.8643638955884,NA,NA
Overall,70,80,ReRZV_1d,2024,1,Thres,NA,381.6059499184021,NA,NA
Overall,70,80,ReRZV_2d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_2d,2024,1,dYear_Life,6.041911509958809e-4,6.022325168011378e-4,5.014684191309904e-4,7.120559844670637e-4
