Scenario,Age0,Arm,Year0,N0,Index,A,M,L,U
Vac_50,50,RZV_1d,2024,1,dYear_Life,1.6718067961101125e-4,9.612917106238683e-5,2.5652092079653246e-5,6.567317502851111e-4
Vac_50,50,RZV_1d,2024,1,dYear_Immunised,14.727800983979792,13.108710765105968,8.907959656722024,26.985420212618287
Vac_50,50,RZV_1d,2024,1,dRisk_HZ,-0.08609150697829165,-0.07205611630421686,-0.1869542979299191,-0.04297598615497401
Vac_50,50,RZV_1d,2024,1,dRisk_Hosp,-0.0013307059542876799,-7.749013235336484e-4,-0.005120547526031355,-2.620464587970333e-4
Vac_50,50,RZV_1d,2024,1,dRisk_PHN,-0.004201072855312439,-0.0031265720348392697,-0.011583984036690425,-0.001480474113473221
Vac_50,50,RZV_1d,2024,1,dRisk_Death,-2.540590699286397e-7,-1.2576873246315243e-7,-1.0171978934848462e-6,-1.5196958086697862e-8
Vac_50,50,RZV_1d,2024,1,dQ_Life,1.1837194104176152e-4,6.945319299056507e-5,1.909146349108326e-5,4.556893968388208e-4
Vac_50,50,RZV_1d,2024,1,dQ_HZ,0.010438019819207068,0.008486963042408126,0.004781063710617142,0.02413918731083616
Vac_50,50,RZV_1d,2024,1,dQ_HZ_Norm,0.0043997874803137615,0.003754328303645125,0.002270182882922916,0.00920714210788662
Vac_50,50,RZV_1d,2024,1,dQ_All,0.010555292438191212,0.008556592336333324,0.004803699368001003,0.02461078351871073
Vac_50,50,RZV_1d,2024,1,dQ_HZ_d,0.010438019819207068,0.008486963042408126,0.004781063710617142,0.02413918731083616
Vac_50,50,RZV_1d,2024,1,dQ_HZ_Norm_d,0.0043997874803137615,0.003754328303645125,0.002270182882922916,0.00920714210788662
Vac_50,50,RZV_1d,2024,1,dQ_Life_d,1.1837194104176152e-4,6.945319299056507e-5,1.909146349108326e-5,4.556893968388208e-4
Vac_50,50,RZV_1d,2024,1,dQ_All_d,0.01055639176024877,0.008556870883584367,0.004803732486944857,0.024617651610201283
Vac_50,50,RZV_1d,2024,1,dC_Hosp,-5.133892733190494,-2.732723258883473,-21.393159513075148,-0.7926484316500277
Vac_50,50,RZV_1d,2024,1,dC_GP_NonPHN,-10.292147625607328,-8.721139170979606,-21.724332635868834,-5.274327863098363
Vac_50,50,RZV_1d,2024,1,dC_GP_PHN,-2.3557805164456083,-1.7785915129465506,-6.4196767666250825,-0.8400890998834388
Vac_50,50,RZV_1d,2024,1,dC_GP,-12.647928142052937,-10.479550529946778,-28.188978376251217,-6.125692049581429
Vac_50,50,RZV_1d,2024,1,dC_Med,-17.781820875243433,-13.298241451102196,-49.249160078293265,-6.934346538794012
Vac_50,50,RZV_1d,2024,1,dC_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dC_VacRZV,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_Vac,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_All,67.21817912475657,71.70175854889777,35.75083992170679,78.06565346120595
Vac_50,50,RZV_1d,2024,1,dC_Hosp_d,-5.133892733190494,-2.732723258883473,-21.393159513075148,-0.7926484316500277
Vac_50,50,RZV_1d,2024,1,dC_GP_NonPHN_d,-10.292147625607328,-8.721139170979606,-21.724332635868834,-5.274327863098363
Vac_50,50,RZV_1d,2024,1,dC_GP_PHN_d,-2.3557805164456083,-1.7785915129465506,-6.4196767666250825,-0.8400890998834388
Vac_50,50,RZV_1d,2024,1,dC_GP_d,-12.647928142052937,-10.479550529946778,-28.188978376251217,-6.125692049581429
Vac_50,50,RZV_1d,2024,1,dC_Med_d,-17.781820875243433,-13.298241451102196,-49.249160078293265,-6.934346538794012
Vac_50,50,RZV_1d,2024,1,dC_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dC_VacRZV_d,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_Vac_d,85,85,85,85
Vac_50,50,RZV_1d,2024,1,dC_All_d,67.21817912475657,71.70175854889777,35.75083992170679,78.06565346120595
Vac_50,50,RZV_1d,2024,1,dN_VacZVL,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dN_VacRZV,1,1,1,1
Vac_50,50,RZV_1d,2024,1,dN_VacZVL_d,0,0,0,0
Vac_50,50,RZV_1d,2024,1,dN_VacRZV_d,1,1,1,1
