Scenario,Year,Agp,Index,A,M,L,U
Null,2013,60_80,Protection,0,0,0,0
Null,2013,60_80,N,9706818,9706818,9706818,9706818
Null,2013,60_80,N_Uptake_ZVL,0,0,0,0
Null,2013,60_80,N_Uptake_RZV,0,0,0,0
Null,2013,60_80,N_Covered_ZVL,0,0,0,0
Null,2013,60_80,N_Covered_RZV,0,0,0,0
Null,2013,60_80,N_HZ,70544.2217568905,70549.77911593724,68809.68948039097,72273.96109846902
Null,2013,60_80,N_HZ_GP,69497.2828485563,69495.95946171074,67768.05332113503,71222.4249900894
Null,2013,60_80,N_HZ_Hosp,1046.9389083342119,1040.5848149223139,880.4490510847731,1235.6671189615774
Null,2013,60_80,N_HZ_PHN,4089.5156894163597,4084.425333772615,3798.6606160873034,4416.542732016496
Null,2013,60_80,N_HZ_PHN_GP,4020.3910725993705,4016.7173021836516,3732.011537667921,4350.016321685233
Null,2013,60_80,N_HZ_Death,0.08534230696185276,0.08525902519065766,0.07146632696819304,0.10085196604137664
Null,2013,60_80,Coverage_ZVL,0,0,0,0
Null,2013,60_80,Coverage_RZV,0,0,0,0
Null,2013,60_80,Coverage,0,0,0,0
Null,2013,60_80,IncR_HZ,0.007267491958424532,0.007268064479620123,0.007088799798285182,0.007445690348625988
Null,2013,60_80,IncR_HZ_Hosp,1.0785603565805105e-4,1.0720143459188313e-4,9.070418865222087e-5,1.2729888609857293e-4
Null,2013,60_80,IncR_HZ_PHN,4.213034270773759e-4,4.207790167460248e-4,3.9133942926377144e-4,4.5499387461642903e-4
Null,2013,60_80,MorR_HZ,8.791996199151232e-9,8.783416480113015e-9,7.362487580192915e-9,1.0389807045045722e-8
Null,2013,80+,Protection,0,0,0,0
Null,2013,80+,N,2538132.0000000005,2538132.0000000005,2538132.0000000005,2538132.0000000005
Null,2013,80+,N_Uptake_ZVL,0,0,0,0
Null,2013,80+,N_Uptake_RZV,0,0,0,0
Null,2013,80+,N_Covered_ZVL,0,0,0,0
Null,2013,80+,N_Covered_RZV,0,0,0,0
Null,2013,80+,N_HZ,23963.279397702918,23962.653643786718,23255.92933841586,24659.51419173469
Null,2013,80+,N_HZ_GP,22403.33929233534,22402.577735199215,21681.680413683465,23089.088032363343
Null,2013,80+,N_HZ_Hosp,1559.9401053675804,1554.7675472297067,1315.6451019624787,1841.8978762206127
Null,2013,80+,N_HZ_PHN,2163.808992457731,2158.071413612787,1971.0089037362347,2396.3950372372237
Null,2013,80+,N_HZ_PHN_GP,2024.347322524038,2019.8429366484952,1835.3003573172778,2240.010980023817
Null,2013,80+,N_HZ_Death,0.3181016653635322,0.3178966657353177,0.2716924069310561,0.36961041986106347
Null,2013,80+,Coverage_ZVL,0,0,0,0
Null,2013,80+,Coverage_RZV,0,0,0,0
Null,2013,80+,Coverage,0,0,0,0
Null,2013,80+,IncR_HZ,0.009441305415834525,0.0094410588747105,0.009162616183246519,0.009715615339050406
Null,2013,80+,IncR_HZ_Hosp,6.146016461585056e-4,6.125637071790224e-4,5.183517255849887e-4,7.25690340857218e-4
Null,2013,80+,IncR_HZ_PHN,8.525202757215663e-4,8.50259723927986e-4,7.765588644468586e-4,9.441569773507536e-4
Null,2013,80+,MorR_HZ,1.253290472534652e-7,1.2524827933902477e-7,1.0704423841276027e-7,1.456230093080515e-7
Null,2014,60_80,Protection,0,0,0,0
Null,2014,60_80,N,9861762,9861762,9861762,9861762
Null,2014,60_80,N_Uptake_ZVL,0,0,0,0
Null,2014,60_80,N_Uptake_RZV,0,0,0,0
Null,2014,60_80,N_Covered_ZVL,0,0,0,0
Null,2014,60_80,N_Covered_RZV,0,0,0,0
Null,2014,60_80,N_HZ,71809.5588478845,71810.9300540658,70039.5767001231,73599.71187548006
Null,2014,60_80,N_HZ_GP,70739.47764651642,70728.60460275487,68988.47112285603,72514.27269629348
Null,2014,60_80,N_HZ_Hosp,1070.0812013680923,1064.1376863136607,901.5242850084818,1258.534078509822
