Scenario,Age0,Age1,Arm,Year0,N0,Index,A,M,L,U
Overall,70,80,ReRZV_1d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dYear_Life,5.425803273127823e-4,5.409406137708572e-4,4.4013195911825066e-4,6.571441533850475e-4
Overall,70,80,ReRZV_1d,2024,1,dYear_Immunised,10.696723795613163,10.693673219016844,9.704258241287064,11.735923754103064
Overall,70,80,ReRZV_1d,2024,1,dRisk_HZ,-0.0951568309211546,-0.09521900005885725,-0.10502106315707863,-0.08525589051078812
Overall,70,80,ReRZV_1d,2024,1,dRisk_Hosp,-0.004032775950961167,-0.0039965858585302985,-0.005092354125860229,-0.0031469299389673645
Overall,70,80,ReRZV_1d,2024,1,dRisk_PHN,-0.007721911503756956,-0.0077223398952148276,-0.00874064354323096,-0.006663495596596444
Overall,70,80,ReRZV_1d,2024,1,dRisk_Death,-9.591937755342394e-7,-9.560157318676957e-7,-1.163457622963665e-6,-7.655824857376389e-7
Overall,70,80,ReRZV_1d,2024,1,dQ_Life,3.7450901732870713e-4,3.7341240234489703e-4,3.055213560132941e-4,4.5142674347320444e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ,0.013280436920264697,0.013235104621659447,0.011291397513833602,0.015428291295416957
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm,0.0043444358403469585,0.004318039026019876,0.0037060433052369755,0.005054195557193934
Overall,70,80,ReRZV_1d,2024,1,dQ_All,0.013650149906399296,0.013601818504384688,0.01163726017796649,0.015827944324493876
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_d,0.009668279664292933,0.009643107458995472,0.008365764383047966,0.011033500099212947
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm_d,0.0032343486409360193,0.0032177017712851606,0.0028027420388950642,0.003700953839526972
Overall,70,80,ReRZV_1d,2024,1,dQ_Life_d,1.990879337371867e-4,1.985724853197368e-4,1.6472850452875498e-4,2.3542004965011463e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_All_d,0.009867367598030172,0.009844654214313131,0.008557440703539542,0.011245374886070181
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp,-17.16647326360075,-16.979413593528143,-22.043867460664348,-13.164365383201472
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN,-10.682491992536548,-10.68775468312258,-11.739099545482501,-9.589308368429982
