Scenario,Arm,HZ,HZ_GP,HZ_Hosp,HZ_PHN,HZ_PHN_GP,HZ_Death,Q_Life,Q_HZ,Q_All,Q_Life_d,Q_HZ_d,Q_All_d,C_Hosp,C_GP_NonPHN,C_GP_PHN,C_GP,C_Vac,C_Vac_d,C_All,C_Hosp_d,C_GP_NonPHN_d,C_GP_PHN_d,C_GP_d,C_Med_d,C_All_d,NewUptake
Vac_50,SOC,84370.20184729745,81764.92973311472,2605.272114182719,5438.99887173936,5225.159103156132,51.70002529897914,9194830.273460887,-9104.821653080295,9185725.451807808,5335240.719154249,-4296.005336545137,5330944.713817704,7874260.6789165465,7264262.831522444,2229166.3520868276,9493429.183609271,0,0,0,2601664.0642158934,3730945.5275041517,973030.1937856004,4703975.721289752,7305639.785505645,0,0
Vac_50,Vac,59764.825402342445,57399.547018961544,2365.2783833809012,4399.387086101439,4199.135992818692,49.52999236093483,9194852.851060417,-6838.685854175432,9188014.16520624,5335248.995180287,-2759.314490081954,5332489.680690205,7263486.751915301,5049162.876477977,1791442.610307141,6840605.4867851185,56736860.46,56736860.46,70840952.69870041,2271027.3959382446,2170943.1185651696,693199.4014521933,2864142.5200173627,5135169.915955608,61872030.37595561,333746.238
Vac_51,SOC,86984.74475316443,84248.30208993042,2736.442663234003,5651.672270776998,5426.972205676118,54.531091148725935,9316045.262209525,-9430.493077694371,9306614.76913183,5460475.457562077,-4547.854270738758,5455927.603291338,8282365.180125837,7480801.840621712,2315264.204547639,9796066.045169352,0,0,0,2812321.565625353,3915846.0359012145,1036141.5661193124,4951987.602020526,7764309.16764588,0,0
Vac_51,Vac,60565.51252678201,58102.10097113161,2463.4115556504034,4501.012892441292,4292.177306687221,51.95848463159338,9316071.56230355,-6965.146432356997,9309106.415871194,5460485.249960847,-2866.2910925193796,5457618.958868328,7580135.566084605,5107010.711235193,1831136.055451117,6938146.76668631,59150155.47,59150155.47,73668437.80277091,2429238.54959535,2235673.8988341796,725064.6362648812,2960738.535099061,5389977.084694411,64540132.55469441,347942.091
Vac_52,SOC,89489.98084061788,86626.51201793613,2863.468822681763,5863.186395371518,5627.927538765968,57.21642570617091,9420966.504212456,-9745.764521491365,9411220.739690965,5579984.150106957,-4805.236725394231,5575178.9133815635,8676566.527328761,7687441.467294672,2400996.1139407353,10088437.581235407,0,0,0,3031834.5407183585,4102027.98020239,1102546.901423165,5204574.881625555,8236409.4223439135,0,0
Vac_52,Vac,61179.04671718691,58625.99649622924,2553.0502209576675,4589.749023170657,4372.990739524734,54.173853127255065,9420997.000226296,-7069.488917372486,9413927.511308923,5579995.697644996,-2968.979080913929,5577026.718564083,7870090.274238406,5149062.898583381,1865612.8209852418,7014675.719568623,61641783.419999994,61641783.419999994,76526549.41380702,2588085.124632785,2296206.535600726,756362.0329435281,3052568.568544254,5640653.693177039,67282437.11317703,362598.72599999997
Vac_53,SOC,90974.15198860565,88018.57297131204,2955.5790172936113,6012.974191204714,5769.989450553013,59.23256206916297,9416669.222855628,-9952.378877814424,9406716.843977813,5637033.073945646,-5016.569942168722,5632016.504003477,8963497.36547657,7806076.805531478,2461602.810773665,10267679.616305143,0,0,0,3227802.574872573,4245047.831085345,1159809.1765139562,5404857.007599301,8632659.582471874,0,0
Vac_53,Vac,61015.727556728416,58409.13012669887,2606.59743002955,4620.550730884953,4398.890960525425,55.67731218638013,9416704.09248243,-7083.655584578621,9409620.436897852,5637046.514172138,-3037.0223117861915,5634009.4918603515,8047898.980419618,5126022.323653307,1876662.417758569,7002684.741411876,63570875.76,63570875.76,78621459.48183149,2719464.4901815066,2329152.0751517327,779172.476569412,3108324.551721145,5827789.041902652,69398664.80190265,373946.328
Vac_54,SOC,87210.66335349798,84346.41765810171,2864.245695396265,5816.801507386056,5581.061600721789,57.405479331734085,8879902.113118256,-9580.473978918442,8870321.639139336,5378311.784942876,-4942.708633095258,5373369.076309781,8689297.860146187,7475489.457441633,2381002.08694853,9856491.544390162,0,0,0,3235552.632506745,4146607.844650906,1152703.3327699043,5299311.17742081,8534863.809927555,0,0
Vac_54,Vac,57275.30164295183,54781.78815849768,2493.513484454154,4377.247229551235,4164.725063890356,53.48565609804204,8879939.488368696,-6677.302423272878,8873262.185945421,5378326.499997084,-2927.869785391722,5375398.630211692,7707423.530341081,4803981.603977552,1776762.1606984844,6580743.764676036,62030245.83,62030245.83,76318413.12501712,2685106.639774025,2227525.6481228387,756632.9071399487,2984158.5552627877,5669265.195036813,67699511.02503681,364883.799
Vac_55,SOC,87537.25975015391,84628.13120571211,2909.128544441805,5895.302844543195,5655.537537891692,58.331356882799476,8768504.83739673,-9658.334912035294,8758846.502484694,5372555.923884611,-5097.253146999322,5367458.670737612,8829387.56884365,7495158.035730097,2412775.139194729,9907933.174924826,0,0,0,3398141.4338268694,4238500.094237115,1199664.7303150555,5438164.824552171,8836306.25837904,0,0
Vac_55,Vac,56250.19933425166,53752.98313155882,2497.2162026928304,4338.353758208706,4125.026492659272,53.80959389622079,8768546.741688762,-6585.584321488047,8761961.157367274,5372572.776708054,-2952.7202306650747,5369620.056477389,7728106.16084395,4710107.148861214,1759825.8880478006,6469933.036909014,63443276.82,63443276.82,77641316.01775296,2774954.005160077,2228382.1441150666,768489.8412741597,2996871.985389226,5771825.990549304,69215102.8105493,373195.746
Vac_56,SOC,85648.41152537311,82765.01555941493,2883.3959659581865,5828.432790680844,5590.424832112933,57.8510188171138,8457162.353501143,-9492.781775012529,8447669.57172613,5248146.2571624145,-5122.314148523889,5243023.943013891,8755599.360430967,7324512.555291934,2384996.644808277,9709509.200100211,0,0,0,3482363.368358052,4220697.419494707,1217624.4381441837,5438321.857638891,8920685.225996943,0,0
Vac_56,Vac,53802.11731489855,51364.98425174113,2437.1330631574183,4187.463791881244,3978.790129401464,52.77068429839387,8457208.09975192,-6325.8472376616965,8450882.252514258,5248165.051613857,-2899.7246155190483,5245265.326998338,7551576.280845991,4497345.182211523,1697438.2795577648,6194783.461769288,63322493.01,63322493.01,77068852.75261527,2794214.92639048,2170700.693899647,760004.4033497667,2930705.097249414,5724920.023639893,69047413.0336399,372485.25299999997
