Scenario,Vaccination_Age,Index,mean,sd,q025,q250,q500,q750,q975
CEA_shingrix_NIC_18,18,ICER,23108.61668059429,5240.228400575564,16321.475769294386,19269.31612721899,21996.93759434988,25924.280662148547,35325.350477163505
CEA_shingrix_NIC_19,19,ICER,23205.321375817563,5680.257732220351,16347.023834787196,19025.641780914644,21662.65318140832,25876.559603752707,37698.45547099097
CEA_shingrix_NIC_20,20,ICER,23119.03668236373,5525.264266443033,15989.85099752199,19086.764801548095,21698.033389321376,25952.17516452804,36710.103724351626
CEA_shingrix_NIC_21,21,ICER,23202.594128717636,5774.047037786928,16326.566115269074,18874.013195312178,21715.48102094105,25741.221649468614,36860.699026065166
CEA_shingrix_NIC_22,22,ICER,22833.91017880545,5606.593914177684,16118.572850300841,18721.891607516234,21339.039643848875,25497.028647318064,38781.46907499325
CEA_shingrix_NIC_23,23,ICER,22953.611054531837,5717.785767650543,15958.386881136481,18754.806517375087,21402.64525260842,26147.83697339072,37332.26416273229
CEA_shingrix_NIC_24,24,ICER,22609.687472820693,5090.146323582543,16110.733615765505,18698.942374652204,21319.880140826295,25538.481229785248,35107.65756067337
CEA_shingrix_NIC_25,25,ICER,22602.761686448226,5319.240911748241,15893.215681072512,18767.34017970723,21170.290679913058,25159.805768022317,35390.93107649489
CEA_shingrix_NIC_26,26,ICER,22481.280679992953,5647.984864988279,15833.486235584769,18342.52624254708,21037.88260490698,25130.74692876207,36560.40180117897
CEA_shingrix_NIC_27,27,ICER,22003.610118966735,5123.495079952614,15952.523525768089,18190.35403968447,20577.701690738468,24523.797984971206,35211.94794966839
CEA_shingrix_NIC_28,28,ICER,21649.94196450272,5085.593880469659,15478.734836118561,17973.543718423167,20268.47927596127,24371.696181055315,35158.2485842559
CEA_shingrix_NIC_29,29,ICER,22018.90339134491,5802.400529820759,15510.859469216417,17743.85998531222,20388.458416229456,24811.200934776614,36856.80100964695
CEA_shingrix_NIC_30,30,ICER,21497.890070350964,4904.956688424472,15541.760689881616,17845.36578853787,20313.39389787258,24068.706902174177,33008.32279047878
CEA_shingrix_NIC_31,31,ICER,21327.55108913874,5109.022124605399,15475.876361387189,17606.310821620296,20136.574338310027,23449.987982615567,34336.02748793421
CEA_shingrix_NIC_32,32,ICER,21281.435838906902,4524.315343608287,15276.753692707254,17905.448537249773,20247.436621159562,23890.25777010689,32274.125841394252
CEA_shingrix_NIC_33,33,ICER,20859.246995709444,4500.678947228402,15220.764305036308,17358.3609454622,19602.970551901555,23588.40961317528,31375.54097108687
CEA_shingrix_NIC_34,34,ICER,21134.546388476374,5216.781810508297,15103.70239549873,17479.759793184014,19648.490217781706,23668.008152877355,34070.511996084955
CEA_shingrix_NIC_35,35,ICER,20493.446445346413,4476.806148709433,14778.400611312514,16995.53609083152,19439.87065777184,22961.02911043059,30670.137763862134
