Scenario,Vaccination_Age,Index,mean,sd,q025,q250,q500,q750,q975
CEA_shingrix_IC_18,18,ICER,5530.705300216841,2945.875092157826,1945.9958857353113,3624.9389040450023,4917.713743509136,6593.9885604094425,11723.375775096149
CEA_shingrix_IC_19,19,ICER,5512.273176880843,2597.3224555960883,1754.3500684707565,3708.224259692964,5050.998377639991,6946.1327343821395,12058.404291518904
CEA_shingrix_IC_20,20,ICER,5724.324429546554,2742.596421687911,2358.881812207,3763.8896634914963,5087.094050104698,7050.027368627378,12439.932476954227
CEA_shingrix_IC_21,21,ICER,5573.895100021405,2827.791941452292,2053.5667311341995,3774.0414437000563,4962.442334667603,6576.878087595807,12569.978271932865
CEA_shingrix_IC_22,22,ICER,5423.5288170895055,2654.675055418781,1988.5241975600725,3551.2214468476373,4930.812133448461,6580.408448519742,11917.22224302746
CEA_shingrix_IC_23,23,ICER,5457.709352212156,2684.146554958843,1882.9250093927499,3621.745821721098,4945.96448732699,6689.896943713267,11859.372469581442
CEA_shingrix_IC_24,24,ICER,5222.344702290576,2451.931026526016,1747.729215481746,3539.160237661554,4892.289827366779,6453.1468019799295,10810.85394194016
CEA_shingrix_IC_25,25,ICER,5367.018664371245,2564.1660518344124,2071.1300861712025,3641.5188858750853,4936.405777331605,6550.959935095376,11062.687672556985
CEA_shingrix_IC_26,26,ICER,5224.181575985847,2595.1714635778008,1734.9277692790731,3535.0451960677674,4742.751782179128,6329.21811087266,11305.081837738719
CEA_shingrix_IC_27,27,ICER,5128.07332639303,2295.3861600179125,1808.8676874743692,3419.1967467162976,4674.467632241625,6375.697205392913,10561.192600412833
CEA_shingrix_IC_28,28,ICER,5283.386195151195,2500.536215009715,1843.0871114849647,3510.136259817077,4716.707738837671,6696.0721280315065,11386.522851221656
CEA_shingrix_IC_29,29,ICER,5319.56545453153,2764.238715156015,1806.4368642951654,3401.0598956218837,4833.115407561232,6624.227779610534,12135.03797165042
CEA_shingrix_IC_30,30,ICER,4841.903467771257,2519.677652782125,1575.1153509778471,3081.7781425052553,4269.893574514781,6112.157913881165,11158.567302353451
CEA_shingrix_IC_31,31,ICER,4880.4552811838,2257.3069828349708,1679.9858896363405,3249.645763812544,4493.181164387168,6127.946629967603,9657.818843188546
CEA_shingrix_IC_32,32,ICER,4951.640469774124,2233.0159106270144,1657.696852895182,3357.362493422883,4621.715097962364,6068.384613199207,10430.29632302974
CEA_shingrix_IC_33,33,ICER,4792.271563317849,2551.8900739759497,1453.868778459765,2998.396302032433,4372.197163874556,5848.272773320288,11227.0903011367
CEA_shingrix_IC_34,34,ICER,4753.9274272915045,2465.084415245586,1530.2207669085901,3007.7543560144554,4255.739861258018,5940.6817998762735,10732.599530373827
CEA_shingrix_IC_35,35,ICER,4711.465753744348,2492.3412172326375,1402.073079219454,3191.7874866917346,4148.8752518261845,5734.568239157225,10769.892501188999
CEA_shingrix_IC_36,36,ICER,4863.017012280327,2766.6200830065877,1392.8124491551816,3137.213359295731,4351.4438685571195,5920.988938966628,12202.280414664376
CEA_shingrix_IC_37,37,ICER,4517.746861884733,2431.7035441655667,1105.2413489883584,2744.107030652997,4050.0844845862,5863.040568594151,10073.854337161189
CEA_shingrix_IC_38,38,ICER,4470.147979647398,2195.4415317372473,1141.030565885613,2950.9608525683802,4140.557295620472,5674.508417665265,9674.932849287768
