Scenario,Vaccination_Age,Index,mean,sd,q025,q250,q500,q750,q975
shingrix_IC_age50,50,ICER,2555.885269242226,2232.5018535387335,-869.7730586755775,1093.03213198153,2201.8723213017147,3659.5860453478354,7891.281689560088
shingrix_IC_age51,51,ICER,2338.480646269003,2093.073293116413,-958.3179200715105,859.800887424961,2061.328429749425,3448.3482860269273,7036.230165919327
shingrix_IC_age52,52,ICER,2288.3231916669884,2035.343032709113,-799.6484872954445,790.4453166468985,1983.77205800187,3467.4797288486698,6736.606622012075
shingrix_IC_age53,53,ICER,2196.4872305011427,2068.491624686584,-918.7449331334908,817.474868354998,1915.61294448021,3270.6516448323946,7181.181048120673
shingrix_IC_age54,54,ICER,2077.689638841564,2048.51491246035,-1096.8465340841944,664.2904753076984,1852.253670711295,3094.23827702324,7454.514275143707
shingrix_IC_age55,55,ICER,2027.021767866716,2103.2878360767513,-1342.7327831243429,631.8105176299198,1801.610447416045,3125.04752960343,6934.7489552270645
shingrix_IC_age56,56,ICER,1974.2143921059983,1950.7796876352386,-1105.058367845103,622.2507470195117,1791.64291091853,3055.425650575592,6279.202413085869
shingrix_IC_age57,57,ICER,2063.043327964861,2008.3980777883119,-1370.6009683723212,722.3919056312003,1879.15141910894,3190.73002434483,6591.374782708932
shingrix_IC_age58,58,ICER,2112.266772038387,2125.545679561182,-1481.3806197665037,788.340621948274,1841.20060599815,3070.0774843490603,6549.039414974436
shingrix_IC_age59,59,ICER,2058.088534117579,1940.3470507871684,-1170.0290776864238,711.1370287691832,1902.10807614958,3126.489620044673,6599.578564525096
shingrix_IC_age60,60,ICER,2160.8125478693446,1930.4186636217912,-1198.3393369491455,926.5794181076395,2001.54411290694,3195.255796220478,6137.942342561164
shingrix_IC_age61,61,ICER,2186.355728183704,1998.4843387096544,-1163.648507570569,874.9325107216102,1987.32857712939,3256.9285952540877,6539.883566356047
shingrix_IC_age62,62,ICER,2229.27817357407,2012.4189377070022,-1262.563548751827,891.4787273664872,2085.413708913745,3350.7573625215778,6457.20854371657
