Scenario,Arm,Key,Q_All_d,C_All_d,Q_All_d0,C_All_d0,dE,dC,ICER
Vac_50,SOC,1,5331012.422368451,0,5331012.422368451,0,0,0,0
Vac_50,SOC,2,5331002.918637587,0,5331002.918637587,0,0,0,0
Vac_50,SOC,3,5330892.381330664,0,5330892.381330664,0,0,0,0
Vac_50,SOC,4,5330952.264934531,0,5330952.264934531,0,0,0,0
Vac_50,SOC,5,5331007.423306214,0,5331007.423306214,0,0,0,0
Vac_50,SOC,6,5330958.30915102,0,5330958.30915102,0,0,0,0
Vac_50,SOC,7,5330959.750016009,0,5330959.750016009,0,0,0,0
Vac_50,SOC,8,5330958.6168952575,0,5330958.6168952575,0,0,0,0
Vac_50,SOC,9,5330962.374641135,0,5330962.374641135,0,0,0,0
Vac_50,SOC,10,5330992.404731301,0,5330992.404731301,0,0,0,0
Vac_50,SOC,11,5330909.752071668,0,5330909.752071668,0,0,0,0
Vac_50,SOC,12,5330936.432046017,0,5330936.432046017,0,0,0,0
Vac_50,SOC,13,5330875.989588315,0,5330875.989588315,0,0,0,0
Vac_50,SOC,14,5330935.357046314,0,5330935.357046314,0,0,0,0
Vac_50,SOC,15,5330963.581053725,0,5330963.581053725,0,0,0,0
Vac_50,SOC,16,5330947.758326921,0,5330947.758326921,0,0,0,0
Vac_50,SOC,17,5330905.9081766615,0,5330905.9081766615,0,0,0,0
Vac_50,SOC,18,5330891.3963055,0,5330891.3963055,0,0,0,0
Vac_50,SOC,19,5330932.437914678,0,5330932.437914678,0,0,0,0
Vac_50,SOC,20,5330952.898973599,0,5330952.898973599,0,0,0,0
Vac_50,SOC,21,5330943.998830005,0,5330943.998830005,0,0,0,0
Vac_50,SOC,22,5330870.933446168,0,5330870.933446168,0,0,0,0
Vac_50,SOC,23,5330946.550804932,0,5330946.550804932,0,0,0,0
Vac_50,SOC,24,5330972.245378008,0,5330972.245378008,0,0,0,0
Vac_50,SOC,25,5330996.464328,0,5330996.464328,0,0,0,0
Vac_50,SOC,26,5330941.700769251,0,5330941.700769251,0,0,0,0
Vac_50,SOC,27,5330913.164113661,0,5330913.164113661,0,0,0,0
Vac_50,SOC,28,5330925.813550614,0,5330925.813550614,0,0,0,0
Vac_50,SOC,29,5330922.502450677,0,5330922.502450677,0,0,0,0
Vac_50,SOC,30,5330907.923317766,0,5330907.923317766,0,0,0,0
Vac_50,SOC,31,5330905.934831281,0,5330905.934831281,0,0,0,0
Vac_50,SOC,32,5330984.085538649,0,5330984.085538649,0,0,0,0
Vac_50,SOC,33,5330957.176759944,0,5330957.176759944,0,0,0,0
Vac_50,SOC,34,5330987.312753851,0,5330987.312753851,0,0,0,0
Vac_50,SOC,35,5330937.536985073,0,5330937.536985073,0,0,0,0
Vac_50,SOC,36,5330969.163958482,0,5330969.163958482,0,0,0,0
Vac_50,SOC,37,5330940.710822155,0,5330940.710822155,0,0,0,0
Vac_50,SOC,38,5330959.134130179,0,5330959.134130179,0,0,0,0
Vac_50,SOC,39,5330932.625349856,0,5330932.625349856,0,0,0,0
Vac_50,SOC,40,5330946.723853573,0,5330946.723853573,0,0,0,0
Vac_50,SOC,41,5330970.927950609,0,5330970.927950609,0,0,0,0
Vac_50,SOC,42,5331000.72312207,0,5331000.72312207,0,0,0,0
Vac_50,SOC,43,5330928.43853022,0,5330928.43853022,0,0,0,0
Vac_50,SOC,44,5330971.385993583,0,5330971.385993583,0,0,0,0
Vac_50,SOC,45,5330988.587084694,0,5330988.587084694,0,0,0,0
Vac_50,SOC,46,5330971.434659949,0,5330971.434659949,0,0,0,0
Vac_50,SOC,47,5330990.550294918,0,5330990.550294918,0,0,0,0
Vac_50,SOC,48,5330952.594762076,0,5330952.594762076,0,0,0,0
Vac_50,SOC,49,5330972.19377662,0,5330972.19377662,0,0,0,0
Vac_50,SOC,50,5330925.342826502,0,5330925.342826502,0,0,0,0
Vac_50,SOC,51,5330950.218216788,0,5330950.218216788,0,0,0,0
Vac_50,SOC,52,5330951.826509365,0,5330951.826509365,0,0,0,0
Vac_50,SOC,53,5330908.2490328625,0,5330908.2490328625,0,0,0,0
Vac_50,SOC,54,5330931.7651773095,0,5330931.7651773095,0,0,0,0
Vac_50,SOC,55,5330979.081379938,0,5330979.081379938,0,0,0,0
Vac_50,SOC,56,5330920.003027435,0,5330920.003027435,0,0,0,0
Vac_50,SOC,57,5330964.140206106,0,5330964.140206106,0,0,0,0
Vac_50,SOC,58,5330942.218175192,0,5330942.218175192,0,0,0,0
Vac_50,SOC,59,5330901.482858129,0,5330901.482858129,0,0,0,0
Vac_50,SOC,60,5330868.39889531,0,5330868.39889531,0,0,0,0
Vac_50,SOC,61,5330997.222651166,0,5330997.222651166,0,0,0,0
Vac_50,SOC,62,5330972.888990669,0,5330972.888990669,0,0,0,0
Vac_50,SOC,63,5330954.156380429,0,5330954.156380429,0,0,0,0
Vac_50,SOC,64,5331017.460436862,0,5331017.460436862,0,0,0,0
Vac_50,SOC,65,5330950.054604683,0,5330950.054604683,0,0,0,0
Vac_50,SOC,66,5330942.965852806,0,5330942.965852806,0,0,0,0
Vac_50,SOC,67,5330928.942635775,0,5330928.942635775,0,0,0,0
