Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med,Scenario
New2023,"[65,70)",RZV_2d,2965505,640873,308987.7238558622,617975.4477117244,-33385.87033648431,-6513296.881927336,3956.325764936984,138.58125350736685,0.5027537757131506,0.5027537757131506,0.5264078767389297,0.5087444929854315,0.4541442340628026,Cont_1d
SOC,"[70,75)",RZV_2d,2662322,1053476.2497747962,241224.43116069655,482448.8623213931,-24411.695940612888,-6047685.276210312,3075.7729673637396,139.22171239523183,0.8952499307282626,0.8952499307282626,0.9113164892201583,0.9042585764534002,0.8758233694386651,Cont_1d
SOC,"[75,80)",RZV_2d,2423598,474263.87725610525,64378.40358753453,128756.80717506906,-5624.490671039845,-1780930.374052791,744.5471468916787,138.20162686998614,1,1,1,1,1,Cont_1d
ZVL_85,"[80,85)",ReRZV_1d,1508497,1075401.782433929,145979.17591539328,145979.17591539328,-6582.360943198384,-2062631.590599841,702.1896805609933,135.24332853984234,1.2375226463728188,1.1187613231864095,1.1037866203012159,1.0902946709248789,1.1438184472238455,Cont_1d
UV_85,"[80,85)",RZV_1d,1508497,433095.21756607096,58790.01131103047,58790.01131103047,-3523.0446209534966,-1451074.734799022,493.01768991308376,137.5868349417514,1.3331798452802655,1.1665899226401328,1.159335821801168,1.1536918858131415,1.2449956599241798,Cont_1d
ZVL_90,"[85,90)",ReRZV_1d,940569,344417.71727378963,46752.586205033294,46752.586205033294,-2099.0325397303945,-638319.022242496,182.12836685335446,136.13370479958434,1.4092509556325326,1.2046254778162662,1.1924320763336702,1.1771117984184805,1.2895029054404101,Cont_1d
UV_95,"[85,90)",RZV_1d,940569,596151.2827262104,80923.8690085801,80923.8690085801,-3631.4543631183647,-1839766.5434972104,521.2872285554689,136.93354061953002,1.5409221436709246,1.2704610718354623,1.249690615994217,1.2441441973027156,1.4177819295501897,Cont_1d
UV_95,"[90,95)",RZV_1d,417138,417138,56623.91719788369,56623.91719788369,-1809.2219253683077,-1048809.9189717777,255.13660931709683,135.94347685298044,1.6330548918968206,1.3165274459484104,1.278217314944517,1.2769522501934552,1.4909109433144085,Cont_1d
UV_100,"[95,100)",RZV_1d,109064,109064,14804.767020194724,14804.767020194724,-297.49575314019035,-168074.02091160705,36.647974722654794,135.2628030941476,1.6571437211392035,1.328571860569602,1.282908045069897,1.2816648184770019,1.5026300233558163,Cont_1d
New2023,"[65,70)",RZV_2d,2965505,640873,308987.7238558622,617975.4477117244,-33385.87033648431,-6513296.881927336,3956.325764936984,138.58125350736685,0.5027537757131506,0.5027537757131506,0.5264078767389297,0.5087444929854315,0.4541442340628026,Cont_2d
SOC,"[70,75)",RZV_2d,2662322,1053476.2497747962,241224.43116069655,482448.8623213931,-24411.695940612888,-6047685.276210312,3075.7729673637396,139.22171239523183,0.8952499307282626,0.8952499307282626,0.9113164892201583,0.9042585764534002,0.8758233694386651,Cont_2d
SOC,"[75,80)",RZV_2d,2423598,474263.87725610525,64378.40358753453,128756.80717506906,-5624.490671039845,-1780930.374052791,744.5471468916787,138.20162686998614,1,1,1,1,1,Cont_2d
ZVL_85,"[80,85)",ReRZV_2d,1508497,1075401.782433929,145979.17591539328,291958.35183078656,-7966.916284313643,-2518313.9616384176,849.7727881773777,124.5044282237161,1.2375226463728188,1.2375226463728188,1.1256174376499417,1.1092724037301318,1.175591222996658,Cont_2d
UV_85,"[80,85)",RZV_2d,1508497,433095.21756607096,58790.01131103047,117580.02262206093,-3912.125445100039,-1618745.5837577397,545.8631424987138,123.22097180297905,1.3331798452802655,1.3331798452802655,1.1873014263653998,1.1794650228847794,1.2884594042886903,Cont_2d
ZVL_90,"[85,90)",ReRZV_2d,940569,344417.71727378963,46752.586205033294,93505.17241006659,-2452.3177912362926,-745526.0086859964,213.024915447366,119.4594655558467,1.4092509556325326,1.4092509556325326,1.2259680655323013,1.206857927069519,1.3404417327970162,Cont_2d
UV_95,"[85,90)",RZV_2d,940569,596151.2827262104,80923.8690085801,161847.7380171602,-3967.4359094718716,-2017958.9610873887,567.68982663122,116.31149255087229,1.5409221436709246,1.5409221436709246,1.2885241556432894,1.2798572426420796,1.4811453493166453,Cont_2d
UV_95,"[90,95)",RZV_2d,417138,417138,56623.91719788369,113247.83439576738,-1954.9137985424518,-1133505.2875333435,274.80712868731484,113.05223343190606,1.6330548918968206,1.6330548918968206,1.3193480344736632,1.315194730417189,1.5601798075863629,Cont_2d
UV_100,"[95,100)",RZV_2d,109064,109064,14804.767020194724,29609.534040389448,-318.21414247831126,-179649.3122593283,39.19750924433005,111.88193070890917,1.6571437211392035,1.6571437211392035,1.3243654394237823,1.3202351437076036,1.5727059830079535,Cont_2d
New2023,"[65,70)",RZV_2d,2965505,640873,308987.7238558622,617975.4477117244,-33385.87033648431,-6513296.881927336,3956.325764936984,138.58125350736685,0.5027537757131506,0.5027537757131506,0.5264078767389297,0.5087444929854315,0.4541442340628026,Boost_1d
SOC,"[70,75)",RZV_2d,2662322,1053476.2497747962,241224.43116069655,482448.8623213931,-24411.695940612888,-6047685.276210312,3075.7729673637396,139.22171239523183,0.8952499307282626,0.8952499307282626,0.9113164892201583,0.9042585764534002,0.8758233694386651,Boost_1d
SOC,"[75,80)",RZV_2d,2423598,474263.87725610525,64378.40358753453,128756.80717506906,-5624.490671039845,-1780930.374052791,744.5471468916787,138.20162686998614,1,1,1,1,1,Boost_1d
ZVL_85,"[80,85)",ReRZV_1d,1508497,1075401.782433929,256661.78948319663,256661.78948319663,-12013.643565125898,-3695740.5671852236,1296.3175032073457,134.26515000270288,1.4176142732588461,1.208807136629423,1.189423745353292,1.1666936521663973,1.2576881262446782,Boost_1d
UV_85,"[80,85)",RZV_1d,1508497,433095.21756607096,76705.70267800335,76705.70267800335,-4730.100574562446,-1896622.3139849335,658.8442367998848,137.3208017406573,1.5424220849053891,1.2712110424526946,1.2640050629922084,1.2514145263112164,1.389931459184268,Boost_1d
ZVL_90,"[85,90)",ReRZV_1d,940569,344417.71727378963,46752.586205033294,46752.586205033294,-2099.0325397303945,-638319.022242496,182.12836685335446,135.99151902608673,1.618493195257656,1.309246597628828,1.2971013175247106,1.2748344389165551,1.4344387047004978,Boost_1d
UV_95,"[85,90)",RZV_1d,940569,596151.2827262104,80923.8690085801,80923.8690085801,-3631.4543631183647,-1839766.5434972104,521.2872285554689,136.73730801542033,1.7501643832960483,1.3750821916480243,1.3543598571852573,1.3418668378007903,1.5627177288102778,Boost_1d
UV_95,"[90,95)",RZV_1d,417138,417138,56623.91719788369,56623.91719788369,-1809.2219253683077,-1048809.9189717777,255.13660931709683,135.82649092807782,1.842297131521944,1.4211485657609721,1.3828865561355579,1.37467489069153,1.6358467425744967,Boost_1d
UV_100,"[95,100)",RZV_1d,109064,109064,14804.767020194724,14804.767020194724,-297.49575314019035,-168074.02091160705,36.647974722654794,135.19648855743523,1.8663859607643272,1.4331929803821637,1.3875772862609377,1.3793874589750765,1.6475658226159042,Boost_1d
New2023,"[65,70)",RZV_2d,2965505,640873,308987.7238558622,617975.4477117244,-33385.87033648431,-6513296.881927336,3956.325764936984,138.58125350736685,0.5027537757131506,0.5027537757131506,0.5264078767389297,0.5087444929854315,0.4541442340628026,Boost_2d
SOC,"[70,75)",RZV_2d,2662322,1053476.2497747962,241224.43116069655,482448.8623213931,-24411.695940612888,-6047685.276210312,3075.7729673637396,139.22171239523183,0.8952499307282626,0.8952499307282626,0.9113164892201583,0.9042585764534002,0.8758233694386651,Boost_2d
SOC,"[75,80)",RZV_2d,2423598,474263.87725610525,64378.40358753453,128756.80717506906,-5624.490671039845,-1780930.374052791,744.5471468916787,138.20162686998614,1,1,1,1,1,Boost_2d
ZVL_85,"[80,85)",ReRZV_2d,1508497,1075401.782433929,256661.78948319663,513323.57896639325,-14571.269245352729,-4527658.358634225,1570.5245175711163,118.11329936609528,1.4176142732588461,1.4176142732588461,1.2297508145670566,1.201953971155263,1.3156941829391229,Boost_2d
UV_85,"[80,85)",RZV_2d,1508497,433095.21756607096,76705.70267800335,153411.4053560067,-5262.114633179557,-2122549.674443385,730.473091718795,117.38124390380575,1.5424220849053891,1.5424220849053891,1.3127206027825762,1.2958856099448453,1.4636904609584815,Boost_2d
ZVL_90,"[85,90)",ReRZV_2d,940569,344417.71727378963,46752.586205033294,93505.17241006659,-2452.3177912362926,-745526.0086859964,213.024915447366,114.38050735318303,1.618493195257656,1.618493195257656,1.3513872419494777,1.3232785141295846,1.5156727894668074,Boost_2d
UV_95,"[85,90)",RZV_2d,940569,596151.2827262104,80923.8690085801,161847.7380171602,-3967.4359094718716,-2017958.9610873887,567.68982663122,111.99100103571051,1.7501643832960483,1.7501643832960483,1.4139433320604655,1.3962778297021454,1.6563764059864365,Boost_2d
UV_95,"[90,95)",RZV_2d,417138,417138,56623.91719788369,113247.83439576738,-1954.9137985424518,-1133505.2875333435,274.80712868731484,109.31798471985681,1.842297131521944,1.842297131521944,1.4447672108908396,1.4316153174772546,1.735410864256154,Boost_2d
UV_100,"[95,100)",RZV_2d,109064,109064,14804.767020194724,29609.534040389448,-318.21414247831126,-179649.3122593283,39.19750924433005,108.32708242603763,1.8663859607643272,1.8663859607643272,1.4497846158409586,1.4366557307676693,1.747937039677745,Boost_2d
