Agp,N_All,N_ZVL,N_ZVL2,N_ZVL5,N_Protected,P_ZVL,P_ZVL2,P_ZVL5,P_Protected
"[60,65)",3527545,0,0,0,0,0,0,0,0
"[65,70)",2965505,0,0,0,0,0,0,0,0
"[70,75)",2662322,1223925.831830317,872908.9843649463,0,1174667.1488957466,0.45972118768139875,0.32787505957767177,0,0.44121903695185877
"[75,80)",2423598,1874844.1657719854,1788654.4906562874,1440022.621127962,1034624.7297609542,0.7735788549800691,0.7380161605415946,0.5941672757313555,0.4268961807036291
"[80,85)",1508497,1075401.782433929,1067278.273990876,941868.8709949582,457492.47616810695,0.7128962022688338,0.7075110351501369,0.6243757004455152,0.3032770208811201
"[85,90)",940569,344417.71727378963,344417.71727378963,344417.71727378963,124353.0793217615,0.36618017101753264,0.36618017101753264,0.36618017101753264,0.1322104803813027
"[90,95)",417138,0,0,0,0,0,0,0,0
"[95,100)",109064,0,0,0,0,0,0,0,0
