Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med,Scenario
New2023,"[65,70)",RZV_2d,2965505,640873,308987.7238558622,617975.4477117244,-23053.023438093365,-4243967.955552667,2765.352047040404,96.36468425545011,0.5027537757131506,0.5027537757131506,0.5093243536381621,0.4896428723761993,0.43518988302618733,Cont_1d
SOC,"[70,75)",RZV_2d,2662322,1053476.2497747962,241224.43116069655,482448.8623213931,-17869.59654937055,-4187510.240012758,2299.4163918788545,99.71321605085983,0.8952499307282626,0.8952499307282626,0.9041281301026185,0.8967855535814572,0.8645904135221341,Cont_1d
SOC,"[75,80)",RZV_2d,2423598,474263.87725610525,64378.40358753453,128756.80717506906,-4339.349665907224,-1320513.1100258601,582.9233851654316,99.82729645732297,1,1,1,1,1,Cont_1d
ZVL_85,"[80,85)",ReRZV_1d,1508497,1075401.782433929,145979.17591539328,145979.17591539328,-5567.867946223585,-1699551.1511771781,601.985128018721,99.221219650628,1.2375226463728188,1.1187613231864095,1.1230142653725386,1.1065895850498684,1.1742773447924164,Cont_1d
UV_85,"[80,85)",RZV_1d,1508497,433095.21756607096,58790.01131103047,58790.01131103047,-2587.7598121077003,-1049470.814518298,363.37616121396275,100.95334203001701,1.3331798452802655,1.1665899226401328,1.1801872039769672,1.1709302347404797,1.2818933979277987,Cont_1d
ZVL_90,"[85,90)",ReRZV_1d,940569,344417.71727378963,46752.586205033294,46752.586205033294,-1804.8925917992724,-541485.516255079,158.46255002809337,100.27184588686318,1.4092509556325326,1.2046254778162662,1.2200637848156193,1.1989881661864425,1.3374190335940874,Cont_1d
UV_95,"[85,90)",RZV_1d,940569,596151.2827262104,80923.8690085801,80923.8690085801,-2739.0412930148013,-1386413.949429504,394.4365635151354,101.01514737728888,1.5409221436709246,1.2704610718354623,1.280579076438833,1.268828478972819,1.479586300358836,Cont_1d
UV_95,"[90,95)",RZV_1d,417138,417138,56623.91719788369,56623.91719788369,-1395.013892044575,-812932.8441166244,196.98840547994115,100.41748200878544,1.6330548918968206,1.3165274459484104,1.3113999599029857,1.3037079326710326,1.5629470026648902,Cont_1d
UV_100,"[95,100)",RZV_1d,109064,109064,14804.767020194724,14804.767020194724,-236.05748812828034,-133546.53503447553,28.73836839657502,99.94086406794814,1.6571437211392035,1.328571860569602,1.3166153203907436,1.3087964483499548,1.5766412863090837,Cont_1d
New2023,"[65,70)",RZV_2d,2965505,640873,308987.7238558622,617975.4477117244,-23053.023438093365,-4243967.955552667,2765.352047040404,96.36468425545011,0.5027537757131506,0.5027537757131506,0.5093243536381621,0.4896428723761993,0.43518988302618733,Cont_2d
SOC,"[70,75)",RZV_2d,2662322,1053476.2497747962,241224.43116069655,482448.8623213931,-17869.59654937055,-4187510.240012758,2299.4163918788545,99.71321605085983,0.8952499307282626,0.8952499307282626,0.9041281301026185,0.8967855535814572,0.8645904135221341,Cont_2d
SOC,"[75,80)",RZV_2d,2423598,474263.87725610525,64378.40358753453,128756.80717506906,-4339.349665907224,-1320513.1100258601,582.9233851654316,99.82729645732297,1,1,1,1,1,Cont_2d
ZVL_85,"[80,85)",ReRZV_2d,1508497,1075401.782433929,145979.17591539328,291958.35183078656,-7429.4435316781355,-2287152.7214103714,802.4556883945406,92.72134287968609,1.2375226463728188,1.2375226463728188,1.1641431777842393,1.1420856012313656,1.2345318663378049,Cont_2d
UV_85,"[80,85)",RZV_2d,1508497,433095.21756607096,58790.01131103047,117580.02262206093,-3151.77138295726,-1284577.5748415245,442.0205024732408,92.24707625077863,1.3331798452802655,1.3331798452802655,1.2337771642654818,1.2203512921085193,1.3662565094991472,Cont_2d
