Scenario,Year,Index,Group,L,M,U
Expand to 65+,2012,N,All,53493729,53493729,53493729
Expand to 65+,2012,N,60u,12069402,12069402,12069402
Expand to 65+,2012,N,80u,2507928,2507928,2507928
Expand to 65+,2012,IncHZ,All,0.004436500813955701,0.004534160725002663,0.004601830829492901
Expand to 65+,2012,IncHZ,60u,0.007365312392857466,0.007413433467593737,0.0074739843676828585
Expand to 65+,2012,IncHZ,80u,0.009340744246705654,0.009448156357317286,0.009560726103271189
Expand to 65+,2012,IncPHN,All,1.8355159898444798e-4,1.909363543019315e-4,1.9902852982649395e-4
Expand to 65+,2012,IncPHN,60u,4.7886793641790666e-4,4.905315776459324e-4,5.018951655968364e-4
Expand to 65+,2012,IncPNH,80u,8.204056157088272e-4,8.559903886612246e-4,8.881422806014019e-4
Expand to 65+,2013,N,All,53853469,53853469,53853469
Expand to 65+,2013,N,60u,12244950,12244950,12244950
Expand to 65+,2013,N,80u,2538132,2538132,2538132
Expand to 65+,2013,IncHZ,All,0.004390010358126479,0.00448646312481513,0.004551666995247612
Expand to 65+,2013,IncHZ,60u,0.007117263739197566,0.007165637767434121,0.007227936527673006
Expand to 65+,2013,IncHZ,80u,0.009248964466234924,0.009354004627135619,0.009468428970260076
Expand to 65+,2013,IncPHN,All,1.8019065659508968e-4,1.8748220904711392e-4,1.9565394844210307e-4
Expand to 65+,2013,IncPHN,60u,4.6242512964332643e-4,4.731576580077406e-4,4.84017673050402e-4
Expand to 65+,2013,IncPNH,80u,8.126463350292324e-4,8.480118885486094e-4,8.787841138845963e-4
Expand to 65+,2014,N,All,54302951.3490557,54302951.3490557,54302951.3490557
Expand to 65+,2014,N,60u,12451639,12451639,12451639
Expand to 65+,2014,N,80u,2589877,2589877,2589877
Expand to 65+,2014,IncHZ,All,0.004348346023935724,0.004446449043209083,0.004508211115755817
Expand to 65+,2014,IncHZ,60u,0.006899227371931389,0.006950558303507557,0.007010719632598329
Expand to 65+,2014,IncHZ,80u,0.009076569222122747,0.00918730067643293,0.009290749168159971
Expand to 65+,2014,IncPHN,All,1.7768743373116144e-4,1.849019374472071e-4,1.9289136610179313e-4
Expand to 65+,2014,IncPHN,60u,4.4689882099695037e-4,4.5753269322620465e-4,4.684651359454477e-4
Expand to 65+,2014,IncPNH,80u,7.976758748729844e-4,8.315510079779415e-4,8.649871551728789e-4
Expand to 65+,2015,N,All,54778660.292393945,54778660.292393945,54778660.292393945
Expand to 65+,2015,N,60u,12616293,12616293,12616293
Expand to 65+,2015,N,80u,2621589,2621589,2621589
Expand to 65+,2015,IncHZ,All,0.004310492647754292,0.004410951213090833,0.004468081769652462
Expand to 65+,2015,IncHZ,60u,0.00670564886944976,0.006765199286678813,0.006818644904556776
Expand to 65+,2015,IncHZ,80u,0.008848092965685938,0.008958641430735501,0.009058146858294631
Expand to 65+,2015,IncPHN,All,1.752368192254397e-4,1.81959208990158e-4,1.899167916756572e-4
Expand to 65+,2015,IncPHN,60u,4.320793560076869e-4,4.4311635788364884e-4,4.535247665719811e-4
Expand to 65+,2015,IncPNH,80u,7.785884279609351e-4,8.109182846450364e-4,8.418796260089745e-4
Expand to 65+,2016,N,All,55244709.34552622,55244709.34552622,55244709.34552622
Expand to 65+,2016,N,60u,12813814,12813814,12813814
Expand to 65+,2016,N,80u,2673451,2673451,2673451
Expand to 65+,2016,IncHZ,All,0.004278648127781684,0.004379248247526774,0.004437856088364566
Expand to 65+,2016,IncHZ,60u,0.006536614454415733,0.0065969890423191345,0.006650056324064144
Expand to 65+,2016,IncHZ,80u,0.008566761673022415,0.00868258028245009,0.008785224446532998
Expand to 65+,2016,IncPHN,All,1.7305743470871933e-4,1.7968481586505845e-4,1.873719106362791e-4
Expand to 65+,2016,IncPHN,60u,4.195449222976729e-4,4.306949861199174e-4,4.406010382453588e-4
Expand to 65+,2016,IncPNH,80u,7.540257875901541e-4,7.846494379143802e-4,8.126981894498593e-4
Expand to 65+,2017,N,All,55580263.551905476,55580263.551905476,55580263.551905476
Expand to 65+,2017,N,60u,13013431,13013431,13013431
Expand to 65+,2017,N,80u,2721910,2721910,2721910
Expand to 65+,2017,IncHZ,All,0.004246698777069759,0.004346330183205236,0.004405956136613591
Expand to 65+,2017,IncHZ,60u,0.006357235608210364,0.006419366874723081,0.006473161623629519
Expand to 65+,2017,IncHZ,80u,0.00826275700419933,0.00837495110484645,0.008467410737927129
Expand to 65+,2017,IncPHN,All,1.7096196026796803e-4,1.7724415873648464e-4,1.850043002558622e-4
Expand to 65+,2017,IncPHN,60u,4.0675834095617444e-4,4.176473151347295e-4,4.2615705031491416e-4
Expand to 65+,2017,IncPNH,80u,7.268608323666961e-4,7.555839121705637e-4,7.830111119036067e-4
Expand to 65+,2018,N,All,55918704.81235852,55918704.81235852,55918704.81235852
Expand to 65+,2018,N,60u,13223627,13223627,13223627
Expand to 65+,2018,N,80u,2768734,2768734,2768734
Expand to 65+,2018,IncHZ,All,0.0042212327681863115,0.004319483762478189,0.004377678862089086
Expand to 65+,2018,IncHZ,60u,0.006199246717462665,0.006263797233492548,0.006317214463250089
Expand to 65+,2018,IncHZ,80u,0.00792254453915418,0.008037665143366308,0.008129407450344286
Expand to 65+,2018,IncPHN,All,1.6881458835320192e-4,1.7502739926096827e-4,1.8300383896910181e-4
Expand to 65+,2018,IncPHN,60u,3.947163223767543e-4,4.0503326562827584e-4,0.00041353292420954303
Expand to 65+,2018,IncPNH,80u,6.991241377307247e-4,7.236489685224455e-4,7.52617932470747e-4
Expand to 65+,2019,N,All,56211072.81072051,56211072.81072051,56211072.81072051
Expand to 65+,2019,N,60u,13465551,13465551,13465551
Expand to 65+,2019,N,80u,2836964,2836964,2836964
Expand to 65+,2019,IncHZ,All,0.004202788278800112,0.004298741843513552,0.004356947575675759
Expand to 65+,2019,IncHZ,60u,0.0060730387318710544,0.006134304835099002,0.006194596936985418
Expand to 65+,2019,IncHZ,80u,0.007582336490312696,0.007696066154378858,0.00778419162100344
Expand to 65+,2019,IncPHN,All,1.6736950611603006e-4,1.7365572409713668e-4,1.8146730795136297e-4
Expand to 65+,2019,IncPHN,60u,3.844705677126252e-4,3.945728792212943e-4,4.034512723645309e-4
Expand to 65+,2019,IncPNH,80u,6.692832818967486e-4,6.917368517143196e-4,7.194473567927969e-4
Expand to 65+,2020,N,All,56437241.85089297,56437241.85089297,56437241.85089297
Expand to 65+,2020,N,60u,13660832,13660832,13660832
Expand to 65+,2020,N,80u,2855599,2855599,2855599
Expand to 65+,2020,IncHZ,All,0.004184174678267459,0.004278434772678215,0.004336404718673992
Expand to 65+,2020,IncHZ,60u,0.005953508108842003,0.006017945305051692,0.006077456512325307
Expand to 65+,2020,IncHZ,80u,0.007233550761965574,0.007343236050079415,0.007438909947582423
Expand to 65+,2020,IncPHN,All,1.6585639271451597e-4,1.7194172460830825e-4,1.7982474276772615e-4
Expand to 65+,2020,IncPHN,60u,3.7415647397207524e-4,3.84965513879933e-4,3.931060846039053e-4
Expand to 65+,2020,IncPNH,80u,6.385811438227009e-4,6.586709825025737e-4,6.864287687301423e-4
Expand to 65+,2021,N,All,56632003.14928431,56632003.14928431,56632003.14928431
Expand to 65+,2021,N,60u,14030495,14030495,14030495
Expand to 65+,2021,N,80u,2868643,2868643,2868643
Expand to 65+,2021,IncHZ,All,0.00417489793167421,0.004269792118202427,0.0043282293783166075
Expand to 65+,2021,IncHZ,60u,0.005851547138628361,0.00592005512255778,0.005977846827371057
Expand to 65+,2021,IncHZ,80u,0.006894377483554085,0.007006916794551551,0.00710527429808798
Expand to 65+,2021,IncPHN,All,1.6522405240636912e-4,1.713018695073337e-4,1.788506823214053e-4
Expand to 65+,2021,IncPHN,60u,3.644656655170866e-4,3.753355899148566e-4,3.835125995049519e-4
Expand to 65+,2021,IncPNH,80u,6.089519649684344e-4,6.288963149435869e-4,6.556372735942461e-4
Expand to 65+,2022,N,All,56834252.806983784,56834252.806983784,56834252.806983784
Expand to 65+,2022,N,60u,14287697,14287697,14287697
Expand to 65+,2022,N,80u,2909899,2909899,2909899
Expand to 65+,2022,IncHZ,All,0.004161350717616362,0.004255792387318179,0.004314428567813162
Expand to 65+,2022,IncHZ,60u,0.005761759584959269,0.005832000686857141,0.005892792462930048
Expand to 65+,2022,IncHZ,80u,0.006470625005859373,0.006593572455911034,0.006699356380082703
Expand to 65+,2022,IncPHN,All,1.641761913769024e-4,1.7020694847249746e-4,1.7791363828506882e-4
Expand to 65+,2022,IncPHN,60u,3.5632416159477466e-4,3.6706401387092454e-4,3.7590798297292574e-4
Expand to 65+,2022,IncPNH,80u,5.70911787696672e-4,5.91764357931282e-4,6.178460065184985e-4
Expand to 65+,2023,N,All,57045501.619796,57045501.619796,57045501.619796
Expand to 65+,2023,N,60u,14568372,14568372,14568372
Expand to 65+,2023,N,80u,2989402,2989402,2989402
Expand to 65+,2023,IncHZ,All,0.004077720456146695,0.004168390930732584,0.004230339320892756
Expand to 65+,2023,IncHZ,60u,0.005393854502228079,0.005462298928531935,0.005517352682651188
Expand to 65+,2023,IncHZ,80u,0.006077882435446108,0.00620030728199137,0.0063086280789211606
Expand to 65+,2023,IncPHN,All,1.596382058258957e-4,1.659583761773854e-4,1.7382594060505764e-4
Expand to 65+,2023,IncPHN,60u,3.3581771442697616e-4,3.457917161262069e-4,3.530670786366044e-4
Expand to 65+,2023,IncPNH,80u,5.347930162477571e-4,5.566687307996623e-4,5.81275044031983e-4
Expand to 65+,2024,N,All,57245043.862556264,57245043.862556264,57245043.862556264
Expand to 65+,2024,N,60u,14857500,14857500,14857500
Expand to 65+,2024,N,80u,3086634,3086634,3086634
Expand to 65+,2024,IncHZ,All,0.004004232404761069,0.00409266788871593,0.0041546150373834604
Expand to 65+,2024,IncHZ,60u,0.005081452613760737,0.005152181638988514,0.005205803688705954
Expand to 65+,2024,IncHZ,80u,0.005719870271444181,0.005840649426846178,0.005957073698683527
Expand to 65+,2024,IncPHN,All,1.557993088557292e-4,1.6226918367718234e-4,1.6950772966913257e-4
Expand to 65+,2024,IncPHN,60u,3.169969449734148e-4,3.261727716755584e-4,3.3348147492266847e-4
Expand to 65+,2024,IncPNH,80u,5.022897180469563e-4,5.236993771479393e-4,5.474042089384359e-4
Expand to 65+,2025,N,All,57430157.31964595,57430157.31964595,57430157.31964595
Expand to 65+,2025,N,60u,15145928,15145928,15145928
Expand to 65+,2025,N,80u,3175049,3175049,3175049
Expand to 65+,2025,IncHZ,All,0.003941165331056084,0.004029545748319771,0.004092350850101758
Expand to 65+,2025,IncHZ,60u,0.0048213451857558156,0.004887098360937401,0.004942119382089651
Expand to 65+,2025,IncHZ,80u,0.005412424799213407,0.0055310361561896355,0.0056509430758841725
Expand to 65+,2025,IncPHN,All,1.524212775280895e-4,1.5853294903353326e-4,1.6533580070800043e-4
Expand to 65+,2025,IncPHN,60u,3.002815290091052e-4,3.093481089575077e-4,3.15972850171146e-4
Expand to 65+,2025,IncPNH,80u,4.743060086972869e-4,4.951879913082239e-4,5.190426748208091e-4
Expand to 65+,2026,N,All,57601892.44014474,57601892.44014474,57601892.44014474
Expand to 65+,2026,N,60u,15420096,15420096,15420096
Expand to 65+,2026,N,80u,3266698.9999999995,3266698.9999999995,3266698.9999999995
Expand to 65+,2026,IncHZ,All,0.0038808807640009642,0.003972795630591915,0.004036326491178565
Expand to 65+,2026,IncHZ,60u,0.004590840000313147,0.0046566953404823305,0.004715598377440693
Expand to 65+,2026,IncHZ,80u,0.005137066288428275,0.005256663352584684,0.005384843043380841
Expand to 65+,2026,IncPHN,All,1.494287577866811e-4,1.5535127677696937e-4,1.62052470954427e-4
Expand to 65+,2026,IncPHN,60u,2.8590090792439047e-4,2.9353935609214215e-4,3.0026101456115124e-4
Expand to 65+,2026,IncPNH,80u,4.491392316956377e-4,4.7068817731911396e-4,4.945801152801798e-4
Expand to 65+,2027,N,All,57759291.13835117,57759291.13835117,57759291.13835117
Expand to 65+,2027,N,60u,15686789,15686789,15686789
Expand to 65+,2027,N,80u,3465462,3465462,3465462
Expand to 65+,2027,IncHZ,All,0.0038304915196545803,0.003920443640157064,0.003983611284799825
Expand to 65+,2027,IncHZ,60u,0.0043924528193128,0.00445579821559175,0.004519214555902568
Expand to 65+,2027,IncHZ,80u,0.004869205953856502,0.004981690687211207,0.005116285381619095
Expand to 65+,2027,IncPHN,All,1.4662670578117993e-4,1.5229275416379207e-4,1.5898242977678648e-4
Expand to 65+,2027,IncPHN,60u,2.72956239276043e-4,2.8021319116967495e-4,2.869872302168025e-4
Expand to 65+,2027,IncPNH,80u,4.249233101749463e-4,4.470725305097739e-4,4.689814141858397e-4
Expand to 65+,2028,N,All,57907855.55779924,57907855.55779924,57907855.55779924
Expand to 65+,2028,N,60u,15935441,15935441,15935441
Expand to 65+,2028,N,80u,3610899.9999999995,3610899.9999999995,3610899.9999999995
Expand to 65+,2028,IncHZ,All,0.003790830814622938,0.0038784025616663085,0.003940602252476357
Expand to 65+,2028,IncHZ,60u,0.004235929253392559,0.004297398718371227,0.004369254791454528
Expand to 65+,2028,IncHZ,80u,0.00465191117176521,0.004768990960895959,0.004895520347175841
Expand to 65+,2028,IncPHN,All,1.4424766074261288e-4,1.4985236308352593e-4,1.5661049429344063e-4
Expand to 65+,2028,IncPHN,60u,2.6221276775063656e-4,2.6970727272644266e-4,2.759015135707898e-4
Expand to 65+,2028,IncPNH,80u,4.0665691033029674e-4,4.2772345365951303e-4,4.5001890332923287e-4
Expand to 65+,2029,N,All,58047670.585551575,58047670.585551575,58047670.585551575
Expand to 65+,2029,N,60u,16175605,16175605,16175605
Expand to 65+,2029,N,80u,3720375.9999999995,3720375.9999999995,3720375.9999999995
Expand to 65+,2029,IncHZ,All,0.0037529316702099415,0.0038392051290752054,0.003901217171864993
Expand to 65+,2029,IncHZ,60u,0.004085929248100711,0.004156561818708135,0.004228794977386504
Expand to 65+,2029,IncHZ,80u,0.004470579315102619,0.004583725338071279,0.004713136835170432
Expand to 65+,2029,IncPHN,All,1.4195174730008802e-4,1.476141820945572e-4,1.5407367558802385e-4
Expand to 65+,2029,IncPHN,60u,2.523284146382118e-4,2.589044695752006e-4,2.657771415882798e-4
Expand to 65+,2029,IncPNH,80u,3.918380965274691e-4,4.114656016004876e-4,4.3456145175276787e-4
Expand to 65+,2030,N,All,58179177.32993071,58179177.32993071,58179177.32993071
Expand to 65+,2030,N,60u,16389315,16389315,16389315
Expand to 65+,2030,N,80u,3808128,3808128,3808128
Expand to 65+,2030,IncHZ,All,0.0037158236676311076,0.003801930547000655,0.0038614277487833176
Expand to 65+,2030,IncHZ,60u,0.0039478590209011104,0.004026251406750546,0.004104038900572247
Expand to 65+,2030,IncHZ,80u,0.004310090913805114,0.004425132091673057,0.004557972792443617
Expand to 65+,2030,IncPHN,All,1.3963837313275428e-4,1.4533615744774953e-4,1.520613778921556e-4
Expand to 65+,2030,IncPHN,60u,2.4345486646923815e-4,2.502305653418546e-4,2.566689271200871e-4
Expand to 65+,2030,IncPNH,80u,3.78890144149475e-4,3.9697990984653676e-4,4.1913279319831536e-4
