Scenario,Age0,Arm,Year0,ICER_A,ICER25_A,ICER50_A,ICER75_A,ICER100_A,ICER_Thres_A,ICER_M,ICER25_M,ICER50_M,ICER75_M,ICER100_M,ICER_Thres_M,ICER_L,ICER25_L,ICER50_L,ICER75_L,ICER100_L,ICER_Thres_L,ICER_U,ICER25_U,ICER50_U,ICER75_U,ICER100_U,ICER_Thres_U
Vac_60,60,Vac_1d,2024,8147.588559045723,1483.9984233976247,4260.494313250999,7036.990203104373,9813.486092957748,20000,7656.638516334993,1403.6397141993757,4004.6536902033267,6613.766552331717,9228.051516825033,20000,3641.500075400043,174.34768910897978,1658.8576052188346,3060.050321874344,4483.727682706173,20000,15993.398280074158,3379.1685025455768,8549.1219777788,13775.441091669682,19222.497476017976,20000
Vac_60,60,Vac_2d,2024,14529.376178546729,3335.8708924864063,7999.8314283448735,12663.791964203341,17327.752500061808,20000,13700.860320943,3093.389894459069,7509.218527965097,11927.039566421656,16359.896676212044,20000,7376.589233799644,1353.4741759921822,3878.8050542842443,6372.57603428301,8882.609033074596,20000,27774.162821225607,6588.723912520976,15491.947415672905,24296.07990992091,33021.307714119095,20000
Vac_61,61,Vac_1d,2024,7931.454727196024,1401.3097666305757,4122.203500199513,6843.09723376845,9563.990967337386,20000,7453.600218907453,1323.267334031912,3865.511102155624,6440.597374452528,9046.221548863949,20000,3615.926980081335,147.2497586356949,1630.2097136491054,3053.755585841033,4457.036012007631,19999.999999999996,15500.739518496726,3178.6372581473142,8221.636873737198,13341.536007401544,18560.92280524843,20000
Vac_61,61,Vac_2d,2024,14225.089415571434,3226.373260680611,7809.171658551787,12391.970056422962,16974.76845429414,20000,13402.532738859816,3000.416324954468,7352.7133670662115,11665.88354982363,15973.218442870277,20000,7332.640763075891,1338.0322460554196,3828.6710866171106,6331.506569801955,8834.342052986798,19999.999999999996,26948.652791211465,6338.458441249601,15025.635041485715,23592.605337768928,31980.236129432586,20000
Vac_62,62,Vac_1d,2024,7731.030672584789,1321.6720993439465,3992.238171527631,6662.804243711315,9333.370315895,20000,7296.59184316219,1248.0545918449707,3739.560431996436,6275.72098076064,8833.064540616848,20000,3573.1381047321806,127.59965575323565,1628.001723722337,3004.3110669569433,4396.870610376036,20000,15068.402615876585,3012.2569072522565,7932.656701129876,12993.723099266426,18117.97109388047,20000
Vac_62,62,Vac_2d,2024,13948.662505415909,3123.528258358216,7634.000861298921,12144.473464239627,16654.94606718033,20000,13119.66772936517,2903.904443538438,7181.655065252383,11442.117081603525,15664.684856823673,20000,7303.898298495881,1320.470078341125,3802.2718815577873,6303.433607942139,8798.725428007017,19999.999999999996,26212.94437667406,6128.1228756031505,14621.416961158751,22902.708088503932,31178.29880892927,20000.000000000004
Vac_63,63,Vac_1d,2024,7543.812883155817,1244.0156607812446,3868.9311701039833,6493.8466794267215,9118.76218874946,20000,7131.028689916662,1180.4996670936994,3636.17469093362,6142.046274631377,8616.572431537017,20000,3520.575142835786,103.03123712583594,1602.673172516307,2953.8277156118106,4317.586035306011,19999.999999999996,14676.278031037162,2867.9217759156636,7636.972703855029,12589.591097743538,17679.956563076365,20000.000000000004
Vac_63,63,Vac_2d,2024,13696.632267871906,3026.0302077416504,7472.11439946259,11918.19859118353,16364.28278290447,20000,12876.51781672474,2821.120392321309,7040.364321074947,11218.84477571121,15370.892243630271,20000,7255.417285738262,1308.3616275820434,3781.7925325142987,6262.866811444081,8744.242997179534,19999.999999999996,25415.11200422321,5874.546174286975,14180.2061007306,22192.33731611308,30249.274036388408,20000.000000000004
Vac_64,64,Vac_1d,2024,7369.431974848442,1168.3863142329285,3752.1553394893926,6335.924364745856,8919.69339000232,20000,6964.64433585221,1112.7999342718485,3530.3338759241474,5984.959836472248,8430.275571518869,20000,3492.7835303962615,85.4051717139558,1568.7147908781262,2934.1793782087752,4318.3707089921745,19999.999999999996,14160.612113020417,2741.231030347931,7352.403182427851,12274.146401226473,16952.798844319175,20000
Vac_64,64,Vac_2d,2024,13468.865206694376,2933.9686004856653,7323.508853072628,11713.049105659591,16102.589358246552,20000,12633.505126024033,2735.4976478581534,6896.910350624605,10989.98934489051,15086.494677238068,20000,7270.37058190218,1293.4409555925795,3763.8820949870847,6268.259091795727,8765.842406211053,19999.999999999996,24779.455311572652,5670.886595816797,13764.502945451844,21624.117259538652,29547.00950819654,20000.000000000004
Vac_65,65,Vac_1d,2024,7209.422028292093,1094.8679761142262,3642.5988311883375,6190.329686262448,8738.06054133656,20000,6786.8626118327875,1041.2434028489922,3430.426869446411,5831.681816438109,8238.353736649651,20000,3471.2607791406404,66.01388033546503,1533.9062627791066,2915.9866950925916,4320.519097285999,20000,13812.761660043785,2591.8932991385122,7139.739462070966,11949.85055975777,16588.101035672636,20000.000000000004
Vac_65,65,Vac_2d,2024,13267.857623389946,2847.7434062959637,7189.457663418456,11531.171920540948,15872.88617766344,20000,12432.434985778411,2650.455503310801,6758.440882247514,10792.458903322367,14846.952370520903,20000,7278.899656466208,1278.4848512902738,3757.340418457379,6272.739874177971,8773.990995548042,19999.999999999996,24482.84400367444,5470.470634728239,13393.646220406259,21087.243991622294,29326.902593096533,20000.000000000004
Vac_66,66,Vac_1d,2024,7064.44174441103,1023.7610980353301,3540.7113673585386,6057.661636681747,8574.611906004955,20000,6664.213388616616,968.7910391598077,3334.3090048931563,5697.885935113391,8066.576585420204,20000,3445.1731413267335,46.934096903417455,1516.7018345775157,2906.4441422580994,4268.442387495014,19999.999999999996,13388.748476515286,2417.048810140329,6923.457187875273,11614.049208850685,16084.588230357796,20000.000000000004
Vac_66,66,Vac_2d,2024,13094.841494927716,2767.834371888821,7070.754006488361,11373.6736410879,15676.593275687439,20000,12286.740423335414,2582.887790444835,6627.258017614155,10655.068381748575,14748.647945961031,20000,7285.454628251596,1262.8413589448537,3760.6293620075576,6274.560349474975,8802.438726604561,19999.999999999996,23976.74626715575,5269.429352342107,13168.682565153118,20868.180334967725,28667.764642426457,20000.000000000004
Vac_67,67,Vac_1d,2024,6935.7910687878975,954.997982049157,3446.995101523632,5938.992220998107,8430.989340472583,20000,6507.538503503965,906.3533358707248,3232.1522122017677,5580.043050610595,7913.849324580582,20000,3446.400265278043,25.595591570589345,1510.417145626632,2886.654753188047,4285.37576815966,20000,12977.38320855438,2235.900405247547,6739.223511414491,11194.278012033716,15653.894237913659,20000.000000000004
