TimeVac,Vaccine,M,CrI
0,RZV_2d,80%,(62.9% - 95%)
5,RZV_2d,70%,(55.6% - 82%)
0,RZV_1d,70%,(48.8% - 92%)
5,RZV_1d,56%,(41.4% - 71%)
0,ReRZV_2d,77%,(57.5% - 94%)
5,ReRZV_2d,65%,(50.0% - 78%)
0,ReRZV_1d,65%,(43.2% - 90%)
5,ReRZV_1d,51%,(36.0% - 67%)
0,ZVL_70,65%,(60% - 70%)
5,ZVL_70,32%,(27% - 37%)
NA,Uptake_1y,48%,(46% - 50%)
NA,Catch-up,14%,(13% - 15%)
