Eligibility,Agp,Arm,N,dC_All_d,dQ_All_d,pr_cum_N,pr_cum_dC,pr_cum_dQ,Thres,cum_ICER
SOC,"[70,75)",Vac,1053476.2497747962,192957464.32137102,7422.3624549227015,0.17552840949798643,0.10408234911727213,0.10910756158869236,63.87459957809583,25996.77198374982
SOC,"[75,80)",Vac,474263.87725610525,85891009.2539818,3301.9991866188784,0.2545494449270322,0.12493966922633598,0.1309592476256564,63.90782287293013,25999.282914731328
New2023,"[65,70)",Vac,2965505,547483188.6791718,19574.263895796725,0.7486568119603195,0.9562443039762487,0.9409350453732997,59.384450704367055,27695.321204473683
UV_85,"[80,85)",Vac1,433095.21756607096,41743005.85395183,2193.7150500352122,0.8208183957803704,0.9655010395948328,0.9541922373519922,59.66460052843101,27574.906975267935
ZVL_85,"[80,85)",ReVac_RZV1,1075401.782433929,62653379.70412476,3052.6737054917867,1,1,1,60.64402199715863,27251.92527244254
