Eligibility,Agp,Arm,N,dC_All_d,dQ_All_d,pr_cum_N,pr_cum_dC,pr_cum_dQ,Thres,cum_ICER
SOC,"[70,75)",Vac,241224.43116069655,44246336.203517355,1690.9610011056416,0.20393138443088704,0.1232392553043342,0.131021581102828,63.38710587639797,26166.384780362594
SOC,"[75,80)",Vac,112334.72654037045,20377637.21989534,787.9397583855268,0.2988992788220726,0.14967054277288885,0.1594527686958243,63.57503427590057,26112.097764095903
New2023,"[65,70)",Vac,624542.2163344922,115395317.04921214,4065.0961132832454,0.8268879166221204,0.9818182947011604,0.9749463966735894,58.60713946979396,28014.822545226463
UV_85,"[80,85)",Vac1,58790.01131103047,5666356.234783075,297.7833219436856,0.8765890531930638,0.9856647250940175,0.9805697046259176,58.72412147875928,27963.288097822562
ZVL_85,"[80,85)",ReVac_RZV1,145979.17591539328,8504810.840858247,414.3816749658955,1,1,1,59.14952070725035,27818.74247131636
