Scenario,Agp0,Arm,Year0,N0,dYear_Life_A,dYear_Life_M,dYear_Life_L,dYear_Life_U,dYear_Immunised_A,dYear_Immunised_M,dYear_Immunised_L,dYear_Immunised_U,dRisk_HZ_A,dRisk_HZ_M,dRisk_HZ_L,dRisk_HZ_U,dRisk_Hosp_A,dRisk_Hosp_M,dRisk_Hosp_L,dRisk_Hosp_U,dRisk_PHN_A,dRisk_PHN_M,dRisk_PHN_L,dRisk_PHN_U,dRisk_Death_A,dRisk_Death_M,dRisk_Death_L,dRisk_Death_U,dQ_Life_A,dQ_Life_M,dQ_Life_L,dQ_Life_U,dQ_HZ_A,dQ_HZ_M,dQ_HZ_L,dQ_HZ_U,dQ_All_A,dQ_All_M,dQ_All_L,dQ_All_U,dQ_HZ_d_A,dQ_HZ_d_M,dQ_HZ_d_L,dQ_HZ_d_U,dQ_Life_d_A,dQ_Life_d_M,dQ_Life_d_L,dQ_Life_d_U,dQ_All_d_A,dQ_All_d_M,dQ_All_d_L,dQ_All_d_U,dC_Hosp_A,dC_Hosp_M,dC_Hosp_L,dC_Hosp_U,dC_GP_NonPHN_A,dC_GP_NonPHN_M,dC_GP_NonPHN_L,dC_GP_NonPHN_U,dC_GP_PHN_A,dC_GP_PHN_M,dC_GP_PHN_L,dC_GP_PHN_U,dC_GP_A,dC_GP_M,dC_GP_L,dC_GP_U,dC_Med_A,dC_Med_M,dC_Med_L,dC_Med_U,dC_VacZVL_A,dC_VacZVL_M,dC_VacZVL_L,dC_VacZVL_U,dC_VacRZV_A,dC_VacRZV_M,dC_VacRZV_L,dC_VacRZV_U,dC_Vac_A,dC_Vac_M,dC_Vac_L,dC_Vac_U,dC_All_A,dC_All_M,dC_All_L,dC_All_U,dC_Hosp_d_A,dC_Hosp_d_M,dC_Hosp_d_L,dC_Hosp_d_U,dC_GP_NonPHN_d_A,dC_GP_NonPHN_d_M,dC_GP_NonPHN_d_L,dC_GP_NonPHN_d_U,dC_GP_PHN_d_A,dC_GP_PHN_d_M,dC_GP_PHN_d_L,dC_GP_PHN_d_U,dC_GP_d_A,dC_GP_d_M,dC_GP_d_L,dC_GP_d_U,dC_Med_d_A,dC_Med_d_M,dC_Med_d_L,dC_Med_d_U,dC_VacZVL_d_A,dC_VacZVL_d_M,dC_VacZVL_d_L,dC_VacZVL_d_U,dC_VacRZV_d_A,dC_VacRZV_d_M,dC_VacRZV_d_L,dC_VacRZV_d_U,dC_Vac_d_A,dC_Vac_d_M,dC_Vac_d_L,dC_Vac_d_U,dC_All_d_A,dC_All_d_M,dC_All_d_L,dC_All_d_U,dN_VacZVL_A,dN_VacZVL_M,dN_VacZVL_L,dN_VacZVL_U,dN_VacRZV_A,dN_VacRZV_M,dN_VacRZV_L,dN_VacRZV_U,dN_VacZVL_d_A,dN_VacZVL_d_M,dN_VacZVL_d_L,dN_VacZVL_d_U,dN_VacRZV_d_A,dN_VacRZV_d_M,dN_VacRZV_d_L,dN_VacRZV_d_U,ICER_A,ICER_M,ICER_L,ICER_U,Price0_A,Price0_M,Price0_L,Price0_U,Thres20_A,Thres20_M,Thres20_L,Thres20_U,Thres30_A,Thres30_M,Thres30_L,Thres30_U,Thres20_50,Thres30_90,Thres
"Vac[60,65)","[60,65)",Vac,2024,1,3.778820899988133e-4,0.00033138836523249893,1.492943208851294e-4,7.641034227884091e-4,14.627798956874184,14.188274821429335,10.215531284723253,20.445309411060993,-0.11343840965710522,-0.10905137637127543,-0.16630136738240617,-0.07413021429853718,-0.0028147129578702697,-0.0024332665800811566,-0.005778143431665536,-0.0011334305804095888,-0.007448743622858374,-0.007058700292070447,-0.012022750149849647,-0.004144905373084897,-5.772710679757059e-7,-5.209891792961894e-7,-1.1455676622280377e-6,-1.6771960149454228e-7,934.7752742390335,823.4118384830654,373.3723966607824,1877.335720469989,43533.70183095847,41364.02696826552,26767.238739036242,67860.09497796491,44468.47710519733,42206.583792984486,27138.15192655474,69461.79613286833,30224.1058833915,29244.778621729405,20765.71963662373,42951.290457960866,410.9209086905643,371.73548464104533,187.03861626479775,772.0956177448853,30635.026792081797,29610.25586906448,20963.866367231123,43659.08802286089,-30867683.059894748,-26340833.856986858,-66073104.21762722,-11328342.52772208,-34629807.250106454,-33357416.73446853,-49986078.691193484,-23073202.060812563,-10872349.14680965,-10336848.749808587,-17526260.42784635,-6131359.223794933,-45502156.39691611,-43852909.60565789,-67271518.70689464,-29122212.365551088,-76369839.45681086,-69858936.98147714,-133911361.88455036,-40559985.62495606,0,0,0,0,599682650,599682650,599682650,599682650,599682650,599682650,599682650,599682650,523312810.54318917,529823713.01852286,465771288.1154498,559122664.3750439,-17181604.764256157,-15338660.621737368,-33017130.725901727,-7803163.279014807,-24884280.040314425,-24363594.48285488,-32731133.66112583,-18232862.66569897,-7276640.290021424,-7038019.938524936,-10658447.244510986,-4676620.34123145,-32160920.33033585,-31499036.072906684,-43378885.29351313,-22986248.634875186,-49342525.094592005,-46869919.306619175,-76194300.98076439,-31290092.641014516,0,0,0,0,599682650,599682650,599682650,599682650,599682650,599682650,599682650,599682650,550340124.905408,552812730.6933808,523488349.0192356,568392557.3589855,0,0,0,0,7055090,7055090,7055090,7055090,0,0,0,0,7055090,7055090,7055090,7055090,18751.58319946157,18652.918866901644,12028.267882565146,27051.89253159468,85,85,85,85,93.83906667898324,90.63956063539007,64.086169799469,134.09243368164073,137.26165489838485,132.6463065591377,93.76938259339597,195.9182641841359,90.63956063539007,104.94130319151111,90.63956063539007
"Vac[60,65)","[60,65)",Vac1,2024,1,2.9825382599889136e-4,2.457130962056908e-4,1.0965935130480275e-4,6.857922761072109e-4,12.425258360125715,11.757026626653204,8.36258968883095,18.690354640029568,-0.0951529317471505,-0.08928258453048668,-0.15226855545800688,-0.059320777089218686,-0.002221136425545557,-0.0018072041492081144,-0.005267720572491878,-8.491696084771004e-4,-0.00610626268242395,-0.005593099367274884,-0.010962119384853185,-0.003262282623094254,-4.637676612657897e-7,-3.7779653999613944e-7,-1.0941048570232642e-6,-1.1748514992611788e-7,738.7521682072505,612.0412881225348,275.2580949710682,1687.1511669067665,36212.16353652274,33510.953091494564,21480.03986370272,61221.01166523589,36950.915704729756,34171.061070460826,21722.0355206633,62905.29269958268,25671.409026507314,24388.819568280676,17151.52828624939,39033.93001858237,329.45400660345706,284.66522968932986,140.52292806692424,687.1362145338206,26000.863033110745,24681.13386235386,17313.657921512426,39677.49126420412,-24150287.146548033,-19165436.132395133,-60084727.72841886,-8283123.604383089,-29137938.60213835,-27405332.32057688,-45835846.32518195,-18470148.680338867,-8927038.103739731,-8220471.981764898,-15805706.375700032,-4745907.010565087,-38064976.70587808,-35741729.43466912,-61599720.41106315,-23438857.78548121,-62215263.85242611,-54718084.438535355,-121461277.87401281,-32238960.327703126,0,0,0,0,299841325,299841325,299841325,299841325,299841325,299841325,299841325,299841325,237626061.1475739,245123240.56146464,178380047.1259872,267602364.6722969,-13723774.984893011,-11606599.909853596,-30265250.20048201,-5926476.826527473,-21350978.921039883,-20596082.67214436,-30052647.24259582,-15032946.559425404,-6097304.700278661,-5759731.628357438,-9592538.129962815,-3779423.2766850158,-27448283.621318545,-26367113.887299202,-39985397.60720148,-18987088.107719693,-41172058.60621156,-37979501.74531868,-69471856.02785015,-25184536.786810543,0,0,0,0,299841325,299841325,299841325,299841325,299841325,299841325,299841325,299841325,258669266.39378846,261861823.2546813,230369468.97214988,274656788.21318936,0,0,0,0,3527545,3527545,3527545,3527545,0,0,0,0,3527545,3527545,3527545,3527545,10547.499458635986,10601.712202335604,5877.587451700176,15751.99850500924,85,85,85,85,159.08778464014674,150.72099545496127,105.97105094874163,242.93365713452894,232.79588200846024,220.63045724272288,155.06172917186484,355.4127077609678,150.72099545496127,172.46377395037342,150.72099545496127
"Vac[65,70)","[65,70)",Vac,2024,1,4.645744540192638e-4,4.367056227430055e-4,2.450908449339373e-4,7.799304578678168e-4,13.017609261441798,12.759176882703006,9.689365540073284,16.987698085951358,-0.10964774538818357,-0.10726558806349246,-0.14628409939630913,-0.07848397325908646,-0.003431998775397983,-0.0032256877247592796,-0.005895954405278705,-0.0017328076005606072,-0.008116322854003767,-0.007904781007924338,-0.011458153980913596,-0.0053928658915158925,-7.359470739227801e-7,-7.089479621294618e-7,-1.1939628590378427e-6,-3.2830019033475107e-7,962.3402965012938,906.2473686411977,510.91886469814926,1606.0429376127197,36957.95553107531,35854.49106251067,25153.739731829224,51860.38165619915,37920.29582757675,36774.216716215014,25723.237241138333,53339.30655419473,27155.731302443473,26699.93446081797,20103.10756341222,35725.66783620216,481.7247180757858,458.820542819798,274.7240526483394,760.8250613540412,27637.45602051913,27110.749371720478,20397.2070550642,36487.48279248923,-32404711.914479036,-30273181.946711898,-57366551.20611532,-15601018.473198297,-27700563.911144312,-27155792.10925114,-36515702.02152108,-20217889.720050257,-9907276.041943604,-9689460.858884599,-14073841.075930774,-6592422.351879928,-37607839.95308792,-36885976.788388714,-50325090.075604014,-26673984.66181578,-70012551.86756694,-66777923.62220395,-107704878.4476573,-42700898.407140374,0,0,0,0,504135850,504135850,504135850,504135850,504135850,504135850,504135850,504135850,434123298.13243306,437357926.37779605,396430971.5523428,461434951.59285957,-20224191.79791943,-19119716.4737112,-32769894.05664449,-11203001.747851266,-20878770.61338366,-20663276.90759156,-25976195.678461082,-16254628.024348343,-7158946.664244208,-7094597.316763873,-9503338.756548619,-5185433.11608657,-28037717.277627867,-27730568.835725877,-35084336.02115524,-21419727.340550184,-48261909.0755473,-46908083.50133653,-67973327.74886887,-33087891.683455072,0,0,0,0,504135850,504135850,504135850,504135850,504135850,504135850,504135850,504135850,455873940.9244527,457227766.4986635,436162522.2511311,471047958.31654495,0,0,0,0,5931010,5931010,5931010,5931010,0,0,0,0,5931010,5931010,5931010,5931010,16945.157750740393,16864.388630213012,12051.753488635872,23045.71381996611,85,85,85,85,101.33367326744178,99.3586941313639,74.52555905145854,134.475784457834,147.93190193426096,145.12717713865888,108.91634081554966,196.40557710833943,99.3586941313639,119.60608072336437,99.3586941313639
"Vac[65,70)","[65,70)",Vac1,2024,1,3.7645851375754094e-4,3.391241284109725e-4,1.8356594926913772e-4,7.049702895332466e-4,11.180117882712619,10.79381979257986,7.967087780089695,15.630891491979293,-0.09345251240412993,-0.08959886667789294,-0.13501999553695337,-0.06389673962692288,-0.0027731856996739235,-0.002485632998922382,-0.005397827849768959,-0.0013193632100013365,-0.00681687189273403,-0.006484707922836352,-0.010496636932216261,-0.004312351237325497,-6.104803631269905e-7,-5.524897666162852e-7,-1.1574995392099315e-6,-2.4488410805016196e-7,780.5834705479294,705.055095884949,383.2817558195442,1451.6382629305124,31295.442534905138,29791.949005877657,20739.089002734832,47239.92005046105,32076.026005453215,30519.499249402434,21128.269474557226,48636.631822906806,23391.965860315726,22660.452844866846,16703.906475597338,32685.58312218069,395.85412970259415,363.81779900193214,212.0090860250406,690.0806332404725,23787.819990018135,23024.366929324344,16987.168733311257,33400.8016705269,-25992987.56182235,-23009026.708871122,-52449536.940400295,-11684170.53347517,-23676359.956657324,-22860110.843080908,-33649549.25802346,-16419900.841103578,-8335563.690447897,-8000838.239599802,-12711402.29020837,-5259349.122895462,-32011923.64710522,-30790746.744193006,-46206150.57902052,-21744891.497439526,-58004911.20892757,-53983285.17129497,-98551658.161954,-34105819.478733316,0,0,0,0,252067925,252067925,252067925,252067925,252067925,252067925,252067925,252067925,194063013.79107243,198084639.82870504,153516266.83804598,217962105.52126667,-16529789.024470203,-15076203.909075707,-30231064.227695074,-8550187.573300263,-18133109.360877458,-17807344.708786145,-23909787.339290466,-13557079.170388727,-6122666.23613066,-5984073.514112068,-8633897.406580826,-4210176.330186085,-24255775.59700812,-23796039.906505767,-32462478.58978326,-17770595.891597413,-40785564.62147832,-38879066.9965848,-62491671.42632352,-26928226.665217303,0,0,0,0,252067925,252067925,252067925,252067925,252067925,252067925,252067925,252067925,211282360.37852168,213188858.00341517,189576253.57367647,225139698.33478272,0,0,0,0,2965505,2965505,2965505,2965505,0,0,0,0,2965505,2965505,2965505,2965505,9234.90781692534,9239.900598272085,5698.644253291189,13213.645975935699,85,85,85,85,174.18347445775376,168.73957069249758,123.87396744673342,245.82114625375937,254.39854740491836,246.6865159554969,181.1565170742379,358.2167794052541,168.73957069249758,199.5721482940948,168.73957069249758
"Vac[70,75)","[70,75)",Vac,2024,1,5.518369658551024e-4,5.377982370440293e-4,3.6424317176066975e-4,7.880193019336623e-4,11.163430084120922,11.06658198695342,8.81807853052351,13.583221470372987,-0.1004325024752215,-0.09933105636884382,-0.12370812444362614,-0.07863744664653519,-0.004094432084655744,-0.003985013359544055,-0.005981299818882264,-0.002567382851813886,-0.008283514319684951,-0.008224189949099656,-0.010507865155177655,-0.006260890231029913,-9.212508982120996e-7,-9.219897763637642e-7,-1.2677353249515113e-6,-5.735947686046503e-7,1022.2226877656691,997.4313207343221,677.7134685321711,1453.2807978839614,31727.493950428434,31318.008838737856,23752.04914852459,40928.48226380328,32749.716638194102,32274.812512278557,24446.67349968376,42419.155926320054,24636.04611185863,24445.88072212974,19463.69226465661,30524.652896437467,578.6153624218367,567.0108025297523,402.12985673695806,792.9071041353047,25214.66147428057,24977.92769644782,19887.45578037407,31280.355220001842,-35636438.59192073,-34662901.83492308,-53050565.764573775,-21759666.483383693,-22347359.852540415,-22171184.815068558,-27376009.307065114,-17618532.617737234,-9004858.232846728,-8963028.355727162,-11411350.549910685,-6772067.127425545,-31352218.08538714,-31171163.18376692,-38544117.73003217,-24536215.367645018,-66988656.677307874,-65634805.593568705,-91040036.7008966,-46815848.199929774,0,0,0,0,452594740,452594740,452594740,452594740,452594740,452594740,452594740,452594740,385606083.3226921,386959934.4064313,361554703.2991034,405778891.8000703,-24752854.07513014,-24189050.584750243,-34949184.86688323,-16334317.579376088,-17663647.220778942,-17613415.578047052,-20782408.931292374,-14625645.275618423,-6991040.453822057,-6986547.262742188,-8573550.055564765,-5485032.231793528,-24654687.674601,-24644739.066233605,-29073625.574068952,-20116026.514007207,-49407541.74973114,-48667827.54382596,-63468583.35295609,-37071059.71010378,0,0,0,0,452594740,452594740,452594740,452594740,452594740,452594740,452594740,452594740,403187198.2502689,403926912.456174,389126156.6470439,415523680.28989625,0,0,0,0,5324644,5324644,5324644,5324644,0,0,0,0,5324644,5324644,5324644,5324644,16245.411799472351,16171.17706921927,12534.989601411626,20867.710685150858,85,85,85,85,103.98831757303259,103.02723571646123,81.7452322093269,128.85603419270637,151.34296038911677,150.15027275288622,119.22496024279326,187.6038755944659,103.02723571646123,128.38829390721483,103.02723571646123
"Vac[70,75)","[70,75)",Vac1,2024,1,4.6150146351128996e-4,4.3796725554212657e-4,2.849060465340614e-4,7.114758989522406e-4,9.71806197358861,9.547029551051383,7.378008790016934,12.551647636020697,-0.08715557297012372,-0.08545899615390773,-0.11433363341191247,-0.06505204504701467,-0.0034113542836214338,-0.0032262144310863427,-0.005439920836310992,-0.0020316596571682026,-0.007144770734968127,-0.0070006130521720255,-0.009698348413636136,-0.005080573316729408,-7.971743490466854e-7,-7.713509251232359e-7,-1.2208309051419464e-6,-4.495945478885287e-7,855.5577081956789,813.4667046628892,530.809491366148,1312.8134594119153,27405.425815524875,26735.558128225333,19760.701577495616,37412.59763889394,28260.983523720595,27537.700358811766,20349.228763996063,38737.38964558411,21562.747635104268,21305.03841552819,16473.911025144935,27879.808640968375,489.3489615281895,471.8144612312317,318.06603382658216,716.5457241726108,22052.096596632626,21754.522083533928,16795.32319866177,28539.491664034034,-29526166.361351844,-27892093.85152791,-47995448.11238255,-17022245.713289853,-19436821.979748484,-19146169.000665836,-25227323.44511548,-14677527.86825843,-7780306.46548197,-7662702.435484729,-10460268.372989444,-5568606.3537188135,-27217128.445230454,-26822376.595239703,-35507856.45497782,-20200701.96284979,-56743294.806582294,-54650068.52074023,-83577187.12319021,-37714490.46186713,0,0,0,0,226297370,226297370,226297370,226297370,226297370,226297370,226297370,226297370,169554075.1934177,171647301.47925976,142720182.87680978,188582879.53813288,-20831202.601227175,-19910672.087736227,-31724560.272000127,-13017469.121530998,-15554184.501426639,-15449767.5045421,-19230089.701473955,-12353877.101657292,-6115065.99615362,-6067542.89611204,-7885121.273666308,-4614383.509119585,-21669250.49758026,-21525222.163377386,-26977633.51310063,-17072348.505665738,-42500453.09880744,-41348329.58086412,-58270578.69336885,-30439604.892437413,0,0,0,0,226297370,226297370,226297370,226297370,226297370,226297370,226297370,226297370,183796916.90119258,184949040.41913587,168026791.30663115,195857765.10756257,0,0,0,0,2662322,2662322,2662322,2662322,0,0,0,0,2662322,2662322,2662322,2662322,8538.493761634909,8497.887861379131,5912.400091026967,11597.477468072526,85,85,85,85,181.62430578700096,178.9646691170443,138.4620570269304,236.26315466187165,264.454619312685,260.7697930203732,201.83282717643647,343.61395315526374,178.9646691170443,218.35820780183568,178.9646691170443
"Vac[75,80)","[75,80)",Vac,2024,1,6.151499485639303e-4,6.107154451999719e-4,4.6865556112849486e-4,7.778693287812111e-4,9.243299108792373,9.225720706730542,7.771303681310278,10.639171175013319,-0.08644852885926091,-0.08651346598177892,-0.0996878679856841,-0.07235574226079242,-0.004625699520335213,-0.004567032839669721,-0.006069146092433304,-0.0032968200105465894,-0.007656956337440641,-0.0076507672398520655,-0.009116209877840049,-0.0062850659585038425,-1.096625355077913e-6,-1.0972186726169515e-6,-1.3585885876572514e-6,-8.335331381615536e-7,1034.3272841336577,1026.201087128371,791.4688738787546,1303.1685007844121,25872.67018211622,25746.80878649121,20788.414915492136,31511.397326077742,26906.997466249846,26805.71461621113,21581.476978120114,32696.670868385398,21107.911905256668,21064.665735400537,17373.995241368666,25110.07005234152,653.6923010263666,650.4824406392872,514.3316740099341,809.6065951230005,21761.60420628301,21708.147295987234,17917.694444897585,25864.649874396342,-37664095.27266218,-37082748.20431833,-49685345.13207865,-26554279.803035293,-17161144.76217813,-17181648.518637042,-19726536.227804005,-14433861.908724712,-7489580.91831772,-7498297.809913395,-8989125.603913255,-6067173.538060625,-24650725.68049585,-24650373.46039115,-28565813.91505219,-20757567.169850532,-62314820.95315803,-61865603.510238826,-77529242.65232298,-48097302.850301884,0,0,0,0,412011660,412011660,412011660,412011660,412011660,412011660,412011660,412011660,349696839.046842,350146056.48976123,334482417.34767705,363914357.1496981,-28667470.14221372,-28333387.105566554,-36852608.40711273,-21021972.534395337,-14163319.519549893,-14177265.412075633,-15892353.329065958,-12334301.621602418,-6168758.873697397,-6160069.0786366,-7281005.466526537,-5108786.233843126,-20332078.39324729,-20359482.616544,-23053445.28436128,-17598195.327990614,-48999548.53546101,-48796744.971700944,-58959851.67219474,-39118878.464580536,0,0,0,0,412011660,412011660,412011660,412011660,412011660,412011660,412011660,412011660,363012111.464539,363214915.02829903,353051808.3278053,372892781.53541946,0,0,0,0,4847196,4847196,4847196,4847196,0,0,0,0,4847196,4847196,4847196,4847196,16844.683867414406,16734.728287771555,13784.501534936942,20624.375346366556,85,85,85,85,99.89932997574705,99.59109589617353,82.69129942178314,118.16032372963451,144.79457292916385,144.2553043610211,119.67376088238807,171.61144247286782,99.59109589617353,127.45283323623887,99.59109589617353
"Vac[75,80)","[75,80)",Vac1,2024,1,5.316198268666472e-4,5.232904021834628e-4,3.8682279446957676e-4,7.077408665061124e-4,8.16566914855688,8.146641416342762,6.631598902075084,9.878464620471131,-0.07635966619531814,-0.07610956714373342,-0.09231253868234127,-0.06154616973858693,-0.003978637618523723,-0.003893210242636907,-0.005505195280724386,-0.002660144651123862,-0.006761613515883114,-0.006717488508704557,-0.00843702780621721,-0.005280990958444939,-9.918058385969736e-7,-9.8526877417548e-7,-1.3028858761926761e-6,-7.04790165038172e-7,894.6864187749103,881.3420626241714,653.7557832620106,1186.5816188517956,22784.689455044972,22611.092267464785,17751.746230926685,28879.46353810307,23679.37587381988,23485.72075736709,18478.376156850998,30017.408717111313,18767.86392106783,18671.10007522951,15133.667433154313,23129.250053194097,569.6110912760533,563.7855115626007,429.5296583354473,738.0786440514029,19337.47501234395,19226.104759672657,15620.615491629485,23892.80986446058,-32279748.641145606,-31525293.873917084,-45137288.620020054,-21365909.589205556,-15181478.666405724,-15121742.583639033,-18257943.140224222,-12327053.136424944,-6623647.345398346,-6605107.914198894,-8272937.587553168,-5128931.047238892,-21805126.01180407,-21756980.296120666,-26521498.56483464,-17704460.72348367,-54084874.652949676,-53246091.809615076,-71043362.81000082,-39551093.52270702,0,0,0,0,206005830,206005830,206005830,206005830,206005830,206005830,206005830,206005830,151920955.3470503,152759738.19038492,134962467.18999916,166454736.47729295,-24858931.864489328,-24475240.31407824,-33476848.803008243,-17231968.359752372,-12643530.99127453,-12641743.197500374,-14789192.575393792,-10542175.437461553,-5503357.102841318,-5493857.687805694,-6705250.69280633,-4364558.341536399,-18146888.094115846,-18184544.236076564,-21485699.236093313,-15091617.833379611,-43005819.95860518,-42624141.08895963,-54453531.604749925,-32827716.05931756,0,0,0,0,206005830,206005830,206005830,206005830,206005830,206005830,206005830,206005830,163000010.04139483,163381688.91104037,151552298.3952501,173178113.94068244,0,0,0,0,2423598,2423598,2423598,2423598,0,0,0,0,2423598,2423598,2423598,2423598,8558.576721944362,8464.298010005914,6454.522132748664,10974.453235480267,85,85,85,85,177.32120599434566,176.5016017753511,142.9670934444995,218.7534568632587,257.10950014355666,255.81246829866797,207.23089238508794,317.16934646291253,176.5016017753511,221.2192988064116,176.5016017753511
"Vac[80,85)","[80,85)",Vac,2024,1,6.306680187073112e-4,6.297964101982245e-4,5.226832577612139e-4,7.451315518959056e-4,7.2117682056325485,7.246931863400064,6.423043372872583,7.940256209803446,-0.06809418010668027,-0.06825098868457034,-0.0749178831452621,-0.06063519742727877,-0.0048305305014559145,-0.0047898340165715685,-0.005925487183700311,-0.0038130024830591584,-0.006139108112772195,-0.006131951377598675,-0.007076210221121716,-0.0052437044627456145,-1.2308240778444725e-6,-1.229885464936043e-6,-1.468711483834747e-6,-1.0275470633191485e-6,656.563068086803,655.6010083584115,545.2057268155739,775.2848987811711,13196.587353675672,13179.601265467987,11092.140774629259,15435.990806824164,13853.150421762604,13826.47051316686,11685.104385011644,16199.00656470363,11283.198672362116,11261.351630356696,9580.037574817361,13089.931504777249,461.6176067060828,460.80108863767236,386.6258011320606,542.7467164542992,11744.816279068202,11732.48410449922,10009.70192891797,13577.815378608087,-25232485.658007983,-25030285.825678878,-31016641.50151541,-19844006.20345573,-8243533.759948212,-8264968.598289174,-9089332.337465916,-7344924.421292099,-3672354.8659928334,-3657696.3940498745,-4314202.287378993,-3125915.9525389946,-11915888.625941046,-11944629.273761598,-13300263.722309632,-10559179.783864802,-37148374.28394903,-37036422.5819758,-43868854.30317133,-30762254.124716885,0,0,0,0,256444490,256444490,256444490,256444490,256444490,256444490,256444490,256444490,219296115.71605098,219408067.41802418,212575635.69682866,225682235.8752831,-20808136.84755512,-20653139.157336902,-25591407.76699141,-16542312.995769905,-7093033.979806977,-7110203.7478382075,-7750401.377827769,-6346371.546926215,-3174923.7687443295,-3162587.376454432,-3697965.4616406625,-2704892.1164564006,-10267957.748551307,-10285094.799211457,-11364487.79225377,-9187364.110939164,-31076094.596106425,-30944552.14925296,-36255686.38830916,-26215595.51954775,0,0,0,0,256444490,256444490,256444490,256444490,256444490,256444490,256444490,256444490,225368395.40389356,225499937.85074705,220188803.61169085,230228894.48045227,0,0,0,0,3016994,3016994,3016994,3016994,0,0,0,0,3016994,3016994,3016994,3016994,19324.59838468522,19179.396703237442,16375.858553893544,22851.64866505723,85,85,85,85,88.15808721444937,88.21620195401215,75.54371837349412,101.36311516887163,127.08695574739376,127.0772024721415,108.70763655490823,146.50880956951357,88.21620195401215,113.94858512931789,88.21620195401215
"Vac[80,85)","[80,85)",Vac1,2024,1,5.635355378530651e-4,5.611676700221224e-4,4.542638453846504e-4,6.863233843868333e-4,6.474253550751142,6.503492534613779,5.5063652829915,7.420073684809638,-0.061200923134272577,-0.06136399156564941,-0.07007781752781277,-0.052144101073164154,-0.004282624940339241,-0.004252005396230422,-0.005430633967633748,-0.0032597027299030227,-0.005528134859550219,-0.005514114659199497,-0.006538936208011464,-0.004548020862886192,-1.1591728439117794e-6,-1.1580487359856434e-6,-1.4016338598579808e-6,-9.41645040624557e-7,587.2991586511507,584.6756506636739,475.80878053586935,713.1246371102053,11843.384194134445,11785.533380554276,9713.061332081026,14340.39311065864,12430.683352785625,12383.908655737527,10225.437811374106,15082.41404293808,10189.674838748997,10169.641743456861,8344.823451063763,12197.990627130286,414.6375655947365,414.0154870785773,338.2276977573987,497.3253859998658,10604.312404343755,10576.941028570756,8689.398280967307,12636.950103100484,-22336031.41433854,-22157844.791181557,-28417969.77710558,-16936557.39705478,-7415412.215473315,-7432767.685183874,-8480483.584582297,-6297164.852542299,-3310370.054484809,-3291188.3687269767,-3984677.3875759197,-2713481.255847348,-10725782.269958124,-10743202.456129346,-12411814.316212675,-9122369.551160455,-33061813.684296664,-32903433.231844664,-40281450.11608066,-26646096.31951347,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,95160431.31570333,95318811.76815534,87940794.88391933,101576148.68048653,-18557413.04168063,-18395579.77594654,-23370897.476727236,-14282450.192578077,-6418926.636980069,-6442765.507259546,-7266239.316646155,-5496856.711044912,-2878222.6079036556,-2866367.203726787,-3443288.6845809524,-2348545.5594785786,-9297149.244883725,-9328232.560719673,-10633650.698951894,-7977724.007416507,-27854562.286564358,-27783225.66141179,-33393562.082462084,-22900317.272135135,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,100367682.71343565,100439019.33858821,94828682.9175379,105321927.72786486,0,0,0,0,1508497,1508497,1508497,1508497,0,0,0,0,1508497,1508497,1508497,1508497,9568.788174419795,9501.4694283569,7637.792987048845,11886.097221405935,85,85,85,85,159.0595210818712,158.61747258647222,132.1121170822694,188.5065562826644,229.35672687242797,228.76565244744586,189.38136742577223,272.25006779192574,158.61747258647222,201.99094416631254,158.61747258647222
