Scenario,Age0,Age1,Arm,Year0,Index,A,M,L,U
Overall,60,80,ReRZV_1d,2024,dYear_Life,4.6174458850210343e-4,4.586379846163169e-4,3.674785833808869e-4,5.670307299722843e-4
Overall,60,80,ReRZV_1d,2024,dYear_Immunised,12.82734671082369,12.819293570314088,11.252359515379796,14.357868328960212
Overall,60,80,ReRZV_1d,2024,dRisk_HZ,-0.10019131050552259,-0.10016031138558806,-0.11375713788977947,-0.08709258328865263
Overall,60,80,ReRZV_1d,2024,dRisk_Hosp,-0.0034821314347835927,-0.003456221217080282,-0.00443296589691491,-0.0026877972424867542
Overall,60,80,ReRZV_1d,2024,dRisk_PHN,-0.006938737808551383,-0.006912756558815134,-0.008060004742469802,-0.005870557117627463
Overall,60,80,ReRZV_1d,2024,dRisk_Death,-8.303045287891697e-7,-8.291658586146797e-7,-1.0171684453295146e-6,-6.464063895500453e-7
Overall,60,80,ReRZV_1d,2024,dQ_Life,3.187470420524967e-4,3.1657788102634754e-4,2.554704478791692e-4,3.8931891059759135e-4
Overall,60,80,ReRZV_1d,2024,dQ_HZ,0.013340686101689946,0.013273483231456612,0.011037613914258742,0.01584104518096047
Overall,60,80,ReRZV_1d,2024,dQ_HZ_Norm,0.004182555802498998,0.0041705695496517085,0.0034310525915449957,0.005017629281711182
Overall,60,80,ReRZV_1d,2024,dQ_All,0.013655154092839513,0.013579204479968965,0.011304410989086832,0.016215639085779898
Overall,60,80,ReRZV_1d,2024,dQ_HZ_d,0.010681727206215396,0.010660450696762434,0.008895179272069712,0.012577897111109664
Overall,60,80,ReRZV_1d,2024,dQ_HZ_Norm_d,0.003490207173610666,0.003481812360771066,0.0028808439102805845,0.004156900863239244
Overall,60,80,ReRZV_1d,2024,dQ_Life_d,2.0875286862265873e-4,2.072936990273888e-4,1.682745147501219e-4,2.5361274991309024e-4
Overall,60,80,ReRZV_1d,2024,dQ_All_d,0.010890480074838034,0.010867232179673003,0.00908874719810413,0.012817001407949835
Overall,60,80,ReRZV_1d,2024,dC_Hosp,-14.655970233360176,-14.538622692854542,-18.72340473554016,-11.123882336525883
Overall,60,80,ReRZV_1d,2024,dC_GP_NonPHN,-9.234586309086515,-9.224326980034139,-10.474900880691223,-7.988671565921646
Overall,60,80,ReRZV_1d,2024,dC_GP_PHN,-3.0636912705869657,-3.0489272382376926,-3.6090060514299487,-2.5809818439689525
Overall,60,80,ReRZV_1d,2024,dC_GP,-12.298277579673481,-12.263018579649223,-14.021290696158411,-10.656293191176427
Overall,60,80,ReRZV_1d,2024,dC_Med,-26.954247813033657,-26.805466147971167,-32.31813607765193,-22.42954186604221
Overall,60,80,ReRZV_1d,2024,dC_VacZVL,110,110,110,110
Overall,60,80,ReRZV_1d,2024,dC_VacRZV,62.49445108946279,62.49445811809376,62.494203099957026,62.49465886490476
Overall,60,80,ReRZV_1d,2024,dC_Vac,172.49445108946279,172.49445811809375,172.49420309995702,172.49465886490475
Overall,60,80,ReRZV_1d,2024,dC_All,145.54020327642914,145.68890796653724,140.17632000846174,150.06508520173614
Overall,60,80,ReRZV_1d,2024,dC_Hosp_d,-10.353814173576351,-10.266219357578807,-13.15875397354253,-8.009973624070101
Overall,60,80,ReRZV_1d,2024,dC_GP_NonPHN_d,-7.535209062910405,-7.536636115195398,-8.517748363578825,-6.560358630074721
Overall,60,80,ReRZV_1d,2024,dC_GP_PHN_d,-2.3781801438646153,-2.367984799953713,-2.808915842181287,-2.003536310702441
Overall,60,80,ReRZV_1d,2024,dC_GP_d,-9.91338920677502,-9.897781856649157,-11.243605941444127,-8.600873500356986
Overall,60,80,ReRZV_1d,2024,dC_Med_d,-20.267203380351372,-20.17320046102268,-24.030623675227986,-17.10651060835936
Overall,60,80,ReRZV_1d,2024,dC_VacZVL_d,110,110,110,110
Overall,60,80,ReRZV_1d,2024,dC_VacRZV_d,46.40028123705853,46.400286455609105,46.400097112186465,46.40043550417782
Overall,60,80,ReRZV_1d,2024,dC_Vac_d,156.40028123705852,156.4002864556091,156.40009711218647,156.4004355041778
Overall,60,80,ReRZV_1d,2024,dC_All_d,136.13307785670716,136.22707704180263,132.36980154415,139.29377879879814
Overall,60,80,ReRZV_1d,2024,dN_VacZVL,1,1,1,1
Overall,60,80,ReRZV_1d,2024,dN_VacRZV,0.7352288363466211,0.7352289190363972,0.7352259188230237,0.7352312807635855
Overall,60,80,ReRZV_1d,2024,dN_VacZVL_d,1,1,1,1
Overall,60,80,ReRZV_1d,2024,dN_VacRZV_d,0.5458856616124533,0.545885723007166,0.5458834954374878,0.5458874765197391
Overall,60,80,ReRZV_1d,2024,ICER,12602.658235895391,12535.484308988565,10395.188273844224,15335.018227492415
Overall,60,80,ReRZV_1d,2024,Price0,85,85,84.99999999999999,85.00000000000001
Overall,60,80,ReRZV_1d,2024,Thres20,436.12940563497256,435.46376949209866,364.12333250007924,510.8642286526519
Overall,60,80,ReRZV_1d,2024,Thres30,635.6305118942264,634.3958396488757,530.598242156784,745.7486617883987
Overall,60,80,ReRZV_1d,2024,Thres20_50,NA,435.46376949209866,NA,NA
Overall,60,80,ReRZV_1d,2024,Thres30_90,NA,570.1186015898754,NA,NA
Overall,60,80,ReRZV_1d,2024,Thres,NA,435.46376949209866,NA,NA
