Scenario,Age0,Arm,Index,M,L,U
Vac_63,63,Vac,dQ_All_d,0.005705468336848263,0.004160464076630577,0.0099405064704698
Vac_63,63,Vac,dC_Vac_d,170,170,170
Vac_63,63,Vac,dC_VacRZV_d,170,170,170
Vac_63,63,Vac,dC_Med_d,-8.761129650937875,-16.722125380701073,-5.937801497846879
Vac_63,63,Vac,dC_All_d,185.80266663159546,177.99763939291083,189.03739113312537
Vac_63,63,Vac,dN_VacRZV_d,2,2,2
Vac_63,63,Vac,Thres20,61.346963019393854,44.575339344797975,107.56699437112673
Vac_63,63,Vac,Thres30,89.8553706302238,65.37765972795086,157.26952672347574
Vac_63,63,Vac,ICER,32551.327189455827,17968.853596398185,45391.67460355293
Vac_63,63,Vac1,N0,1,1,1
Vac_63,63,Vac1,AvtHZ,0.2894484151990825,0.20195788140513699,0.5431578912471409
Vac_63,63,Vac1,AvtDeath,0.17325114676212916,0.05760853025138223,0.7632246511311576
Vac_63,63,Vac1,dQ_HZ_d,0.004357731425801946,0.0031522604539673503,0.00799787673067959
Vac_63,63,Vac1,dQ_Life_d,4.689227652665551e-5,2.4130291387214343e-5,1.4264554459484378e-4
Vac_63,63,Vac1,dQ_All_d,0.004410135908015533,0.0031766909153461143,0.008114166410913936
Vac_63,63,Vac1,dC_Vac_d,85,85,85
Vac_63,63,Vac1,dC_VacRZV_d,85,85,85
Vac_63,63,Vac1,dC_Med_d,-6.432470286399715,-13.259469108503048,-4.508625356196909
Vac_63,63,Vac1,dC_All_d,102.96689938658292,96.16041389867578,105.69205290928099
Vac_63,63,Vac1,dN_VacRZV_d,1,1,1
Vac_63,63,Vac1,Thres20,95.15004184882784,68.22337745289781,175.36744251849078
Vac_63,63,Vac1,Thres30,139.19118408929967,99.99344582117841,256.50910662763016
Vac_63,63,Vac1,ICER,23425.829709774007,12003.492700433279,32895.65572756725
Vac_64,64,Vac,N0,1,1,1
Vac_64,64,Vac,AvtHZ,0.39270138091776574,0.27791834680484223,0.6791695948593699
Vac_64,64,Vac,AvtDeath,0.2802995060749185,0.09999082715344543,0.8801278510137982
Vac_64,64,Vac,dQ_HZ_d,0.005788665204696868,0.004238699476265585,0.009879381566135829
Vac_64,64,Vac,dQ_Life_d,7.114594587154244e-5,3.890685907670388e-5,1.8421406849995493e-4
Vac_64,64,Vac,dQ_All_d,0.00586463811120197,0.004291629135751273,0.010037031727576683
Vac_64,64,Vac,dC_Vac_d,170,170,170
Vac_64,64,Vac,dC_VacRZV_d,170,170,170
Vac_64,64,Vac,dC_Med_d,-9.117380625579834,-16.97435352573455,-6.224783618609889
Vac_64,64,Vac,dC_All_d,185.66968688186796,177.97347762524169,189.00776116648817
Vac_64,64,Vac,dN_VacRZV_d,2,2,2
