Scenario,Age0,Age1,Arm,Index,M,L,U
Vac_60,60,61,ReVac_RZV1,N0,1,1,1
Vac_60,60,61,ReVac_RZV1,Year0,2024,2024,2024
Vac_60,60,61,ReVac_RZV1,Year_Life,24.893452679434624,24.89327853865379,24.893854879211336
Vac_60,60,61,ReVac_RZV1,Year_Immunised,10.042968526955757,7.0332681466997355,17.802024295573002
Vac_60,60,61,ReVac_RZV1,Risk_HZ,0.12663660435098067,0.05717678954198836,0.15225514955937905
Vac_60,60,61,ReVac_RZV1,Risk_Hosp,0.005168932269585496,0.0021681032181084373,0.006459842514802663
Vac_60,60,61,ReVac_RZV1,Risk_PHN,0.009772370766860423,0.004025054050427481,0.011937028231823198
Vac_60,60,61,ReVac_RZV1,Risk_Death,8.371909063435898e-7,1.3264461633411058e-7,1.10356058025749e-6
Vac_60,60,61,ReVac_RZV1,Q_Life,19.365468915450528,19.36534738483109,19.365747444780474
Vac_60,60,61,ReVac_RZV1,Q_HZ,-0.014800064061788961,-0.018122815094582006,-0.006286381338309334
Vac_60,60,61,ReVac_RZV1,Q_All,19.350665683500516,19.347282064445178,19.35944416096342
Vac_60,60,61,ReVac_RZV1,Q_HZ_d,-0.007886116761742504,-0.009871601026395834,-0.0036686599570733775
Vac_60,60,61,ReVac_RZV1,Q_Life_d,12.75089482470453,12.750851580353514,12.750995592811229
Vac_60,60,61,ReVac_RZV1,Q_All_d,12.74299920633122,12.74100514699192,12.747344026494059
Vac_60,60,61,ReVac_RZV1,C_Hosp,17.157583927483756,7.023400911885533,21.3845778506787
Vac_60,60,61,ReVac_RZV1,C_GP_NonPHN,10.628919842180586,4.847663433908453,12.817164410205766
Vac_60,60,61,ReVac_RZV1,C_GP_PHN,3.958207195076159,1.6012409279761668,4.9447741269230345
Vac_60,60,61,ReVac_RZV1,C_GP,14.639478527142867,6.46550258860931,17.52354099293733
Vac_60,60,61,ReVac_RZV1,C_Med,32.00957882854993,13.470406195027397,37.96572214967181
Vac_60,60,61,ReVac_RZV1,C_VacZVL,0,0,0
Vac_60,60,61,ReVac_RZV1,C_VacRZV,255,255,255
Vac_60,60,61,ReVac_RZV1,C_Vac,255,255,255
Vac_60,60,61,ReVac_RZV1,C_All,287.00957882854993,268.47040619502735,292.96572214967176
Vac_60,60,61,ReVac_RZV1,C_Hosp_d,7.493957095722999,3.216831546127765,9.38506642730465
Vac_60,60,61,ReVac_RZV1,C_GP_NonPHN_d,5.922907663775,2.925660737908935,7.263344037353094
Vac_60,60,61,ReVac_RZV1,C_GP_PHN_d,2.0823099146463484,0.9070755408019033,2.6362791006779935
Vac_60,60,61,ReVac_RZV1,C_GP_d,8.0374458735192,3.8111840299095783,9.789982099573828
Vac_60,60,61,ReVac_RZV1,C_Med_d,15.623180139988289,7.098647656711975,18.822413792165516
Vac_60,60,61,ReVac_RZV1,C_VacZVL_d,0,0,0
Vac_60,60,61,ReVac_RZV1,C_VacRZV_d,252.1256038647343,252.1256038647343,252.1256038647343
Vac_60,60,61,ReVac_RZV1,C_Vac_d,252.1256038647343,252.1256038647343,252.1256038647343
Vac_60,60,61,ReVac_RZV1,C_All_d,267.74878400472255,259.22425152144626,270.9480176568998
Vac_60,60,61,ReVac_RZV1,N_VacZVL,0,0,0
Vac_60,60,61,ReVac_RZV1,N_VacRZV,3,3,3
Vac_60,60,61,ReVac_RZV1,N_VacZVL_d,0,0,0
Vac_60,60,61,ReVac_RZV1,N_VacRZV_d,2.966183574879227,2.966183574879227,2.966183574879227
Vac_60,60,61,ReVac_RZV2,N0,1,1,1
Vac_60,60,61,ReVac_RZV2,Year0,2024,2024,2024
Vac_60,60,61,ReVac_RZV2,Year_Life,24.893466835635664,24.893294924610377,24.893859446402846
Vac_60,60,61,ReVac_RZV2,Year_Immunised,10.655217589561918,7.7470281058119195,17.91149214972588
Vac_60,60,61,ReVac_RZV2,Risk_HZ,0.1220201808160474,0.05621862715151456,0.14686943608214348
Vac_60,60,61,ReVac_RZV2,Risk_Hosp,0.0050615149060257636,0.0021660672672943267,0.0063454906439612616
Vac_60,60,61,ReVac_RZV2,Risk_PHN,0.00945619979254439,0.003949968549761955,0.011639943863797285
Vac_60,60,61,ReVac_RZV2,Risk_Death,8.186929330168848e-7,1.3246987881945012e-7,1.0931097856856094e-6
Vac_60,60,61,ReVac_RZV2,Q_Life,19.365478962456883,19.365358188845715,19.365750592592732
Vac_60,60,61,ReVac_RZV2,Q_HZ,-0.014196326989937608,-0.017580939645888118,-0.006175089026091426
Vac_60,60,61,ReVac_RZV2,Q_All,19.351279644032147,19.347831021171697,19.359559892409056
Vac_60,60,61,ReVac_RZV2,Q_HZ_d,-0.007506153001214553,-0.009442698865191992,-0.003656690731679529
Vac_60,60,61,ReVac_RZV2,Q_Life_d,12.750899151813606,12.750855068010614,12.750996896490499
Vac_60,60,61,ReVac_RZV2,Q_All_d,12.743385730851701,12.741437111150079,12.747356337009098
Vac_60,60,61,ReVac_RZV2,C_Hosp,16.805575390374038,7.020391952341106,21.05411899851767
Vac_60,60,61,ReVac_RZV2,C_GP_NonPHN,10.221477261689468,4.769597922559927,12.330271180963324
Vac_60,60,61,ReVac_RZV2,C_GP_PHN,3.828880389209193,1.5939805329543415,4.811737326950682
Vac_60,60,61,ReVac_RZV2,C_GP,14.11700528542746,6.355721942502402,16.903558854526192
Vac_60,60,61,ReVac_RZV2,C_Med,31.178715912821193,13.280812457553562,37.13435600120854
Vac_60,60,61,ReVac_RZV2,C_VacZVL,0,0,0
Vac_60,60,61,ReVac_RZV2,C_VacRZV,340,340,340
Vac_60,60,61,ReVac_RZV2,C_Vac,340,340,340
Vac_60,60,61,ReVac_RZV2,C_All,371.1787159128212,353.28081245755357,377.1343560012086
Vac_60,60,61,ReVac_RZV2,C_Hosp_d,7.314736149654122,3.1359493863366628,9.18181653371093
Vac_60,60,61,ReVac_RZV2,C_GP_NonPHN_d,5.64155746393461,2.8889608442006676,6.88672244230581
Vac_60,60,61,ReVac_RZV2,C_GP_PHN_d,1.99607264725864,0.9039220801641822,2.536171272647766
Vac_60,60,61,ReVac_RZV2,C_GP_d,7.6695674285739805,3.7550672463627053,9.323369214764487
