Scenario,Age0,Age1,Arm,Year0,dYear_Life_A,dYear_Life_M,dYear_Life_L,dYear_Life_U,dYear_Immunised_A,dYear_Immunised_M,dYear_Immunised_L,dYear_Immunised_U,dRisk_HZ_A,dRisk_HZ_M,dRisk_HZ_L,dRisk_HZ_U,dRisk_Hosp_A,dRisk_Hosp_M,dRisk_Hosp_L,dRisk_Hosp_U,dRisk_PHN_A,dRisk_PHN_M,dRisk_PHN_L,dRisk_PHN_U,dRisk_Death_A,dRisk_Death_M,dRisk_Death_L,dRisk_Death_U,dQ_Life_A,dQ_Life_M,dQ_Life_L,dQ_Life_U,dQ_HZ_A,dQ_HZ_M,dQ_HZ_L,dQ_HZ_U,dQ_All_A,dQ_All_M,dQ_All_L,dQ_All_U,dQ_HZ_d_A,dQ_HZ_d_M,dQ_HZ_d_L,dQ_HZ_d_U,dQ_Life_d_A,dQ_Life_d_M,dQ_Life_d_L,dQ_Life_d_U,dQ_All_d_A,dQ_All_d_M,dQ_All_d_L,dQ_All_d_U,dC_Hosp_A,dC_Hosp_M,dC_Hosp_L,dC_Hosp_U,dC_GP_NonPHN_A,dC_GP_NonPHN_M,dC_GP_NonPHN_L,dC_GP_NonPHN_U,dC_GP_PHN_A,dC_GP_PHN_M,dC_GP_PHN_L,dC_GP_PHN_U,dC_GP_A,dC_GP_M,dC_GP_L,dC_GP_U,dC_Med_A,dC_Med_M,dC_Med_L,dC_Med_U,dC_VacZVL_A,dC_VacZVL_M,dC_VacZVL_L,dC_VacZVL_U,dC_VacRZV_A,dC_VacRZV_M,dC_VacRZV_L,dC_VacRZV_U,dC_Vac_A,dC_Vac_M,dC_Vac_L,dC_Vac_U,dC_All_A,dC_All_M,dC_All_L,dC_All_U,dC_Hosp_d_A,dC_Hosp_d_M,dC_Hosp_d_L,dC_Hosp_d_U,dC_GP_NonPHN_d_A,dC_GP_NonPHN_d_M,dC_GP_NonPHN_d_L,dC_GP_NonPHN_d_U,dC_GP_PHN_d_A,dC_GP_PHN_d_M,dC_GP_PHN_d_L,dC_GP_PHN_d_U,dC_GP_d_A,dC_GP_d_M,dC_GP_d_L,dC_GP_d_U,dC_Med_d_A,dC_Med_d_M,dC_Med_d_L,dC_Med_d_U,dC_VacZVL_d_A,dC_VacZVL_d_M,dC_VacZVL_d_L,dC_VacZVL_d_U,dC_VacRZV_d_A,dC_VacRZV_d_M,dC_VacRZV_d_L,dC_VacRZV_d_U,dC_Vac_d_A,dC_Vac_d_M,dC_Vac_d_L,dC_Vac_d_U,dC_All_d_A,dC_All_d_M,dC_All_d_L,dC_All_d_U,dN_VacZVL_A,dN_VacZVL_M,dN_VacZVL_L,dN_VacZVL_U,dN_VacRZV_A,dN_VacRZV_M,dN_VacRZV_L,dN_VacRZV_U,dN_VacZVL_d_A,dN_VacZVL_d_M,dN_VacZVL_d_L,dN_VacZVL_d_U,dN_VacRZV_d_A,dN_VacRZV_d_M,dN_VacRZV_d_L,dN_VacRZV_d_U,ICER_A,ICER_M,ICER_L,ICER_U,Price0_A,Price0_M,Price0_L,Price0_U,Thres20_A,Thres20_M,Thres20_L,Thres20_U,Thres30_A,Thres30_M,Thres30_L,Thres30_U,Thres20_50,Thres30_90,Thres
Overall,70,80,ReVac_RZV1,2024,5.678223655333916e-4,5.670977207863359e-4,4.691492270160857e-4,6.901262822865739e-4,10.987073256182917,10.974304077259092,10.005456269906865,12.002474260855884,-0.0979139488409438,-0.09795548640587418,-0.10776591289468572,-0.08866093904483928,-0.004226592286578982,-0.004189197504499999,-0.00524825060536341,-0.003347438747410076,-0.00797008865853945,-0.007947537206730061,-0.009055884429947283,-0.006979485155061862,-9.924988431881783e-7,-9.888772083172908e-7,-1.197505631647045e-6,-7.999271463708523e-7,3.9476901140271005e-4,3.941781602643246e-4,3.270832486745867e-4,4.786694761846455e-4,0.011649447339632508,0.011633917899789308,0.009914995117007422,0.013529390132711623,0.012044216351035227,0.012015501754641278,0.010265053287774162,0.013992420023338647,0.008408256234542328,0.008402442239438434,0.00719395534564688,0.00965140727549325,2.0421109650333415e-4,2.040752095249232e-4,1.7205201934773483e-4,2.4197649245643048e-4,0.008612467331045705,0.008599755129688802,0.007410280900589772,0.009868548851466662,-13.96816479902166,-13.80959680097814,-17.490990577780664,-10.924655097359295,-8.173176927489585,-8.179243693756465,-8.948772417279649,-7.439912772624197,-3.243621581679271,-3.233982523834562,-3.7200883282383255,-2.8013908091193813,-11.416798509168856,-11.405512938063104,-12.61446125974645,-10.319140720103814,-25.384963308190517,-25.30867286920867,-29.761252387971407,-21.641698618836084,110,110,110,110,68.66205995431874,68.66206106177339,68.66193064365038,68.66216623303445,178.66205995431875,178.6620610617734,178.66193064365038,178.66216623303447,153.27709664612823,153.35335620392203,148.9008194471386,157.02030492809533,-8.77805685941354,-8.715389068625289,-10.713099952734833,-7.045748226417025,-6.051062798571242,-6.052267342842672,-6.534393300426177,-5.559942524258708,-2.329466914527134,-2.321624849929476,-2.650981744023686,-2.043413590719998,-8.380529713098376,-8.378029899677713,-9.089973421411347,-7.686335160857915,-17.15858657251192,-17.09886193102591,-19.51058515562432,-15.13503278444047,110,110,110,110,48.6758260896849,48.67582687478033,48.675734418919284,48.67590143266597,158.6758260896849,158.67582687478034,158.67573441891926,158.67590143266597,141.51723951717298,141.57696353018866,139.16523377627945,143.54073973434794,1,1,1,1,0.807788940639044,0.8077889536679221,0.8077874193370633,0.807790190976876,1,1,1,1,0.5726567775257047,0.5726567867621215,0.5726556990461091,0.5726576639137172,16525.02175183336,16468.19440761552,14248.251419851436,19305.10770258894,85,85,84.99999999999999,85.00000000000001,330.75297265419886,330.1318823595054,286.15570524231885,376.37182216542107,481.14789665049307,480.3025032302862,416.00421127776485,549.0454733994134,330.1318823595054,438.58123133473265,330.1318823595054
Overall,70,80,ReVac_RZV2,2024,6.254901080658115e-4,6.242251837473844e-4,5.283142546712583e-4,7.344412468068384e-4,11.647911869297944,11.658101189325501,10.74899256141255,12.481023321182546,-0.10411319898732597,-0.10417852649020823,-0.11239785017847473,-0.09590360485648385,-0.004686089491801765,-0.0046591903162705025,-0.005656517497573261,-0.0038023785860643645,-0.008522941549176223,-0.008493622183094067,-0.00949072894563136,-0.00757800464262435,-1.0580082169409823e-6,-1.0569747529506027e-6,-1.242148558861206e-6,-8.812873640771075e-7,4.3436148558770603e-4,4.3354565116793253e-4,3.682206324217674e-4,5.0911366615356e-4,0.012448732057077659,0.012451238587827268,0.010652349896799177,0.014321693245159701,0.012883093542665352,0.012881220162813456,0.011047514701901306,0.014817242547265642,0.008856543294836943,0.008859097849917123,0.007618684907771965,0.010093011375379499,2.224863291211925e-4,2.225343648722955e-4,1.9072531064097119e-4,2.5748960267164557e-4,0.009079029623958177,0.009082894994381085,0.00782744892697873,0.010327926043014425,-15.567627643206308,-15.459679720296966,-18.93325752007982,-12.464432912618864,-8.669462311058265,-8.681740051369452,-9.350621405923047,-7.98416732591633,-3.462016244734949,-3.4585793058153396,-3.929057092041864,-3.040096810275502,-12.131478555793214,-12.132059451098112,-13.134682094069644,-11.161044844434086,-27.69910619899952,-27.670818622215922,-31.582134058999987,-24.068841310429562,110,110,110,110,137.32411990863747,137.32412212354677,137.32386128730076,137.3243324660689,247.32411990863747,247.32412212354677,247.32386128730076,247.3243324660689,219.62501370963795,219.6534059870846,215.74182723425415,223.25550401395043,-9.631457157341,-9.578678883169463,-11.464915564155152,-7.9179354266715976,-6.332017778660196,-6.334184723403269,-6.740382829381133,-5.906866985052338,-2.4538832984504118,-2.4526579073308996,-2.7786924730810956,-2.1777041147240084,-8.785901077110609,-8.784489099249601,-9.414488253734476,-8.177227929714547,-18.41735823445161,-18.36676113560806,-20.56452334717544,-16.404046863057438,110,110,110,110,97.3516521793698,97.35165374956065,97.35146883783857,97.35180286533193,207.35165217936978,207.35165374956065,207.35146883783855,207.35180286533193,188.93429394491818,188.98481916776973,186.78722835227845,190.9475369071514,1,1,1,1,1.615577881278088,1.6155779073358443,1.6155748386741267,1.615580381953752,1,1,1,1,1.1453135550514093,1.145313573524243,1.1453113980922183,1.1453153278274344,20912.787885334394,20826.743015027794,18208.919023052946,24293.596116900888,85,85,84.99999999999999,85.00000000000001,174.62287786960187,174.48480070563105,151.73865395464455,197.06061805215907,253.89400417638691,253.838873622245,219.99134450071173,286.97696980168314,174.48480070563105,232.77200923830213,174.48480070563105
Overall,70,81,ReVac_RZV1,2024,0.00056442736801098545,5.628033194700066e-4,4.713098668092997e-4,6.76984012861137e-4,10.754280787737617,10.747751295025875,9.858053311859754,11.668041930869762,-0.09571699710267695,-0.0957340169128138,-0.10458938478277215,-0.08713245328708905,-0.004209014172999815,-0.004178050131927252,-0.005139226438350048,-0.0033693663382577347,-0.007772879041342525,-0.007746287528144052,-0.008746924956810603,-0.0068550858513429505,-9.988952035507588e-7,-9.97298799792175e-7,-1.1864518858778298e-6,-8.237617207359039e-7,3.9218022915952843e-4,3.912330599149527e-4,3.28401355888408e-4,4.683589635095408e-4,0.011403618316235374,0.011390816338684075,0.009697813783195001,0.013225163476314385,0.011795798545394963,0.01178451053957108,0.010077175554049144,0.01364855756838903,0.00819927902077265,0.008189498568898898,0.007042859766597251,0.009392634970083243,2.016643235038842e-4,2.0160467072916077e-4,1.7121093689151934e-4,2.3549628224399654e-4,0.008400943344276579,0.00839099088144124,0.007236136482587785,0.009593797524392489,-13.95589887106852,-13.842596256466617,-17.180212600693157,-11.079016544077152,-7.98479738121642,-7.988974215973033,-8.712220630231174,-7.2636286542418045,-3.1602344843952754,-3.1447225016528284,-3.623407123398925,-2.7478166983888532,-11.145031865611696,-11.153920304313534,-12.24506330059049,-10.091679905943183,-25.100930736680215,-25.03851087370959,-29.05359561477519,-21.611344856635768,110,110,110,110,65.98988351235026,65.98988622176013,65.98972423981118,65.99001988703598,175.98988351235027,175.98988622176012,175.98972423981118,175.99001988703597,150.88895277567005,150.9513588474233,146.93631868339997,154.37855840545288,-8.688141863628813,-8.626212693718033,-10.404687925316649,-7.062756593778452,-5.896745289681023,-5.897392588627799,-6.3477939209557235,-5.441968313920679,-2.2613777517046874,-2.2524560834383185,-2.5751256258715607,-1.989896973987087,-8.15812304138571,-8.161453005633438,-8.831090386788887,-7.49204757048725,-16.84626490501452,-16.78402200925887,-19.059780990450022,-14.89159871388961,110,110,110,110,45.19948786127672,45.199489717075394,45.19937876823376,45.19958127053316,155.1994878612767,155.19948971707538,155.19937876823377,155.19958127053317,138.3532229562622,138.41544273593945,136.13973101746942,140.30790091817843,1,1,1,1,0.7763515707335326,0.7763516026089428,0.776349696938955,0.7763531751415998,1,1,1,1,0.5317586807209026,0.5317587025538282,0.5317573972733383,0.5317597796533313,16559.482181575837,16502.48912422488,14238.450897403687,19265.872486808894,85,85,84.99999999999999,85.00000000000001,347.64853973184626,347.07112332660836,301.8932259570514,395.5840108443413,505.6326688972096,505.02569059236515,437.9430695766759,575.6192074347093,347.07112332660836,462.1651454318681,347.07112332660836
Overall,70,81,ReVac_RZV2,2024,6.168160268108416e-4,6.159524796132132e-4,5.23848584693276e-4,7.168955608998217e-4,11.337730987048555,11.35622913620783,10.533503554993333,12.082883606272848,-0.101181914377551,-0.10130111074614889,-0.10877207126973165,-0.09345570081673876,-0.004631709010825113,-0.004612396227745832,-0.0055253453098218375,-0.0037996773369254554,-0.00825916713990009,-0.008235123717066473,-0.009136097667994447,-0.0074029581349890706,-1.05626683537262e-6,-1.0540253360350756e-6,-1.2375681896921438e-6,-8.942638017674728e-7,4.280782772385976e-4,4.27587233812865e-4,3.652330108919965e-4,4.960623541116148e-4,0.012112334197928525,0.012110559674052768,0.010374847278449978,0.01386894949828652,0.012540412475167118,0.01253780816100658,0.01076102938036998,0.014320952682835309,0.008588272790833346,0.008598381565078361,0.007442762794443565,0.009787345219526443,2.18062361427803e-4,2.178069668996585e-4,1.8752020195145214e-4,2.505497278703306e-4,0.008806335152261159,0.0088181263640843,0.00762950955239643,0.010018016592653112,-15.433128131297945,-15.386517477367844,-18.51863201872978,-12.550190740283167,-8.42086087256028,-8.426744570541562,-9.052363022200144,-7.778107905513583,-3.3516740631956834,-3.3404683316362522,-3.794431736739095,-2.9545008491449036,-11.772534935755964,-11.776259339023525,-12.7122795995122,-10.865574884097905,-27.20566306705391,-27.166640864375296,-30.846798065196992,-23.798165839130462,110,110,110,110,131.97976702470052,131.97977244352026,131.97944847962236,131.98003977407197,241.97976702470052,241.97977244352026,241.97944847962236,241.98003977407197,214.77410395764662,214.81312226609617,211.13303234633432,218.18160136525654,-9.46399333483782,-9.42809507021574,-11.199828941779597,-7.837309641010893,-6.13805860447972,-6.136212250574516,-6.549594085906766,-5.72606587730407,-2.3680704023883647,-2.3606427484212387,-2.6668741251779227,-2.1081559539262376,-8.506129006868084,-8.50479012484401,-9.110889387718911,-7.892930578924209,-17.970122341705906,-17.91183092282104,-20.06184512122836,-16.096688795351447,110,110,110,110,90.39897572255344,90.39897943415079,90.39875753646751,90.39916254106632,200.39897572255344,200.3989794341508,200.3987575364675,200.39916254106635,182.42885338084753,182.48728333820446,180.3371626968905,184.30228917938177,1,1,1,1,1.5527031414670651,1.5527032052178855,1.55269939387791,1.5527063502831997,1,1,1,1,1.0635173614418052,1.0635174051076564,1.0635147945466765,1.0635195593066626,20816.701432687532,20714.829490627722,18161.5068618695,24062.38896865391,85,85,84.99999999999999,85.00000000000001,182.50461115656952,182.47158236199962,159.42558061143922,205.60471827813936,265.3084782146605,265.5668974359528,230.83915744697742,299.7128891432522,182.47158236199962,243.35971604177664,182.47158236199962
Overall,70,82,ReVac_RZV1,2024,5.566672404825432e-4,5.566071367191228e-4,4.685476933500077e-4,6.551063402065792e-4,10.492787186016692,10.501713438849634,9.621476008874557,11.32880506171854,-0.09320655689145246,-0.09332176420417043,-0.10126161211487579,-0.08474859199345487,-0.004157165449520887,-0.00412670163274365,-0.005014294457224229,-0.003380153090415981,-0.007536508400152457,-0.007506395108607041,-0.008480651184587382,-0.0066345038369609866,-9.982684075517466e-7,-9.969159433599253e-7,-1.1793308464617674e-6,-8.34713666474709e-7,3.865350624970532e-4,3.868326114249143e-4,3.257967402890749e-4,4.545698303060508e-4,0.011113379895680725,0.011094042951444153,0.009478235322420717,0.012813051319527551,0.011499914958177797,0.01148336297924768,0.00984248202889657,0.013245503663083857,0.007971925054356519,0.007970064347581223,0.006852383323583577,0.009143260796226554,1.9768136073975207e-4,1.9734619261146946e-4,1.6847725734945307e-4,2.2998625919425919e-4,0.00816960641509634,0.008168307852348455,0.0070584816686074525,0.009338749292366577,-13.825822934954244,-13.718246851605112,-16.827082500827473,-11.160095017195221,-7.773290190376753,-7.780872345026316,-8.439470879602071,-7.078738458984316,-3.061644706627439,-3.0511028165223886,-3.4942251305504137,-2.664230298447897,-10.834934897004192,-10.840442511666044,-11.84393349948349,-9.834049787939282,-24.66075783195844,-24.587902328347315,-28.25419391198939,-21.295986533994128,110,110,110,110,63.105434244492514,63.105438577561046,63.10524193648428,63.105605049301346,173.10543424449253,173.10543857756105,173.1052419364843,173.10560504930135,148.44467641253408,148.51760632989826,144.85117595949336,151.80945699819256,-8.529604834402736,-8.463035328642924,-10.20135071150868,-7.023164510858011,-5.734917691216083,-5.742384145364176,-6.176209411820238,-5.270481715386208,-2.1865869117802026,-2.1806256087974747,-2.4774815243559596,-1.9203015348417454,-7.9215046029962854,-7.924516356482291,-8.5683487292883,-7.229374422556835,-16.451109437399023,-16.393020317973644,-18.474966546899356,-14.587563411655239,110,110,110,110,41.762122414288,41.76212528184039,41.761995148060024,41.76223545005776,151.762122414288,151.76212528184038,151.76199514806004,151.76223545005774,135.31101297688897,135.36911190158088,133.2872538157414,137.17441887038927,1,1,1,1,0.7424168734646178,0.7424169244418948,0.7424146110174621,0.742418882932957,1,1,1,1,0.4913190872269177,0.49131912096282815,0.49131758997717684,0.49132041705950297,16653.523447827898,16575.902929083437,14384.471250863131,19363.328897445022,85,85,84.99999999999999,85.00000000000001,366.04161652137725,365.73650947464944,318.0403471825118,415.7765271592921,532.3206479643324,531.8104858070126,461.7951323042371,605.0935865617599,365.73650947464944,487.13860138639745,365.73650947464944
Overall,70,82,ReVac_RZV2,2024,6.036841200158918e-4,6.03473849064784e-4,5.153817826203167e-4,6.981539565612316e-4,11.003463483101338,11.029238231054912,10.213446637213504,11.683104319208123,-0.09797872214169286,-0.09806230533133145,-0.10513500665809851,-0.09062861304170564,-0.0045416767473294714,-0.004519009718228922,-0.0053817544986313375,-0.0037667448091386335,-0.007959227847179135,-0.007951726943303188,-0.008840210298916362,-0.007126102954276991,-1.0478252584175175e-6,-1.044344248611564e-6,-1.2215089659048477e-6,-8.936268344543085e-7,4.1868069704006493e-4,4.1854905538141196e-4,3.5818052369593903e-4,4.8378680434395526e-4,0.011735734190816463,0.011737850861006871,0.010084668483071128,0.013419489518278977,0.012154414887856528,0.012162456815234535,0.010492014781040693,0.013852576878940103,0.008306176486034798,0.008308996408751101,0.007214986575867548,0.009481095544072145,2.1221032895902425e-4,2.1169855016367478e-4,1.826382530345505e-4,2.4297022889632202e-4,0.008518386814993851,0.008523270308258724,0.007413676156633641,0.009687333964808519,-15.174885318051594,-15.107643142548463,-18.06424063476682,-12.481759659777808,-8.15291213471363,-8.15157279000583,-8.737481035891408,-7.536870862239563,-3.227472949032607,-3.2168553447595905,-3.6526488669397605,-2.850771401535307,-11.380385083746237,-11.365805973247536,-12.295825645522969,-10.47001806811193,-26.55527040179783,-26.492913294642335,-30.052140334161038,-23.288821462816987,110,110,110,110,126.21086848898503,126.21087715512209,126.21048387296857,126.21121009860269,236.21086848898503,236.2108771551221,236.21048387296858,236.2112100986027,209.6555980871872,209.7178543090407,206.15864376365744,212.9221470523406,-9.226662266296747,-9.17862617515101,-10.869419390972709,-7.735064639827355,-5.9402640554833255,-5.94273789927024,-6.356186874595598,-5.523849769078069,-2.2769427852521726,-2.2702214882500984,-2.5614762348098994,-2.0210730066514517,-8.217206840735498,-8.211710976798669,-8.819789390440345,-7.599249514998109,-17.443869107032246,-17.37422992116424,-19.44591429374694,-15.632287289404157,110,110,110,110,83.524244828576,83.52425056368078,83.52399029612005,83.52447090011552,193.524244828576,193.5242505636808,193.52399029612005,193.52447090011552,176.08037572154376,176.149968698117,174.07835290032494,177.8918486317324,1,1,1,1,1.4848337469292356,1.4848338488837896,1.4848292220349242,1.484837765865914,1,1,1,1,0.9826381744538354,0.9826382419256563,0.9826351799543537,0.9826408341190059,20772.669532185366,20657.869561830303,18079.46877530319,23964.1219977675,85,85,84.99999999999999,85.00000000000001,191.12996579571973,191.21719757412419,167.1767505976428,216.04516663594964,277.8189101158369,277.94697277350656,242.55793009785137,314.4576826555391,191.21719757412419,255.56375592041644,191.21719757412419
Overall,70,83,ReVac_RZV1,2024,5.444598520687194e-4,5.437224626962944e-4,4.5822401938879766e-4,6.370572020228948e-4,10.20970591166203,10.218345357031904,9.354439441308964,10.971893264908525,-0.09046638608533039,-0.0905991421341748,-0.09817726806704233,-0.08215239807710159,-0.004076897166382476,-0.004045725810549974,-0.004882330879110768,-0.0033522817122976904,-0.007278519386878167,-0.007263817099955495,-0.008216267450836852,-0.006424424901894247,-9.899711106529615e-7,-9.872087712948081e-7,-1.161060056535177e-6,-8.333996861951895e-7,3.777819688509787e-4,3.771594487220753e-4,3.188525834130651e-4,4.41487961254694e-4,0.010788387862031049,0.010785270008295815,0.00922983009402479,0.01246202962788692,0.011166169830882065,0.011147183456021281,0.009602264931733684,0.012857398315239132,0.007733678096111981,0.007728804629903361,0.00665628480834487,0.008876677573535986,1.9230249782010845e-4,1.9204667400263276e-4,1.6418816137910852e-4,2.2318182697862455e-4,0.007925980593932121,0.007920478383611318,0.006832080265756569,0.009064283994978162,-13.594050018009805,-13.497273321348098,-16.395625299429568,-11.107604325802704,-7.5444675403146935,-7.548155006648697,-8.18520044563141,-6.858974044537978,-2.954984380325314,-2.9468265418908133,-3.3794158864359187,-2.5769480369064266,-10.499451920640007,-10.505855793787104,-11.490000067588426,-9.503257919494517,-24.093501938649812,-24.030373575414377,-27.48348527614137,-20.898549943007197,110,110,110,110,60.00200133898056,60.002008840043715,60.00175296352028,60.00221152475724,170.00200133898056,170.00200884004371,170.0017529635203,170.00221152475726,145.90849940033075,145.97148978884115,142.5185761776477,149.10346755663454,-8.31781089289778,-8.252928290070942,-9.87861798969293,-6.86838104856044,-5.569825870512769,-5.576201253345357,-6.013564438964479,-5.102811936699718,-2.1102051485258766,-2.104432260795261,-2.387120283070196,-1.8500513262475897,-7.680031019038646,-7.687234243383779,-8.343586938078884,-6.977795284257085,-15.997841911936426,-15.948032013455492,-17.926266119090943,-14.14156304596851,110,110,110,110,38.365528840637,38.36553363684793,38.3653700283362,38.365663234295496,148.365528840637,148.36553363684794,148.3653700283362,148.3656632342955,132.36768692870058,132.4175838955057,130.43931768918384,134.22390240022264,1,1,1,1,0.7059058981056536,0.7059059863534555,0.705902976041415,0.705908370879497,1,1,1,1,0.4513591628310235,0.4513592192570345,0.45135729445101425,0.4513607439328883,16793.72540005251,16713.609068684353,14487.8857680074,19552.661359465077,85,85,84.99999999999999,85.00000000000001,386.64872827738657,386.13659797674234,335.4796289269449,438.8531999833446,562.251239654348,561.51734334563,486.3242902442294,638.667290742329,386.13659797674234,514.108127997967,386.13659797674234
Overall,70,83,ReVac_RZV2,2024,5.861079514022087e-4,5.850688034136908e-4,5.017920879738291e-4,6.764586811895512e-4,10.652533694245538,10.666888082143663,9.886223608982716,11.349493006962533,-0.09459241034836141,-0.0947014167930908,-0.10134918684804191,-0.08704772545058469,-0.004422946330260286,-0.004405783181804123,-0.005204527502196038,-0.0036825739055776027,-0.007642277506358273,-0.007641742645286424,-0.008532170941770492,-0.006814692846271972,-1.0322033001978294e-6,-1.027743789355447e-6,-1.1959106870449283e-6,-8.802032995090247e-7,4.0618431552134915e-4,4.0563316099895275e-4,3.4841560402565364e-4,4.677965624367175e-4,0.011329370947403574,0.011333172265507358,0.009722250863397815,0.01299068888903516,0.011735555262924918,0.011734708667163751,0.010112266527180891,0.013399135317176868,0.008017954343496505,0.00801271200196747,0.0069115135263114824,0.009142185703092887,2.0500095365275507e-4,2.045381814816949e-4,1.7679455928600876e-4,2.3460225215989893e-4,0.008222955297149292,0.0082185284027911365,0.007101344054493408,0.009356002849461476,-14.812724218625466,-14.722987757283626,-17.520728098811183,-12.290968814959225,-7.871662114529231,-7.884089771954253,-8.46863060245216,-7.254808453032205,-3.097166435352855,-3.089155858195592,-3.5148179968573987,-2.7343415430681763,-10.968828549882087,-10.962173969301631,-11.879537633170496,-10.036833035088302,-25.781552768507552,-25.697961573975434,-29.003119165563206,-22.692537330233897,110,110,110,110,120.00400267796113,120.00401768008743,120.00350592704056,120.00442304951449,230.00400267796113,230.00401768008743,230.00350592704058,230.0044230495145,204.2224499094536,204.30617470760131,201.00097458448107,207.3115076364282,-8.937134339303716,-8.889364773639347,-10.477736355879186,-7.541477408869989,-5.742807554208917,-5.747443520274511,-6.1586083584213664,-5.316381745705095,-2.185941054078587,-2.1805707661889433,-2.469652042786563,-1.933034900558464,-7.928748608287504,-7.931053502836303,-8.551590612179494,-7.295173548409233,-16.86588294759122,-16.81254292729284,-18.739085584984547,-15.10735920195422,110,110,110,110,76.731057681274,76.73106727369586,76.7307400566724,76.73132646859099,186.731057681274,186.73106727369586,186.7307400566724,186.73132646859096,169.86517473368278,169.9185629572706,167.9921544005034,171.62356578518487,1,1,1,1,1.4118117962113073,1.411811972706911,1.41180595208283,1.411816741758994,1,1,1,1,0.902718325662047,0.902718438514069,0.9027145889020285,0.9027214878657766,20762.84788269113,20645.09087127827,18036.16033372166,24099.860302889996,85,85,84.99999999999999,85.00000000000001,200.8655151437496,200.99770726656783,175.00004570461482,227.16835658363777,291.95655347570454,291.93311585800996,253.21193226964013,330.5850416154792,200.99770726656783,268.0544759915402,200.99770726656783
Overall,70,84,ReVac_RZV1,2024,5.278486458918578e-4,5.268910329050414e-4,4.4572261322466393e-4,6.17432115686345e-4,9.912183131037892,9.926850759644068,9.048160101108751,10.683217301471071,-0.08757109982779414,-0.08769249881503519,-0.09499427382702533,-0.07936566385030226,-0.003968069314820676,-0.003951950719491086,-0.0047307543975333675,-0.0032511149166447153,-0.007002186096789673,-0.007007077278821964,-0.00792089697879654,-0.00614371988018423,-9.734522829261295e-7,-9.704928429734115e-7,-1.1394549416191629e-6,-8.24453370677164e-7,3.659585678959516e-4,3.6519959346215103e-4,3.099547416269388e-4,4.270901651126646e-4,0.010437476045784953,0.01042537690546749,0.008903530699553365,0.012063446659737997,0.010803434613680867,0.010796355808805558,0.009254500308662417,0.012401927316796967,0.007490777647158097,0.007492558170101427,0.006428988846542376,0.008604530636209114,1.8561047906616324e-4,1.8530350766265968e-4,1.5818101429667663e-4,2.1451797402960435e-4,0.007676388126224323,0.00767462157738219,0.006610026385709001,0.00878711953534821,-13.25787944466774,-13.208467859794393,-15.89719607566727,-10.840048381750533,-7.305101404636455,-7.317299451931508,-7.940388813055613,-6.620613566519008,-2.8417280261445605,-2.837766712742684,-3.243660278137754,-2.4709971241765776,-10.146829430781015,-10.159999315480762,-11.115991541879641,-9.117127241020958,-23.404708875448755,-23.369902114289506,-26.586291355857266,-20.33048427559862,110,110,110,110,56.67150186868039,56.6715136594439,56.671195408795,56.67175889418655,166.6715018686804,166.67151365944392,166.67119540879503,166.67175889418655,143.26679299323163,143.301697697051,140.0852850654798,146.34043883079352,-8.054583635563382,-8.012273479111611,-9.528662423171486,-6.641532695194594,-5.405922241457045,-5.40951084823331,-5.8571788430223934,-4.927559703938952,-2.0332303680724717,-2.0326542111791985,-2.318871551953259,-1.7748687027020738,-7.439152609529517,-7.4427342499515134,-8.093652437077049,-6.7330569028815646,-15.493736245092899,-15.475517786485057,-17.380020510094308,-13.707614098271234,110,110,110,110,35.0106218821012,35.010629166220184,35.010432556764556,35.01078066777854,145.0106218821012,145.01062916622018,145.01043255676456,145.01078066777853,129.5168856370083,129.53510288230092,127.63063285052041,131.30285885365143,1,1,1,1,0.6667235513962398,0.6667236901111047,0.6667199459858236,0.6667265752257241,1,1,1,1,0.4118896692011905,0.4118897548967081,0.41188744184428894,0.41189153726798283,16969.50759618969,16889.861599872267,14599.760461089916,19762.75402864896,85,85,84.99999999999999,85.00000000000001,410.3562199978829,410.07182039116344,355.8671056184889,466.62070378119716,596.72621653897545,596.2924770332386,516.2008977033717,678.7815722493808,410.07182039116344,544.3973264289825,410.07182039116344
