Scenario,Age0,Age1,Arm,Type,Index,M,L,U
Overall,70,72,ReVac_RZV1,Overall,dC_VacRZV_d,78.17102813745194,78.17101928952438,78.17103397749409
Overall,70,72,ReVac_RZV1,Overall,dC_Med_d,-10.690486988617154,-16.577052983306135,-8.046725003959402
Overall,70,72,ReVac_RZV1,Overall,dC_All_d,203.67539535461916,198.22909379100537,206.96984074575104
Overall,70,72,ReVac_RZV1,Overall,dN_VacRZV_d,0.9196591545582582,0.9196590504649926,0.9196592232646361
Overall,70,72,ReVac_RZV1,Overall,Thres20,141.59317550834476,109.73856254972003,198.66778402723037
Overall,70,72,ReVac_RZV1,Overall,Thres30,206.72034529541233,160.09352565410032,289.51634432372276
Overall,70,72,ReVac_RZV1,Overall,ICER,34084.58574038363,23823.938766094707,44181.067636573476
Overall,70,72,ReVac_RZV2,Overall,N0,1,1,1
Overall,70,72,ReVac_RZV2,Overall,AvtHZ,0.5352839869889471,0.42056353880787595,0.7248327474760969
Overall,70,72,ReVac_RZV2,Overall,AvtDeath,0.5434644701686191,0.2937154013359075,0.9210911758281289
Overall,70,72,ReVac_RZV2,Overall,dQ_HZ_d,0.007145852877425791,0.00562552313799483,0.00949043949238857
Overall,70,72,ReVac_RZV2,Overall,dQ_Life_d,1.4213915262306642e-4,9.598887091630815e-5,2.2989321796447194e-4
Overall,70,72,ReVac_RZV2,Overall,dQ_All_d,0.0072779130785471935,0.0057259756824669765,0.009727192553274124
Overall,70,72,ReVac_RZV2,Overall,dC_Vac_d,266.3420562749039,266.34203857904873,266.3420679549882
Overall,70,72,ReVac_RZV2,Overall,dC_VacRZV_d,156.34205627490388,156.34203857904876,156.34206795498818
Overall,70,72,ReVac_RZV2,Overall,dC_Med_d,-13.377276211590434,-19.53618670787936,-10.177065395213843
Overall,70,72,ReVac_RZV2,Overall,dC_All_d,279.18835490702065,273.42154565254697,282.716108446098
Overall,70,72,ReVac_RZV2,Overall,dN_VacRZV_d,1.8393183091165164,1.8393181009299853,1.8393184465292722
Overall,70,72,ReVac_RZV2,Overall,Thres20,86.46569002987587,67.97284375794388,116.90695233914907
Overall,70,72,ReVac_RZV2,Overall,Thres30,125.98825842459397,98.9205529383217,169.7917281584921
Overall,70,72,ReVac_RZV2,Overall,ICER,38368.78332724756,28060.387820035125,49465.5834799209
Overall,70,73,ReVac_RZV1,Overall,N0,1,1,1
Overall,70,73,ReVac_RZV1,Overall,AvtHZ,0.4490109913513851,0.3571986982556544,0.614098601517996
Overall,70,73,ReVac_RZV1,Overall,AvtDeath,0.4440826548023272,0.2509031810254516,0.8379371259139776
Overall,70,73,ReVac_RZV1,Overall,dQ_HZ_d,0.005996431338940175,0.004754442125587167,0.008131331278377
Overall,70,73,ReVac_RZV1,Overall,dQ_Life_d,1.1637790535612424e-4,8.017279236729457e-5,1.9173738961364428e-4
Overall,70,73,ReVac_RZV1,Overall,dQ_All_d,0.006115414904626526,0.004852327003398038,0.00831052244631625
Overall,70,73,ReVac_RZV1,Overall,dC_Vac_d,184.2910000488182,184.29098105020913,184.29101251706754
Overall,70,73,ReVac_RZV1,Overall,dC_VacRZV_d,74.29100004881818,74.29098105020914,74.29101251706756
Overall,70,73,ReVac_RZV1,Overall,dC_Med_d,-11.071391372106302,-16.447935900191293,-8.486451006194898
Overall,70,73,ReVac_RZV1,Overall,dC_All_d,199.36545252451313,194.26443863446426,202.59672436256523
Overall,70,73,ReVac_RZV1,Overall,dN_VacRZV_d,0.874011765280214,0.8740115417671662,0.8740119119655007
Overall,70,73,ReVac_RZV1,Overall,Thres20,153.10233828792784,121.13959265562443,208.1006649341952
Overall,70,73,ReVac_RZV1,Overall,Thres30,223.19591772128965,176.65745933063639,303.1871584312866
Overall,70,73,ReVac_RZV1,Overall,ICER,32641.83919048827,23476.995501342903,41526.34557491955
Overall,70,73,ReVac_RZV2,Overall,N0,1,1,1
Overall,70,73,ReVac_RZV2,Overall,AvtHZ,0.546418983199253,0.4376394199030223,0.7166525507004308
Overall,70,73,ReVac_RZV2,Overall,AvtDeath,0.5759835090436978,0.3301356010955401,0.9220463486972907
Overall,70,73,ReVac_RZV2,Overall,dQ_HZ_d,0.007207457713002357,0.005824511279140987,0.009340064722288982
Overall,70,73,ReVac_RZV2,Overall,dQ_Life_d,1.4774308016196613e-4,1.0327855783671681e-4,2.2910436096403866e-4
Overall,70,73,ReVac_RZV2,Overall,dQ_All_d,0.007357006882590333,0.005932409691518359,0.009556526035331327
Overall,70,73,ReVac_RZV2,Overall,dC_Vac_d,258.5820000976364,258.58196210041825,258.5820250341351
Overall,70,73,ReVac_RZV2,Overall,dC_VacRZV_d,148.58200009763635,148.58196210041828,148.5820250341351
Overall,70,73,ReVac_RZV2,Overall,dC_Med_d,-13.709679354605974,-19.207945120556282,-10.639703392263765
Overall,70,73,ReVac_RZV2,Overall,dC_All_d,271.1408421910179,265.95507796547884,274.37828149193126
Overall,70,73,ReVac_RZV2,Overall,dN_VacRZV_d,1.748023530560428,1.7480230835343324,1.7480238239310013
Overall,70,73,ReVac_RZV2,Overall,Thres20,92.29294645537497,74.28538987321966,120.54786136733918
Overall,70,73,ReVac_RZV2,Overall,Thres30,134.46511945302998,108.04506038174691,175.03076815607892
Overall,70,73,ReVac_RZV2,Overall,ICER,36808.91028521882,27802.613979240385,46365.78946167573
Overall,70,74,ReVac_RZV1,Overall,N0,1,1,1
Overall,70,74,ReVac_RZV1,Overall,AvtHZ,0.45860957751839837,0.3715985739398401,0.6090859884513061
Overall,70,74,ReVac_RZV1,Overall,AvtDeath,0.4743961260293248,0.2808656078341882,0.8396054364341808
Overall,70,74,ReVac_RZV1,Overall,dQ_HZ_d,0.006044315975236991,0.004872484880304113,0.007987482993421575
Overall,70,74,ReVac_RZV1,Overall,dQ_Life_d,1.2194990533576089e-4,8.679426515989519e-5,1.9063209914778058e-4
Overall,70,74,ReVac_RZV1,Overall,dQ_All_d,0.006166133879270674,0.00496859374808607,0.00819592820960655
Overall,70,74,ReVac_RZV1,Overall,dC_Vac_d,180.47780494847206,180.47777523511633,180.47782503905043
Overall,70,74,ReVac_RZV1,Overall,dC_VacRZV_d,70.47780494847207,70.47777523511634,70.47782503905044
Overall,70,74,ReVac_RZV1,Overall,dC_Med_d,-11.343149133701878,-16.240850801722654,-8.859816227543606
Overall,70,74,ReVac_RZV1,Overall,dC_All_d,195.24130247429179,190.43974304922537,198.3960216098232
Overall,70,74,ReVac_RZV1,Overall,dN_VacRZV_d,0.8291506464526126,0.8291502968837217,0.8291508828123583
Overall,70,74,ReVac_RZV1,Overall,Thres20,163.02775555999403,131.13264759300552,216.63905356131255
Overall,70,74,ReVac_RZV1,Overall,Thres30,237.13690603957292,191.04205889338846,315.58260898343315
Overall,70,74,ReVac_RZV1,Overall,ICER,31655.447983247344,23331.688490489654,39845.85042055648
Overall,70,74,ReVac_RZV2,Overall,N0,1,1,1
Overall,70,74,ReVac_RZV2,Overall,AvtHZ,0.5513024354707547,0.4519899563424389,0.7040211524247018
Overall,70,74,ReVac_RZV2,Overall,AvtDeath,0.6074571064502153,0.36810178678517946,0.9214347683077617
Overall,70,74,ReVac_RZV2,Overall,dQ_HZ_d,0.007183210201181945,0.005899856386957332,0.00912990946891233
Overall,70,74,ReVac_RZV2,Overall,dQ_Life_d,1.5346534419613533e-4,1.108492905234737e-4,2.2818714834307307e-4
Overall,70,74,ReVac_RZV2,Overall,dQ_All_d,0.0073371903076573375,0.0060693673611498244,0.009345534250959277
Overall,70,74,ReVac_RZV2,Overall,dC_Vac_d,250.95560989694414,250.95555047023268,250.9556500781009
Overall,70,74,ReVac_RZV2,Overall,dC_VacRZV_d,140.95560989694414,140.95555047023268,140.9556500781009
Overall,70,74,ReVac_RZV2,Overall,dC_Med_d,-13.85828389776607,-18.765184211230864,-11.022686261793183
Overall,70,74,ReVac_RZV2,Overall,dC_All_d,263.2681106788444,258.6502754883941,266.3800400802936
Overall,70,74,ReVac_RZV2,Overall,dN_VacRZV_d,1.6583012929052252,1.6583005937674433,1.6583017656247165
Overall,70,74,ReVac_RZV2,Overall,Thres20,97.09662867330071,80.01019092572967,124.09075468370393
Overall,70,74,ReVac_RZV2,Overall,Thres30,141.2741793796505,116.32149513915446,180.12344545932262
Overall,70,74,ReVac_RZV2,Overall,ICER,35875.36426146206,27638.74993953954,43855.91403035355
Overall,70,75,ReVac_RZV1,Overall,N0,1,1,1
Overall,70,75,ReVac_RZV1,Overall,AvtHZ,0.46421138203675516,0.3808528481042532,0.5969491459259392
Overall,70,75,ReVac_RZV1,Overall,AvtDeath,0.500913976391341,0.3177694122677679,0.8396962248902782
Overall,70,75,ReVac_RZV1,Overall,dQ_HZ_d,0.006093591259725448,0.004973873230920743,0.007803659611016214
Overall,70,75,ReVac_RZV1,Overall,dQ_Life_d,1.2671390504426228e-4,9.369205632436817e-5,1.8868385810026924e-4
Overall,70,75,ReVac_RZV1,Overall,dQ_All_d,0.0062051919766208385,0.00506297667314044,0.00801006237621875
Overall,70,75,ReVac_RZV1,Overall,dC_Vac_d,176.72281729459172,176.72277039989612,176.72284601790892
Overall,70,75,ReVac_RZV1,Overall,dC_VacRZV_d,66.72281729459172,66.72277039989613,66.7228460179089
Overall,70,75,ReVac_RZV1,Overall,dC_Med_d,-11.603939300531257,-15.91761980182728,-9.253535026334866
Overall,70,75,ReVac_RZV1,Overall,dC_All_d,191.28676426280583,187.0433457645796,194.29000358314647
Overall,70,75,ReVac_RZV1,Overall,dN_VacRZV_d,0.7849743211128438,0.7849737694105429,0.7849746590342224
Overall,70,75,ReVac_RZV1,Overall,Thres20,172.19615053452566,140.59737117406718,224.31031159346418
Overall,70,75,ReVac_RZV1,Overall,Thres30,251.1394523787918,205.0527929300427,326.5081363255074
Overall,70,75,ReVac_RZV1,Overall,ICER,30917.080881833306,23421.746679187007,38344.513453974694
Overall,70,75,ReVac_RZV2,Overall,N0,1,1,1
Overall,70,75,ReVac_RZV2,Overall,AvtHZ,0.5509550085505495,0.45980743746618213,0.6870884752383083
Overall,70,75,ReVac_RZV2,Overall,AvtDeath,0.6369248163716551,0.40733854798186386,0.91930961021419
Overall,70,75,ReVac_RZV2,Overall,dQ_HZ_d,0.007117092584720793,0.005947178281474324,0.008862681391769019
Overall,70,75,ReVac_RZV2,Overall,dQ_Life_d,1.5804524312734713e-4,1.1743043210494797e-4,2.24913703401608e-4
Overall,70,75,ReVac_RZV2,Overall,dQ_All_d,0.007267895352559783,0.00607566797278385,0.009076505285107795
Overall,70,75,ReVac_RZV2,Overall,dC_Vac_d,243.44563458918344,243.44554079979227,243.4456920358178
Overall,70,75,ReVac_RZV2,Overall,dC_VacRZV_d,133.44563458918344,133.44554079979227,133.4456920358178
Overall,70,75,ReVac_RZV2,Overall,dC_Med_d,-13.880001723959431,-18.310131921668212,-11.270678790336909
Overall,70,75,ReVac_RZV2,Overall,dC_All_d,255.64648145435712,251.42581125811833,258.66855518709076
Overall,70,75,ReVac_RZV2,Overall,dN_VacRZV_d,1.5699486422256876,1.5699475388210857,1.5699493180684447
Overall,70,75,ReVac_RZV2,Overall,Thres20,101.4281482266376,85.3836528279829,127.38068309239983
Overall,70,75,ReVac_RZV2,Overall,Thres30,147.65382597360355,124.19588371797047,184.83242825477564
Overall,70,75,ReVac_RZV2,Overall,ICER,35201.85800104686,27665.26150538298,42638.670657490584
Overall,70,76,ReVac_RZV1,Overall,N0,1,1,1
Overall,70,76,ReVac_RZV1,Overall,AvtHZ,0.4645149043902369,0.3857505436241658,0.5832453481571744
Overall,70,76,ReVac_RZV1,Overall,AvtDeath,0.5334799237983382,0.35428344389159544,0.8376355003918614
Overall,70,76,ReVac_RZV1,Overall,dQ_HZ_d,0.006065953169729033,0.004993486576669971,0.007604539541369978
Overall,70,76,ReVac_RZV1,Overall,dQ_Life_d,1.2999571578564684e-4,1.0011492854711257e-4,1.8722955545276144e-4
Overall,70,76,ReVac_RZV1,Overall,dQ_All_d,0.00620073810785815,0.005103093681442283,0.007781486383452929
Overall,70,76,ReVac_RZV1,Overall,dC_Vac_d,173.02059451073336,173.02053133982776,173.02063456577275
Overall,70,76,ReVac_RZV1,Overall,dC_VacRZV_d,63.02059451073336,63.02053133982774,63.02063456577274
Overall,70,76,ReVac_RZV1,Overall,dC_Med_d,-11.753771758943849,-15.5171444791024,-9.558859083120057
Overall,70,76,ReVac_RZV1,Overall,dC_All_d,187.48422274484605,183.7928168253733,190.30431486805372
Overall,70,76,ReVac_RZV1,Overall,dN_VacRZV_d,0.7414187589498042,0.7414180157626792,0.7414192301855618
Overall,70,76,ReVac_RZV1,Overall,Thres20,182.76819180341488,150.71120260272252,230.05363835809635
Overall,70,76,ReVac_RZV1,Overall,Thres30,265.9620300235591,219.87719818173807,334.73385527179283
Overall,70,76,ReVac_RZV1,Overall,ICER,30347.68796649643,23710.375282477944,37250.230221213395
Overall,70,76,ReVac_RZV2,Overall,N0,1,1,1
Overall,70,76,ReVac_RZV2,Overall,AvtHZ,0.5454665870017258,0.46299148136152896,0.6655173144018898
Overall,70,76,ReVac_RZV2,Overall,AvtDeath,0.663829494240674,0.4482266087273346,0.9149878968394225
Overall,70,76,ReVac_RZV2,Overall,dQ_HZ_d,0.006996635802021874,0.00590829660378276,0.008599668059054374
Overall,70,76,ReVac_RZV2,Overall,dQ_Life_d,1.6037695447401745e-4,1.2310494692227003e-4,2.216513514906371e-4
Overall,70,76,ReVac_RZV2,Overall,dQ_All_d,0.007144443891197838,0.006041702098274015,0.00880235362930053
Overall,70,76,ReVac_RZV2,Overall,dC_Vac_d,236.04118902146672,236.04106267965545,236.0412691315455
Overall,70,76,ReVac_RZV2,Overall,dC_VacRZV_d,126.04118902146672,126.04106267965548,126.04126913154548
Overall,70,76,ReVac_RZV2,Overall,dC_Med_d,-13.974645819383083,-17.790742597600154,-11.521455061985684
Overall,70,76,ReVac_RZV2,Overall,dC_All_d,248.20952153653394,244.55836632627268,251.03354343831515
Overall,70,76,ReVac_RZV2,Overall,dN_VacRZV_d,1.4828375178996085,1.4828360315253584,1.4828384603711235
Overall,70,76,ReVac_RZV2,Overall,Thres20,105.89327513502536,89.75912766318271,130.34656998690582
Overall,70,76,ReVac_RZV2,Overall,Thres30,154.39446470035355,130.5641588603654,189.06052030567596
Overall,70,76,ReVac_RZV2,Overall,ICER,34722.81478776242,27915.64975162493,41557.43782289103
Overall,70,77,ReVac_RZV1,Overall,N0,1,1,1
Overall,70,77,ReVac_RZV1,Overall,AvtHZ,0.46242630524088013,0.38561223860605875,0.5642463090675345
Overall,70,77,ReVac_RZV1,Overall,AvtDeath,0.56322660575385,0.3866157167634734,0.8340103254567452
Overall,70,77,ReVac_RZV1,Overall,dQ_HZ_d,0.006007907427147264,0.004979505120862462,0.007413707801388878
Overall,70,77,ReVac_RZV1,Overall,dQ_Life_d,1.329574495692043e-4,1.0433516486574312e-4,1.869322952667396e-4
Overall,70,77,ReVac_RZV1,Overall,dQ_All_d,0.0061356765797944135,0.0050894653078033866,0.007586041021618417
Overall,70,77,ReVac_RZV1,Overall,dC_Vac_d,169.3657159045651,169.36563823111064,169.36576809986423
Overall,70,77,ReVac_RZV1,Overall,dC_VacRZV_d,59.36571590456511,59.36563823111064,59.36576809986422
Overall,70,77,ReVac_RZV1,Overall,dC_Med_d,-11.801291245829173,-15.185051441842006,-9.637787063610174
Overall,70,77,ReVac_RZV1,Overall,dC_All_d,183.69841453800592,180.42616157751368,186.46960090949744
Overall,70,77,ReVac_RZV1,Overall,dN_VacRZV_d,0.6984201871125306,0.698419273307184,0.6984208011748733
Overall,70,77,ReVac_RZV1,Overall,Thres20,192.25809138566296,160.5453349517142,238.8061843476269
Overall,70,77,ReVac_RZV1,Overall,Thres30,280.49752498019984,233.4442202763782,347.53599375643216
Overall,70,77,ReVac_RZV1,Overall,ICER,29981.909309307783,23866.910592800014,36666.61794712402
Overall,70,77,ReVac_RZV2,Overall,N0,1,1,1
Overall,70,77,ReVac_RZV2,Overall,AvtHZ,0.5378699146592469,0.4594323136503413,0.6412113181721376
Overall,70,77,ReVac_RZV2,Overall,AvtDeath,0.6860975826475768,0.49026431227253253,0.9091598278398043
Overall,70,77,ReVac_RZV2,Overall,dQ_HZ_d,0.006834823217548318,0.005783654475464191,0.008296781716203308
Overall,70,77,ReVac_RZV2,Overall,dQ_Life_d,1.6137182831954533e-4,1.278646616215795e-4,2.1631083360680318e-4
Overall,70,77,ReVac_RZV2,Overall,dQ_All_d,0.006992739086295607,0.005924476408931234,0.008509768108368345
Overall,70,77,ReVac_RZV2,Overall,dC_Vac_d,228.7314318091302,228.73127646222127,228.73153619972842
Overall,70,77,ReVac_RZV2,Overall,dC_VacRZV_d,118.73143180913021,118.73127646222127,118.73153619972844
Overall,70,77,ReVac_RZV2,Overall,dC_Med_d,-13.95633924677632,-17.374700305066224,-11.51654603236121
Overall,70,77,ReVac_RZV2,Overall,dC_All_d,240.95915072345986,237.64467009854266,243.6049546562343
Overall,70,77,ReVac_RZV2,Overall,dN_VacRZV_d,1.3968403742250612,1.396838546614368,1.3968416023497465
Overall,70,77,ReVac_RZV2,Overall,Thres20,110.3691138162896,93.84193595636124,134.208821105588
Overall,70,77,ReVac_RZV2,Overall,Thres30,160.4748058168741,136.44665668604915,195.13567379464814
Overall,70,77,ReVac_RZV2,Overall,ICER,34454.63163062332,28001.110007523406,40973.28755368139
Overall,70,78,ReVac_RZV1,Overall,N0,1,1,1
Overall,70,78,ReVac_RZV1,Overall,AvtHZ,0.45572092479479787,0.38583126539353513,0.5475218457268637
Overall,70,78,ReVac_RZV1,Overall,AvtDeath,0.5908820112016625,0.42259719965797504,0.8291116049013997
Overall,70,78,ReVac_RZV1,Overall,dQ_HZ_d,0.005895649260348895,0.0048783523440121416,0.007154804828657463
Overall,70,78,ReVac_RZV1,Overall,dQ_Life_d,1.34771799294775e-4,1.0714573242016635e-4,1.8503541639982579e-4
Overall,70,78,ReVac_RZV1,Overall,dQ_All_d,0.006028823750371615,0.005015298549456704,0.007323419873638804
Overall,70,78,ReVac_RZV1,Overall,dC_Vac_d,165.75774865176675,165.75765838891442,165.75781270471012
Overall,70,78,ReVac_RZV1,Overall,dC_VacRZV_d,55.75774865176677,55.75765838891442,55.7578127047101
Overall,70,78,ReVac_RZV1,Overall,dC_Med_d,-11.783838878071368,-14.763852642187777,-9.652892079500079
Overall,70,78,ReVac_RZV1,Overall,dC_All_d,180.17526455458125,177.1520447508686,182.8449217151147
Overall,70,78,ReVac_RZV1,Overall,dN_VacRZV_d,0.6559735135501972,0.6559724516342872,0.6559742671142365
Overall,70,78,ReVac_RZV1,Overall,Thres20,201.68823784031503,168.97666582964942,245.95314723729854
Overall,70,78,ReVac_RZV1,Overall,Thres30,293.58423929874664,245.49801134390518,357.0172313281954
Overall,70,78,ReVac_RZV1,Overall,ICER,29955.18206569906,24271.782188092187,36311.44060578244
Overall,70,78,ReVac_RZV2,Overall,N0,1,1,1
Overall,70,78,ReVac_RZV2,Overall,AvtHZ,0.524095872223082,0.4519382722498894,0.6162956805560053
Overall,70,78,ReVac_RZV2,Overall,AvtDeath,0.7075294356813335,0.5309695045573549,0.8996498001860732
Overall,70,78,ReVac_RZV2,Overall,dQ_HZ_d,0.006634413724593023,0.005691911320474871,0.007964570677402407
Overall,70,78,ReVac_RZV2,Overall,dQ_Life_d,1.6210983580844385e-4,1.316002993916321e-4,2.099587866222219e-4
Overall,70,78,ReVac_RZV2,Overall,dQ_All_d,0.006797546763305462,0.005835078457686782,0.008156017981391183
Overall,70,78,ReVac_RZV2,Overall,dC_Vac_d,221.51549730353355,221.51531677782884,221.51562540942018
Overall,70,78,ReVac_RZV2,Overall,dC_VacRZV_d,111.51549730353354,111.51531677782884,111.5156254094202
Overall,70,78,ReVac_RZV2,Overall,dC_Med_d,-13.79972247340196,-16.718378738443885,-11.495091867580582
Overall,70,78,ReVac_RZV2,Overall,dC_All_d,233.90529964991623,230.91389916547456,236.44940419183524
Overall,70,78,ReVac_RZV2,Overall,dN_VacRZV_d,1.3119470271003943,1.3119449032685744,1.311948534228473
Overall,70,78,ReVac_RZV2,Overall,Thres20,114.47351416443996,97.61462514055941,136.25334633935591
Overall,70,78,ReVac_RZV2,Overall,Thres30,166.32511569583374,142.0540790214254,198.01880801524547
Overall,70,78,ReVac_RZV2,Overall,ICER,34396.94338819664,28534.989352547527,40458.97092672823
Overall,70,79,ReVac_RZV1,Overall,N0,1,1,1
Overall,70,79,ReVac_RZV1,Overall,AvtHZ,0.4469427076129522,0.38104295347317213,0.5291788775670534
Overall,70,79,ReVac_RZV1,Overall,AvtDeath,0.6149365830684785,0.4567498324911548,0.8249729415546925
Overall,70,79,ReVac_RZV1,Overall,dQ_HZ_d,0.005747912911267576,0.004744972267114238,0.0068761070901237125
Overall,70,79,ReVac_RZV1,Overall,dQ_Life_d,1.356644308732058e-4,1.1038423921498897e-4,1.7943627599659173e-4
Overall,70,79,ReVac_RZV1,Overall,dQ_All_d,0.005887409208042094,0.004873412874181592,0.007040010040044776
Overall,70,79,ReVac_RZV1,Overall,dC_Vac_d,162.19430306091368,162.1942010664982,162.19438153983506
Overall,70,79,ReVac_RZV1,Overall,dC_VacRZV_d,52.19430306091367,52.194201066498216,52.1943815398351
Overall,70,79,ReVac_RZV1,Overall,dC_Med_d,-11.643879921961712,-14.217700923751481,-9.61335711929469
Overall,70,79,ReVac_RZV1,Overall,dC_All_d,176.75000617409756,174.06942874197983,179.2065991220338
Overall,70,79,ReVac_RZV1,Overall,dN_VacRZV_d,0.6140506242460433,0.6140494243117438,0.6140515475274717
Overall,70,79,ReVac_RZV1,Overall,Thres20,211.06993897212806,175.64797742766942,253.07861911202482
Overall,70,79,ReVac_RZV1,Overall,Thres30,306.9208068147053,255.0252483162309,367.0643051059402
Overall,70,79,ReVac_RZV1,Overall,ICER,30048.711903547504,24835.24293033305,36436.825172432975
Overall,70,79,ReVac_RZV2,Overall,N0,1,1,1
Overall,70,79,ReVac_RZV2,Overall,AvtHZ,0.51124362793636,0.4457158156609201,0.5875340080919672
Overall,70,79,ReVac_RZV2,Overall,AvtDeath,0.7248635816638087,0.5597527053233501,0.8892003319271521
Overall,70,79,ReVac_RZV2,Overall,dQ_HZ_d,0.006437299721950014,0.005488111818590347,0.00764582609668584
Overall,70,79,ReVac_RZV2,Overall,dQ_Life_d,1.621675221556984e-4,1.327916410826191e-4,2.0637230167528387e-4
Overall,70,79,ReVac_RZV2,Overall,dQ_All_d,0.006603889886075187,0.005630421690478871,0.007834487731835394
