Age,Year,Pr,YearVac,TimeVac,N,Protection,Agp
60,2023,1,NA,-1,753719,0,"[60,65)"
61,2023,1,NA,-1,734138,0,"[60,65)"
62,2023,1,NA,-1,706598,0,"[60,65)"
63,2023,1,NA,-1,675255,0,"[60,65)"
64,2023,1,NA,-1,657835,0,"[60,65)"
65,2023,1,NA,-1,640873,0,"[65,70)"
66,2023,1,NA,-1,613950,0,"[65,70)"
67,2023,1,NA,-1,588130,0,"[65,70)"
68,2023,1,NA,-1,562855,0,"[65,70)"
69,2023,1,NA,-1,559697,0,"[65,70)"
70,2023,0.5178643446426012,NA,-1,283556.1040447117,0,"[70,75)"
70,2023,0.4821356553573988,2023,0,263992.8959552883,0.6513268044326596,"[70,75)"
71,2023,0.44756744584465197,NA,-1,235729.7456193656,0,"[70,75)"
71,2023,0.4821356553573988,2022,1,253936.51045584373,0.5509993170024011,"[70,75)"
71,2023,0.07029689879794924,2023,0,37024.74392479069,0.6481607908545169,"[70,75)"
72,2023,0.3868129185803513,NA,-1,202970.4087020748,0,"[70,75)"
72,2023,0.4821356553573988,2021,2,252988.63175741106,0.4719243755767834,"[70,75)"
72,2023,0.07029689879794924,2022,1,36886.540221753916,0.5478305779307087,"[70,75)"
72,2023,0.0607545272643007,2023,0,31879.419318760185,0.6452406718202545,"[70,75)"
73,2023,0.33430544462025763,NA,-1,176722.54996782832,0,"[70,75)"
73,2023,0.4821356553573988,2020,3,254869.4429489603,0.4065354762066344,"[70,75)"
73,2023,0.07029689879794924,2021,2,37160.76842396472,0.46893476878918355,"[70,75)"
73,2023,0.0607545272643007,2022,1,32116.42272961822,0.5448565627157417,"[70,75)"
73,2023,0.05250747396009363,2023,0,27756.815929628454,0.6424934096613427,"[70,75)"
74,2023,0.28892553721556385,NA,-1,154497.4414408157,0,"[70,75)"
74,2023,0.4821356553573988,2019,4,257812.8811249172,0.35144819672852506,"[70,75)"
74,2023,0.07029689879794924,2020,3,37589.930991126195,0.40375690834315875,"[70,75)"
74,2023,0.0607545272643007,2021,2,32487.32911856678,0.46606408982219,"[70,75)"
74,2023,0.05250747396009363,2022,1,28077.374058154826,0.5419957559247677,"[70,75)"
74,2023,0.045379907404693796,2023,0,24266.043266419318,0.6398446820553709,"[70,75)"
75,2023,0.2497056730563452,NA,-1,138445.3151353217,0,"[75,80)"
75,2023,0.4821356553573988,2018,5,267312.39994242403,0.30458667771468245,"[75,80)"
75,2023,0.07029689879794924,2019,4,38974.99078814219,0.3488570745835045,"[75,80)"
75,2023,0.0607545272643007,2020,3,33684.375569255295,0.40101740361329086,"[75,80)"
75,2023,0.05250747396009363,2021,2,29111.92881759055,0.46322973108002957,"[75,80)"
75,2023,0.045379907404693796,2022,1,25160.163582014,0.5391662301373565,"[75,80)"
75,2023,0.03921986415921865,2023,0,21744.826165252234,0.6372190677601056,"[75,80)"
76,2023,0.2158096641696355,NA,-1,127231.01913053695,0,"[75,80)"
76,2023,0.4821356553573988,2017,6,284244.0398872652,0.26448366110321236,"[75,80)"
76,2023,0.07029689879794924,2018,5,41443.67728012857,0.3021529489650393,"[75,80)"
76,2023,0.0607545272643007,2019,4,35817.95305772301,0.3462440024904786,"[75,80)"
76,2023,0.05250747396009363,2020,3,30955.886288121117,0.39825140074815657,"[75,80)"
76,2023,0.045379907404693796,2021,2,26753.815170252037,0.4603638804315993,"[75,80)"
76,2023,0.03921986415921865,2022,1,23122.149354795674,0.536300288382287,"[75,80)"
76,2023,0.03389600888670969,2023,0,19983.45983117747,0.63455371185499,"[75,80)"
77,2023,0.18651482995543175,NA,-1,83263.39084421398,0,"[75,80)"
77,2023,0.4821356553573988,2016,7,215233.55285768388,0.2300535466430868,"[75,80)"
77,2023,0.07029689879794924,2017,6,31381.73067068411,0.262217531652009,"[75,80)"
