Scenario,Age0,Age1,Arm,Type,Index,M,L,U
Vac_60,60,61,ReVac_RZV1,Overall,AvtHZ,0.3621596549841009,0.23471606736792444,0.7084280341354066
Vac_60,60,61,ReVac_RZV1,Overall,AvtDeath,0.21418160409976605,0.05669754860997967,0.8868192192802107
Vac_60,60,61,ReVac_RZV1,Overall,dQ_HZ_d,0.005467999181609838,0.0036570046204539002,0.009759886650519526
Vac_60,60,61,ReVac_RZV1,Overall,dQ_Life_d,5.3153214881973554e-5,2.372613540919666e-5,1.6156965477951424e-4
Vac_60,60,61,ReVac_RZV1,Overall,dQ_All_d,0.005517796788748974,0.00368277140051223,0.00990501286871588
Vac_60,60,61,ReVac_RZV1,Overall,dC_Vac_d,252.1256038647343,252.1256038647343,252.1256038647343
Vac_60,60,61,ReVac_RZV1,Overall,dC_VacRZV_d,252.1256038647343,252.1256038647343,252.1256038647343
Vac_60,60,61,ReVac_RZV1,Overall,dC_Med_d,-8.151687979476604,-17.137095366751623,-5.1729632016564215
Vac_60,60,61,ReVac_RZV1,Overall,dC_All_d,267.74878400472255,259.22425152144626,270.9480176568998
Vac_60,60,61,ReVac_RZV1,Overall,Thres20,40.09293806264776,26.70035531060278,72.80807596925652
Vac_60,60,61,ReVac_RZV1,Overall,Thres30,58.695282285303094,39.11621328952838,106.20119752991103
Vac_60,60,61,ReVac_RZV1,Overall,ICER,48481.711914188614,26074.252350960967,73184.59246537041
Vac_60,60,61,ReVac_RZV1,Second,AvtHZ,0,0,0
Vac_60,60,61,ReVac_RZV1,Second,AvtDeath,0,0,0
Vac_60,60,61,ReVac_RZV1,Second,dQ_HZ_d,0,0,0
Vac_60,60,61,ReVac_RZV1,Second,dQ_Life_d,0,0,0
Vac_60,60,61,ReVac_RZV1,Second,dQ_All_d,0,0,0
Vac_60,60,61,ReVac_RZV1,Second,dC_Vac_d,85,85,85
Vac_60,60,61,ReVac_RZV1,Second,dC_VacRZV_d,85,85,85
Vac_60,60,61,ReVac_RZV1,Second,dC_Med_d,0,0,0
Vac_60,60,61,ReVac_RZV1,Second,dC_All_d,85,84.99999999999994,85.00000000000006
Vac_60,60,61,ReVac_RZV1,Second,Thres20,0,0,0
