Scenario,Agp0,Arm,Year0,N0,dYear_Life_A,dYear_Life_M,dYear_Life_L,dYear_Life_U,dYear_Immunised_A,dYear_Immunised_M,dYear_Immunised_L,dYear_Immunised_U,dRisk_HZ_A,dRisk_HZ_M,dRisk_HZ_L,dRisk_HZ_U,dRisk_Hosp_A,dRisk_Hosp_M,dRisk_Hosp_L,dRisk_Hosp_U,dRisk_PHN_A,dRisk_PHN_M,dRisk_PHN_L,dRisk_PHN_U,dRisk_Death_A,dRisk_Death_M,dRisk_Death_L,dRisk_Death_U,dQ_Life_A,dQ_Life_M,dQ_Life_L,dQ_Life_U,dQ_HZ_A,dQ_HZ_M,dQ_HZ_L,dQ_HZ_U,dQ_HZ_Norm_A,dQ_HZ_Norm_M,dQ_HZ_Norm_L,dQ_HZ_Norm_U,dQ_All_A,dQ_All_M,dQ_All_L,dQ_All_U,dQ_HZ_d_A,dQ_HZ_d_M,dQ_HZ_d_L,dQ_HZ_d_U,dQ_HZ_Norm_d_A,dQ_HZ_Norm_d_M,dQ_HZ_Norm_d_L,dQ_HZ_Norm_d_U,dQ_Life_d_A,dQ_Life_d_M,dQ_Life_d_L,dQ_Life_d_U,dQ_All_d_A,dQ_All_d_M,dQ_All_d_L,dQ_All_d_U,dC_Hosp_A,dC_Hosp_M,dC_Hosp_L,dC_Hosp_U,dC_GP_NonPHN_A,dC_GP_NonPHN_M,dC_GP_NonPHN_L,dC_GP_NonPHN_U,dC_GP_PHN_A,dC_GP_PHN_M,dC_GP_PHN_L,dC_GP_PHN_U,dC_GP_A,dC_GP_M,dC_GP_L,dC_GP_U,dC_Med_A,dC_Med_M,dC_Med_L,dC_Med_U,dC_VacZVL_A,dC_VacZVL_M,dC_VacZVL_L,dC_VacZVL_U,dC_VacRZV_A,dC_VacRZV_M,dC_VacRZV_L,dC_VacRZV_U,dC_Vac_A,dC_Vac_M,dC_Vac_L,dC_Vac_U,dC_All_A,dC_All_M,dC_All_L,dC_All_U,dC_Hosp_d_A,dC_Hosp_d_M,dC_Hosp_d_L,dC_Hosp_d_U,dC_GP_NonPHN_d_A,dC_GP_NonPHN_d_M,dC_GP_NonPHN_d_L,dC_GP_NonPHN_d_U,dC_GP_PHN_d_A,dC_GP_PHN_d_M,dC_GP_PHN_d_L,dC_GP_PHN_d_U,dC_GP_d_A,dC_GP_d_M,dC_GP_d_L,dC_GP_d_U,dC_Med_d_A,dC_Med_d_M,dC_Med_d_L,dC_Med_d_U,dC_VacZVL_d_A,dC_VacZVL_d_M,dC_VacZVL_d_L,dC_VacZVL_d_U,dC_VacRZV_d_A,dC_VacRZV_d_M,dC_VacRZV_d_L,dC_VacRZV_d_U,dC_Vac_d_A,dC_Vac_d_M,dC_Vac_d_L,dC_Vac_d_U,dC_All_d_A,dC_All_d_M,dC_All_d_L,dC_All_d_U,dN_VacZVL_A,dN_VacZVL_M,dN_VacZVL_L,dN_VacZVL_U,dN_VacRZV_A,dN_VacRZV_M,dN_VacRZV_L,dN_VacRZV_U,dN_VacZVL_d_A,dN_VacZVL_d_M,dN_VacZVL_d_L,dN_VacZVL_d_U,dN_VacRZV_d_A,dN_VacRZV_d_M,dN_VacRZV_d_L,dN_VacRZV_d_U,ICER_A,ICER_M,ICER_L,ICER_U,Price0_A,Price0_M,Price0_L,Price0_U,Thres20_A,Thres20_M,Thres20_L,Thres20_U,Thres30_A,Thres30_M,Thres30_L,Thres30_U,ThresNorm20_A,ThresNorm20_M,ThresNorm20_L,ThresNorm20_U,ThresNorm30_A,ThresNorm30_M,ThresNorm30_L,ThresNorm30_U,Thres20_50,Thres30_90,ThresNorm20_50,ThresNorm30_90,Thres,ThresNorm
"Vac[60,65)","[60,65)",Vac_1d,2024,1,1.7158228017896348e-4,1.284071106368856e-4,5.7730917846932075e-5,4.944124143517747e-4,8.19114784889625,7.599154881263718,5.196248168345737,14.071943293200695,-0.06122464893772896,-0.055533546930644925,-0.11297518900687177,-0.036818738004385294,-0.0012793435233040705,-9.645678873602182e-4,-0.003792825991260179,-4.5548630479877016e-4,-0.0037614558956421064,-0.0032376420291187107,-0.008181878286956889,-0.0019029781571375528,-2.7620991505301216e-7,-1.8647664934086335e-7,-9.071254529287515e-7,-5.656571852453111e-8,428.3813099366203,324.6238719113171,148.17183605935426,1209.3391574006528,32203.794744785926,29197.74946343207,13700.231256871302,68003.54347222495,13652.895987684282,12135.745757778823,4659.686988002122,31408.132769862423,32628.682783174798,29604.66513985768,13909.328462199122,69064.48116640224,24016.859121014473,22803.739167731113,11217.539461213706,45657.726362527406,10451.137224665876,9631.67907270021,3674.0811165118175,22758.45411712915,200.76467832691966,161.72159240022302,83.0119158649817,512.6957340646534,24217.623799340992,22984.40890981257,11326.136037324368,46198.32839577552,-17620604.51200248,-12690014.537376732,-55328970.76982207,-5520133.539032811,-20352954.548874922,-18602176.941471696,-36878469.823327355,-12347869.953903837,-5946271.97161836,-5163333.20487899,-12782447.458260227,-3014201.4870369416,-26299226.52049328,-23733148.06706103,-49632562.37014579,-15525363.821848132,-43919831.03249576,-36447867.42841323,-104706501.60341549,-21190198.343178112,0,0,0,0,299841325,299841325,299841325,299841325,299841325,299841325,299841325,299841325,255921493.96750423,263393457.5715868,195134823.3965845,278651126.6568219,-10405172.781617487,-8308897.585764099,-28222340.66745251,-4263832.660982103,-15452254.352302263,-14744853.685298404,-24441950.834461503,-10198192.925934972,-4215541.6081891395,-3862777.566488209,-7864196.140899221,-2462508.3462039423,-19667795.960491404,-18604127.35126548,-32210196.92906197,-12759989.29199581,-30072968.74210889,-26748268.8737723,-59862321.18038857,-17125315.66810318,0,0,0,0,299841325,299841325,299841325,299841325,299841325,299841325,299841325,299841325,269768356.2578911,273093056.1262277,239979003.81961146,282716009.33189684,0,0,0,0,3527545,3527545,3527545,3527545,0,0,0,0,3527545,3527545,3527545,3527545,12647.26226214559,11844.215974046387,5387.100869848855,24547.849172566242,85,85,85,85,145.83100845741976,137.9822349198986,70.2878689362033,276.1679524977287,214.483920891821,203.25201285375672,102.6377769381399,406.78164762285365,68.91790375515119,63.49623842641074,28.199889214808728,142.56646743754723,99.11426383841814,91.7288263135617,38.757777647772805,209.2802288587777,137.9822349198986,134.46232390927423,63.49623842641074,51.213078382281566,134.46232390927423,51.213078382281566
"Vac[60,65)","[60,65)",Vac_2d,2024,1,2.3679945338566099e-4,1.8596313009844323e-4,8.282523389429031e-5,6.094737879021926e-4,10.523013618120999,9.826243351579485,6.948141166884056,16.792319722925583,-0.07968077039132188,-0.07324604467062379,-0.13775626295374632,-0.04882849712717415,-0.0017633809479603167,-0.0013886736967423678,-0.0046634719100080695,-6.399760891766736e-4,-0.005011644626336446,-0.004451688390913469,-0.0099520914490501,-0.002624728562586837,-3.731924939436749e-7,-2.799523786497963e-7,-1.0279407239184719e-6,-8.350745276149e-8,589.9012145790681,466.19847858324647,211.54723162744196,1496.6377701956778,42051.41183654339,38820.00311364198,18301.97522104447,83908.44904844275,17667.556274711267,15942.710802381644,6090.9789783682,40020.36982186515,42636.28902473449,39367.211324539036,18655.931541926228,85185.44298510009,30755.27624610381,29276.907869595827,14563.4072307668,55198.12876675478,13278.401987230247,12251.421291144703,4679.710451175868,28099.68889998808,272.75878632792086,227.04772470891476,112.77828061226755,629.3738794011994,31028.03503243168,29530.813874486834,14700.056438297033,55892.18162468819,-24490051.846407704,-18691263.16685161,-68688630.04386191,-7947084.515195081,-26413798.05871756,-24405319.851284288,-44862551.62845267,-16493491.11467368,-7911910.778333779,-7037060.824036352,-15576959.00887039,-4196264.865061621,-34325708.83705134,-31468510.412445173,-60422939.93798168,-20701570.677579347,-58815760.68345904,-50244741.582945995,-127302121.92686099,-28951916.542713836,0,0,0,0,599682650,599682650,599682650,599682650,599682650,599682650,599682650,599682650,540866889.316541,549437908.4170539,472380528.0731391,570730733.457286,-14181690.27908364,-11743121.290981997,-34190056.04789945,-5871311.103051997,-19682082.565689206,-18819877.2153253,-29474066.948927563,-13683363.020617122,-5500190.944329145,-5092821.6323747905,-9498809.958282176,-3289253.7271371107,-25182273.510018352,-23931008.936550446,-38968507.12816965,-16984284.481279943,-39363963.78910199,-35512146.17208618,-72688907.8213591,-23135941.867838603,0,0,0,0,599682650,599682650,599682650,599682650,599682650,599682650,599682650,599682650,560318686.210898,564170503.8279138,526993742.17864084,576546708.1321613,0,0,0,0,7055090,7055090,7055090,7055090,0,0,0,0,7055090,7055090,7055090,7055090,20241.352367403422,19090.702149959026,9554.939829687513,39027.045856114804,85,85,85,85,93.5388016932081,88.83537140625128,45.30759094054207,169.18715728410626,137.5184462228054,130.61183168665167,66.16843994174047,249.66350625016983,43.99478663777008,40.55141701134756,18.615529399913633,88.84826738347675,63.202423639648394,58.176827084088686,26.05890959752155,128.8029696820619,88.83537140625128,87.97714838457637,40.55141701134756,33.425748988101724,87.97714838457637,33.425748988101724
"Vac[65,70)","[65,70)",Vac_1d,2024,1,2.2608270652766649e-4,1.9087706204601318e-4,1.011817005996285e-4,5.213492415879095e-4,7.50224249928675,7.177524185189065,4.954756937262956,11.767196161382895,-0.061734354952528714,-0.05823111746138129,-0.10172007606123801,-0.03986947723849356,-0.0016572957101146713,-0.0013899213405839709,-0.003964146724049389,-7.313873534696245e-4,-0.004369721725871039,-0.0040211224931219905,-0.007870431549287675,-0.0025697717593693506,-3.8243026987987065e-7,-3.05672356866505e-7,-9.704113241262912e-7,-1.250471260527088e-7,471.75525667834285,401.2902227602899,215.10976581815632,1069.555631758459,27861.91604255475,26316.66198542055,12826.985087375038,53674.65683701011,11194.236960848977,10180.037998323274,3965.393729362197,24784.607979528613,28329.652305627777,26733.60453073308,13006.784943279625,54660.064418977876,21684.550704444486,20971.340077843342,10507.812536290703,38130.70605854625,8891.75826039787,8204.942818909052,3075.7499934995944,18877.457751653004,250.9961853742227,220.7735483739525,126.98379667894915,524.4010603314266,21935.54688981878,21206.492065437138,10658.611531777866,38674.408293830966,-19719981.291316595,-16216490.98745476,-49570489.69971788,-8050556.775521607,-16975473.68193808,-16101814.028570075,-27358823.846995715,-11066726.838407042,-5779836.892368271,-5349952.12615753,-10256615.801727235,-3459257.0129272654,-22755310.57430635,-21485734.05300229,-37469033.44674321,-14549184.680959156,-42475291.865622945,-37584807.95824438,-86258848.65095387,-23041075.42242524,0,0,0,0,252067925,252067925,252067925,252067925,252067925,252067925,252067925,252067925,209592633.13437706,214483117.04175562,165809076.34904614,229026849.5775748,-12989650.832615785,-11329872.243031122,-28246453.11102701,-6247376.794917953,-13393816.907175202,-13071036.219746094,-19592774.85321189,-9345821.243271854,-4377994.3290663855,-4201060.028041607,-7010954.464334803,-2858789.2351070116,-17771811.236241587,-17308875.64192449,-26670707.19859655,-12221180.04009793,-30761462.06885737,-28487835.193849873,-54563889.80411496,-18727389.862970185,0,0,0,0,252067925,252067925,252067925,252067925,252067925,252067925,252067925,252067925,221306462.93114263,223580089.80615014,197504035.19588506,233340535.13702983,0,0,0,0,2965505,2965505,2965505,2965505,0,0,0,0,2965505,2965505,2965505,2965505,11249.722637574438,10488.337787648139,5191.568052954844,21644.824410777284,85,85,85,85,158.3111139132232,152.915825294375,79.3713973397274,280.4359227699854,232.28012387887418,224.3610108825078,114.61187672276972,410.80810792071225,72.03378547137814,67.08078867881267,31.307301447038128,143.62543686321592,102.86413121610657,95.63616277951009,42.825159404287135,207.26414696963553,152.915825294375,149.84722511932026,67.08078867881267,56.270086152379065,149.84722511932026,56.270086152379065
"Vac[65,70)","[65,70)",Vac_2d,2024,1,3.0540300964119994e-4,2.66075580514169e-4,1.4242631018968055e-4,6.341134753734323e-4,9.551327149905656,9.136906448150015,6.665817111482676,14.120834676854107,-0.07927169447671212,-0.07526113921685053,-0.12230490796584498,-0.05261206076298793,-0.002243508031407083,-0.0019507749750811844,-0.004825049348019688,-0.0010069425664953992,-0.005704513902341058,-0.005308864032267128,-0.009505460748997368,-0.0034943353735774414,-5.041919067620666e-7,-4.341496862944824e-7,-1.081954635527538e-6,-1.8066675186149088e-7,635.7729074560552,558.2494687102735,302.4325526606292,1296.5991976989433,35870.63736038489,34079.58248296057,16765.79875459704,65625.81540344459,14292.547547619444,13041.582829008905,5123.30969151287,30852.6913619052,36500.6754934573,34637.829622294754,17223.0542308297,66865.34374908339,27461.501254024413,26575.00616645073,13879.189630666167,46760.5197257132,11178.803115372924,10373.35425679072,4139.786341103558,23258.534533863833,333.9690217307247,302.1691966596991,174.14414244899524,633.0404206855221,27795.47027575525,26895.42857611552,14059.375497018547,47326.89222083641,-26890911.14414809,-23032563.345752824,-60268014.985789016,-11255692.52825631,-21737243.66192532,-20767382.244958706,-32830132.890988506,-14677758.031924145,-7533545.618225365,-7050406.799559428,-12385269.963802764,-4691958.178198205,-29270789.280150685,-27809646.96507796,-45050250.23912814,-19411270.88058088,-56161700.42429877,-50612001.7021875,-104855127.46658358,-31255788.49492462,0,0,0,0,504135850,504135850,504135850,504135850,504135850,504135850,504135850,504135850,447974149.57570124,453523848.29781246,399280722.53341645,472880061.50507534,-17394310.34773256,-15592903.088218655,-34304071.08318194,-8564620.233937271,-16881648.42444551,-16498658.095945472,-23365912.073632214,-12405783.608614035,-5613880.191968377,-5406347.529824117,-8523104.981205544,-3825544.799963534,-22495528.616413884,-21866502.16506926,-31910821.11108009,-16194439.469328215,-39889838.96414644,-37445758.61481473,-65968829.08577083,-25119369.819024213,0,0,0,0,504135850,504135850,504135850,504135850,504135850,504135850,504135850,504135850,464246011.03585356,466690091.3851853,438167020.91422915,479016480.18097574,0,0,0,0,5931010,5931010,5931010,5931010,0,0,0,0,5931010,5931010,5931010,5931010,18397.387419066377,17345.272886593033,9331.93096150293,33857.16596005558,85,85,85,85,100.45493844711972,97.1050927466218,51.93942745418504,169.95582264746164,147.31958759752624,142.68826447799694,75.74690978939223,249.75149357169954,45.547939003006135,42.47555440934859,20.606085705063265,88.65237487406772,64.95908843135587,60.5271992170873,28.203895480470766,128.81677981605617,97.1050927466218,97.82537834802335,42.47555440934859,35.76437232505339,97.1050927466218,35.76437232505339
"Vac[70,75)","[70,75)",Vac_1d,2024,1,2.921854763369911e-4,2.681085954527873e-4,1.6205305857059927e-4,5.303511646282732e-4,6.6701073950913825,6.512787960920134,4.670759584833354,9.62245398269728,-0.05939578993965922,-0.05799665447567467,-0.08652623485485317,-0.04131719147490254,-0.0021451530659364086,-0.001974092644023969,-0.003967611246483777,-0.0011539645850748086,-0.004799704718652177,-0.004640917279527887,-0.007317631960782628,-0.003198174424919627,-5.368901940648477e-7,-4.836353159647753e-7,-1.0418370451400863e-6,-2.608547396365302e-7,542.4167239567228,502.24293979629874,305.82337434906515,970.3642772123216,24559.376973636197,23844.482304522942,11926.464868478759,42762.311570583115,9281.54970019033,8419.2880081779,3251.271056759639,20004.625543705853,25096.551230925266,24391.1692603454,12318.936451911648,43621.16006092038,19932.770766257534,19532.89430073106,10080.870710897618,32912.47328631178,7648.908472355018,6968.497159198499,2695.8419976075143,15992.427220384407,324.0463935681954,304.62864947132766,194.38977545248343,548.0010155965573,20256.817159825787,19844.052493121475,10296.41104434142,33376.86865162495,-23640260.39680309,-21592556.323939677,-45369855.891761936,-12310714.392381813,-14363520.145360012,-14035115.6526363,-20651677.72284436,-10008470.8256545,-5654527.529427594,-5513136.582510648,-8500833.521323228,-3805437.843518331,-20018047.674787603,-19612645.25798392,-29227790.508734707,-13844861.994062526,-43658308.07159069,-40978675.7666644,-73739148.02643634,-26483026.663722645,0,0,0,0,226297370,226297370,226297370,226297370,226297370,226297370,226297370,226297370,182639061.9284093,185318694.2333356,152558221.97356364,199814343.3362774,-17186890.220536612,-16038728.978002772,-29907021.670788016,-9767579.624813037,-11772259.917111756,-11633620.618714523,-15892723.144548042,-8502362.31689345,-4552090.949742344,-4486106.431906955,-6465740.9480725285,-3175932.2047219,-16324350.866854101,-16135924.414856473,-22382135.36780173,-11779451.881685605,-33511241.087390713,-32342061.162363388,-51953785.76032542,-21994108.92452385,0,0,0,0,226297370,226297370,226297370,226297370,226297370,226297370,226297370,226297370,192786128.91260928,193955308.83763665,174343584.2396746,204303261.07547614,0,0,0,0,2662322,2662322,2662322,2662322,0,0,0,0,2662322,2662322,2662322,2662322,10460.60163110253,9748.638206317977,5339.964381382644,19522.126219793674,85,85,85,85,164.76128142422533,161.59683745401014,86.88104518154469,268.96773405109195,240.84831056580094,236.5480689840129,125.99436644414817,394.96041872402753,72.48196814880205,67.6368752802499,33.67196251919302,137.88279500036242,102.42934065266603,95.46466990863391,44.864424069767274,201.05016495290636,161.59683745401014,159.4586526311991,67.6368752802499,57.99801370118468,159.4586526311991,57.99801370118468
"Vac[70,75)","[70,75)",Vac_2d,2024,1,3.842183202484488e-4,3.5956767209199825e-4,2.2665752732957677e-4,6.481529470065083e-4,8.393368088930385,8.232183539603636,6.219910380214786,11.4087036256067,-0.07504310459861838,-0.07359718026417114,-0.10321538088765132,-0.054651183720145324,-0.0028298111644439925,-0.0026571491844212944,-0.004825738851243644,-0.0015816258173546754,-0.006113319139826579,-0.005938995595094197,-0.00878433513659378,-0.004237034146707879,-6.820621067267722e-7,-6.423758291367567e-7,-1.1557282378811053e-6,-3.492341811613842e-7,711.6534586495683,667.003068909049,421.93510151952506,1186.9577789470552,31087.857469837,30232.134536859052,15513.863196720653,51436.057126649204,11664.478470641734,10700.984750717802,4168.264391430758,24473.65951080791,31792.15553705415,30929.365004338324,16000.915232483112,52375.51343758142,24898.31007257646,24355.90378196237,12875.024523487324,39951.34982054839,9494.011637925172,8705.019653755386,3525.074703122692,19507.852962323534,420.53423650530726,401.19345432147384,262.50624728864057,668.3741440750658,25318.84430908196,24793.284776654094,13249.842620477824,40585.65512862084,-31366742.82186553,-29219416.16313889,-55169263.803977475,-16975683.769508608,-18103705.081967674,-17777814.862133935,-24614087.281867407,-13331637.11823065,-7189869.2820040025,-7062453.797543034,-10180287.486476371,-5053711.12428756,-25293574.363971677,-24874305.14364959,-34936573.88653055,-18328644.22193819,-56660317.18583721,-53898102.231020354,-89021544.21676014,-35580442.052793056,0,0,0,0,452594740,452594740,452594740,452594740,452594740,452594740,452594740,452594740,395934422.8141628,398696637.76897967,363573195.78323984,417014297.9472069,-22448574.497978393,-21384645.43707884,-36019327.08729066,-13331765.484961895,-14648856.55628021,-14545815.870785637,-18803059.214872725,-11284190.653585367,-5714112.476010202,-5647031.908784594,-7689774.9290114315,-4243765.734436537,-20362969.032290414,-20235209.99708764,-26417789.58150513,-15539336.510178488,-42811543.5302688,-41574479.23698026,-62024543.62306391,-29162226.037154175,0,0,0,0,452594740,452594740,452594740,452594740,452594740,452594740,452594740,452594740,409783196.4697312,411020260.76301974,390570196.3769361,423432513.96284586,0,0,0,0,5324644,5324644,5324644,5324644,0,0,0,0,5324644,5324644,5324644,5324644,17586.497666512954,16443.13187354509,9851.777313223549,31247.879023331334,85,85,85,85,103.14087283805415,101.53000388866809,57.019370241308906,162.0349699342689,150.6911772510477,148.12642395280324,81.90081727906691,238.08916493220394,45.280484670689425,42.31913597748154,21.437748607511864,85.11900695752912,63.9005950000006,59.44905187054387,28.881242422270596,123.41046694805502,101.53000388866809,102.53354042032686,42.31913597748154,37.212048889362734,101.53000388866809,37.212048889362734
"Vac[75,80)","[75,80)",Vac_1d,2024,1,3.565728326176263e-4,3.4690569199735677e-4,2.342585949700382e-4,5.419472378797252e-4,5.751569316150115,5.710354379747096,4.219182657549337,7.6208549393530625,-0.05373282456287953,-0.05328246706779258,-0.07217204911680311,-0.039307208575118074,-0.002649034113874585,-0.002565248877214644,-0.004131239766472059,-0.0016614064043020717,-0.004746335505649491,-0.0047286744359568275,-0.006478890073419572,-0.003432727823724877,-7.262287774990097e-7,-6.97485245851207e-7,-1.1233653651865255e-6,-4.521814128233015e-7,595.4884314897507,579.5319060310721,394.62422993713994,898.6206809790805,20604.513730661056,20167.718617079896,10591.840418067557,33994.10594246195,7300.116541579534,6636.955684321365,2507.8728327752815,15251.758560512271,21192.809443874346,20780.33919298649,11075.777047336194,34691.430398834964,17366.11231847173,17024.988928207476,9138.924769162952,28055.45822066042,6221.046533533251,5689.640795379888,2188.2346387748134,12988.696827308017,393.2099399559684,385.7079286724329,268.6322331579402,572.8354016104712,17759.322258427743,17441.182633789256,9503.664601984063,28559.710305162233,-27455595.829137262,-26486069.61676261,-43392218.04542473,-16943317.791207302,-11567607.792342851,-11461035.791830555,-15361337.060342291,-8452200.237198198,-5028430.438214664,-5009569.170677235,-6778291.281471851,-3634630.430990755,-16596038.230557516,-16490244.090194833,-21885629.69103632,-12146357.125997992,-44051634.05969478,-43081382.462612554,-65036436.75938505,-29557741.547067117,0,0,0,0,206005830,206005830,206005830,206005830,206005830,206005830,206005830,206005830,161954195.94030523,162924447.53738743,140969393.24061495,176448088.4529329,-21649311.72782221,-21204788.027336605,-32041193.74120305,-13954516.16720793,-9812939.131477147,-9804132.034063045,-12548695.00964385,-7305651.759609872,-4253038.307603764,-4241755.6755129695,-5578665.038667962,-3147689.8996648146,-14065977.439080913,-14084427.80246709,-17986293.07882465,-10462168.604302585,-35715289.16690312,-35359264.7787441,-49370426.213187635,-25182827.00548062,0,0,0,0,206005830,206005830,206005830,206005830,206005830,206005830,206005830,206005830,170290540.83309686,170646565.2212559,156635403.7868124,180823002.9945194,0,0,0,0,2423598,2423598,2423598,2423598,0,0,0,0,2423598,2423598,2423598,2423598,10443.559083733671,9749.099574216576,5609.148036924676,18483.671351038734,85,85,85,85,161.28984028517021,158.08496194786045,90.64067586013202,254.406380845436,234.56652337546714,230.2438147555249,128.4905294621633,373.3196518349231,69.31859930429366,64.97564718380363,33.64082202008171,126.74449048652646,96.60966190415229,90.03440568608765,44.156057798822495,182.80894365611104,158.08496194786045,158.94275040178795,64.97564718380363,57.95752134253753,158.08496194786045,57.95752134253753
"Vac[75,80)","[75,80)",Vac_2d,2024,1,4.549801260358901e-4,4.4580081715572817e-4,3.153858252613606e-4,6.467083544759777e-4,7.139553040872908,7.105840608055644,5.538506666134437,9.018017844071052,-0.06674273510774215,-0.06646404821839635,-0.08425740400949702,-0.05214417059026217,-0.0033917120529889638,-0.0033121804574703408,-0.004915445076318475,-0.0022393939974594042,-0.005903803859619754,-0.005861954249902116,-0.007649269237948025,-0.004549509757133051,-8.823273426849084e-7,-8.690462749369437e-7,-1.2346850081876447e-6,-5.821071049675262e-7,758.324981423568,743.9140358120203,529.6878321217373,1068.5989856570027,25624.08907738634,25103.734451191296,13365.10757154521,40742.37078029418,9025.790788507371,8231.891671085245,3137.562410861403,18540.235176602677,26372.59569277781,25854.427570262924,13976.094270425663,41642.76744633038,21376.43456954482,21040.911389337063,11296.132674097817,33351.7285268454,7618.41958292506,6953.174845789412,2676.8584184356514,15526.29284882016,496.57336102270335,489.47466987743974,355.5011217794381,680.0983580925501,21873.00793056757,21554.789861978963,11771.402908491344,33971.24151892978,-35291832.282877974,-34388985.73227735,-51720900.01737002,-22819996.927047495,-14342060.235383457,-14274646.035356224,-18041516.336191226,-11224851.797576487,-6244389.6377389915,-6211303.164903417,-7993649.831354876,-4778331.363120869,-20586449.87312245,-20590106.12980763,-25991190.971604552,-16118706.491460973,-55878282.15600042,-55036622.7445524,-77479124.95560318,-39299664.702460185,0,0,0,0,412011660,412011660,412011660,412011660,412011660,412011660,412011660,412011660,356133377.84399956,356975037.2554476,334532535.0443968,372711995.29753983,-27483038.166030597,-27078582.420340363,-38397895.32080008,-18628377.838325415,-12046289.487484314,-12036391.499954961,-14639310.236535707,-9647227.022344247,-5230713.406036912,-5222324.279429838,-6514767.22299226,-4083868.9155660975,-17277002.893521227,-17284880.456874136,-21002280.533603013,-13810124.702350108,-44760041.05955182,-44442694.10747778,-58656014.3653917,-32971736.358095393,0,0,0,0,412011660,412011660,412011660,412011660,412011660,412011660,412011660,412011660,367251618.94044816,367568965.8925222,353355645.63460827,379039923.64190465,0,0,0,0,4847196,4847196,4847196,4847196,0,0,0,0,4847196,4847196,4847196,4847196,18085.396635685756,17082.063796434653,10576.879479180137,31380.803947526125,85,85,85,85,99.48436161254945,98.01764249084115,57.02477287212211,151.0310162270924,144.60943584220215,142.6173394238781,81.71365042155759,221.50211518157855,42.71745973105009,40.07903448025285,21.530912131367398,77.18806489716594,59.459083019953134,55.55088778440474,27.633448462373103,109.80284801461995,98.01764249084115,100.82066162194218,40.07903448025285,36.56923383184035,98.01764249084115,36.56923383184035
"Vac[80,85)","[80,85)",Vac_1d,2024,1,4.0322179688511464e-4,4.0113922817308634e-4,2.87492403044487e-4,5.376101426632918e-4,4.700396235976548,4.711156541167345,3.5359555473321373,5.9542227162500465,-0.04453378418006185,-0.044615250924645515,-0.0561334809724969,-0.03323300062399566,-0.0030242659333991023,-0.003003587238446793,-0.004153555307817582,-0.002093758613778525,-0.004035128800200849,-0.004031482193277452,-0.005150082138806778,-0.0029639137911153606,-9.277567385182201e-7,-9.227253719984804e-7,-1.2082295563259683e-6,-6.842259018822161e-7,412.36823719205336,410.3920455314219,294.9007071652915,547.7747414911165,10818.42665868303,10639.134984232158,5735.095585221898,17182.023502382744,3566.486975235459,3291.7335172502053,1222.5342023318135,7479.0255937776665,11223.564859385448,11065.042018232867,6101.064352812571,17661.725028224428,9453.264561861137,9332.939379086281,5115.796363827577,14853.913036073172,3139.9508235234252,2918.3722261199687,1090.8268856253198,6550.7032950297,299.5547731056651,298.9209360028617,214.71809276856948,393.50209683957513,9752.819334966787,9634.355002781376,5378.267465489055,15206.623088173987,-20214531.274988867,-20076871.01579677,-27767365.809505492,-13952878.882572748,-5831712.983558901,-5837877.553358986,-7359163.738158262,-4365275.698372197,-2610543.0417531887,-2609597.328670687,-3329274.603470866,-1881902.5328840578,-8442256.025312088,-8438401.464186342,-10598576.944523662,-6282616.484963552,-28656787.300300956,-28624986.743697934,-38172697.45560651,-20474447.52794092,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,99565457.69969904,99597258.25630207,90049547.54439351,107747797.47205907,-17073459.426778305,-16954643.490113452,-23224114.26847527,-11887150.995567404,-5115414.734479639,-5106945.74399762,-6385293.727015103,-3778406.7724749553,-2298187.578845623,-2300705.1553315157,-2934761.823978014,-1667365.1210528894,-7413602.313325262,-7434062.282244872,-9211503.202405,-5499320.073376954,-24487061.740103565,-24469132.97372804,-31986883.5501641,-17605756.696884938,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,103735183.25989643,103753112.02627197,96235361.44983593,110616488.30311505,0,0,0,0,1508497,1508497,1508497,1508497,0,0,0,0,1508497,1508497,1508497,1508497,11541.91248717854,10779.61559970626,6484.725970973805,20333.820090328703,85,85,85,85,145.53787540806468,144.22645930298756,83.80839505657208,220.9509444450172,210.19043577090787,207.60283611053816,119.45420227220298,321.69560889154303,61.83451055765134,59.00077546455958,32.031795589684826,110.98014303560682,84.63538849528788,80.46785520427494,41.23570099832905,156.85273594058742,144.22645930298756,144.6002213883174,59.00077546455958,54.151294371687456,144.22645930298756,54.151294371687456
