Scenario,Age0,Arm,Year0,N0,dYear_Life_A,dYear_Life_M,dYear_Life_L,dYear_Life_U,dYear_Immunised_A,dYear_Immunised_M,dYear_Immunised_L,dYear_Immunised_U,dRisk_HZ_A,dRisk_HZ_M,dRisk_HZ_L,dRisk_HZ_U,dRisk_Hosp_A,dRisk_Hosp_M,dRisk_Hosp_L,dRisk_Hosp_U,dRisk_PHN_A,dRisk_PHN_M,dRisk_PHN_L,dRisk_PHN_U,dRisk_Death_A,dRisk_Death_M,dRisk_Death_L,dRisk_Death_U,dQ_Life_A,dQ_Life_M,dQ_Life_L,dQ_Life_U,dQ_HZ_A,dQ_HZ_M,dQ_HZ_L,dQ_HZ_U,dQ_HZ_Norm_A,dQ_HZ_Norm_M,dQ_HZ_Norm_L,dQ_HZ_Norm_U,dQ_All_A,dQ_All_M,dQ_All_L,dQ_All_U,dQ_HZ_d_A,dQ_HZ_d_M,dQ_HZ_d_L,dQ_HZ_d_U,dQ_HZ_Norm_d_A,dQ_HZ_Norm_d_M,dQ_HZ_Norm_d_L,dQ_HZ_Norm_d_U,dQ_Life_d_A,dQ_Life_d_M,dQ_Life_d_L,dQ_Life_d_U,dQ_All_d_A,dQ_All_d_M,dQ_All_d_L,dQ_All_d_U,dC_Hosp_A,dC_Hosp_M,dC_Hosp_L,dC_Hosp_U,dC_GP_NonPHN_A,dC_GP_NonPHN_M,dC_GP_NonPHN_L,dC_GP_NonPHN_U,dC_GP_PHN_A,dC_GP_PHN_M,dC_GP_PHN_L,dC_GP_PHN_U,dC_GP_A,dC_GP_M,dC_GP_L,dC_GP_U,dC_Med_A,dC_Med_M,dC_Med_L,dC_Med_U,dC_VacZVL_A,dC_VacZVL_M,dC_VacZVL_L,dC_VacZVL_U,dC_VacRZV_A,dC_VacRZV_M,dC_VacRZV_L,dC_VacRZV_U,dC_Vac_A,dC_Vac_M,dC_Vac_L,dC_Vac_U,dC_All_A,dC_All_M,dC_All_L,dC_All_U,dC_Hosp_d_A,dC_Hosp_d_M,dC_Hosp_d_L,dC_Hosp_d_U,dC_GP_NonPHN_d_A,dC_GP_NonPHN_d_M,dC_GP_NonPHN_d_L,dC_GP_NonPHN_d_U,dC_GP_PHN_d_A,dC_GP_PHN_d_M,dC_GP_PHN_d_L,dC_GP_PHN_d_U,dC_GP_d_A,dC_GP_d_M,dC_GP_d_L,dC_GP_d_U,dC_Med_d_A,dC_Med_d_M,dC_Med_d_L,dC_Med_d_U,dC_VacZVL_d_A,dC_VacZVL_d_M,dC_VacZVL_d_L,dC_VacZVL_d_U,dC_VacRZV_d_A,dC_VacRZV_d_M,dC_VacRZV_d_L,dC_VacRZV_d_U,dC_Vac_d_A,dC_Vac_d_M,dC_Vac_d_L,dC_Vac_d_U,dC_All_d_A,dC_All_d_M,dC_All_d_L,dC_All_d_U,dN_VacZVL_A,dN_VacZVL_M,dN_VacZVL_L,dN_VacZVL_U,dN_VacRZV_A,dN_VacRZV_M,dN_VacRZV_L,dN_VacRZV_U,dN_VacZVL_d_A,dN_VacZVL_d_M,dN_VacZVL_d_L,dN_VacZVL_d_U,dN_VacRZV_d_A,dN_VacRZV_d_M,dN_VacRZV_d_L,dN_VacRZV_d_U,ICER_A,ICER_M,ICER_L,ICER_U,Price0_A,Price0_M,Price0_L,Price0_U,Thres20_A,Thres20_M,Thres20_L,Thres20_U,Thres30_A,Thres30_M,Thres30_L,Thres30_U,Thres20_50,Thres30_90,Thres
Vac_60,60,Vac_1d,2024,1,2.691218427234894e-4,2.130483681259676e-4,8.621453192914075e-5,6.865333804269014e-4,12.841726569937274,12.09212407647457,8.480781437220086,20.015503627502916,-0.09474550745552442,-0.08794890887604061,-0.16046300541424374,-0.05818961057344427,-0.0020195096591840997,-0.0016016049114269642,-0.0051882427543711186,-6.75425442276339e-4,-0.005774024572838804,-0.005154984733124267,-0.011236493913601979,-0.0028954765955010275,-4.126431991748868e-7,-3.197796743686003e-7,-1.0661584323673303e-6,-8.243379403473538e-8,1.900376860340387e-4,1.5128309031098297e-4,6.227845424584544e-5,4.7496543138336733e-4,0.014108015881181499,0.013028886164551714,0.0062048278498954956,0.0279693021071743,0.005993605093513845,0.005439328481280536,0.0020570738710101576,0.013416437162233936,0.014296392348469208,0.013210402267034738,0.006349596526398483,0.028362222357547213,0.009957382958972572,0.009475485391589912,0.004710603268831811,0.01765415234474021,0.0043627379242880526,0.004031184522885435,0.0015846154947440796,0.009261637278059691,8.217481748250677e-5,6.847544225863089e-5,3.116859632275037e-5,1.8789838690773663e-4,0.010039557776455085,0.00954288729245878,0.004747156639909322,0.017819688263285945,-7.929698022999401,-6.085796419224879,-21.622713881969077,-2.3383626714310517,-8.929778205116449,-8.354707301215232,-14.739022238828607,-5.591156499524922,-2.584912448907005,-2.310123313626069,-4.971111282627656,-1.3198958005382122,-11.514690654023454,-10.635089395400925,-19.843759643912865,-6.920016759138391,-19.444388677022854,-16.64292653183525,-40.85016796189168,-9.322360816845775,0,0,0,0,85,85,85,85,85,85,85,85,65.55561132297714,68.35707346816474,44.14983203810833,75.67763918315421,-4.303923454739451,-3.5766949300548383,-10.100500887956612,-1.6846000940556771,-6.438068312141479,-6.173167018471867,-9.43377384966569,-4.47449036689966,-1.71519643374291,-1.594847496649654,-2.905029767114313,-1.0116057677863073,-8.153264745884389,-7.77072322694604,-12.354308364134036,-5.4816194569226395,-12.45718820062384,-11.340595184487732,-22.291025956543464,-7.261444187541199,0,0,0,0,85,85,85,85,85,85,85,85,72.54281179937615,73.65940481551226,62.70897404345655,77.7385558124588,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,8147.588559045723,7656.638516334993,3641.500075400043,15993.398280074158,85,85,85,85,213.24834372972555,201.7233825398423,103.62449591372504,376.51842921762994,313.6439214942764,297.0204033628347,150.39761005947358,554.7153118504893,201.7233825398423,199.33197258221068,199.33197258221068
Vac_60,60,Vac_2d,2024,1,3.444773638384397e-4,2.936303493825676e-4,1.1771026832620991e-4,7.567630318285445e-4,15.17451029960933,14.642541609472527,10.369182772752373,21.889215204826257,-0.11361006290362294,-0.10775029463741023,-0.1747112764184369,-0.07231167085483574,-0.0025812923687148497,-0.002197067273998217,-0.0057689794874296076,-9.13280741449781e-4,-0.007106648837085133,-0.0065884744721959685,-0.012306430589049285,-0.0037482427958460455,-5.19905488551262e-7,-4.518236633447468e-7,-1.1214706892982556e-6,-1.2163101436448837e-7,2.426608492323048e-4,2.0786122240323834e-4,8.509977025115135e-5,5.248436474500017e-4,0.016978824071705277,0.016082364397433917,0.007621655376677071,0.03138195304602715,0.007140974528869373,0.006592476113322209,0.0025054559495379302,0.015803635931335373,0.01721926010644182,0.01632207600904856,0.007828907479475155,0.03184344221815287,0.011724259122010123,0.011336482102972873,0.005688542468831607,0.01975142026547605,0.0050924638393295635,0.004747331846384955,0.001915534870257096,0.010707350006570986,1.0342158107880905e-4,9.093295589934769e-5,4.126601860638957e-5,2.0741282163587725e-4,0.0118276807030889,0.011402471715960871,0.0057374145443135575,0.01992007712253243,-10.227404623792754,-8.581752374011343,-24.141856841553032,-3.2500965175777856,-10.674006925556036,-10.183202858337847,-16.08451045481543,-6.921287910809058,-3.176755058081584,-2.9576812624227315,-5.468962264849274,-1.7009902592218662,-13.85076198363762,-13.146716999592641,-21.558868786032235,-8.610701261127122,-24.078166607430376,-21.682352089224317,-45.34362122346818,-11.872285287041985,0,0,0,0,170,170,170,170,170,170,170,170,145.92183339256962,148.3176479107757,124.65637877653182,158.127714712958,-5.434350187650488,-4.780496250287342,-11.23618828229442,-2.219719222759622,-7.536110910901257,-7.348926608222111,-10.242339717444663,-5.4987892157930816,-2.062416010035607,-1.9721503732663552,-3.1715543621666358,-1.2739977685362818,-9.598526920936864,-9.306440400211457,-13.447163370463254,-6.79717008163401,-15.032877108587353,-14.043065641812028,-24.512068946109043,-9.016843209128963,0,0,0,0,170,170,170,170,170,170,170,170,154.96712289141266,155.956934358188,145.48793105389095,160.98315679087105,0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2,14529.376178546729,13700.860320943,7376.589233799644,27774.162821225607,85,85,85,85,125.79324558518267,120.60167302022424,62.66819141810156,210.7296787579901,184.93164910062717,177.56436655039127,91.33924445001838,310.3300643706522,120.60167302022424,119.50694745324516,119.50694745324516
Vac_61,61,Vac_1d,2024,1,2.8271819891016037e-4,2.2924197237372823e-4,9.621020088390608e-5,6.901521603277061e-4,12.621884861878591,11.923953586352123,8.42437086544675,19.338918015126357,-0.0949670852675132,-0.08876909334550263,-0.15685518694300735,-0.05940902944766388,-0.0021118854160285068,-0.0017051080580994939,-0.005207701858191661,-7.460442596298558e-4,-0.005939726539529514,-0.0053540991909346945,-0.011200695480232687,-0.0030998003055840444,-4.3572108072362013e-7,-3.4880344959993477e-7,-1.0733103184623099e-6,-9.74257790621619e-8,1.994757517679311e-4,1.6302379116162058e-4,7.003060192847243e-5,4.7873924445793745e-4,0.01419549658061456,0.013211454030530607,0.006286661682075157,0.0276330430059602,0.005973854291265259,0.0054406193148128935,0.0020686269410440956,0.013227336008346443,0.014393220724724326,0.013384647397524319,0.006501068466401883,0.028057018839333647,0.010118071150036765,0.009687637226510445,0.004864047767505926,0.01767792893378837,0.00438589260171758,0.0040636214015527215,0.0015964759274973424,0.009290966259146282,8.866112685137573e-5,7.521932595455638e-5,3.550585003919693e-5,1.9473932129456805e-4,0.010206732276888175,0.00975256985149553,0.004896069358340949,0.017849161094008487,-8.33108088405448,-6.5625612650844865,-21.6734145346288,-2.6074847389015425,-8.926831507126083,-8.385186243963744,-14.402755176473741,-5.692946043301422,-2.657246691180386,-2.4009761910753333,-4.94344109852468,-1.4100455500689324,-11.58407819830647,-10.761628487008531,-19.469857217375196,-7.089501757247132,-19.915159082360947,-17.31447799874632,-40.7065596803733,-9.756268494541809,0,0,0,0,85,85,85,85,85,85,85,85,65.08484091763906,67.68552200125369,44.2934403196267,75.24373150545819,-4.630773933308294,-3.91347286668137,-10.435005877392808,-1.8827059768109822,-6.493430657778151,-6.238219527041183,-9.358668637540985,-4.5671904479596055,-1.7903172415124735,-1.672859562154407,-2.960635408512968,-1.0863496084196436,-8.283747899290624,-7.922798256438114,-12.354698741359107,-5.657923375788655,-12.914521832598918,-11.831269606753079,-22.661270690416465,-7.6450092643125185,0,0,0,0,85,85,85,85,85,85,85,85,72.08547816740108,73.16873039324692,62.33872930958352,77.3549907356875,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,7931.454727196024,7453.600218907453,3615.926980081335,15500.739518496726,85,85,85,85,217.04916737036243,206.38345301825598,107.05377648756213,377.4464489516362,319.11649013924415,304.3065573355974,154.4465612615208,555.9380598917211,206.38345301825598,204.55885467524482,204.55885467524482
Vac_61,61,Vac_2d,2024,1,3.602932085025259e-4,3.123693509632375e-4,1.317549043134747e-4,7.621164896022492e-4,14.886964086137365,14.4126235922319,10.295957033400143,21.1450533476666,-0.11355379673605578,-0.10835078036989192,-0.1710046536184408,-0.07355647690798257,-0.002689811445739216,-0.0023257053068127566,-0.005808583043075338,-9.976292834478016e-4,-0.007279876282327806,-0.006801210115760818,-0.01222260306965684,-0.0039756431998605535,-5.464385802547758e-7,-4.867641428805565e-7,-1.1291072276658257e-6,-1.4256492358692662e-7,2.5358180216348105e-4,2.2095810878752786e-4,9.50041587336692e-5,5.275938539673674e-4,0.017033131037365874,0.016151302146189865,0.007716499808921044,0.030942520757585402,0.007097238564162314,0.006569387248872228,0.002540973012889524,0.015574707827672616,0.0172843700594159,0.016430543650391982,0.007909023145436577,0.03140946402488938,0.01188647972342868,0.01152733773183725,0.005742842688613391,0.020014474309102904,0.00510852840911086,0.00475212999797643,0.001925423626442571,0.010607864924202367,1.1109484106863653e-4,9.923263914046743e-5,4.7002710691002035e-5,2.1533355496554661e-4,0.011997574564497362,0.011637786651681026,0.005914277760966558,0.02017008470681274,-10.70518797922132,-9.161152519654753,-24.222118623265374,-3.5927989283231305,-10.640284247899006,-10.207999198703659,-15.735715932759147,-7.052583247353982,-3.2517808855812063,-3.0475368665214813,-5.428894721705122,-1.8050370703449488,-13.89206513348021,-13.248335183611399,-21.14233007936119,-8.815980556795392,-24.59725311270153,-22.368586083417526,-45.06468775016711,-12.462477047096053,0,0,0,0,170,170,170,170,170,170,170,170,145.40274688729846,147.63141391658246,124.93531224983292,157.53752295290394,-5.826640273464051,-5.204282651367277,-11.625580212881768,-2.45530572431241,-7.58466279122026,-7.4125393367001395,-10.16160243318229,-5.596119852212024,-2.145175803858381,-2.057786332355195,-3.2273125574700634,-1.363514028993795,-9.72983859507864,-9.46665027698192,-13.42309623596358,-6.981023893695041,-15.55647886854269,-14.648821869867952,-24.89570939679336,-9.443966806601441,0,0,0,0,170,170,170,170,170,170,170,170,154.44352113145732,155.35117813013204,145.10429060320664,160.55603319339855,0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2,14225.089415571434,13402.532738859816,7332.640763075891,26948.652791211465,85,85,85,85,127.75398507924497,123.45873741846555,64.71051840929952,211.57457172551193,187.74185790173178,181.40024575361429,94.09659957126988,312.42499525957567,123.45873741846555,121.86026275015988,121.86026275015988
Vac_62,62,Vac_1d,2024,1,2.969236393890924e-4,2.461410671390496e-4,1.0691946929375362e-4,6.932913779714055e-4,12.39558056862245,11.747546597877953,8.363245418153433,18.667842713766973,-0.09506608834854445,-0.0894575902078107,-0.1532875014484534,-0.06071357852565702,-0.0022089083394972076,-0.0018224144238474824,-0.005222232493587075,-8.150078568412626e-4,-0.006101791808455551,-0.005569080403868146,-0.011110828002289764,-0.003281678477734094,-4.603570687522933e-7,-3.7869201579632645e-7,-1.0836766318742216e-6,-1.1487208458676172e-7,2.0930782891881704e-4,1.7463170192755229e-4,7.762413826171156e-5,4.816552992691569e-4,0.014265345818038755,0.013361309683417581,0.006349110076382128,0.027293641601978644,0.005944743888192126,0.0054399081929598116,0.0021100355548670418,0.013104386162874055,0.014472803711563585,0.013543450225007803,0.006576610181692999,0.027704391538270468,0.010267869544039023,0.009892378909485394,0.004965791390528546,0.01782381187268196,0.004401983572325075,0.0040910207415233105,0.001624834199828565,0.009312006256717444,9.558219371420052e-5,8.25365154648594e-5,4.027587427297696e-5,2.0182503811501105e-4,0.010363451737753226,0.009994733360582764,0.0050181791087551275,0.017934745628618874,-8.755548326551864,-7.058134036538274,-21.758429590155203,-2.9039181716356888,-8.911265398417088,-8.425555522000604,-14.107826639428096,-5.789733056988035,-2.7276662966794563,-2.4879315689693353,-4.936385053934017,-1.495804814018197,-11.638931695096545,-10.88590192200677,-19.028339903251144,-7.28126530980416,-20.39448002164841,-17.97597006713095,-40.5690354092759,-10.24651699730851,0,0,0,0,85,85,85,85,85,85,85,85,64.6055199783516,67.02402993286904,44.4309645907241,74.75348300269148,-4.982098963842037,-4.270367813597472,-10.775508248474043,-2.1025645681056875,-6.539832177214896,-6.306698961499261,-9.287846451393065,-4.674687915020361,-1.8654753486978921,-1.757679556542291,-3.0168944394447545,-1.1592420023786425,-8.405307525912788,-8.072283491436071,-12.268578812115088,-5.824491475690232,-13.387406489754826,-12.337217835793709,-23.062379463058516,-7.991614361716299,0,0,0,0,85,85,85,85,85,85,85,85,71.61259351024518,72.66278216420629,61.93762053694149,77.00838563828368,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,7731.030672584789,7296.59184316219,3573.1381047321806,15068.402615876585,85,85,85,85,220.65644124481932,210.71089417413037,108.91923425200655,377.27030329864965,324.2909586223516,310.65878292257,159.3861947462344,555.5388125690616,210.71089417413037,209.72479031182874,209.72479031182874
Vac_62,62,Vac_2d,2024,1,3.7664625874657176e-4,3.322514395129872e-4,1.4725215029631755e-4,7.64799798552218e-4,14.59157340569618,14.180526529493212,10.216496291485099,20.407438437780435,-0.11333977546222478,-0.10885894298132516,-0.167218226716038,-0.07488578718080949,-0.0028026209127784856,-0.0024662374419882264,-0.005814851293684384,-0.0010899807688044966,-0.007445925685530487,-0.007007316793204814,-0.012159108149307363,-0.004195420301025664,-5.74395049397158e-7,-5.212293366235002e-7,-1.1392379369996765e-6,-1.662156827962074e-7,2.648387279133786e-4,2.3506763140090925e-4,1.0589131179425948e-4,5.298401735191582e-4,0.017064143008385206,0.01620038053580868,0.00780696157323192,0.030461206805456872,0.007042075643745806,0.006512623285519336,0.0025791665430894227,0.015319256849723082,0.017326511425649938,0.01647671929066341,0.007986392163753209,0.030933436141518823,0.012034059589434482,0.011709307273026649,0.005922742409534351,0.019973299898961037,0.005115958311347535,0.004740302917851157,0.0019525066778911405,0.010483434835327233,1.1922036828912752e-4,1.080073835284523e-4,5.3509131729123634e-5,2.2302732559991155e-4,0.012153279957723603,0.011817896416890683,0.005993676311263352,0.020183469815867293,-11.205356187694816,-9.737326442333512,-24.304895548095146,-3.974864466983815,-10.590730814987667,-10.215923960383911,-15.350219065446991,-7.142961693125413,-3.32326744336813,-3.1288440891224782,-5.380466016813565,-1.9064149142803217,-13.913998258355798,-13.340803516861037,-20.781773463778638,-9.024369656397916,-25.119354446050615,-23.08588512378737,-44.696089576638016,-13.064849304859901,0,0,0,0,170,170,170,170,170,170,170,170,144.8806455539494,146.9141148762126,125.303910423362,156.93515069514012,-6.2451871332503766,-5.644472202142962,-12.009882110106911,-2.7649702672445815,-7.621922805447174,-7.466734565845664,-10.090786657194993,-5.6915966780194625,-2.227099116087316,-2.146673449990983,-3.282641513401613,-1.459249481020614,-9.84902192153449,-9.621378144341245,-13.36745807635517,-7.155229418294385,-16.09420905478487,-15.224738001144296,-25.25903654153209,-9.919878967077816,0,0,0,0,170,170,170,170,170,170,170,170,153.90579094521513,154.7752619988557,144.7409634584679,160.08012103292222,0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2,13948.662505415909,13119.66772936517,7303.898298495881,26212.94437667406,85,85,85,85,129.57990410462847,125.64953421324212,66.2366641202084,213.9446502059465,190.34630389324647,184.8743903931676,96.44064770490564,314.9872813718108,125.64953421324212,124.80836745497817,124.80836745497817
Vac_63,63,Vac_1d,2024,1,3.1171724662654653e-4,2.639948771943068e-4,1.2086040800873832e-4,6.970351218362758e-4,12.162548712657891,11.564410267617856,8.29694571009092,18.002472168567163,-0.09504018051411044,-0.09007485897626699,-0.14983391643981983,-0.06169375916490448,-0.0023112593511261,-0.0019413192850810832,-0.005224408366836329,-8.983073104485535e-4,-0.006262216396873998,-0.005754628454315491,-0.011055614124077075,-0.003519736248688231,-4.866060690027953e-7,-4.0959901356631414e-7,-1.0947912512422739e-6,-1.330228024552259e-7,2.195147438578573e-4,1.8713608745635213e-4,8.703674233201397e-5,4.833114579207098e-4,0.014316695493332901,0.013437961488380619,0.0064376039364826285,0.026727816093458156,0.005906425312528488,0.0054253070087407675,0.0021432841642204056,0.012973082376778203,0.014534253254869945,0.01361564860563469,0.006627405734328828,0.027122367031383904,0.010406067340919957,0.010030544304055967,0.0050584661880543995,0.017813134862198106,0.004411127811325058,0.0040926441368543,0.0016378472334891208,0.009315371305569472,1.0294617158802844e-4,9.018335793076204e-5,4.577008240094216e-5,2.08874937517578e-4,0.010509013512507947,0.010143049467938425,0.00513078654025767,0.018008009667393975,-9.205575875218061,-7.6026191776257885,-21.909361463702396,-3.220793673029213,-8.882574136563226,-8.429530937284719,-13.780586258798895,-5.852494887684569,-2.7970597484685453,-2.57445308543475,-4.8924837865797555,-1.5771043258435034,-11.679633885031771,-11.005501446030715,-18.5934800898159,-7.455141418422824,-20.885209760249833,-18.608734049944154,-40.456011394632675,-10.765776048930679,0,0,0,0,85,85,85,85,85,85,85,85,64.11479023975016,66.39126595005584,44.543988605367325,74.23422395106934,-5.361215794892876,-4.66601686080242,-11.24027505872908,-2.3457113281745405,-6.576758777815201,-6.3646648573054865,-9.196527821220165,-4.742948542017251,-1.9417652072326503,-1.8433503729197223,-3.0638713368369803,-1.2265842364769177,-8.518523985047851,-8.198407892600903,-12.22697197235868,-5.9730267706129965,-13.879739779940726,-12.87721025106245,-23.39654005492485,-8.432065526602461,0,0,0,0,85,85,85,85,85,85,85,85,71.12026022005928,72.12278974893755,61.60345994507514,76.56793447339754,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,7543.812883155817,7131.028689916662,3520.575142835786,14676.278031037162,85,85,85,85,224.06001003009965,215.31939889802464,112.01496731529274,382.36020397324484,329.15014515517913,316.8853552405276,163.8196644675924,562.4627950243023,215.31939889802464,214.32331153365814,214.32331153365814
Vac_63,63,Vac_2d,2024,1,3.9349014908889046e-4,3.5302921969204704e-4,1.6421575612275417e-4,7.680571234017108e-4,14.28810089815396,13.916209134799338,10.13018847155764,19.676550012547292,-0.11296593948192668,-0.10917987570731158,-0.16328324886994616,-0.07626132223179907,-0.0029202641239454755,-0.0026233903249253325,-0.005829803199207121,-0.0011932214480357263,-0.0076066819600073225,-0.007225152810981294,-0.012046689057571627,-0.004467289075816222,-6.037740501206813e-7,-5.57868486593358e-7,-1.1476025886274523e-6,-1.9311562343158986e-7,2.763946204444956e-4,2.494030426927196e-4,1.1775225849870453e-4,5.327008367744135e-4,0.017070934642328815,0.016293894899793313,0.007910857533788914,0.029989185560377028,0.0069756960272293975,0.00643604836158128,0.00257159092778111,0.015056102764510085,0.01734472104517266,0.016560143020520002,0.008076717371667819,0.030467749980045866,0.012166146604780523,0.011857897510375253,0.00603883808096524,0.019981840898020315,0.005114872056073435,0.00474660076422389,0.0019704464957700663,0.010337556608385657,1.2779761244615173e-4,1.1730305692125853e-4,6.033668576179707e-5,2.3063127057363353e-4,0.012293944217226635,0.011983259804269508,0.006118196905561346,0.020150111031211757,-11.729750638135334,-10.414335640747286,-24.382305385529545,-4.447219443331148,-10.52489270102507,-10.193516926812077,-14.939044781277932,-7.209770953984943,-3.392058855418609,-3.2160630601476656,-5.339358936709134,-2.0057361436604944,-13.91695155644368,-13.383677670706557,-20.33041876522354,-9.240434669636018,-25.646702194579014,-23.718897094581518,-44.26784426086881,-13.740494351863852,0,0,0,0,170,170,170,170,170,170,170,170,144.353297805421,146.2811029054185,125.73215573913117,156.25950564813616,-6.693041111692978,-6.119693678901067,-12.437503416837805,-3.0850364784440707,-7.647354031163927,-7.510570319754155,-9.976657993955266,-5.768885888904796,-2.3092440046649476,-2.237636854548514,-3.331040898659035,-1.5323666284913546,-9.956598035828875,-9.738605234034354,-13.29736138156542,-7.3242363107610755,-16.649639147521853,-15.838777461725414,-25.54443468732712,-10.388207666155495,0,0,0,0,170,170,170,170,170,170,170,170,153.35036085247813,154.1612225382746,144.45556531267286,159.6117923338445,0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2,13696.632267871906,12876.51781672474,7255.417285738262,25415.11200422321,85,85,85,85,131.26426174602727,127.80116870031088,68.19782550921944,213.39736812529196,192.73398283216045,187.53972311610937,99.22714656183281,314.13995989187384,127.80116870031088,127.4384888860333,127.4384888860333
Vac_64,64,Vac_1d,2024,1,3.270649970301527e-4,2.8140573983215234e-4,1.3593179393787125e-4,6.987880325533879e-4,11.92243639218574,11.379566805158067,8.224912734007253,17.462458047050806,-0.09487862077908088,-0.09009383147164839,-0.14625360895353423,-0.06258116941004925,-0.0024178284286210535,-0.0020806474553431487,-0.005241784467102315,-9.77182917754473e-4,-0.006416883937334989,-0.005957434818431568,-0.010971888748514971,-0.00370614839287109,-5.145045066432817e-7,-4.426302848799607e-7,-1.1059014094009547e-6,-1.5478847347553008e-7,2.3006785845499422e-4,1.9918426640685993e-4,9.789603737555552e-5,4.845875991128068e-4,0.01434726266974196,0.013541521174669908,0.006525603647100001,0.026449878692903883,0.005858389295266866,0.005380069399538065,0.002128198358105048,0.012766118695995272,0.014575256939647233,0.013758467190447377,0.006688523658293377,0.026857835896235825,0.010530513692196068,0.010220277517895077,0.005152040094124112,0.017691365816301503,0.004412773697488528,0.004081087013495053,0.00162738071683951,0.009171573740687767,1.1075587528806708e-4,9.838137708406691e-5,5.195412649978692e-5,2.1664612605594156e-4,0.010641269567484235,0.010311935881148315,0.005229023204723715,0.01789299466770768,-9.678224591132446,-8.14088664337347,-22.0183447300768,-3.575902749437597,-8.840187025282615,-8.411886651741453,-13.401855244992701,-5.901069329813842,-2.8634887265476667,-2.6584767363697166,-4.835986598125629,-1.659135096753975,-11.703675751830282,-11.11051914667227,-18.159598592674598,-7.626573561273687,-21.38190034296273,-19.280475189624923,-40.35475823977599,-11.318616037882839,0,0,0,0,85,85,85,85,85,85,85,85,63.61809965703727,65.71952481037508,44.645241760224,73.68138396211715,-5.766064456505458,-5.105173577664498,-11.701725630176558,-2.633251837489622,-6.603631652689969,-6.41289578651493,-9.090335487703097,-4.82444077109808,-2.0174189433229373,-1.9253871353474143,-3.097864395197612,-1.3076238010897698,-8.621050596012905,-8.336346187669204,-12.153759000678741,-6.128495765088213,-14.387115052518364,-13.410225371223492,-23.66131526824325,-8.8577157487930691,0,0,0,0,85,85,85,85,85,85,85,85,70.61288494748163,71.58977462877651,61.33868473175676,76.14228425120692,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,7369.431974848442,6964.64433585221,3492.7835303962615,14160.612113020417,85,85,85,85,227.21250640220308,219.30723657704698,116.08854472396452,380.3637369944585,333.6252020770454,321.7827717371896,168.24993442103323,559.2936836715353,219.30723657704698,219.51848209015765,219.30723657704698
Vac_64,64,Vac_2d,2024,1,4.107625742225167e-4,3.745948091378182e-4,1.8236337122763403e-4,7.736302445898068e-4,13.97622068533681,13.635420207762355,10.036300668348268,18.97147827062275,-0.11242046430101707,-0.109149643767171,-0.15931122989483854,-0.07738059572754383,-0.00304137165199514,-0.002750211461145684,-0.005804568225854583,-0.0012995528065583403,-0.007757600688113359,-0.007418988668728969,-0.011936457012115154,-0.004717612787910072,-6.345492405590139e-7,-5.971531619694265e-7,-1.1615899764759972e-6,-2.2173031020800736e-7,2.8820117162489466e-4,2.6389533426396383e-4,1.3054441727025078e-4,5.362694710262517e-4,0.017051000092302232,0.016374348113336323,0.008033292644639794,0.0295244483253329,0.006897593329007104,0.006387496656402808,0.0025227251194934633,0.014791730383191874,0.017336443913198954,0.01664230684949075,0.008184692892586654,0.02991919295154588,0.012280259650328,0.011972128745242592,0.0061120242342502015,0.019897256988318675,0.005104656468891137,0.0047326699051204665,0.0019436366533470287,0.010255617930121046,1.368190469973758e-4,1.2735745367731255e-4,6.812139025598186e-5,2.37748779165603e-4,0.012417078697325442,0.012112814053554466,0.006238838675268932,0.020136943589906985,-12.274389582751837,-11.001039001750197,-24.456071126681493,-4.90861400307969,-10.442155856805893,-10.168243927432362,-14.54093163825911,-7.280447541374973,-3.4560269342992704,-3.296838412203752,-5.292260605032045,-2.1130918818967177,-13.898182791105164,-13.418820075653455,-19.899013764011062,-9.431113188548482,-26.172572373857,-24.43962486640526,-43.917192647131834,-14.442193825027136,0,0,0,0,170,170,170,170,170,170,170,170,143.827427626143,145.56037513359473,126.08280735286817,155.55780617497285,-7.167477058425484,-6.639829272102876,-12.825246076862514,-3.4055007092015415,-7.6602480384573255,-7.5410062387080625,-9.876479543491364,-5.817706691272129,-2.3896484196235064,-2.3221952329701105,-3.3669844021171236,-1.6177188814046073,-10.049896458080832,-9.860966718011383,-13.244114626055149,-7.503214751238623,-17.217373516506317,-16.47650481860229,-25.858058148337904,-10.95191394690615,0,0,0,0,170,170,170,170,170,170,170,170,152.7826264834937,153.52349518139772,144.14194185166207,159.04808605309387,0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2,13468.865206694376,12633.505126024033,7270.37058190218,24779.455311572652,85,85,85,85,132.77947373150758,129.7773104619801,69.85407967591426,212.76955980279783,194.86486721813478,190.6071112565205,101.33425196727356,313.14197970187416,129.7773104619801,129.0314628668233,129.0314628668233
