Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med
New2023,"[65,70)",Vac_2d,2965505,640873,308987.7238558622,617975.4477117244,-23217.646533122082,-3565728.4397508493,2746.901135878308,94.67002511822778,0.5027537757131506,0.5027537757131506,0.5106611870341411,0.49280777719574587,0.42661737020471224
SOC,"[70,75)",Vac_2d,2662322,1053476.2497747962,241224.43116069655,482448.8623213931,-17934.29669113226,-3621297.217266986,2252.2165812198423,97.38914255334431,0.8952499307282626,0.8952499307282626,0.9051175856984437,0.8968666756604203,0.859883201202216
SOC,"[75,80)",Vac_2d,2423598,474263.87725610525,64378.40358753453,128756.80717506906,-4313.909914041498,-1171116.0614964287,574.8631796911963,97.49398032283982,1,1,1,1,1
ZVL_85,"[80,85)",ReVac_RZV_2d,1508497,1075401.782433929,256661.78948319663,513323.57896639325,-9869.669357646491,-2603507.5538759613,1093.2241011594658,97.12046178064737,1.4176142732588461,1.4176142732588461,1.217078723402053,1.1961298614764129,1.311493588115273
UV_85,"[80,85)",Vac_2d,1508497,433095.21756607096,76705.70267800335,153411.4053560067,-3427.593752685982,-1239296.4262404626,490.93811708075054,99.42974386052776,1.5424220849053891,1.5424220849053891,1.292467031683877,1.2842066106026135,1.4597677461730714
ZVL_90,"[85,90)",ReVac_RZV_2d,940569,344417.71727378963,46752.586205033294,93505.17241006659,-1774.8333443862603,-499195.08742090187,167.63179439662002,98.93464282038595,1.618493195257656,1.618493195257656,1.3315036541571794,1.3142805913895188,1.5194933531599841
UV_95,"[85,90)",Vac_2d,940569,596151.2827262104,80923.8690085801,161847.7380171602,-2719.128503715076,-1294409.934103884,411.5306658077683,99.83325047097497,1.7501643832960483,1.7501643832960483,1.391309603370189,1.388111247329659,1.674361501810373
UV_95,"[90,95)",Vac_2d,417138,417138,56623.91719788369,113247.83439576738,-1398.228669097287,-780074.257642164,215.0664911391039,99.50606384305186,1.842297131521944,1.842297131521944,1.4220629836013754,1.4266952495215186,1.7676925655699416
UV_100,"[95,100)",Vac_2d,109064,109064,14804.767020194724,29609.534040389448,-234.88374918093584,-129973.3075676826,34.35935548636684,99.13368438117153,1.8663859607643272,1.8663859607643272,1.4272291409033506,1.4328594894287916,1.7832430685339886
