Scenario,Age0,Age1,Arm,Year0,dN0_A,dN0_M,dN0_L,dN0_U,dYear_Life_A,dYear_Life_M,dYear_Life_L,dYear_Life_U,dYear_Immunised_A,dYear_Immunised_M,dYear_Immunised_L,dYear_Immunised_U,dRisk_HZ_A,dRisk_HZ_M,dRisk_HZ_L,dRisk_HZ_U,dRisk_Hosp_A,dRisk_Hosp_M,dRisk_Hosp_L,dRisk_Hosp_U,dRisk_PHN_A,dRisk_PHN_M,dRisk_PHN_L,dRisk_PHN_U,dRisk_Death_A,dRisk_Death_M,dRisk_Death_L,dRisk_Death_U,dQ_Life_A,dQ_Life_M,dQ_Life_L,dQ_Life_U,dQ_HZ_A,dQ_HZ_M,dQ_HZ_L,dQ_HZ_U,dQ_All_A,dQ_All_M,dQ_All_L,dQ_All_U,dQ_HZ_d_A,dQ_HZ_d_M,dQ_HZ_d_L,dQ_HZ_d_U,dQ_Life_d_A,dQ_Life_d_M,dQ_Life_d_L,dQ_Life_d_U,dQ_All_d_A,dQ_All_d_M,dQ_All_d_L,dQ_All_d_U,dC_Hosp_A,dC_Hosp_M,dC_Hosp_L,dC_Hosp_U,dC_GP_NonPHN_A,dC_GP_NonPHN_M,dC_GP_NonPHN_L,dC_GP_NonPHN_U,dC_GP_PHN_A,dC_GP_PHN_M,dC_GP_PHN_L,dC_GP_PHN_U,dC_GP_A,dC_GP_M,dC_GP_L,dC_GP_U,dC_Med_A,dC_Med_M,dC_Med_L,dC_Med_U,dC_VacZVL_A,dC_VacZVL_M,dC_VacZVL_L,dC_VacZVL_U,dC_VacRZV_A,dC_VacRZV_M,dC_VacRZV_L,dC_VacRZV_U,dC_Vac_A,dC_Vac_M,dC_Vac_L,dC_Vac_U,dC_All_A,dC_All_M,dC_All_L,dC_All_U,dC_Hosp_d_A,dC_Hosp_d_M,dC_Hosp_d_L,dC_Hosp_d_U,dC_GP_NonPHN_d_A,dC_GP_NonPHN_d_M,dC_GP_NonPHN_d_L,dC_GP_NonPHN_d_U,dC_GP_PHN_d_A,dC_GP_PHN_d_M,dC_GP_PHN_d_L,dC_GP_PHN_d_U,dC_GP_d_A,dC_GP_d_M,dC_GP_d_L,dC_GP_d_U,dC_Med_d_A,dC_Med_d_M,dC_Med_d_L,dC_Med_d_U,dC_VacZVL_d_A,dC_VacZVL_d_M,dC_VacZVL_d_L,dC_VacZVL_d_U,dC_VacRZV_d_A,dC_VacRZV_d_M,dC_VacRZV_d_L,dC_VacRZV_d_U,dC_Vac_d_A,dC_Vac_d_M,dC_Vac_d_L,dC_Vac_d_U,dC_All_d_A,dC_All_d_M,dC_All_d_L,dC_All_d_U,dN_VacZVL_A,dN_VacZVL_M,dN_VacZVL_L,dN_VacZVL_U,dN_VacRZV_A,dN_VacRZV_M,dN_VacRZV_L,dN_VacRZV_U,dN_VacZVL_d_A,dN_VacZVL_d_M,dN_VacZVL_d_L,dN_VacZVL_d_U,dN_VacRZV_d_A,dN_VacRZV_d_M,dN_VacRZV_d_L,dN_VacRZV_d_U,ICER_A,ICER_M,ICER_L,ICER_U,Price0_A,Price0_M,Price0_L,Price0_U,Thres20_A,Thres20_M,Thres20_L,Thres20_U,Thres30_A,Thres30_M,Thres30_L,Thres30_U,Thres20_50,Thres30_90,Thres
"Second_[80,85)",70,"[80,85)",ReVac_RZV1,2024,0,0,0,0,3.1089349420857903e-4,3.106169219972976e-4,2.1439799017164418e-4,4.0697238581486326e-4,3.530043900597392,3.5533546138343652,2.5468391272159927,4.401406323743094,-0.04682390732182071,-0.04708582827876181,-0.05838550786373337,-0.03390646772282922,-0.0033601539328751324,-0.003348825115698978,-0.004542961483737207,-0.0022243990108440684,-0.004218558174195592,-0.004227461972499845,-0.00536185106412636,-0.0030083897578950464,-8.140161315353187e-7,-8.102904738379932e-7,-1.0961626337181252e-6,-5.121474602373422e-7,434.48717552314884,434.82608492393047,301.46435842551296,565.3542613030411,8649.217063374861,8653.264317776297,6055.20924759147,11199.526513380632,9083.704238897997,9095.504072715528,6360.030446077185,11734.076247578207,7374.2330865095855,7386.8280638850565,5166.105258140481,9481.459519399818,305.1717631932823,306.21992098446935,214.39050627409017,393.96526503255586,7679.404849702866,7695.7196574658155,5380.9437313833505,9853.828817850677,-16706883.441902233,-16653736.316514283,-22619187.095304072,-11005428.909402909,-5388703.780768643,-5413764.054497307,-6688848.915174863,-3898188.928975808,-2398830.119623164,-2404781.2569275703,-3078101.749481701,-1689446.1378840418,-7787533.900391808,-7816771.782636497,-9667104.947206467,-5624557.1247013435,-24494417.34229404,-24485271.260597166,-31944281.323904075,-16805765.69389779,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,103727827.65770596,103736973.73940283,96277963.6760959,111416479.30610222,-13755631.708711622,-13735039.484966204,-18557059.564095903,-9192004.287046432,-4622676.6505600335,-4649934.728977808,-5692029.80195295,-3369123.3946206844,-2067707.8986522262,-2071070.797172749,-2626524.4655775386,-1472739.4298734844,-6690384.54921226,-6720676.087044575,-8248234.966491752,-4863876.757271258,-20446016.257923882,-20447656.239093218,-26381223.549724314,-14247605.317175677,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,107776228.74207611,107774588.76090679,101841021.45027569,113974639.68282431,0,0,0,0,1508497,1508497,1508497,1508497,0,0,0,0,1508497,1508497,1508497,1508497,14413.417944927916,13958.036384613708,10414.880012251431,21206.359407855205,85,85,85,85,115.36921402692958,115.81451481290729,80.77847470219668,146.52772988961334,166.27687144820962,166.91501828493475,116.26092232083664,212.1006118346632,115.81451481290729,135.72846999012435,115.81451481290729
"Second_[80,85)",70,"[80,85)",ReVac_RZV2,2024,0,0,0,0,3.588564866787509e-4,3.5819757786459405e-4,2.675145280452984e-4,4.502966337770253e-4,4.058233390188832,4.0850460716004875,3.1206513338288646,4.802976870905496,-0.05371678614991536,-0.0540133691310806,-0.0637850803039128,-0.04149076808471416,-0.003908017045189619,-0.003895430983784796,-0.005060593522101375,-0.0027653602472661504,-0.004829501419973274,-0.0048280685838356305,-0.005951924093764059,-0.0036700194780632804,-8.85652090794212e-7,-8.807719344087865e-7,-1.1541178917253707e-6,-6.117581068362932e-7,500.4088953006957,499.5564781539142,376.5553727627732,626.1497922022827,9937.359336018284,9923.451802874319,7480.542212865439,12374.677034127184,10437.768231319016,10416.905365519226,7862.1864926496055,12932.95492552025,8415.039515396322,8395.365880121934,6412.6413764579675,10463.345662936961,349.87206002590153,349.58689913898706,266.521895189886,436.47002557113296,8764.911575422248,8748.599839024711,6702.9749714449745,10852.871568891824,-19462697.12289389,-19400302.05612206,-25241876.434672803,-13651405.983226107,-6177095.408716434,-6217404.070377301,-7350977.53430223,-4794939.672191974,-2743470.5113874413,-2741538.4802484447,-3408916.2483883756,-2080466.1600643534,-8920565.920103874,-8977946.801670492,-10631055.174791098,-6965038.999323752,-28383263.042997766,-28444832.86310441,-35261051.046251364,-21044542.99781481,0,0,0,0,256444490,256444490,256444490,256444490,256444490,256444490,256444490,256444490,228061226.95700222,227999657.13689557,221183438.9537486,235399947.0021852,-15896638.754543984,-15826349.189943891,-20686109.50676717,-11446464.153707957,-5264363.932279196,-5279075.1400957815,-6215454.776667887,-4148106.572242413,-2350156.637581817,-2349082.977420493,-2897733.8632559786,-1798312.5277015113,-7614520.5698610125,-7637864.136926131,-9034559.062958822,-5991333.759796074,-23511159.324404996,-23533754.99032084,-29136475.97541915,-17531529.008251265,0,0,0,0,256444490,256444490,256444490,256444490,256444490,256444490,256444490,256444490,232933330.67559502,232910735.00967917,227308014.02458087,238912960.99174875,0,0,0,0,3016994,3016994,3016994,3016994,0,0,0,0,3016994,3016994,3016994,3016994,27026.732888941377,26666.089382140875,20959.174614709398,35571.84078462387,85,85,85,85,65.89651515145536,65.692705129497,50.48527068172049,81.51544666443978,94.94831828869147,94.75898629192551,72.72829352810867,117.23454655283552,65.692705129497,80.2768021010889,65.692705129497
"Second_[80,85)",71,"[80,85)",ReVac_RZV1,2024,0,0,0,0,3.060393759988225e-4,3.057398186125937e-4,2.0773204359021414e-4,4.034022370835277e-4,3.4666907686842112,3.4904227796982408,2.4651222469177942,4.3477189842359705,-0.04531162402756645,-0.04554124784293548,-0.057155362983087314,-0.032374907883919155,-0.00326293690698139,-0.0032483078231538903,-0.00442921768137386,-0.002144717277485728,-0.004080883194310241,-0.004093617742272701,-0.005219101290096411,-0.0028901261035276047,-7.812847623363152e-7,-7.771417385418954e-7,-1.0606756903675623e-6,-4.828667089436762e-7,421.415561092576,420.91461131908,288.3657016942743,551.1995699448976,8373.23885798196,8385.777997540219,5792.654875947566,10901.98459907255,8794.6544190745,8799.923387261108,6075.18628527266,11433.244833062216,7129.762369855159,7149.382598288274,4920.387363692133,9230.603140975352,295.7852801398942,296.93666251096874,205.43196886307558,383.51029260896615,7425.547649995074,7442.215931292158,5123.761053352058,9576.651071493421,-16229228.329566518,-16160310.359412726,-22099427.830983464,-10562359.90274868,-5213191.424677489,-5229545.995145543,-6520187.193454793,-3722302.379884857,-2319827.0335720694,-2326727.863848701,-2992899.8027433683,-1613065.5729392725,-7533018.458249559,-7565754.149624962,-9428929.16337016,-5390977.684853493,-23762246.787816077,-23771286.637334302,-31169732.210566755,-16152061.40954753,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,104459998.21218392,104450958.36266568,97052512.78943324,112070183.59045246,-13345626.335693162,-13322891.979374267,-18169356.68771299,-8822325.16188516,-4466381.5977345295,-4490892.530283596,-5536113.2324352255,-3225753.7593707107,-1997154.407472722,-1998427.5651665966,-2550499.294066498,-1414289.9780060172,-6463536.005207252,-6490821.392837226,-8023491.27749389,-4655027.786623609,-19809162.340900414,-19803180.58875593,-25751841.645589657,-13586108.855431542,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,108413082.6590996,108419064.41124406,102470403.35441032,114636136.14456846,0,0,0,0,1508497,1508497,1508497,1508497,0,0,0,0,1508497,1508497,1508497,1508497,15016.010074962174,14525.778690417817,10713.586094311373,22399.08172317149,85,85,85,85,111.58133913478243,112.02276955006565,76.8245263586547,143.0560505103157,160.80614800079326,161.4040004141188,111.19748892861563,206.19231848074963,112.02276955006565,130.4991506941511,112.02276955006565
"Second_[80,85)",71,"[80,85)",ReVac_RZV2,2024,0,0,0,0,3.5472403129310857e-4,3.542169805488271e-4,2.6294560508801636e-4,4.467774949867831e-4,4.002820728086248,4.027891563147638,3.0491841569670037,4.761641479107873,-0.05220432838999499,-0.05250389781388406,-0.06236642827204496,-0.04020271616869202,-0.0038107804092177362,-0.003794216420548246,-0.004946772730677002,-0.002660823005160589,-0.004691812382762456,-0.004688644450535153,-0.005804897972644355,-0.00354315123445626,-8.529136647148246e-7,-8.481386709330389e-7,-1.1192653165188676e-6,-5.835011484554861e-7,487.3364883102607,486.96280460897833,363.1521251914557,611.3710047581698,9661.347537834457,9642.125352909425,7219.826339738228,12143.551595326791,10148.684026144741,10123.264960582368,7585.994057621248,12676.453910481232,8170.5496919906145,8149.033293662998,6190.383984668888,10216.457244643636,340.4851534874896,339.95654785539955,257.23484090997374,426.15541414620816,8511.034845478067,8492.459061883856,6464.629993139463,10588.705522368802,-18984941.027544606,-18919712.880980913,-24716973.10337013,-13214549.846280117,-6001563.685082028,-6035119.331277364,-7168073.466508346,-4643556.81002637,-2664459.728843961,-2663080.9490544014,-3321961.7225702303,-2001115.270316822,-8666023.413925989,-8709892.82047711,-10369556.106423976,-6718760.803862089,-27650964.441470597,-27751922.383169092,-34486726.58094285,-20278173.20136129,0,0,0,0,256444490,256444490,256444490,256444490,256444490,256444490,256444490,256444490,228793525.5585294,228692567.61683092,221957763.41905713,236166316.79863873,-15486576.181300288,-15428459.131028257,-20279474.703983314,-11117992.055087605,-5108057.877958351,-5120441.027353872,-6065926.5272986265,-3998720.012327589,-2279598.7858536425,-2278102.5950008,-2819881.4553041146,-1734166.8101162985,-7387656.663811994,-7406959.102266509,-8808913.297860103,-5743989.147186465,-22874232.845112283,-22898938.086589865,-28372823.186708562,-16982640.392362397,0,0,0,0,256444490,256444490,256444490,256444490,256444490,256444490,256444490,256444490,233570257.1548877,233545551.91341013,228071666.81329146,239461849.6076376,0,0,0,0,3016994,3016994,3016994,3016994,0,0,0,0,3016994,3016994,3016994,3016994,27929.136009028178,27529.305222693816,21547.58581672916,37007.13390118632,85,85,85,85,64.0024241860188,63.864819511405315,48.6299732603605,79.55853729364313,92.21273831152938,91.95940909534775,70.01552835077493,114.71614430230359,63.864819511405315,77.5663254197356,63.864819511405315
"Second_[80,85)",72,"[80,85)",ReVac_RZV1,2024,0,0,0,0,3.0041574155788097e-4,2.999516442301342e-4,2.0227094887941276e-4,3.991600482403656e-4,3.393651116030858,3.4172638946426996,2.3749615807004276,4.295454909805236,-0.04364231226400994,-0.043849580271741566,-0.05520272715495069,-0.03074625150136279,-0.0031554244571076365,-0.0031414641021130095,-0.00431011387992166,-0.0020481027360055165,-0.003928936541559152,-0.003938490640441752,-0.005051565726975418,-0.002762736269765472,-7.458429288960642e-7,-7.416649806278852e-7,-1.0191388908515122e-6,-4.5144516960168465e-7,406.96448079080506,406.61547250300646,275.425031464221,537.2352340649347,8068.515516197779,8081.342743928875,5496.268122470176,10579.83011015855,8475.479996988579,8491.342343620956,5769.746654478181,11090.252784085971,6859.972750288732,6876.926210458575,4654.731873870115,8943.720900129372,285.4116817290755,286.3242334332317,196.01788386283442,372.77306605586784,7145.384432017809,7163.110126236919,4848.697405970003,9281.27981345295,-15700885.41582822,-15645847.189064566,-21512951.25810219,-10086508.800636347,-5019479.6515395185,-5040843.104277548,-6330089.94559176,-3537448.7380601573,-2232649.4313180842,-2239686.255539368,-2906871.4601984266,-1540826.832521278,-7252129.082857602,-7281638.9057583865,-9150772.591826374,-5104634.478460885,-22953014.498685822,-22968415.59233896,-30402535.037722073,-15428482.499319425,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,105269230.50131418,105253829.40766105,97819709.96227792,112793762.50068058,-12892346.403389364,-12854228.607994001,-17513282.01573937,-8414026.622198114,-4293970.970552834,-4318406.086536162,-5352251.172015572,-3069683.7365135183,-1919340.8451395966,-1918244.676730446,-2466369.6471869377,-1333050.753092726,-6213311.81569243,-6233590.23819834,-7777180.347254544,-4423749.291419816,-19105658.219081797,-19108093.70542065,-24963035.732029192,-12956403.217862384,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,109116586.78091821,109114151.29457934,103259209.2679708,115265841.78213763,0,0,0,0,1508497,1508497,1508497,1508497,0,0,0,0,1508497,1508497,1508497,1508497,15730.511313104946,15192.26247160335,11142.756563701243,23535.962193129595,85,85,85,85,107.40050981834102,107.83562324046349,73.3642146563105,138.93614361995373,154.76808451035438,155.30910389685104,105.72648697710582,199.75532896440083,107.83562324046349,124.79309841536546,107.83562324046349
"Second_[80,85)",72,"[80,85)",ReVac_RZV2,2024,0,0,0,0,3.4990954869606485e-4,3.4981232186570566e-4,2.568005361254233e-4,4.423917059385607e-4,3.938682372608915,3.9651032357669003,2.994042784140162,4.715620157824582,-0.05053476134402967,-0.050828353659586045,-0.060737693424583905,-0.03866104983327096,-0.0037032386018917016,-0.0036932134718504293,-0.0048256917856167175,-0.002571364596365697,-0.00453984495209532,-0.004538662544468569,-0.005636209081673722,-0.0033976975180203387,-8.174615296516648e-7,-8.112110192146561e-7,-1.0839813689447374e-6,-5.523778782388898e-7,472.8841425193511,473.3009185511619,349.78245107526897,597.267862007767,9356.57507340609,9324.840136965635,6939.341301722509,11811.418655152485,9829.45921592548,9796.162598364986,7296.626975006796,12329.921570599638,7900.731886216873,7875.079957377087,5947.68145541864,9946.079090063095,330.11087428545767,329.6443935339339,247.8965184184024,415.40365025289356,8230.842760502308,8214.566593561787,6208.006394889159,10310.779774106317,-18456446.72705618,-18407315.418911394,-24122564.53478663,-12811360.249480888,-5807823.623924805,-5838461.078689829,-6967287.437042669,-4460609.094293067,-2577270.774822502,-2570630.0496811634,-3228452.2018237747,-1925826.1855789956,-8385094.398747306,-8416344.600794848,-10066545.704910688,-6434747.007195767,-26841541.125803486,-26970392.47549806,-33639964.18544296,-19392195.75376623,0,0,0,0,256444490,256444490,256444490,256444490,256444490,256444490,256444490,256444490,229602948.8741965,229474097.52450195,222804525.81455705,237052294.2462338,-15033209.751365244,-14989268.858628716,-19682137.831691846,-10691189.258681985,-4935631.034299708,-4942964.579729367,-5889916.530530233,-3830610.9018598716,-2201778.7318187607,-2200708.319721756,-2726102.3225976825,-1665455.997303679,-7137409.766118469,-7157103.998006384,-8544820.627882026,-5536817.020188623,-22170619.517483715,-22168949.197215635,-27593388.089982007,-16402852.902535604,0,0,0,0,256444490,256444490,256444490,256444490,256444490,256444490,256444490,256444490,234273870.4825163,234275540.80278438,228851101.910018,240041637.0974644,0,0,0,0,3016994,3016994,3016994,3016994,0,0,0,0,3016994,3016994,3016994,3016994,28987.59084820582,28541.848575437783,22234.512457306435,38664.99207287673,85,85,85,85,61.91178196825379,61.84433618489493,46.68512344068813,77.34616542607353,89.19338332544015,88.96529714139163,67.20412149274463,111.47530246179419,61.84433618489493,74.80002589609731,61.84433618489493
"Second_[80,85)",73,"[80,85)",ReVac_RZV1,2024,0,0,0,0,2.939142966745241e-4,2.9369049173544326e-4,1.9513657874115076e-4,3.938340897644332e-4,3.3096215244871425,3.332028575647948,2.278185120097489,4.2278072812585865,-0.04180323360230912,-0.041978781524895675,-0.05329588119391101,-0.02909324984076615,-0.003036707215153973,-0.003024963360992287,-0.004185353461931886,-0.0019370908835792688,-0.0037615670861042947,-0.003772178554492947,-0.004866399086332804,-0.002612394043545557,-7.076269829281708e-7,-7.026379283434009e-7,-9.7900189760736e-7,-4.207433619526239e-7,391.0139613966253,390.604967600666,260.8160422491375,520.6654297747184,7732.69150191436,7747.383950310925,5180.433445966127,10218.972575038299,8123.705463311006,8133.96007090807,5438.741229317756,10737.687387667456,6562.847724041275,6582.850883123901,4414.686988124553,8617.41832447328,273.96654050667024,274.5450361818075,186.34234262167013,360.3401089226827,6836.814264547964,6859.955094934441,4595.449516023206,8953.952450943738,-15117336.633062284,-15079633.500245886,-20856135.107934996,-9575156.6427928191,-4806101.88367903,-4822897.529788262,-6073805.955020543,-3345532.4888399807,-2136642.929800957,-2140978.5705068265,-2798403.1719895,-1463446.5619775464,-6942744.813479988,-6974141.171216835,-8838917.59522426,-4828681.677158708,-22060081.446542274,-22062632.461928777,-29430566.57910381,-14595918.078257864,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,106162163.55345772,106159612.53807122,98791678.42089619,113626326.92174214,-12392037.56748361,-12346393.56643805,-16986808.068799578,-7974727.961798139,-4104182.5246308497,-4122952.0977489264,-5153790.500033127,-2893498.7141909082,-1833701.821144645,-1829425.270649266,-2371101.5786239835,-1269155.3249319645,-5937884.345775494,-5954891.103857098,-7490117.629409878,-4182459.9346618513,-18329921.913259104,-18334124.22251112,-24096049.93035539,-12337566.261642925,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,109892323.0867409,109888120.77748889,104126195.06964463,115884678.73835708,0,0,0,0,1508497,1508497,1508497,1508497,0,0,0,0,1508497,1508497,1508497,1508497,16585.436457090753,15978.011194861945,11589.945781620127,25183.07481846861,85,85,85,85,102.79517109030935,103.32934780004175,69.36025644802444,134.46763302262917,148.11719867503749,148.52066558813837,99.53470105863433,193.11215982191425,103.32934780004175,118.66462800159468,103.32934780004175
"Second_[80,85)",73,"[80,85)",ReVac_RZV2,2024,0,0,0,0,3.44319715448294e-4,3.446032122966791e-4,2.5063237044438137e-4,4.36917691182237e-4,3.8646790971651765,3.8897178393941783,2.92734406025088,4.658811004370663,-0.04869530296256804,-0.04895407066011,-0.058723108709902334,-0.0370023605154755,-0.0035844783904465166,-0.003580085876752815,-0.004698444129770319,-0.002475475384718499,-0.004372444289482377,-0.004371451056784881,-0.005444017249132343,-0.003246550878890383,-7.79230297758292e-7,-7.703465769314072e-7,-1.04160458771899e-6,-5.209450782017503e-7,456.93153226898795,456.70811783801764,335.1827515708748,580.195448333444,9020.677926786015,8989.958751760336,6634.5445112945135,11424.233156140042,9477.609459055075,9442.783881155774,6983.877218852332,11960.851346839405,7603.564356944622,7587.818456387959,5680.2973723896475,9624.153355656492,318.66459702649246,318.4078848171048,235.93599959996064,403.46773860696703,7922.228953971142,7913.105420042295,5935.051198256342,10000.549982910998,-17872676.16963053,-17831241.75511862,-23479251.87314717,-12386674.791518088,-5594403.661831782,-5619806.200431967,-6745296.106926298,-4286908.258902878,-2481247.1777275256,-2473304.5682644313,-3114584.264240925,-1850581.0203359316,-8075650.839559307,-8102742.206465457,-9741664.113650318,-6146848.77509108,-25948327.009189837,-26086440.91408658,-32731905.850322492,-18695824.84885801,0,0,0,0,256444490,256444490,256444490,256444490,256444490,256444490,256444490,256444490,230496162.99081016,230358049.08591342,223712584.14967754,237748665.151142,-14532772.742636263,-14503346.469598636,-19188280.325262547,-10253060.287217127,-4745818.07593177,-4752052.2327285735,-5685998.866861472,-3645587.9482490867,-2116129.796503229,-2115164.8861121545,-2625440.321830579,-1591897.1321559083,-6861947.872434998,-6875394.183066125,-8268316.843568013,-5274239.776385802,-21394720.615071263,-21367038.73911781,-26651515.176331453,-15787589.640216893,0,0,0,0,256444490,256444490,256444490,256444490,256444490,256444490,256444490,256444490,235049769.38492873,235077451.2608822,229792974.82366857,240656900.3597831,0,0,0,0,3016994,3016994,3016994,3016994,0,0,0,0,3016994,3016994,3016994,3016994,30237.78768815845,29715.833268430608,23118.095524982306,40608.08337231184,85,85,85,85,59.60876942231045,59.6100602785453,44.579281713100556,74.77183447092305,85.8674525816775,85.75469842597349,64.09514922272307,107.68147115300495,59.6100602785453,71.65146203847455,59.6100602785453
"Second_[80,85)",74,"[80,85)",ReVac_RZV1,2024,0,0,0,0,2.864146176574893e-4,2.864147298518027e-4,1.878714772813428e-4,3.8737958058021604e-4,3.2131623476313105,3.2339992394237447,2.1822936192763347,4.149523698597384,-0.03978180576574985,-0.0399556453539147,-0.05098023093016098,-0.027210512066307157,-0.00290586436953146,-0.0028936897615022116,-0.004058465479383971,-0.0018250104187606446,-0.003577639891793313,-0.00358734325293854,-0.004653680652572375,-0.002455887088060087,-6.666227376141406e-7,-6.615678822781528e-7,-9.354476211778161e-7,-3.886814708917698e-7,373.4428765053861,373.3456319095567,246.69770408691838,502.01071066120636,7363.433254441312,7370.641188200443,4856.737793087782,9825.692685009282,7736.876130946733,7749.69704151433,5094.110226044943,10293.62067253776,6236.409578110633,6267.0733733113775,4171.559301983375,8266.529979151872,261.365106214731,261.952285238076,174.9656930359313,346.20284418379885,6497.774684325356,6519.17194304429,4343.112151995488,8587.462850891798,-14473994.234890737,-14434951.468981292,-20131719.21922228,-9009074.547214162,-4571612.493579085,-4592670.7130654575,-5821171.782344039,-3146131.629340764,-2031163.7843110387,-2032402.2291936586,-2675355.64737789,-1374971.0329794826,-6602776.277890124,-6639725.788671823,-8454905.84247247,-4521539.169587579,-21076770.51278086,-21074601.633611523,-28307327.653960396,-13674218.146525595,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,107145474.48721914,107147643.3663885,99914917.34603961,114548026.85347441,-11840920.32359058,-11783712.750954071,-16447196.867080534,-7494289.3952726275,-3895784.6329917894,-3914606.1881560828,-4940471.732381546,-2718809.0163043765,-1739686.5676513352,-1735900.8562719584,-2266793.7883058144,-1196494.0262884889,-5635471.200643125,-5654032.147741685,-7161355.555169591,-3899284.3211387917,-17476391.524233706,-17459094.643946595,-23154538.584549464,-11583782.22120553,0,0,0,0,128222245,128222245,128222245,128222245,128222245,128222245,128222245,128222245,110745853.4757663,110763150.3560534,105067706.41545051,116638462.77879447,0,0,0,0,1508497,1508497,1508497,1508497,0,0,0,0,1508497,1508497,1508497,1508497,17619.59032201615,16985.258499906806,12237.554142199582,26930.520548698434,85,85,85,85,97.73429129175652,98.06148322775255,65.04644403664223,129.20848218766628,140.8087865298999,141.22875483016372,93.83743369055263,185.53169328156358,98.06148322775255,111.81645343010769,98.06148322775255
"Second_[80,85)",74,"[80,85)",ReVac_RZV2,2024,0,0,0,0,3.3785304963453557e-4,3.377187068398513e-4,2.4343671148414626e-4,4.3089278131844814e-4,3.779578776567583,3.804440150053197,2.84697650408866,4.582784428789513,-0.04667331261530107,-0.04689572086278725,-0.05660995488752373,-0.03543281137108721,-0.003453572218901296,-0.0034525670251516994,-0.004533634863792221,-0.002381730503365778,-0.00418847051380288,-0.004184339639995585,-0.005233005076740101,-0.0030875745654154805,-7.38203556089204e-7,-7.297544077179652e-7,-9.963340581947246e-7,-4.875888021842502e-7,439.3570799023025,440.0515731712803,317.5528313969262,560.3973545243498,8651.311294911646,8624.214336933579,6283.280662825154,11030.024420164556,9090.6683748139385,9068.807200444862,6614.415707054222,11559.367233245539,7277.062492873988,7262.487804237335,5384.535126141495,9259.878331810232,306.0613189309044,306.1772880824283,224.93034780931194,390.0604540924076,7583.123811804905,7581.859322488774,5608.3066453999845,9641.89360967381,-17229006.707808603,-17211029.51351486,-22676956.95204727,-11838303.0296277,-5359851.688728749,-5388324.345848935,-6479468.879034068,-4096092.4075958473,-2375742.500508542,-2367662.5172392847,-2986127.017432887,-1756301.175033573,-7735594.189237291,-7756467.261428725,-9384366.69320095,-5849770.336359163,-24964600.89704589,-25108238.047171578,-31653499.926338613,-17889690.116901148,0,0,0,0,256444490,256444490,256444490,256444490,256444490,256444490,256444490,256444490,231479889.10295412,231336251.9528284,224790990.0736614,238554799.88309887,-13981464.260018397,-13976164.633421762,-18459538.62712152,-9820124.8029421,-4537383.396223467,-4545468.319365708,-5461984.304450927,-3469141.3978991397,-2022099.548140029,-2018340.6958003615,-2524656.450599022,-1518286.4445563965,-6559482.944363496,-6574721.148147162,-7931888.314712911,-5023211.899406635,-20540947.204381894,-20530632.23180855,-25660839.14720382,-15054334.736547062,0,0,0,0,256444490,256444490,256444490,256444490,256444490,256444490,256444490,256444490,235903542.79561812,235913857.76819146,230783650.85279623,241390155.26345298,0,0,0,0,3016994,3016994,3016994,3016994,0,0,0,0,3016994,3016994,3016994,3016994,31726.64169724229,31179.519248119257,24104.022597526207,42909.8779737259,85,85,85,85,57.077814354446836,57.052795209268965,42.338551528316664,72.02397124368588,82.21251403169148,82.06265659466902,60.88598951752745,103.87562624593322,57.052795209268965,68.46511714920025,57.052795209268965
