Scenario,Age0,Age1,Arm,Year0,dYear_Life_A,dYear_Life_M,dYear_Life_L,dYear_Life_U,dYear_Immunised_A,dYear_Immunised_M,dYear_Immunised_L,dYear_Immunised_U,dRisk_HZ_A,dRisk_HZ_M,dRisk_HZ_L,dRisk_HZ_U,dRisk_Hosp_A,dRisk_Hosp_M,dRisk_Hosp_L,dRisk_Hosp_U,dRisk_PHN_A,dRisk_PHN_M,dRisk_PHN_L,dRisk_PHN_U,dRisk_Death_A,dRisk_Death_M,dRisk_Death_L,dRisk_Death_U,dQ_Life_A,dQ_Life_M,dQ_Life_L,dQ_Life_U,dQ_HZ_A,dQ_HZ_M,dQ_HZ_L,dQ_HZ_U,dQ_HZ_Norm_A,dQ_HZ_Norm_M,dQ_HZ_Norm_L,dQ_HZ_Norm_U,dQ_All_A,dQ_All_M,dQ_All_L,dQ_All_U,dQ_HZ_d_A,dQ_HZ_d_M,dQ_HZ_d_L,dQ_HZ_d_U,dQ_HZ_Norm_d_A,dQ_HZ_Norm_d_M,dQ_HZ_Norm_d_L,dQ_HZ_Norm_d_U,dQ_Life_d_A,dQ_Life_d_M,dQ_Life_d_L,dQ_Life_d_U,dQ_All_d_A,dQ_All_d_M,dQ_All_d_L,dQ_All_d_U,dC_Hosp_A,dC_Hosp_M,dC_Hosp_L,dC_Hosp_U,dC_GP_NonPHN_A,dC_GP_NonPHN_M,dC_GP_NonPHN_L,dC_GP_NonPHN_U,dC_GP_PHN_A,dC_GP_PHN_M,dC_GP_PHN_L,dC_GP_PHN_U,dC_GP_A,dC_GP_M,dC_GP_L,dC_GP_U,dC_Med_A,dC_Med_M,dC_Med_L,dC_Med_U,dC_VacZVL_A,dC_VacZVL_M,dC_VacZVL_L,dC_VacZVL_U,dC_VacRZV_A,dC_VacRZV_M,dC_VacRZV_L,dC_VacRZV_U,dC_Vac_A,dC_Vac_M,dC_Vac_L,dC_Vac_U,dC_All_A,dC_All_M,dC_All_L,dC_All_U,dC_Hosp_d_A,dC_Hosp_d_M,dC_Hosp_d_L,dC_Hosp_d_U,dC_GP_NonPHN_d_A,dC_GP_NonPHN_d_M,dC_GP_NonPHN_d_L,dC_GP_NonPHN_d_U,dC_GP_PHN_d_A,dC_GP_PHN_d_M,dC_GP_PHN_d_L,dC_GP_PHN_d_U,dC_GP_d_A,dC_GP_d_M,dC_GP_d_L,dC_GP_d_U,dC_Med_d_A,dC_Med_d_M,dC_Med_d_L,dC_Med_d_U,dC_VacZVL_d_A,dC_VacZVL_d_M,dC_VacZVL_d_L,dC_VacZVL_d_U,dC_VacRZV_d_A,dC_VacRZV_d_M,dC_VacRZV_d_L,dC_VacRZV_d_U,dC_Vac_d_A,dC_Vac_d_M,dC_Vac_d_L,dC_Vac_d_U,dC_All_d_A,dC_All_d_M,dC_All_d_L,dC_All_d_U,dN_VacZVL_A,dN_VacZVL_M,dN_VacZVL_L,dN_VacZVL_U,dN_VacRZV_A,dN_VacRZV_M,dN_VacRZV_L,dN_VacRZV_U,dN_VacZVL_d_A,dN_VacZVL_d_M,dN_VacZVL_d_L,dN_VacZVL_d_U,dN_VacRZV_d_A,dN_VacRZV_d_M,dN_VacRZV_d_L,dN_VacRZV_d_U,ICER_A,ICER_M,ICER_L,ICER_U,Price0_A,Price0_M,Price0_L,Price0_U,Thres20_A,Thres20_M,Thres20_L,Thres20_U,Thres30_A,Thres30_M,Thres30_L,Thres30_U,Thres20_50,Thres30_90,Thres
Overall,70,80,ReVac_RZV_1d,2024,3.456057526735279e-4,3.402278577144813e-4,2.7122471917948585e-4,4.5000596318498507e-4,6.876100641264831,6.788954648962285,6.020259684384772,8.015056050553014,-0.061074235811552274,-0.06033701759427701,-0.07129602220396614,-0.05302628985180846,-0.002512786060784685,-0.002448897357294454,-0.0034617020000352735,-0.0019450431569988103,-0.004985007720248076,-0.004950366066813303,-0.005946104867121862,-0.004111920347378371,-6.805240703414365e-7,-6.771333390179405e-7,-9.150349344663804e-7,-5.146993354254743e-7,2.392591411208933e-4,2.352603291582156e-4,1.8906208778393107e-4,3.09676950754234e-4,0.009615819109984049,0.0096986478507794,0.005329255503288213,0.014497739250749476,0.003589607964270619,0.00350693092441855,0.001148486670136106,0.0070934210563570865,0.009852452280014407,0.009938109648151006,0.005555624748212296,0.014774998540025307,0.00710493932154195,0.007190513625440696,0.0039865729826234625,0.01049518238088911,0.0027164715863816206,0.0026648680839840297,8.831437846885177e-4,0.005276809841884479,1.2839360408609224e-4,1.2639235676559224e-4,1.0275647118591636e-4,1.6038266031750403e-4,0.007233332925627991,0.007308338666016212,0.004110361774636795,0.01063084635625735,-10.604955727385926,-10.317640950225687,-14.72148345583317,-8.07632870249958,-5.513210906917741,-5.417661332159031,-6.460458166178499,-4.819846570575349,-2.19417837473976,-2.224568579124621,-2.5772025201577113,-1.775381784883872,-7.707389281657501,-7.627660433102573,-8.975887469645041,-6.619282008979555,-18.312345009043426,-17.852733433174507,-23.70650259927681,-15.167977790232936,110,110,110,110,68.66174428031545,68.66174973386549,68.66160289851112,68.6618878074926,178.66174428031545,178.66174973386546,178.66160289851112,178.66188780749258,160.34939927127203,160.80905505550743,154.9552917326805,163.49376963270686,-6.840471171626338,-6.643159465930876,-9.211976415496803,-5.4576541776848675,-4.13913751781669,-4.120598888167832,-4.735253600722862,-3.6905297433554005,-1.594381326797056,-1.5910095461227851,-1.844918881722723,-1.3169503346783387,-5.733518844613745,-5.6773721155015,-6.540390673194599,-5.015973082437706,-12.573990016240083,-12.39410968778402,-15.581888170309892,-10.641082385498187,110,110,110,110,48.67560230244496,48.67560616856919,48.67550207422395,48.67570405156113,158.67560230244496,158.67560616856917,158.67550207422397,158.67570405156113,146.10161228620487,146.2814522310467,143.09373027431056,148.03455308023365,1,1,1,1,0.8077852268272405,0.8077852909866527,0.8077835635118953,0.8077869153822659,1,1,1,1,0.5726541447346466,0.572654190218461,0.5726529655791053,0.5726553417830721,21526.781588633097,20173.576870872872,13559.598162755821,35556.47936394479,85,85,84.99999999999999,85.00000000000001,274.58221638447634,274.88236633956285,165.4417227284473,396.48282474695156,400.8946300503054,402.6228771700778,237.2191209969518,581.1895290976363,274.88236633956285,279.0084929003517,274.88236633956285
Overall,70,80,ReVac_RZV_2d,2024,4.2188596599856965e-4,4.1746980228296593e-4,3.399971224271603e-4,5.298231623603656e-4,7.787820902549261,7.731423057971703,6.938167541623166,8.843148603242298,-0.06969462158394177,-0.06893481577233102,-0.07957358564525288,-0.06215340877127615,-0.0030819914370256614,-0.0030215259706653274,-0.004056990694454829,-0.0023764531338595655,-0.005770818428089217,-0.005786535210278715,-0.0066653588250883255,-0.0048627716140175106,-8.099067187307774e-7,-8.084762771097405e-7,-1.045413468973025e-6,-6.211287922078748e-7,2.9098883295947787e-4,2.8771111324488174e-4,2.3631801861307978e-4,3.633253087996557e-4,0.011023056659891723,0.011274843597001385,0.006076686437144162,0.01651305821954009,0.004060062192469766,0.00397049280509242,0.001317184420685409,0.007990825844598301,0.011310480177022022,0.011548146503328915,0.006353402334717773,0.01684710770948734,0.007936376475481191,0.008063966042027164,0.004432400969007437,0.011659162639964374,0.0029975475533212405,0.0029546754423882965,9.846453025465767e-4,0.005803779703014743,1.5351050131855005e-4,1.5132734022227368e-4,1.2673189312111254e-4,1.8736624822190961e-4,0.008089886976799594,0.008219361542065151,0.004581130467123717,0.01181890088831925,-13.120155404149012,-12.88362249076727,-17.440084171269277,-9.980843740892752,-6.262419394643714,-6.19414261843571,-7.1146616034171295,-5.589911437445489,-2.5321197398293016,-2.5334746464659084,-2.926301109103868,-2.1042978488134736,-8.794539134473014,-8.698840765065043,-10.014315838211555,-7.778245744419152,-21.914694538622026,-21.53399275594184,-27.245423544483366,-18.317646996164925,110,110,110,110,137.3234885606309,137.32349946773098,137.32320579702224,137.3237756149852,247.3234885606309,247.32349946773098,247.32320579702224,247.3237756149852,225.40879402200886,225.789584221422,220.07816511943133,229.00600697784802,-8.259621063656251,-8.05126611533005,-10.685536751137182,-6.557023614448921,-4.584352428754277,-4.556088356021395,-5.076335242763388,-4.182837627165102,-1.7958596173543613,-1.7979031264234782,-2.0540006351656594,-1.513297293459221,-6.380212046108639,-6.339937341386618,-7.10971713370216,-5.707509126512952,-14.63983310976489,-14.413614427970753,-17.74851853876446,-12.730699622616228,110,110,110,110,97.35120460488992,97.35121233713838,97.3510041484479,97.35140810312225,207.35120460488992,207.35121233713835,207.35100414844788,207.35140810312225,192.71137149512504,192.93765002933299,189.60275703122667,194.62048436762893,1,1,1,1,1.615570453654481,1.6155705819733055,1.6155671270237906,1.6155738307645318,1,1,1,1,1.1453082894692932,1.145308380436922,1.1453059311582106,1.1453106835661442,25371.142186980585,23436.16906991558,16079.442922977918,42083.56710096713,85,85,84.99999999999999,85.00000000000001,154.05246738495438,156.30412917021718,92.72823144814728,221.431258255605,224.68748177247622,228.29803271549514,132.7273414100264,324.4388260153705,156.30412917021718,156.20354272627142,156.20354272627142
Overall,70,81,ReVac_RZV_1d,2024,3.4677181958002733e-4,3.4099594685876866e-4,2.748836211041272e-4,4.3861624948817737e-4,6.709164867899319,6.668740172839963,5.917228103907917,7.741881756237795,-0.05951093426136868,-0.0587138955710185,-0.06932954168695951,-0.051741851955090554,-0.0025158261125385935,-0.002464225640922778,-0.003357420858328814,-0.001992589575293288,-0.004852769946828574,-0.004897392751330517,-0.0057443461192521975,-0.004012803189266039,-6.973149091804564e-7,-6.945578939436061e-7,-9.08272091258335e-7,-5.388492645831825e-7,2.3952432251963529e-4,2.3590219913227628e-4,1.901698755780945e-4,3.010704738106273e-4,0.00937284217764465,0.009385163460770927,0.0052160622817160815,0.014047358405540951,0.003485716136956081,0.0034406253920973864,0.0011223746791241616,0.00685330000968592,0.009609558563736513,0.009640691822230707,0.005446892390765967,0.014313509785274769,0.006886739562253836,0.006932243432952494,0.0038699368069805267,0.010178924173873758,0.002628256159883655,0.0025871638896113117,8.600128464328814e-4,0.005105711600419638,1.2733207112267664e-4,1.2665022214264354e-4,1.0252013551856898e-4,1.5575076722571521e-4,0.007014071633376435,0.007065622496096324,0.003994682384527914,0.010312362548661767,-10.674110648820553,-10.374083128724177,-14.343862063582446,-8.318615672295678,-5.366037947613207,-5.298308847569463,-6.256135920956473,-4.7111479216430725,-2.132975979704219,-2.133340479417557,-2.490528273909569,-1.7303243427523225,-7.499013927317426,-7.421677269091859,-8.72062706869212,-6.4463242927163575,-18.17312457613798,-17.809050716473113,-22.962888238062156,-15.21126504389505,110,110,110,110,65.98951513619707,65.98952402245291,65.98934955077226,65.98968672175948,175.98951513619707,175.9895240224529,175.98934955077226,175.98968672175948,157.8163905600591,158.18049351067063,153.02668528182392,160.77829223980666,-6.787401735685455,-6.706004097275072,-8.8501050649218591,-5.5266663927151605,-4.010200982955159,-3.984915686977829,-4.569692823542116,-3.569564275669305,-1.5399776238415543,-1.5253456352768262,-1.7588543213908503,-1.2760360806526974,-5.550178606796713,-5.504675863829953,-6.306027170628375,-4.8708249722065835,-12.337580342482168,-12.211921240910787,-15.098888183026048,-10.570845250855207,110,110,110,110,45.199235543609554,45.199241630212406,45.19912212658258,45.19935307040507,155.19923554360955,155.1992416302124,155.19912212658255,155.19935307040507,142.86165520112738,142.9872465587796,140.1003732793772,144.628419161507,1,1,1,1,0.7763472368964361,0.7763473414406226,0.776345288832615,0.7763492555501117,1,1,1,1,0.5317557122777594,0.5317557838848519,0.5317543779597951,0.531757094945942,21675.47117123264,20135.50674984394,13787.679267873871,35776.62646987314,85,85,84.99999999999999,85.00000000000001,287.0096245868212,290.06407071728745,173.3603614648819,412.5968500277661,418.9136399117807,423.2474663496854,248.4828948259863,607.1785303137258,290.06407071728745,292.45561934723924,290.06407071728745
Overall,70,81,ReVac_RZV_2d,2024,4.192523355836286e-4,4.1370836230214536e-4,3.4327141347594296e-4,5.145047918605704e-4,7.533513634237553,7.490580546789301,6.739517206140034,8.466971284838419,-0.06729984478082272,-0.06665705454334533,-0.0759897901229977,-0.060014032078061774,-0.003059011232978723,-0.002984865459494405,-0.003920084753671316,-0.0024534269643911584,-0.00556381008037238,-0.005587588611394108,-0.006330892970726181,-0.00474007894091852,-8.200425017523369e-7,-8.159011277123488e-7,-1.03135656447188e-6,-6.460455369029774e-7,2.8850837579202704e-4,2.8488194459264093e-4,2.3697815020673474e-4,3.515549789455452e-4,0.010647684617852463,0.010894925348592743,0.005896123561151722,0.01579857484739987,0.0039057878980658317,0.003876877328860696,0.0012734965987100167,0.007647527610605569,0.010932414449423736,0.011148893266492266,0.006175304041404273,0.01610195893932098,0.007620852433277107,0.007724520938640983,0.0042644791567732565,0.011200792563246773,0.0028726921475114887,0.0028196881180341795,9.484541030773115e-4,0.005558073225008831,1.5078330548217166e-4,1.486364355800518e-4,1.2559489960866087e-4,1.799433228415914e-4,0.007771635738759191,0.007879375061940586,0.004412847384397578,0.011357226758717375,-13.08889020394283,-12.733829165005304,-16.90108940311588,-10.383634783124386,-6.040004143370551,-5.985860883475353,-6.8001614166611795,-5.427033482302075,-2.4375377474274713,-2.4448410898124613,-2.796893980412464,-2.0261210024883143,-8.477541890798022,-8.387839889281967,-9.521176874238432,-7.527254000884051,-21.56643209474085,-21.213474040518157,-26.172199540841333,-18.31599393884148,110,110,110,110,131.97903027239414,131.97904804490582,131.97869910154452,131.97937344351897,241.97903027239414,241.97904804490582,241.97869910154452,241.97937344351897,220.4125981776533,220.76570960334152,215.80694872041383,223.66308864787297,-8.12245848733311,-7.980833517649832,-10.295540545640652,-6.686181167654107,-4.4002978087638756,-4.374966166542894,-4.859253085234668,-4.0128520753065064,-1.7170650827234404,-1.7102718982347076,-1.9521499113854843,-1.45063154832226,-6.117362891487316,-6.092837143389707,-6.748338024581017,-5.482439416073123,-14.239821378820427,-14.146529573614504,-16.936933281173566,-12.480452529577574,110,110,110,110,90.39847108721911,90.39848326042481,90.39824425316516,90.39870614081013,200.3984710872191,200.39848326042483,200.39824425316516,200.39870614081013,186.15864970839868,186.25195402823277,183.46171508273267,187.9179917646323,1,1,1,1,1.5526944737928723,1.5526946828812451,1.55269057766523,1.5526985111002234,1,1,1,1,1.0635114245555188,1.0635115677697038,1.0635087559195902,1.063514189891884,25475.651965393958,23609.56342533308,16250.296477951728,42202.38361260478,85,85,84.99999999999999,85.00000000000001,159.53992230408136,161.68819194631055,96.32509340055594,228.48063065591145,232.61516406566793,235.77644988775015,137.81828881587288,335.2704463721548,161.68819194631055,162.2745908291849,161.68819194631055
Overall,70,82,ReVac_RZV_1d,2024,3.447285527073518e-4,3.424202956932021e-4,2.7433151089608645e-4,4.256662655042653e-4,6.522421615232241,6.48681950570764,5.777680492425109,7.514177781102518,-0.05772237271123451,-0.05719792320364322,-0.06699885106348652,-0.050268067477528544,-0.0025051455405487484,-0.002474924318468257,-0.0033318197643516477,-0.0019849897431192536,-0.0046796414798919396,-0.004666002035160241,-0.005563259765132427,-0.003888082077642481,-7.075714832262289e-7,-7.07020285110697e-7,-8.927809069572043e-7,-5.604705020123477e-7,2.375723763892168e-4,2.3556497205401428e-4,1.8941586901934928e-4,2.909667991116915e-4,0.009091331142240247,0.009096590952507637,0.005077376648633361,0.013488488081759845,0.0033711725971495776,0.00334466614909856,0.0010952582045660381,0.006596256128048024,0.009325912543142073,0.009301514941930655,0.005310241735968812,0.013755847668971023,0.006655076188939877,0.0067456035996368196,0.00374375853442027,0.009788498646088783,0.0025376665210040525,0.002503769501777743,8.375925962943755e-4,0.00490567859526852,1.251858813308715e-4,1.2495523834843425e-4,1.0134918077726597e-4,1.5090305359706236e-4,0.006780262070270648,0.0068724855375936755,0.003868215566784228,0.009918943977558083,-10.67999699039963,-10.50301572798059,-14.287445443992336,-8.381400918146618,-5.201120685258059,-5.143778471390888,-6.03835946266142,-4.565662485061412,-2.0538434937087025,-2.049081767289542,-2.363078425770435,-1.6673887771160119,-7.254964178966761,-7.150328345147386,-8.397748420159598,-6.243622829609501,-17.93496116936639,-17.71781378912231,-22.382995560332237,-14.803788132807728,110,110,110,110,63.10501271584977,63.10501933363203,63.10481812315948,63.105213926639934,173.10501271584977,173.10501933363201,173.10481812315948,173.10521392663992,155.17005154648336,155.38718700414788,150.72198375875678,158.30126592360762,-6.700251390564869,-6.673391756477089,-8.75387547759219,-5.365464493191433,-3.8765626512360867,-3.859975860383734,-4.392043965154585,-3.4453373477371656,-1.4765774591389735,-1.465192538999906,-1.6806988000603331,-1.2258373952322241,-5.353140110375061,-5.3471319600011835,-6.055925264834363,-4.696226239142424,-12.05339150093993,-12.038312593850174,-14.761531294537079,-10.187519105339202,110,110,110,110,41.76184345367248,41.761847833210254,41.76171467548008,41.761976611612845,151.76184345367247,151.76184783321025,151.7617146754801,151.76197661161285,139.70845195273256,139.723480363006,137.00032408364342,141.57436116924856,1,1,1,1,0.7424119143041149,0.7424119921603769,0.7424096249783468,0.7424142814898815,1,1,1,1,0.49131580533732333,0.49131585686129714,0.4913142902997657,0.4913173719013276,21901.416931793876,20345.3366831577,14036.548659746795,36089.7711648916,85,85,84.99999999999999,85.00000000000001,300.53709598611147,304.1087554856976,182.2194281719989,429.87997421141165,438.5392045437996,443.9191946182822,260.9512248824199,632.76193355831106,304.1087554856976,307.07716928676416,304.1087554856976
Overall,70,82,ReVac_RZV_2d,2024,4.127058471492262e-4,4.0825053718585025e-4,3.3964138259685585e-4,4.961182958796328e-4,7.261410738203143,7.243065884749727,6.525013250949553,8.114569776910999,-0.06469404169269137,-0.06411428112190515,-0.07294181915259196,-0.05780515495393903,-0.003018778382951012,-0.0029552490822157417,-0.0038799513427850603,-0.002453349658983409,-0.005313423166527723,-0.005289811796439631,-0.006016458911366611,-0.004551361290577882,-8.223359816450378e-7,-8.158969665330454e-7,-1.0084255931924138e-6,-6.685583191988608e-7,2.8334622050190105e-4,2.802368903758179e-4,2.3451360428645708e-4,3.3911638184593864e-4,0.010235321643616194,0.01044309191947358,0.0056893263375566,0.015070023007657637,0.003742619257961247,0.0037278692020466762,0.0012303687749472903,0.007290955192823044,0.010514681251344289,0.01070171667064379,0.005967895960251957,0.015360683403239105,0.00729712365343867,0.007361331875581122,0.004089027593420514,0.010675393185004935,0.0027481731432292813,0.0027010054323184955,9.146114568810307e-4,0.005310159045938127,1.467906650857742e-4,1.4611382933793493e-4,1.2295254995717817e-4,1.7296473642867125e-4,0.007443914318524438,0.007504701235932387,0.004235515673725177,0.010827295868363326,-12.976246676943067,-12.692908653667889,-16.71948760518727,-10.46316737645856,-5.801863476873604,-5.739277195288172,-6.495880819631488,-5.222740941415996,-2.324084740692826,-2.3202669517294536,-2.6449752348771476,-1.9294089392575806,-8.12594821756643,-8.070371113395442,-9.094935420719388,-7.2179108405557475,-21.102194894509495,-20.822236981106066,-25.57863994365544,-17.80111838441824,110,110,110,110,126.21002543169953,126.21003866726406,126.20963624631896,126.21042785327987,236.21002543169953,236.21003866726406,236.20963624631895,236.21042785327984,215.10783053719004,215.38780333732012,210.63162121219645,218.4090350447721,-7.944313808076151,-7.822786233360408,-10.140359418584957,-6.58291435450841,-4.215266303859122,-4.209721888586115,-4.648952634688035,-3.829426730327085,-1.6296667413288743,-1.619439614752818,-1.8479993425451728,-1.377574423989005,-5.844933045187996,-5.817699182729784,-6.412157038686574,-5.224656604665787,-13.789246853264148,-13.72043475432297,-16.39956135512466,-11.942493506655389,110,110,110,110,83.52368690734497,83.52369566642051,83.52342935096016,83.52395322322569,193.52368690734497,193.5236956664205,193.52342935096016,193.5239532232257,179.7344400540808,179.8029508700559,177.1241602792042,181.58126121719107,1,1,1,1,1.4848238286082298,1.4848239843207538,1.4848192499566937,1.484828562979763,1,1,1,1,0.9826316106746467,0.9826317137225943,0.9826285805995314,0.9826347438026553,25649.49485443498,24009.96029105051,16472.28342576271,42406.362205774865,85,85,84.99999999999999,85.00000000000001,165.54273594216266,166.31780556573875,100.37606159324798,235.83345216425238,241.29761558058817,242.69122202771655,143.4798844751976,346.0200873614783,166.31780556573875,168.86449651890283,166.31780556573875
Overall,70,83,ReVac_RZV_1d,2024,3.3926658953173925e-4,3.3763527147812056e-4,2.698660230771921e-4,4.091691790832463e-4,6.320821824406562,6.2863567050442155,5.602940761980317,7.271891952700846,-0.05575906831330722,-0.055284299872289354,-0.06462901507339147,-0.04845107313738294,-0.0024680305460046664,-0.00242030525264967,-0.003244670460002512,-0.0019781860445356276,-0.004492966125425252,-0.004494295566442132,-0.005315498034392487,-0.0037111243305716617,-7.101042465314162e-7,-7.03572895498922e-7,-8.692107442368053e-7,-5.701526166951253e-7,2.3328503038813508e-4,2.3218506894195912e-4,1.855424157225727e-4,2.807094433268542e-4,0.008779759754132024,0.00887960152096508,0.004910506382122127,0.012968520304423217,0.003249743464852058,0.0032241621043805945,0.001062511243375197,0.006336696312529028,0.009009874750549809,0.009097194690603772,0.005142695174205824,0.013210764147740538,0.00641646512863498,0.006547911192905337,0.0036069290639667313,0.009425509101199858,0.00244732741507632,0.0024333550914459713,8.126881370427604e-4,0.004714307573323006,1.2195583577170765e-4,1.2158400143302828e-4,9.856290092216113e-5,1.475130210780051e-4,0.006538420964406484,0.006668830657399205,0.003729780074175437,0.00954758251267238,-10.567126751417456,-10.337736243890259,-14.016180900186331,-8.438691479008252,-5.0221269873674155,-4.968580916824426,-5.795215371702211,-4.398655982636737,-1.9695619375344446,-1.9678576641824939,-2.2771659184988042,-1.5980638222051387,-6.99168892490186,-6.906713461151992,-8.055178061233097,-6.007007242735942,-17.558815676319316,-17.452713659661114,-21.833261224836864,-14.55925491003256,110,110,110,110,60.00152753579975,60.001539766299885,60.00129309497919,60.0017592487018,170.00152753579977,170.00153976629989,170.0012930949792,170.00175924870177,152.44271185948043,152.54887928616776,148.1683743984715,155.44231101523445,-6.54539569756064,-6.450898606648671,-8.497664487565723,-5.269817640414404,-3.7409475962120298,-3.723516415814289,-4.223881159218061,-3.3263627578307675,-1.4132264830007715,-1.4007352561457993,-1.6180478343943525,-1.1740890514336257,-5.154174079212801,-5.144914566853289,-5.797217116818814,-4.511544404880604,-11.69956977677344,-11.611560086405406,-14.199927539944866,-9.89009062634598,110,110,110,110,38.36522588891552,38.365233709148086,38.36507598648123,38.365374047107366,148.36522588891552,148.3652337091481,148.3650759864812,148.3653740471074,136.66565611214207,136.7535829918316,134.16542797452087,138.47510118613638,1,1,1,1,0.7059003239505853,0.7059004678388221,0.7058975658232847,0.705903049984727,1,1,1,1,0.4513555986931237,0.4513556906958599,0.4513538351350732,0.451357341730675,22197.50723983223,20563.57344530329,14224.77936094612,36605.305670697584,85,85,84.99999999999999,85.00000000000001,315.64464843593225,320.3842563832041,191.51694092919365,451.37678495254113,460.50649389387144,468.13579215367724,274.15207773955433,663.7773775449232,320.3842563832041,322.71898866271096,320.3842563832041
Overall,70,83,ReVac_RZV_2d,2024,4.020920152503038e-4,4.004634192895651e-4,3.3424423336807506e-4,4.7840706819304304e-4,6.977133134848071,6.948926554676369,6.294287146068632,7.775590441863739,-0.06193258431096778,-0.06148067823263551,-0.06942715598749216,-0.055291710113998443,-0.002947611525691669,-0.002900538631010455,-0.0037276431911410614,-0.002435844548209003,-0.005051554704618043,-0.005050592719399803,-0.005753585113398272,-0.004281073443480964,-8.15766598582186e-7,-8.090947020858727e-7,-9.866772804242195e-7,-6.750392989760273e-7,2.7542619722463967e-4,2.736304561095082e-4,2.2964370983573622e-4,3.2626795677646034e-4,0.009795153198603301,0.009899941891246333,0.005455687184611428,0.014377513498537872,0.0035745234456005673,0.0035544893344577055,0.0011813831439691702,0.006942611447497197,0.010066396268216931,0.01016055918555736,0.005730310245434999,0.014659063839721086,0.006971788108893495,0.007047451739874936,0.0039061448123185903,0.010180344355187986,0.0026265575094059366,0.0025950259220544987,8.781373251366132e-4,0.005075541980884692,1.415616679336651e-4,1.415892940102026e-4,1.1884640143744463e-4,1.6652890761199577e-4,0.007113349776827054,0.007191265915695411,0.004049185156999258,0.01032065487538265,-12.722501874118702,-12.470194667046215,-16.190734102770445,-10.447797809395215,-5.551805204749684,-5.504095058773649,-6.200065800116024,-4.995294656839381,-2.2066182049857828,-2.1884857205200423,-2.526013262555328,-1.8300275753320734,-7.758423409735466,-7.709847028346384,-8.679446023699377,-6.831998608296993,-20.48092528385417,-20.32778141470862,-24.536364497201163,-17.470726667818916,110,110,110,110,120.0030550715995,120.00307953259977,120.00258618995838,120.0035184974036,230.0030550715995,230.00307953259977,230.00258618995838,230.0035184974036,209.52212978774534,209.67534172110518,205.46662998552625,212.53245132004207,-7.689117103809435,-7.566026641003164,-9.633483377119283,-6.413303327458849,-4.031806165403827,-4.0204757242782705,-4.449874413277023,-3.6562385811690614,-1.5440455376394409,-1.5417871167136152,-1.7588514756417346,-1.3047272568814927,-5.575851703043267,-5.578518275306924,-6.128708373520017,-4.958526187717833,-13.264968806852703,-13.150349133600345,-15.699821655139903,-11.516907052370694,110,110,110,110,76.73045177783104,76.73046741829617,76.73015197296246,76.73074809421473,186.73045177783104,186.7304674182962,186.73015197296243,186.73074809421473,173.46548297097831,173.5800029223684,171.0307905871751,175.21350446545893,1,1,1,1,1.4118006479011707,1.4118009356776442,1.4117951316465693,1.411806099969454,1,1,1,1,0.9027111973862474,0.9027113813917198,0.9027076702701464,0.90271468346135,25883.24435817285,24136.636539951214,16618.97234301115,42801.29951520462,85,85,84.99999999999999,85.00000000000001,172.2942560789876,173.91304756097003,104.60388142366467,245.53849890247486,251.09409056749416,253.57601621469087,149.45973893420634,359.8676892222471,173.91304756097003,175.76102586714055,173.91304756097003
