Eligibility,Agp,Arm,N,dC_All_d,dQ_All_d,pr_cum_N,pr_cum_dC,pr_cum_dQ,Thres,cum_ICER
SOC,"[70,75)",Vac,241224.43116069655,44246336.203517355,1690.9610011056416,0.18393454650604396,0.1193815773199828,0.1252531342542489,63.38710587639797,26166.384780362594
SOC,"[75,80)",Vac,112334.72654037045,20377637.21989534,787.9397583855268,0.2695902028741128,0.14498550344564626,0.15243259069660775,63.57503427590057,26112.097764095903
New2023,"[65,70)",Vac,624542.2163344922,115395317.04921214,4065.0961132832454,0.7458060189198689,0.9510850773448163,0.9320227315637052,58.60713946979396,28014.822545226463
UV_85,"[80,85)",Vac1,76705.70267800335,7414721.960525504,393.9965833632685,0.8042944090411294,0.9574466022217721,0.941302856609638,58.813017340318176,27924.16519615257
ZVL_85,"[80,85)",ReVac_RZV1,256661.78948319663,14822938.899444567,744.7697492892155,1,1,1,60.1822215303946,27453.328892267
