Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med,Scenario
New2023,"[65,70)",RZV_2d,2965505,640873,308987.7238558622,617975.4477117244,-23053.023438093365,-4243967.955552668,2765.352047040404,96.36468425545011,0.5027537757131506,0.5027537757131506,0.5093243536381621,0.4896428723761994,0.43518988302618744,Cont_1d
SOC,"[70,75)",RZV_2d,2662322,1053476.2497747962,241224.43116069655,482448.8623213931,-17869.59654937055,-4187510.240012758,2299.4163918788536,99.71321605085983,0.8952499307282626,0.8952499307282626,0.9041281301026185,0.8967855535814573,0.8645904135221342,Cont_1d
SOC,"[75,80)",RZV_2d,2423598,474263.87725610525,64378.40358753453,128756.80717506906,-4339.349665907224,-1320513.11002586,582.9233851654312,99.82729645732294,1,1,1,1,1,Cont_1d
ZVL_85,"[80,85)",ReRZV_1d,1508497,1075401.782433929,145979.17591539328,145979.17591539328,-5567.867946223584,-1699551.1511771781,601.9851280187204,99.22121965062796,1.2375226463728188,1.1187613231864095,1.1230142653725386,1.1065895850498682,1.1742773447924164,Cont_1d
UV_85,"[80,85)",RZV_1d,1508497,433095.21756607096,58790.01131103047,58790.01131103047,-2587.7598121077003,-1049470.814518298,363.3761612139626,100.95334203001698,1.3331798452802655,1.1665899226401328,1.1801872039769672,1.1709302347404795,1.2818933979277987,Cont_1d
ZVL_90,"[85,90)",ReRZV_1d,940569,344417.71727378963,46752.586205033294,46752.586205033294,-1804.8925917992724,-541485.516255079,158.46255002809323,100.27184588686316,1.4092509556325326,1.2046254778162662,1.2200637848156193,1.1989881661864425,1.3374190335940876,Cont_1d
UV_95,"[85,90)",RZV_1d,940569,596151.2827262104,80923.8690085801,80923.8690085801,-2739.0412930148013,-1386413.949429504,394.43656351513505,101.01514737728887,1.5409221436709246,1.2704610718354623,1.280579076438833,1.2688284789728188,1.479586300358836,Cont_1d
UV_95,"[90,95)",RZV_1d,417138,417138,56623.91719788369,56623.91719788369,-1395.0138920445747,-812932.8441166244,196.98840547994098,100.41748200878541,1.6330548918968206,1.3165274459484104,1.3113999599029857,1.3037079326710324,1.5629470026648902,Cont_1d
UV_100,"[95,100)",RZV_1d,109064,109064,14804.767020194724,14804.767020194724,-236.0574881282803,-133546.5350344755,28.738368396574955,99.9408640679481,1.6571437211392035,1.328571860569602,1.3166153203907436,1.3087964483499543,1.5766412863090837,Cont_1d
New2023,"[65,70)",RZV_2d,2965505,640873,308987.7238558622,617975.4477117244,-23053.023438093365,-4243967.955552668,2765.352047040404,96.36468425545011,0.5027537757131506,0.5027537757131506,0.5093243536381621,0.4896428723761994,0.43518988302618744,Cont_2d
SOC,"[70,75)",RZV_2d,2662322,1053476.2497747962,241224.43116069655,482448.8623213931,-17869.59654937055,-4187510.240012758,2299.4163918788536,99.71321605085983,0.8952499307282626,0.8952499307282626,0.9041281301026185,0.8967855535814573,0.8645904135221342,Cont_2d
SOC,"[75,80)",RZV_2d,2423598,474263.87725610525,64378.40358753453,128756.80717506906,-4339.349665907224,-1320513.11002586,582.9233851654312,99.82729645732294,1,1,1,1,1,Cont_2d
ZVL_85,"[80,85)",ReRZV_2d,1508497,1075401.782433929,145979.17591539328,291958.35183078656,-7429.443531678135,-2287152.7214103714,802.4556883945398,92.72134287968606,1.2375226463728188,1.2375226463728188,1.1641431777842393,1.1420856012313654,1.2345318663378049,Cont_2d
