Scenario,Year,Agp,Index,A,M,L,U
Null,2013,60_80,Protection,0,0,0,0
Null,2013,60_80,N,9706818,9706818,9706818,9706818
Null,2013,60_80,N_Uptake_ZVL,0,0,0,0
Null,2013,60_80,N_Uptake_RZV,0,0,0,0
Null,2013,60_80,N_Covered_ZVL,0,0,0,0
Null,2013,60_80,N_Covered_RZV,0,0,0,0
Null,2013,60_80,N_HZ,70543.92575825388,70568.64472850949,68780.78987860495,72198.88088971464
Null,2013,60_80,N_HZ_GP,69493.61016014153,69496.05862891742,67767.95405895026,71172.19851690868
Null,2013,60_80,N_HZ_Hosp,1050.3155981123562,1047.0874220025585,892.3656582594525,1224.8678963567668
Null,2013,60_80,N_HZ_PHN,4091.4919402647333,4085.194056503893,3797.0894014823234,4416.3241465589435
Null,2013,60_80,N_HZ_PHN_GP,4022.025834181308,4017.0824698197202,3731.9816398393964,4341.833299259491
Null,2013,60_80,N_HZ_Death,0.08538500819670307,0.08524360314622598,0.07041303002474734,0.10158121167721769
Null,2013,60_80,Coverage_ZVL,0,0,0,0
Null,2013,60_80,Coverage_RZV,0,0,0,0
Null,2013,60_80,Coverage,0,0,0,0
Null,2013,60_80,IncR_HZ,0.007267461464534915,0.007270008022042805,0.007085822550562394,0.0074379555576003
Null,2013,60_80,IncR_HZ_Hosp,1.0820390349467313e-4,1.0787133559139137e-4,9.19318419547428e-5,1.2618634616995671e-4
Null,2013,60_80,IncR_HZ_PHN,4.215070211746767e-4,4.208582108476633e-4,3.911775621508844e-4,4.549713558613073e-4
Null,2013,60_80,MorR_HZ,8.796395296244668e-9,8.781827695360723e-9,7.2539765373933406e-9,1.0464934201632059e-8
Null,2013,80+,Protection,0,0,0,0
Null,2013,80+,N,2538132,2538132,2538132,2538132
Null,2013,80+,N_Uptake_ZVL,0,0,0,0
Null,2013,80+,N_Uptake_RZV,0,0,0,0
Null,2013,80+,N_Covered_ZVL,0,0,0,0
Null,2013,80+,N_Covered_RZV,0,0,0,0
Null,2013,80+,N_HZ,23971.22708045649,23955.470900975553,23264.034179997434,24720.273304664082
Null,2013,80+,N_HZ_GP,22414.474660324475,22403.506947400383,21717.417591438112,23169.41384123788
Null,2013,80+,N_HZ_Hosp,1556.7524201320145,1555.0403334037924,1313.8150193037177,1821.661671435598
Null,2013,80+,N_HZ_PHN,2164.5836057652127,2160.4837666819258,1951.3452549563567,2394.6523701141464
Null,2013,80+,N_HZ_PHN_GP,2025.5638721016153,2023.8349065802681,1832.399051804045,2238.627979313131
Null,2013,80+,N_HZ_Death,0.3182748468752319,0.31865951428075745,0.2706880093734675,0.36862871539884623
Null,2013,80+,Coverage_ZVL,0,0,0,0
Null,2013,80+,Coverage_RZV,0,0,0,0
Null,2013,80+,Coverage,0,0,0,0
Null,2013,80+,IncR_HZ,0.0094444367276629,0.009438228941983928,0.009165809414166575,0.009739553854828702
Null,2013,80+,IncR_HZ_Hosp,6.13345728327768e-4,6.126711823513483e-4,5.176306903280514e-4,7.177174675846639e-4
Null,2013,80+,IncR_HZ_PHN,8.528254660377053e-4,8.512101682189601e-4,7.688115728245641e-4,9.434703829880191e-4
Null,2013,80+,MorR_HZ,1.2539727913096397e-7,1.2554883445020094e-7,1.0664851527559145e-7,1.4523622703580675e-7
Null,2014,60_80,Protection,0,0,0,0
Null,2014,60_80,N,9861762,9861762,9861762,9861762
Null,2014,60_80,N_Uptake_ZVL,0,0,0,0
Null,2014,60_80,N_Uptake_RZV,0,0,0,0
Null,2014,60_80,N_Covered_ZVL,0,0,0,0
Null,2014,60_80,N_Covered_RZV,0,0,0,0
Null,2014,60_80,N_HZ,71808.88127768488,71821.77522377232,70039.11409749158,73488.90977750167
Null,2014,60_80,N_HZ_GP,70735.39896006044,70728.60460275489,68969.3570253436,72446.02271017393
Null,2014,60_80,N_HZ_Hosp,1073.482317624434,1070.7207924961392,910.3264479001208,1252.2199786840238
