Scenario,Age0,Arm,Year0,ICER_A,ICER25_A,ICER50_A,ICER75_A,ICER100_A,ICER_Thres_A,ICER_M,ICER25_M,ICER50_M,ICER75_M,ICER100_M,ICER_Thres_M,ICER_L,ICER25_L,ICER50_L,ICER75_L,ICER100_L,ICER_Thres_L,ICER_U,ICER25_U,ICER50_U,ICER75_U,ICER100_U,ICER_Thres_U
Vac_60,60,Vac_1d,2024,13333.391992568242,3046.81189742517,7332.886937068117,11618.961976711063,15905.03701635401,20000,12492.074455076403,2894.4445179139984,6872.472715585882,10873.114630687796,14904.245755754513,20000,5482.663099900757,763.9346421123819,2758.9117017333083,4723.759526505751,6642.004190323533,20000,26124.325032146135,6313.448683192893,14612.716918963162,22840.5957557395,31072.004801096253,20000
Vac_60,60,Vac_2d,2024,21188.375708944037,5337.825253942813,11942.22127685999,18546.617299777165,25151.013322694344,20000,20037.161736632377,5050.003114732182,11297.82780018896,17557.830601039186,23792.521755448586,20000,9723.60647579347,2041.4293436030023,5193.568861745346,8456.76570028512,11647.926308609602,19999.999999999996,41124.64407736162,10851.476349049106,23605.306449088843,36081.098856875775,48689.96190809039,20000
Vac_61,61,Vac_1d,2024,12963.212182252228,2920.529299685383,7104.980500754901,11289.43170182442,15473.882902893938,20000,12162.286467121732,2771.595584007313,6635.724711458789,10601.161775782573,14491.195564127233,20000,5417.303150074749,739.1375134145884,2721.0643858018175,4635.802124465237,6576.58532293168,20000,25257.196153383942,6042.539297601298,14059.965998842237,22030.47032179462,30120.364021177047,20000
Vac_61,61,Vac_2d,2024,20671.43189978157,5167.440188025228,11627.43673459037,18087.433281155514,24547.429827720658,20000,19543.66031003505,4871.6520478488,10991.607954596897,17119.252046219855,23207.563675941063,20000,9623.811753868576,2013.7369421874544,5165.975775731613,8330.435726342552,11475.952781547267,20000,39952.19281716364,10406.482240010047,22899.649503553188,35104.89478934752,47223.139858887844,20000.000000000004
Vac_62,62,Vac_1d,2024,12618.594743478805,2800.210229817943,6891.203777176635,10982.19732453533,15073.190871894021,20000,11791.707295360493,2652.9345725133326,6432.880511838323,10261.495333558454,14086.474507392239,20000,5376.882092299189,712.2176933382037,2685.8792402937806,4599.672192385374,6534.358289838809,20000,24451.85227393219,5808.144324303039,13573.370567479258,21363.46487113706,29082.946362428578,20000
Vac_62,62,Vac_2d,2024,20194.968781671334,5007.389709638689,11335.547656318959,17663.705602999227,23991.863549679496,20000,19076.365256184243,4713.743005314147,10701.239347624201,16675.25127193678,22639.130388749178,20000,9544.07112337605,1979.3543184369917,5115.653366602253,8262.734133230757,11439.431529519006,20000,38906.76064707576,10068.022801394252,22230.024096014735,34172.26161882534,45998.14271771546,20000
Vac_63,63,Vac_1d,2024,12295.318463198913,2684.1941104701486,6688.829257440468,10693.464404410786,14698.099551381105,20000,11490.123953442082,2537.5846791062677,6227.6734558924845,9990.294598008226,13740.485488920789,20000,5290.95309370963,680.9435253471361,2653.5699794384122,4557.338635416039,6422.820492123064,20000,23653.221726407308,5581.282847517927,13187.208262579014,20662.810104165004,28170.349195094615,20000
Vac_63,63,Vac_2d,2024,19753.24294519566,4855.612187032371,11062.958336267075,17270.30448550178,23477.65063473648,20000,18631.26548787931,4576.614332789344,10452.916280104364,16284.433499341285,22129.510587769277,20000,9481.594732256946,1946.685756787287,5064.074236141223,8202.440842939068,11307.377837704184,20000,37753.95287419315,9692.624296766597,21509.085068746932,33075.05658246318,44857.65951205124,20000
Vac_64,64,Vac_1d,2024,11991.296162690127,2572.0863960017664,6496.757132121917,10421.427868242066,14346.098604362218,20000,11233.490018494898,2425.3941395983966,6055.9878172354365,9759.067167847252,13423.811381850046,20000,5268.974619975869,659.4110229779192,2626.6169081724497,4511.891576256397,6405.449336370583,20000,23032.719692588074,5310.06093158277,12777.262348982473,20101.47533976434,27417.18416252321,20000
Vac_64,64,Vac_2d,2024,19344.171663923156,4711.675599513529,10808.548959684207,16905.422319854886,23002.295680025563,20000,18241.495577515947,4425.448188625021,10179.618909594845,15932.257498708354,21670.329815305562,20000,9367.030791984711,1932.5948490731773,5019.205656131229,8160.515428161317,11209.035990932873,20000,36808.80739367847,9340.630455868239,20891.238531059702,32257.651100985986,43648.63687599451,20000
