Scenario,Agp0,Arm,Year0,ICER_A,ICER25_A,ICER50_A,ICER75_A,ICER100_A,ICER_Thres_A,ICER_M,ICER25_M,ICER50_M,ICER75_M,ICER100_M,ICER_Thres_M,ICER_L,ICER25_L,ICER50_L,ICER75_L,ICER100_L,ICER_Thres_L,ICER_U,ICER25_U,ICER50_U,ICER75_U,ICER100_U,ICER_Thres_U
"Vac[60,65)","[60,65)",Vac,2024,18751.58319946157,4387.249611207842,10372.388606313561,16357.52760141928,22342.666596525,20000,18652.918866901644,4360.342635261026,10322.825303348905,16273.163712291094,22219.01440918162,20000,12028.267882565146,2347.7620383338203,6395.276194328295,10416.355473622381,14463.991808247061,19999.999999999996,27051.89253159468,6891.790975961341,15264.717860992198,23674.403666845592,32093.097321427686,20000.000000000004
"Vac[60,65)","[60,65)",Vac1,2024,6492.882667278059,740.9636970001831,3137.5966012826316,5534.22950556508,7930.862409847528,20000,6338.605561904849,699.857108000288,3053.1406947541163,5404.270060525887,7737.4564115369685,20000,4584.106627638507,119.39683022776096,1998.8328806252475,3835.12082086009,5706.096406452898,19999.999999999996,9295.00108521289,1630.9037725197295,4819.087428784502,8010.163384013453,11221.930131972129,20000.000000000004
"Vac[65,70)","[65,70)",Vac,2024,16945.157750740393,3755.8206858479866,9251.377796219822,14746.93490659166,20242.492016963493,20000,16864.388630213012,3746.8013203323353,9213.831225088848,14681.40011326259,20139.6600447777,20000,12051.753488635872,2240.7460506483085,6358.772616710636,10434.951585971186,14452.316192748134,19999.999999999996,23045.71381996611,5633.501398470968,12911.807731301917,20137.957736236756,27407.347945560137,20000.000000000004
"Vac[65,70)","[65,70)",Vac1,2024,5919.120453443078,470.14682857508296,2740.5525056034144,5010.958182631745,7281.363859660077,20000,5827.096242394502,435.2015848675295,2679.3790634147954,4929.5642772755455,7170.943223420484,20000,4546.678650772361,18.46894355701989,1930.7160473132249,3782.928805452943,5671.637656647561,19999.999999999996,7907.769046272047,1132.453583632493,3938.6863949317617,6773.9274826198925,9594.04128946659,20000.000000000004
"Vac[70,75)","[70,75)",Vac,2024,16245.411799472351,3394.883025158135,8749.270014455726,14103.657003753317,19458.043993050906,20000,16171.17706921927,3373.616834642389,8705.836236596742,14050.572745567019,19356.593210431012,20000,12534.989601411626,2291.06483946508,6577.713673194269,10832.910764778095,15088.617523012035,19999.999999999996,20867.710685150858,4798.510394841659,11511.48080028447,18201.819588659677,24866.54732988763,20000.000000000004
"Vac[70,75)","[70,75)",Vac1,2024,5751.739214851716,269.86873420553434,2553.9814344747765,4838.094134744018,7122.206835013261,20000,5703.766640218904,257.02354159225047,2516.901344411018,4784.332661754606,7067.876535831991,20000,4691.397199466457,-88.31208356193271,1940.4115100997624,3909.9058906697983,5856.006887454052,19999.999999999996,7225.380048918949,730.4991646442646,3441.6930679881066,6137.869788919899,8850.944540676855,20000.000000000004
"Vac[75,80)","[75,80)",Vac,2024,16844.683867414406,3361.1318831795293,8979.278543277394,14597.425203375258,20215.571863473124,20000,16734.728287771555,3323.1836835567365,8915.483139299375,14501.962717383074,20092.010185340012,20000,13784.501534936942,2515.5673825993877,7186.277003006487,11898.953368337634,16601.730199288202,19999.999999999996,20624.375346366556,4452.26135706982,11160.536814193854,17883.164483626482,24680.306145869145,20000.000000000004
"Vac[75,80)","[75,80)",Vac1,2024,6083.467916782633,166.40998036660105,2631.8507872066143,5097.291594046627,7562.732400886641,20000,6026.891915606026,162.08958368259792,2607.4484227243465,5049.7380567050195,7498.977955280598,20000,5163.100867848316,-147.4566986904852,2115.5613740003723,4300.95353729021,6451.154570048695,19999.999999999996,7307.671862048626,543.4437267288733,3317.8522080544294,6162.5229739726465,9012.394551057703,20000.000000000004
"Vac[80,85)","[80,85)",Vac,2024,19324.59838468522,3809.3672849071854,10274.0469098147,16738.726534722216,23203.40615962973,20000,19179.396703237442,3766.586963951824,10172.711791961592,16619.52655499529,23038.20802078331,20000,16375.858553893544,3025.0455716479105,8625.889011396086,14161.581541751413,19698.074893303343,19999.999999999996,22851.64866505723,4757.633945796004,12298.832278676087,19836.10133946214,27374.574746040584,20000.000000000004
"Vac[80,85)","[80,85)",Vac1,2024,7207.634174474697,227.3578126789835,3135.8062967605306,6044.254780842078,8952.703264923624,20000,7163.940765418049,232.85615273893234,3115.1388362338816,6005.131967502553,8904.291879611497,20000,6247.634063111196,-135.57282966338568,2594.825223970059,5211.7252259506795,7788.517541265509,19999.999999999996,8433.905230719934,579.4024543306882,3792.636479762446,7114.322908545862,10429.457935451943,20000.000000000004
"Vac[85,90)","[85,90)",Vac,2024,24536.219391515067,5023.319265725512,13153.694318137826,21284.069370550144,29414.444422962457,20000,24379.589392207414,4981.299891990312,13063.33720063254,21142.438287744222,29227.843614296304,20000,20974.30542875614,4074.7723495106616,11169.431294264054,18200.84244503267,25140.44469442472,19999.999999999996,29036.876127661504,6194.813540426545,15640.990503023193,25229.58359025749,34793.63473538242,20000.000000000004
