Scenario,Arm,Year0,Age0,Age1,Index,A,M,L,U
"Second_[70,75)",Vac,2024,73,NA,C_GP_d,4498179.201577678,4496336.060179148,4216591.502236785,4794514.5190374255
"Second_[70,75)",Vac,2024,73,NA,C_Med_d,11001718.965624506,10992649.415912472,9861247.341606509,12268454.163918057
"Second_[70,75)",Vac,2024,73,NA,C_VacZVL_d,0,0,0,0
"Second_[70,75)",Vac,2024,73,NA,C_VacRZV_d,0,0,0,0
"Second_[70,75)",Vac,2024,73,NA,C_Vac_d,0,0,0,0
"Second_[70,75)",Vac,2024,73,NA,C_All_d,11001718.965624506,10992649.415912472,9861247.341606509,12268454.163918057
"Second_[70,75)",Vac,2024,73,NA,N_VacZVL,0,0,0,0
"Second_[70,75)",Vac,2024,73,NA,N_VacRZV,0,0,0,0
"Second_[70,75)",Vac,2024,73,NA,N_VacZVL_d,0,0,0,0
"Second_[70,75)",Vac,2024,73,NA,N_VacRZV_d,0,0,0,0
"Second_[75,80)",Vac,2024,70,NA,N0,1,1,1,1
"Second_[75,80)",Vac,2024,70,NA,Year_Life,10.294473668946573,10.294475593572274,10.294376851055047,10.294567823324954
"Second_[75,80)",Vac,2024,70,NA,Year_Immunised,1.2246001068818813,1.222450211173366,0.7470057617117928,1.787703021967014
"Second_[75,80)",Vac,2024,70,NA,Risk_HZ,0.09759029895504262,0.09759790927725712,0.0915043081485708,0.10357721379132177
"Second_[75,80)",Vac,2024,70,NA,Risk_Hosp,0.005840838077694694,0.005843830732453891,0.0049435179165796365,0.006864547649536085
"Second_[75,80)",Vac,2024,70,NA,Risk_PHN,0.008641026352556449,0.00863772305627949,0.007789591420326978,0.009553118056806822
"Second_[75,80)",Vac,2024,70,NA,Risk_Death,1.083644474217679e-6,1.0817856528640964e-6,8.978927732561147e-7,1.2807864866265873e-6
"Second_[75,80)",Vac,2024,70,NA,Q_Life,21279370.100857306,21279372.728497315,21279187.72603923,21279541.33095993
"Second_[75,80)",Vac,2024,70,NA,Q_HZ,-28777.01724950123,-28699.699342077387,-32775.799469648875,-24688.228608500347
"Second_[75,80)",Vac,2024,70,NA,Q_All,21250593.083607804,21250648.725820947,21246584.095213737,21254666.487419736
"Second_[75,80)",Vac,2024,70,NA,Q_HZ_d,-22499.303624383992,-22449.25630870104,-25635.845313922742,-19210.90033108818
"Second_[75,80)",Vac,2024,70,NA,Q_Life_d,16821867.801600758,16821869.420085896,16821758.626487263,16821970.86199079
"Second_[75,80)",Vac,2024,70,NA,Q_All_d,16799368.497976374,16799427.22844866,16796211.206497505,16802655.207601387
"Second_[75,80)",Vac,2024,70,NA,C_Hosp,46883144.21678918,46914217.73178002,39674009.51775297,55202855.51869468
"Second_[75,80)",Vac,2024,70,NA,C_GP_NonPHN,18715471.3830168,18710637.09932235,17509330.241504524,19912873.955486573
"Second_[75,80)",Vac,2024,70,NA,C_GP_PHN,8166597.243113486,8134408.382787611,7274952.798136114,9186166.51554154
"Second_[75,80)",Vac,2024,70,NA,C_GP,26882068.626130283,26858942.468107283,24980303.99461009,28690401.05645027
"Second_[75,80)",Vac,2024,70,NA,C_Med,73765212.84291947,73806925.14157972,65757410.643316634,82944323.32564996
"Second_[75,80)",Vac,2024,70,NA,C_VacZVL,0,0,0,0
"Second_[75,80)",Vac,2024,70,NA,C_VacRZV,0,0,0,0
"Second_[75,80)",Vac,2024,70,NA,C_Vac,0,0,0,0
"Second_[75,80)",Vac,2024,70,NA,C_All,73765212.84291947,73806925.14157972,65757410.643316634,82944323.32564996
"Second_[75,80)",Vac,2024,70,NA,C_Hosp_d,33952752.29658423,33976529.55244322,28585791.84578731,40098981.86580105
"Second_[75,80)",Vac,2024,70,NA,C_GP_NonPHN_d,14831852.423267009,14818201.616963886,13852090.906102544,15833329.461155396
"Second_[75,80)",Vac,2024,70,NA,C_GP_PHN_d,6472779.211050895,6455149.747863299,5748975.605240202,7256980.307710345
"Second_[75,80)",Vac,2024,70,NA,C_GP_d,21304631.634317905,21301719.903644197,19741348.05475354,22835871.319595087
"Second_[75,80)",Vac,2024,70,NA,C_Med_d,55257383.93090214,55372451.15602848,49091318.91790586,62007215.88289613
"Second_[75,80)",Vac,2024,70,NA,C_VacZVL_d,0,0,0,0
"Second_[75,80)",Vac,2024,70,NA,C_VacRZV_d,0,0,0,0
"Second_[75,80)",Vac,2024,70,NA,C_Vac_d,0,0,0,0
"Second_[75,80)",Vac,2024,70,NA,C_All_d,55257383.93090214,55372451.15602848,49091318.91790586,62007215.88289613
"Second_[75,80)",Vac,2024,70,NA,N_VacZVL,0,0,0,0
"Second_[75,80)",Vac,2024,70,NA,N_VacRZV,0,0,0,0
"Second_[75,80)",Vac,2024,70,NA,N_VacZVL_d,0,0,0,0
"Second_[75,80)",Vac,2024,70,NA,N_VacRZV_d,0,0,0,0
"Second_[75,80)",Vac,2024,71,NA,N0,1,1,1,1
"Second_[75,80)",Vac,2024,71,NA,Year_Life,10.449539713233973,10.449540798367583,10.449441147778268,10.449633792214359
"Second_[75,80)",Vac,2024,71,NA,Year_Immunised,1.4068916722366145,1.40375421162988,0.9290327490487631,1.9681406747313168
"Second_[75,80)",Vac,2024,71,NA,Risk_HZ,0.09587913243733996,0.09586652968705642,0.08980500656476889,0.10185348512660426
"Second_[75,80)",Vac,2024,71,NA,Risk_Hosp,0.005767852752422814,0.005768842847390838,0.004876301759001054,0.006790811265559723
"Second_[75,80)",Vac,2024,71,NA,Risk_PHN,0.008491872765016204,0.00849063114014321,0.007660384511555116,0.00939601740531794
"Second_[75,80)",Vac,2024,71,NA,Risk_Death,1.062541133825528e-6,1.0608615626934159e-6,8.785660960328162e-7,1.2531921411993427e-6
"Second_[75,80)",Vac,2024,71,NA,Q_Life,21279388.45491954,21279391.295683358,21279208.547461882,21279557.653806668
"Second_[75,80)",Vac,2024,71,NA,Q_HZ,-28291.328622971723,-28224.56346511632,-32254.676463157448,-24229.427554341968
"Second_[75,80)",Vac,2024,71,NA,Q_All,21251097.12629657,21251158.13396214,21247119.557962775,21255125.361724883
"Second_[75,80)",Vac,2024,71,NA,Q_HZ_d,-22074.984181998516,-22036.340466674483,-25165.96634786362,-18852.92780685775
"Second_[75,80)",Vac,2024,71,NA,Q_Life_d,16821880.20643307,16821881.97624579,16821771.87195626,16821982.645837776
"Second_[75,80)",Vac,2024,71,NA,Q_All_d,16799805.222251073,16799861.395695113,16796679.94728377,16803035.426883426
"Second_[75,80)",Vac,2024,71,NA,C_Hosp,46322697.74108171,46336783.9307974,39125190.36526779,54599067.250109434
"Second_[75,80)",Vac,2024,71,NA,C_GP_NonPHN,18380532.54255025,18369276.05037149,17191394.50303071,19606336.126916274
"Second_[75,80)",Vac,2024,71,NA,C_GP_PHN,8023059.209815249,7990048.963615932,7151097.143942977,9018277.975512875
"Second_[75,80)",Vac,2024,71,NA,C_GP,26403591.7523655,26379212.567102093,24537630.451411866,28232914.111584164
"Second_[75,80)",Vac,2024,71,NA,C_Med,72726289.49344721,72706741.85043608,64732811.326303124,81772696.49092408
"Second_[75,80)",Vac,2024,71,NA,C_VacZVL,0,0,0,0
"Second_[75,80)",Vac,2024,71,NA,C_VacRZV,0,0,0,0
"Second_[75,80)",Vac,2024,71,NA,C_Vac,0,0,0,0
"Second_[75,80)",Vac,2024,71,NA,C_All,72726289.49344721,72706741.85043608,64732811.326303124,81772696.49092408
"Second_[75,80)",Vac,2024,71,NA,C_Hosp_d,33489755.849731743,33530363.167912602,28192234.44977879,39512951.42876042
"Second_[75,80)",Vac,2024,71,NA,C_GP_NonPHN_d,14536818.933221813,14525900.915853981,13573464.574719764,15520728.558255546
"Second_[75,80)",Vac,2024,71,NA,C_GP_PHN_d,6346928.912677559,6325931.164206933,5640307.867551796,7121894.2859664615
"Second_[75,80)",Vac,2024,71,NA,C_GP_d,20883747.845899373,20871879.441718094,19360469.7935625,22398948.428598687
"Second_[75,80)",Vac,2024,71,NA,C_Med_d,54373503.69563112,54443419.5337725,48370722.40173043,61078011.65907692
"Second_[75,80)",Vac,2024,71,NA,C_VacZVL_d,0,0,0,0
"Second_[75,80)",Vac,2024,71,NA,C_VacRZV_d,0,0,0,0
"Second_[75,80)",Vac,2024,71,NA,C_Vac_d,0,0,0,0
"Second_[75,80)",Vac,2024,71,NA,C_All_d,54373503.69563112,54443419.5337725,48370722.40173043,61078011.65907692
"Second_[75,80)",Vac,2024,71,NA,N_VacZVL,0,0,0,0
"Second_[75,80)",Vac,2024,71,NA,N_VacRZV,0,0,0,0
"Second_[75,80)",Vac,2024,71,NA,N_VacZVL_d,0,0,0,0
"Second_[75,80)",Vac,2024,71,NA,N_VacRZV_d,0,0,0,0
"Second_[75,80)",Vac,2024,72,NA,N0,1,1,1,1
"Second_[75,80)",Vac,2024,72,NA,Year_Life,10.623485943018657,10.623486945784041,10.623385159021733,10.62357970553291
"Second_[75,80)",Vac,2024,72,NA,Year_Immunised,1.6227217808137513,1.6280385376893234,1.147477587536943,2.1739688736100597
"Second_[75,80)",Vac,2024,72,NA,Risk_HZ,0.09390329418938734,0.09390057057355031,0.08788447223916292,0.09977845777483352
"Second_[75,80)",Vac,2024,72,NA,Risk_Hosp,0.005683945990965093,0.005687035931852585,0.0047956480107121235,0.006705458159985577
"Second_[75,80)",Vac,2024,72,NA,Risk_PHN,0.008319741538407728,0.008322027506724037,0.007503552195450648,0.009204037441745553
"Second_[75,80)",Vac,2024,72,NA,Risk_Death,1.0388212621229174e-6,1.0375689144834673e-6,8.584130329512187e-7,1.2264357509876359e-6
"Second_[75,80)",Vac,2024,72,NA,Q_Life,21279409.612132255,21279412.199084442,21279232.21106001,21279575.74180666
"Second_[75,80)",Vac,2024,72,NA,Q_HZ,-27730.74995514191,-27688.43087594494,-31585.82697824732,-23770.288115267733
"Second_[75,80)",Vac,2024,72,NA,Q_All,21251678.86217711,21251734.007325515,21247785.370818593,21255638.367898304
"Second_[75,80)",Vac,2024,72,NA,Q_HZ_d,-21584.636181240585,-21549.49241212059,-24551.642705417493,-18461.243421001574
"Second_[75,80)",Vac,2024,72,NA,Q_Life_d,16821894.52286377,16821895.762763575,16821787.60044278,16821995.278277062
"Second_[75,80)",Vac,2024,72,NA,Q_All_d,16800309.88668253,16800356.55856041,16797295.052241117,16803451.51136968
"Second_[75,80)",Vac,2024,72,NA,C_Hosp,45678793.61899319,45698204.0773412,38503634.746218555,53933158.43225739
"Second_[75,80)",Vac,2024,72,NA,C_GP_NonPHN,17993684.070209563,17982633.674479358,16815333.6376156,19190414.632600218
"Second_[75,80)",Vac,2024,72,NA,C_GP_PHN,7857378.142036305,7824243.631550119,7002006.245736124,8824875.127073357
"Second_[75,80)",Vac,2024,72,NA,C_GP,25851062.212245867,25830366.97072143,24020302.515957214,27652406.587014474
"Second_[75,80)",Vac,2024,72,NA,C_Med,71529855.83123906,71449287.61814058,63605424.72151802,80424539.654475
"Second_[75,80)",Vac,2024,72,NA,C_VacZVL,0,0,0,0
"Second_[75,80)",Vac,2024,72,NA,C_VacRZV,0,0,0,0
"Second_[75,80)",Vac,2024,72,NA,C_Vac,0,0,0,0
"Second_[75,80)",Vac,2024,72,NA,C_All,71529855.83123906,71449287.61814058,63605424.72151802,80424539.654475
"Second_[75,80)",Vac,2024,72,NA,C_Hosp_d,32956967.00110067,32975165.73812788,27753152.019641634,38902627.250441715
"Second_[75,80)",Vac,2024,72,NA,C_GP_NonPHN_d,14195664.885540115,14181076.879955903,13245392.543595664,15173552.507537536
"Second_[75,80)",Vac,2024,72,NA,C_GP_PHN_d,6201499.12743185,6181162.834548352,5516464.790609514,6960355.173021121
"Second_[75,80)",Vac,2024,72,NA,C_GP_d,20397164.012971964,20383972.556693707,18922938.834842462,21846909.66519764
"Second_[75,80)",Vac,2024,72,NA,C_Med_d,53354131.014072634,53404123.03432584,47452215.03897279,60001944.75063534
"Second_[75,80)",Vac,2024,72,NA,C_VacZVL_d,0,0,0,0
"Second_[75,80)",Vac,2024,72,NA,C_VacRZV_d,0,0,0,0
"Second_[75,80)",Vac,2024,72,NA,C_Vac_d,0,0,0,0
"Second_[75,80)",Vac,2024,72,NA,C_All_d,53354131.014072634,53404123.03432584,47452215.03897279,60001944.75063534
"Second_[75,80)",Vac,2024,72,NA,N_VacZVL,0,0,0,0
"Second_[75,80)",Vac,2024,72,NA,N_VacRZV,0,0,0,0
"Second_[75,80)",Vac,2024,72,NA,N_VacZVL_d,0,0,0,0
"Second_[75,80)",Vac,2024,72,NA,N_VacRZV_d,0,0,0,0
"Second_[75,80)",Vac,2024,73,NA,N0,1,1,1,1
"Second_[75,80)",Vac,2024,73,NA,Year_Life,10.819598629992795,10.819599427464148,10.819497318935655,10.819691784318922
"Second_[75,80)",Vac,2024,73,NA,Year_Immunised,1.8800666867548144,1.8918764841839033,1.4185108952031307,2.428504037207047
"Second_[75,80)",Vac,2024,73,NA,Risk_HZ,0.09161171237126642,0.0916146468740564,0.08571409403466665,0.09734448817726936
"Second_[75,80)",Vac,2024,73,NA,Risk_Hosp,0.005587125215131087,0.0055829728388960284,0.004704657899977539,0.006595129352819395
