Scenario,Age0,Age1,Arm,Year0,Index,A,M,L,U
Overall,60,80,ReRZV_1d,2024,dYear_Life,2.912511240309783e-4,2.8802014845474844e-4,2.1241725358684958e-4,3.8723635369137806e-4
Overall,60,80,ReRZV_1d,2024,dYear_Immunised,7.988472263037048,7.974631962351628,6.79289247688951,9.345662476855235
Overall,60,80,ReRZV_1d,2024,dRisk_HZ,-0.0621812238006588,-0.06215915126632088,-0.07364311400498141,-0.05163180395564236
Overall,60,80,ReRZV_1d,2024,dRisk_Hosp,-0.002189535319782303,-0.00214754675096786,-0.0030585419375939653,-0.0015128091439239402
Overall,60,80,ReRZV_1d,2024,dRisk_PHN,-0.004332146980906269,-0.00431939277514677,-0.005335695744484363,-0.003454201708327501
Overall,60,80,ReRZV_1d,2024,dRisk_Death,-5.942469785055299e-7,-5.85757745147896e-7,-8.069751319686405e-7,-4.1991759556992324e-7
Overall,60,80,ReRZV_1d,2024,dQ_Life,2.0117482317177248e-4,1.9908420278014205e-4,1.47476992167217e-4,2.6587635858694726e-4
Overall,60,80,ReRZV_1d,2024,dQ_HZ,0.008242353766802112,0.008213381781472356,0.006596709652848451,0.010026561539596983
Overall,60,80,ReRZV_1d,2024,dQ_HZ_Norm,0.0025722298441627346,0.002566639994062243,0.0020954850875064654,0.0031012475813620368
Overall,60,80,ReRZV_1d,2024,dQ_All,0.0084410407323776155,0.008409833954395651,0.00677496584749715,0.010252535715332555
Overall,60,80,ReRZV_1d,2024,dQ_HZ_d,0.005103898749864129,0.005091547338678537,0.004229361465034255,0.006015682561905255
Overall,60,80,ReRZV_1d,2024,dQ_HZ_Norm_d,0.0017571075606691534,0.0017549431812191366,0.0014770402286808859,0.002062707629606763
Overall,60,80,ReRZV_1d,2024,dQ_Life_d,7.675792286673477e-5,7.61220636062987e-5,5.79107323613659e-5,9.853207807144491e-5
Overall,60,80,ReRZV_1d,2024,dQ_All_d,0.00518065667273088,0.005170784610531776,0.004294008490356394,0.006126096718958296
Overall,60,80,ReRZV_1d,2024,dC_Hosp,-9.220550472911949,-9.021178953315511,-13.013171416009738,-6.2755790449977225
Overall,60,80,ReRZV_1d,2024,dC_GP_NonPHN,-5.727978907798918,-5.728243862820177,-6.766137575673626,-4.787427894452662
Overall,60,80,ReRZV_1d,2024,dC_GP_PHN,-1.9119427136542813,-1.9081283542335346,-2.3732764973126566,-1.5070080899687721
Overall,60,80,ReRZV_1d,2024,dC_GP,-7.639921621453199,-7.628121589451954,-9.09592312715959,-6.318213583728845
Overall,60,80,ReRZV_1d,2024,dC_Med,-16.86047209436515,-16.706871605533895,-21.850921137718927,-12.779260804558914
Overall,60,80,ReRZV_1d,2024,dC_VacZVL,110,110,110,110
Overall,60,80,ReRZV_1d,2024,dC_VacRZV,62.49424962965633,62.494251659141,62.494000533417875,62.494473620388895
Overall,60,80,ReRZV_1d,2024,dC_Vac,172.49424962965634,172.494251659141,172.49400053341787,172.4944736203889
Overall,60,80,ReRZV_1d,2024,dC_All,155.6337775352912,155.78750188631346,150.6434717400505,159.7148149729068
Overall,60,80,ReRZV_1d,2024,dC_Hosp_d,-4.228795954758968,-4.163794278736236,-5.723186033267525,-3.011741417063633
Overall,60,80,ReRZV_1d,2024,dC_GP_NonPHN_d,-3.7128007108561127,-3.7136964025247785,-4.252086910123684,-3.217243884375731
Overall,60,80,ReRZV_1d,2024,dC_GP_PHN_d,-1.0907932449650215,-1.08636448996426,-1.315630933197035,-0.8807169999182415
Overall,60,80,ReRZV_1d,2024,dC_GP_d,-4.8035939558211345,-4.792925900880085,-5.579156898896614,-4.109230653706304
Overall,60,80,ReRZV_1d,2024,dC_Med_d,-9.032389910580102,-8.967859793969128,-11.067577436079123,-7.290146154524602
Overall,60,80,ReRZV_1d,2024,dC_VacZVL_d,110,110,110,110
Overall,60,80,ReRZV_1d,2024,dC_VacRZV_d,31.407477837021837,31.407478856971593,31.407352649750447,31.407590407122456
Overall,60,80,ReRZV_1d,2024,dC_Vac_d,141.40747783702184,141.40747885697158,141.40735264975046,141.40759040712246
Overall,60,80,ReRZV_1d,2024,dC_All_d,132.37508792644172,132.43957211284348,130.33984604610984,134.11733915107033
Overall,60,80,ReRZV_1d,2024,dN_VacZVL,1,1,1,1
Overall,60,80,ReRZV_1d,2024,dN_VacRZV,0.735226466231251,0.7352264901075412,0.7352235356872691,0.73522910141634
Overall,60,80,ReRZV_1d,2024,dN_VacZVL_d,1,1,1,1
Overall,60,80,ReRZV_1d,2024,dN_VacRZV_d,0.3694997392590804,0.36949975125848933,0.3694982664676523,0.3695010636132054
Overall,60,80,ReRZV_1d,2024,ICER,25768.64508445887,25591.957005068456,21387.58885491553,31084.04386842776
Overall,60,80,ReRZV_1d,2024,Price0,85,85,84.99999999999999,85.00000000000001
Overall,60,80,ReRZV_1d,2024,Thres20,304.85953845057077,304.31754554789075,253.48083468828173,359.5589771734519
Overall,60,80,ReRZV_1d,2024,Thres30,445.0668502221048,444.5023243713891,370.061665629136,526.3202341255148
Overall,60,80,ReRZV_1d,2024,Thres20_50,NA,304.31754554789075,NA,NA
Overall,60,80,ReRZV_1d,2024,Thres30_90,NA,396.1688644151806,NA,NA
Overall,60,80,ReRZV_1d,2024,Thres,NA,304.31754554789075,NA,NA
Overall,60,80,ReRZV_2d,2024,dYear_Life,3.6143441074474935e-4,3.5886618041836016e-4,2.745142158269154e-4,4.5973074340572846e-4
Overall,60,80,ReRZV_2d,2024,dYear_Immunised,8.834606010262663,8.8494273517424,7.681867978601058,10.133417200707283
Overall,60,80,ReRZV_2d,2024,dRisk_HZ,-0.07017541019208735,-0.07022767740162958,-0.0814956003635186,-0.05967421504183836
Overall,60,80,ReRZV_2d,2024,dRisk_Hosp,-0.002722410272677292,-0.0026750994360965367,-0.0036764459369199583,-0.0019720759840812143
Overall,60,80,ReRZV_2d,2024,dRisk_PHN,-0.005054274002279851,-0.005061584893158177,-0.006044302128899445,-0.004125365132940418
Overall,60,80,ReRZV_2d,2024,dRisk_Death,-7.116425111931356e-7,-7.064303525729859e-7,-9.159135958794871e-7,-5.306909448414127e-7
Overall,60,80,ReRZV_2d,2024,dQ_Life,2.487354064071141e-4,2.474371382703566e-4,1.8980794112790635e-4,3.144891636565283e-4
Overall,60,80,ReRZV_2d,2024,dQ_HZ,0.009382540690386626,0.009349854697949678,0.007669122801055819,0.011251817628490545
Overall,60,80,ReRZV_2d,2024,dQ_HZ_Norm,0.0028302231661942925,0.002824535354559272,0.0023426861368525303,0.00338237838092505
Overall,60,80,ReRZV_2d,2024,dQ_All,0.0096278916625890925,0.009593038746071869,0.007861361060299731,0.011537928067697843
Overall,60,80,ReRZV_2d,2024,dQ_HZ_d,0.005581620062761038,0.005579755464627752,0.004702723055107426,0.00651960778228762
Overall,60,80,ReRZV_2d,2024,dQ_HZ_Norm_d,0.0018662576681938501,0.0018626527502408196,0.0015789543793563849,0.002188339060328291
Overall,60,80,ReRZV_2d,2024,dQ_Life_d,9.310142823414224e-5,9.254962601445982e-5,7.284744366158336e-5,1.1538358455398523e-4
Overall,60,80,ReRZV_2d,2024,dQ_All_d,0.0056747214909952355,0.00567005082346661,0.004779731789900899,0.006625147678980081
Overall,60,80,ReRZV_2d,2024,dC_Hosp,-11.576484428769309,-11.331340018708815,-15.765345574844721,-8.285872440568271
Overall,60,80,ReRZV_2d,2024,dC_GP_NonPHN,-6.4233644224578486,-6.423805817427225,-7.44317189332517,-5.494272001950732
Overall,60,80,ReRZV_2d,2024,dC_GP_PHN,-2.222667129789739,-2.2215432105242376,-2.67897434371072,-1.8048117257017384
Overall,60,80,ReRZV_2d,2024,dC_GP,-8.646031552247587,-8.654307176590738,-10.040242353292248,-7.294164075781255
Overall,60,80,ReRZV_2d,2024,dC_Med,-20.222515981016898,-20.038594570709307,-25.555309678453614,-15.715979225401645
Overall,60,80,ReRZV_2d,2024,dC_VacZVL,110,110,110,110
Overall,60,80,ReRZV_2d,2024,dC_VacRZV,124.98849925931266,124.988503318282,124.98800106683575,124.98894724077779
Overall,60,80,ReRZV_2d,2024,dC_Vac,234.98849925931265,234.98850331828197,234.98800106683575,234.9889472407778
Overall,60,80,ReRZV_2d,2024,dC_All,214.76598327829578,214.94965846491237,209.4329211333715,219.2719941689745
Overall,60,80,ReRZV_2d,2024,dC_Hosp_d,-5.167140940108664,-5.10264488332812,-6.794470913389802,-3.8335692792102307
Overall,60,80,ReRZV_2d,2024,dC_GP_NonPHN_d,-4.00524509039657,-4.005115172581467,-4.530280928453201,-3.5203506208988746
Overall,60,80,ReRZV_2d,2024,dC_GP_PHN_d,-1.221977851129719,-1.2173377365169027,-1.44343017523332,-1.0154722034550008
Overall,60,80,ReRZV_2d,2024,dC_GP_d,-5.227222941526288,-5.216251683953965,-5.960263424038722,-4.542063669806961
Overall,60,80,ReRZV_2d,2024,dC_Med_d,-10.394363881634952,-10.346367254150081,-12.512369435624027,-8.562466709168119
Overall,60,80,ReRZV_2d,2024,dC_VacZVL_d,110,110,110,110
Overall,60,80,ReRZV_2d,2024,dC_VacRZV_d,62.814955674043674,62.81495771394319,62.81470529950089,62.81518081424491
Overall,60,80,ReRZV_2d,2024,dC_Vac_d,172.81495567404366,172.8149577139432,172.8147052995009,172.81518081424494
Overall,60,80,ReRZV_2d,2024,dC_All_d,162.42059179240871,162.4685031976922,160.30256405988615,164.25243642883967
Overall,60,80,ReRZV_2d,2024,dN_VacZVL,1,1,1,1
Overall,60,80,ReRZV_2d,2024,dN_VacRZV,1.470452932462502,1.4704529802150823,1.4704470713745381,1.47045820283268
Overall,60,80,ReRZV_2d,2024,dN_VacZVL_d,1,1,1,1
Overall,60,80,ReRZV_2d,2024,dN_VacRZV_d,0.7389994785181608,0.7389995025169787,0.7389965329353047,0.7390021272264108
Overall,60,80,ReRZV_2d,2024,ICER,28826.232675628602,28635.693964492897,24348.986555512045,34344.46459804797
Overall,60,80,ReRZV_2d,2024,Price0,85,85,84.99999999999999,85.00000000000001
Overall,60,80,ReRZV_2d,2024,Thres20,167.64394834299702,167.4362365376994,140.8932596656916,194.9473810932328
Overall,60,80,ReRZV_2d,2024,Thres30,244.43319518088487,244.34861421483035,205.69699095627655,284.39892818259443
Overall,60,80,ReRZV_2d,2024,Thres20_50,NA,167.4362365376994,NA,NA
Overall,60,80,ReRZV_2d,2024,Thres30_90,NA,219.9859661677919,NA,NA
Overall,60,80,ReRZV_2d,2024,Thres,NA,167.4362365376994,NA,NA
Overall,60,81,ReRZV_1d,2024,dYear_Life,2.877212125057369e-4,2.8565441673578107e-4,2.1404541006226908e-4,3.737215618335732e-4
Overall,60,81,ReRZV_1d,2024,dYear_Immunised,7.755862794666037,7.737502947291068,6.611310379903052,9.02690715994794
Overall,60,81,ReRZV_1d,2024,dRisk_HZ,-0.059997802244732515,-0.059911232625989366,-0.07074870451121798,-0.04985505999702617
Overall,60,81,ReRZV_1d,2024,dRisk_Hosp,-0.002164334064064555,-0.002125562011532805,-0.0029566159470648867,-0.001529658352358902
Overall,60,81,ReRZV_1d,2024,dRisk_PHN,-0.004137392909695134,-0.004130611690291653,-0.005061223051191204,-0.003275378090859252
Overall,60,81,ReRZV_1d,2024,dRisk_Death,-6.00339960766966e-7,-5.937450062114955e-7,-7.905802109861868e-7,-4.368761138736935e-7
Overall,60,81,ReRZV_1d,2024,dQ_Life,1.9822339206451288e-4,1.9693712989443668e-4,1.473335158853395e-4,2.559112453377921e-4
Overall,60,81,ReRZV_1d,2024,dQ_HZ,0.007943381505277841,0.007923274743668343,0.00640336856817098,0.009631265549259303
Overall,60,81,ReRZV_1d,2024,dQ_HZ_Norm,0.0024824336319527545,0.0024781203689820948,0.0020276741725922297,0.002981056275456351
Overall,60,81,ReRZV_1d,2024,dQ_All,0.008138971679676296,0.008116632091338616,0.006546467915199283,0.009859122291584031
Overall,60,81,ReRZV_1d,2024,dQ_HZ_d,0.004929304506512608,0.0049203183266205595,0.004097662330957006,0.005803383629634392
Overall,60,81,ReRZV_1d,2024,dQ_HZ_Norm_d,0.0017067445729987381,0.0017031105654661844,0.0014431571832783075,0.0020033794449476933
Overall,60,81,ReRZV_1d,2024,dQ_Life_d,7.486146637642932e-5,7.435779508391249e-5,5.71197798083567e-5,9.504574737198012e-5
Overall,60,81,ReRZV_1d,2024,dQ_All_d,0.005004165972889066,0.0049920564384571264,0.004153308653379195,0.005888211187765346
Overall,60,81,ReRZV_1d,2024,dC_Hosp,-9.165388358863899,-8.984815665737912,-12.716215214778167,-6.3719391060319746
Overall,60,81,ReRZV_1d,2024,dC_GP_NonPHN,-5.526130471326157,-5.515318529667502,-6.520673467822849,-4.624335245597985
Overall,60,81,ReRZV_1d,2024,dC_GP_PHN,-1.8230880091677941,-1.8222270461557688,-2.249716149526797,-1.4338843092543525
