Scenario,Year,M,L,U
Scheduled,2029,0.06789513767788696,0.06434775300068182,0.07139165401799932
Scheduled,2030,0.08360845900765597,0.07942074780098729,0.08789091459048706
Scheduled,2031,0.09978952137806887,0.09475827082589952,0.1048815814466526
Scheduled,2032,0.11604869282397338,0.11027010548620111,0.12202248455720147
Scheduled,2033,0.13174531116744492,0.12524448494700097,0.13856934074191246
Scheduled,2034,0.14681518421568143,0.13954141153578442,0.1544604100289434
Scheduled,2035,0.16123434177133966,0.15319564958775128,0.16968805688080055
Scheduled,2036,0.17500356221498864,0.1662227337473513,0.18425529720171444
Scheduled,2037,0.18812562675647523,0.17861287374819887,0.19814652286940973
Scheduled,2038,0.20062856280955788,0.19040193831179755,0.21143855689868704
Scheduled,2039,0.21254824422334961,0.20162786367300556,0.22411400077048896
Scheduled,2040,0.22392577035865618,0.2123339562145497,0.23624862285412837
Scheduled,2041,0.23476920788510808,0.22252678800542303,0.24786551733025422
Scheduled,2042,0.245110448338229,0.23224200949841844,0.25896180326736695
Scheduled,2043,0.25498446054373636,0.24151745941411756,0.2695480019590364
Scheduled,2044,0.26442679848862766,0.2503886112627455,0.27966451523473335
Scheduled,2045,0.2734682861905022,0.2588847948092209,0.28935224695484574
Scheduled,2046,0.2821367365271887,0.26703039782810595,0.29863691258710634
Scheduled,2047,0.29045824761463107,0.27484999018946266,0.3075464655892609
Scheduled,2048,0.2984516018766235,0.28236165632887,0.31610075101969604
Scheduled,2049,0.3061147757201516,0.28956288595407,0.32429778190613234
Scheduled,2050,0.31345300629922024,0.29645852352082336,0.332142352277909
"Scheduled + [80, 85)",2022,0,0,0
"Scheduled + [80, 85)",2023,0.004834120019580185,0.004511680971705123,0.005155441695784552
"Scheduled + [80, 85)",2024,0.012800280123879347,0.01189578688851628,0.01366060461196475
"Scheduled + [80, 85)",2025,0.022760942863139927,0.02116501480993485,0.02426127513152948
"Scheduled + [80, 85)",2026,0.03398822911175941,0.03156931812492614,0.03624065611310409
"Scheduled + [80, 85)",2027,0.046035913529783395,0.04271893420798836,0.04913037583674662
"Scheduled + [80, 85)",2028,0.06069260056090356,0.056413955058766924,0.06478525892136355
"Scheduled + [80, 85)",2029,0.07700945202810489,0.07166211246232163,0.08215971801194852
"Scheduled + [80, 85)",2030,0.09425411668277632,0.08779623694084401,0.10050693237986791
"Scheduled + [80, 85)",2031,0.11190572397770354,0.10431746509738696,0.1193087653096469
"Scheduled + [80, 85)",2032,0.1295540034842847,0.12089286012066908,0.13813356046421604
"Scheduled + [80, 85)",2033,0.1465138634497406,0.13686405945955216,0.15621101040540172
"Scheduled + [80, 85)",2034,0.1627094785024494,0.15212538789818625,0.1734576840079795
"Scheduled + [80, 85)",2035,0.17810972234730243,0.16664413296026973,0.18984273030697957
"Scheduled + [80, 85)",2036,0.19271589306060455,0.18042050862850462,0.2053749649649792
"Scheduled + [80, 85)",2037,0.2065354396609933,0.19345382109860618,0.22006976944952414
"Scheduled + [80, 85)",2038,0.2196038429846429,0.20578136583149617,0.23396297072860128
"Scheduled + [80, 85)",2039,0.231972396662702,0.21744256866029457,0.24710893553013796
"Scheduled + [80, 85)",2040,0.24369498181187596,0.22849491916729833,0.2595677308203161
"Scheduled + [80, 85)",2041,0.25479588335439424,0.2389608944864455,0.2713712405244126
"Scheduled + [80, 85)",2042,0.26532103416141783,0.2488847316367031,0.2825644060154541
"Scheduled + [80, 85)",2043,0.27532261811594755,0.2583193923498357,0.293206036041933
"Scheduled + [80, 85)",2044,0.2848394986771049,0.26731007132908624,0.3033338914503431
"Scheduled + [80, 85)",2045,0.2939076194607025,0.27588881392599,0.31297991663263713
"Scheduled + [80, 85)",2046,0.30255913026263515,0.2840784369515409,0.3221762471913946
"Scheduled + [80, 85)",2047,0.31082430960136126,0.2919078801505715,0.33095312942512944
"Scheduled + [80, 85)",2048,0.31872477604335747,0.29939743066698854,0.33932997031902357
"Scheduled + [80, 85)",2049,0.326265338220158,0.3065508292969171,0.34732009694230087
"Scheduled + [80, 85)",2050,0.3334566260364207,0.3133761183011795,0.35493523375459335
Switch to RZV only,2022,0,0,0
Switch to RZV only,2023,6.635650973164064e-4,5.465169214878829e-4,7.871243632119052e-4
Switch to RZV only,2024,0.0018458624299745913,0.0015320182934405457,0.0021797826636527906
Switch to RZV only,2025,0.003433076739412729,0.0028581334540417336,0.004065845245601912
Switch to RZV only,2026,0.005349213877340812,0.004445534852140526,0.006347577212397787
Switch to RZV only,2027,0.007533365039504689,0.0062505867772599255,0.00895046319071044
Switch to RZV only,2028,0.009939399690502771,0.008221242921503225,0.011821089177890126
Switch to RZV only,2029,0.012527511922103728,0.010329732485433729,0.01489914492713057
Switch to RZV only,2030,0.015266368262865659,0.012554810682327527,0.018155253388923598
Switch to RZV only,2031,0.018131111330818402,0.014875731889354704,0.021554516136608914
Switch to RZV only,2032,0.021104048829321286,0.017289310692005733,0.02509246707797816
Switch to RZV only,2033,0.02416865944323839,0.01977538183171426,0.02872597759066145
Switch to RZV only,2034,0.027309445919211594,0.022323248370215792,0.032462090085824874
Switch to RZV only,2035,0.030509229149227945,0.024926220033466034,0.036281962179009225
Switch to RZV only,2036,0.03374908302084094,0.027563883968907354,0.040150616611350276
Switch to RZV only,2037,0.03701309239692779,0.03021866824669822,0.04400657173866526
Switch to RZV only,2038,0.04028295751928903,0.03288008084123578,0.04789960413554742
Switch to RZV only,2039,0.04353902872327612,0.03552788392397818,0.051769685126728526
Switch to RZV only,2040,0.046759673068018676,0.038147958484074956,0.05559695611435714
Switch to RZV only,2041,0.049936287841372926,0.040745156690300016,0.059372412724739615
Switch to RZV only,2042,0.0530523371919901,0.04329613597934917,0.06307715258270538
Switch to RZV only,2043,0.05608991979598589,0.04578686422516337,0.06668698052385333
Switch to RZV only,2044,0.05903375664702018,0.048207809476883134,0.07018290348700615
Switch to RZV only,2045,0.06187132518858657,0.05054434639329122,0.07355132088064911
Switch to RZV only,2046,0.06459378698539224,0.05278734661778825,0.07678535540515258
Switch to RZV only,2047,0.06719483725792974,0.054932622586342045,0.07987177458019559
Switch to RZV only,2048,0.06967225332615788,0.05697841388711555,0.08280888819841364
Switch to RZV only,2049,0.07203597765818022,0.058931698912169456,0.08560975026506698
Switch to RZV only,2050,0.0742933277657059,0.060798397088211054,0.08828366851485261
