Scenario,Year,M,L,U
Expand to 65+,2022,0,0,0
Expand to 65+,2023,0.004149569383707277,0.0039378500943122174,0.00437822435516369
Expand to 65+,2024,0.01103328863520034,0.010446311619377618,0.011621612187193348
Expand to 65+,2025,0.01969884370743659,0.018624709837138292,0.020789360177105337
Expand to 65+,2026,0.02952081933124831,0.027846168819810085,0.031141966230151252
Expand to 65+,2027,0.04005144393475652,0.03785345095309303,0.04227458788592431
Expand to 65+,2028,0.05079121554529781,0.048016245873951674,0.05363378292637905
Expand to 65+,2029,0.06162428364931339,0.05825287572307569,0.06507127839076199
Expand to 65+,2030,0.07245519180329214,0.06848073650561753,0.07652079900406913
Expand to 65+,2031,0.08317145463701489,0.07862178579069246,0.08796256202879155
Expand to 65+,2032,0.09370521955827962,0.08843998583120516,0.09915410108667078
Expand to 65+,2033,0.10399917714536223,0.09803716491548622,0.11013733211515397
Expand to 65+,2034,0.1140244909459951,0.10741538728553104,0.12073769359158826
Expand to 65+,2035,0.1237431893973758,0.11653743179904333,0.13112616188608442
Expand to 65+,2036,0.13317547970157714,0.12549379079475684,0.1412359280561967
Expand to 65+,2037,0.14229906596399197,0.13416610511134028,0.1510195085273178
Expand to 65+,2038,0.1510929710945214,0.14252707778706206,0.16044843835551087
Expand to 65+,2039,0.1595165976850949,0.15044972815152258,0.16948815813219031
Expand to 65+,2040,0.16756004789840814,0.15800784065245818,0.17812483688472505
Expand to 65+,2041,0.17520806111857284,0.16519266895168033,0.18635138497888526
Expand to 65+,2042,0.18246510619179665,0.1720062150081476,0.19422441484256645
Expand to 65+,2043,0.18935701656070708,0.17847658272552513,0.2017335384679497
Expand to 65+,2044,0.19594554636711486,0.18466327979924752,0.20885626684308714
Expand to 65+,2045,0.2022655458205479,0.19059928846798477,0.2156662063253347
Expand to 65+,2046,0.20833461121381608,0.19629980733569666,0.22220533391035907
Expand to 65+,2047,0.21416812086509635,0.20177728929092506,0.2284654412293224
Expand to 65+,2048,0.21976910972592298,0.20703534066828846,0.23455947429160426
Expand to 65+,2049,0.22513198357000122,0.21209247841203205,0.24039638587899223
Expand to 65+,2050,0.23026531047657353,0.21693903531240857,0.2459707086932456
NA,2022,0,0,0
NA,2023,0,0,0
NA,2024,0,0,0
NA,2025,0,0,0
NA,2026,0,0,0
NA,2027,0,0,0
NA,2028,0,0,0
NA,2029,0,0,0
NA,2030,0,0,0
NA,2031,0,0,0
NA,2032,0,0,0
NA,2033,0,0,0
NA,2034,0,0,0
NA,2035,0,0,0
NA,2036,0,0,0
NA,2037,0,0,0
NA,2038,0,0,0
NA,2039,0,0,0
NA,2040,0,0,0
NA,2041,0,0,0
NA,2042,0,0,0
NA,2043,0,0,0
NA,2044,0,0,0
NA,2045,0,0,0
NA,2046,0,0,0
NA,2047,0,0,0
NA,2048,0,0,0
NA,2049,0,0,0
NA,2050,0,0,0
Scheduled,2022,0,0,0
Scheduled,2023,0.004149569383707277,0.0039378500943122174,0.00437822435516369
Scheduled,2024,0.01103328863520034,0.010446311619377618,0.011621612187193348
Scheduled,2025,0.01969884370743659,0.018624709837138292,0.020789360177105337
Scheduled,2026,0.02952081933124831,0.027846168819810085,0.031141966230151252
Scheduled,2027,0.04005144393475652,0.03785345095309303,0.04227458788592431
Scheduled,2028,0.053143027788300295,0.050290150639281106,0.05601305808526402
