Scenario,Age0,Arm,Year0,ICER_A,ICER25_A,ICER50_A,ICER75_A,ICER100_A,ICER_Thres_A,ICER_M,ICER25_M,ICER50_M,ICER75_M,ICER100_M,ICER_Thres_M,ICER_L,ICER25_L,ICER50_L,ICER75_L,ICER100_L,ICER_Thres_L,ICER_U,ICER25_U,ICER50_U,ICER75_U,ICER100_U,ICER_Thres_U
Vac_18,18,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_19,19,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_20,20,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_21,21,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_22,22,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_23,23,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_24,24,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_25,25,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_26,26,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_27,27,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_28,28,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_29,29,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_30,30,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_31,31,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_32,32,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_33,33,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_34,34,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_35,35,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_36,36,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_37,37,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_38,38,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_39,39,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_40,40,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_41,41,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_42,42,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_43,43,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_44,44,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
Vac_45,45,Vac,2024,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA,NA,Inf,Inf,Inf,Inf,NA
