Scenario,Arm,Year0,Age0,Age1,Index,A,M,L,U
"Second_[70,75)",Vac,2024,70,NA,N0,1,1,1,1
"Second_[70,75)",Vac,2024,70,NA,Year_Life,14.275698007538317,14.275709667756775,14.275564947864678,14.275787428394581
"Second_[70,75)",Vac,2024,70,NA,Year_Immunised,4.898355800925447,4.564887896991355,4.324574597456843,6.216782409370255
"Second_[70,75)",Vac,2024,70,NA,Risk_HZ,0.08955265962951332,0.09191569083179037,0.07653263522354754,0.09598296804682359
"Second_[70,75)",Vac,2024,70,NA,Risk_Hosp,0.0047727400371656336,0.004825650449590492,0.0040488609705326495,0.00546702429220589
"Second_[70,75)",Vac,2024,70,NA,Risk_PHN,0.007812030494003865,0.007948724293325517,0.006958201221940039,0.008504558904473852
"Second_[70,75)",Vac,2024,70,NA,Risk_Death,8.142875743821817e-7,8.038019395312729e-7,6.077473498131889e-7,1.0542868255336974e-6
"Second_[70,75)",Vac,2024,70,NA,Q_Life,23304022.050444856,23304039.299108643,23303826.766156867,23304154.75140582
"Second_[70,75)",Vac,2024,70,NA,Q_HZ,-30535.247006141148,-32833.36267130837,-38105.79314145364,-20193.200329899802
"Second_[70,75)",Vac,2024,70,NA,Q_HZ_Norm,-10070.112348483777,-9889.116680071242,-18033.681582268488,-2640.2571621008296
"Second_[70,75)",Vac,2024,70,NA,Q_All,23230869.25985747,23228592.9229929,23223337.971365575,23241137.133499075
"Second_[70,75)",Vac,2024,70,NA,Q_HZ_d,-21701.12070500542,-23366.848046072075,-27095.378996322564,-14344.990828246457
"Second_[70,75)",Vac,2024,70,NA,Q_HZ_Norm_d,-7352.872888834723,-7237.062750744743,-13109.71240792974,-1921.2968331831216
"Second_[70,75)",Vac,2024,70,NA,Q_Life_d,17771267.691783115,17771277.30813963,17771161.94551248,17771342.709193714
"Second_[70,75)",Vac,2024,70,NA,Q_All_d,17749566.57107811,17747912.991693337,17744195.21671497,17756877.60340733
"Second_[70,75)",Vac,2024,70,NA,C_Hosp,43084092.78037232,43433822.44794851,36391886.852909714,49524490.48339754
"Second_[70,75)",Vac,2024,70,NA,C_GP_NonPHN,16431455.26304548,16965469.997597765,13974133.322056783,17667708.43433187
"Second_[70,75)",Vac,2024,70,NA,C_GP_PHN,7139393.1588551495,7132453.4710227745,6285302.698490891,7983441.242975582
"Second_[70,75)",Vac,2024,70,NA,C_GP,23570848.42190063,24117563.466748387,20259436.020547673,25472779.846558448
"Second_[70,75)",Vac,2024,70,NA,C_Med,66654941.20227295,67993214.68396567,56937851.193187736,74312389.45892951
"Second_[70,75)",Vac,2024,70,NA,C_VacZVL,0,0,0,0
"Second_[70,75)",Vac,2024,70,NA,C_VacRZV,0,0,0,0
"Second_[70,75)",Vac,2024,70,NA,C_Vac,0,0,0,0
"Second_[70,75)",Vac,2024,70,NA,C_All,66654941.20227295,67993214.68396567,56937851.193187736,74312389.45892951
"Second_[70,75)",Vac,2024,70,NA,C_Hosp_d,27388650.194713574,27896464.136030674,23304693.17355085,31373277.258002996
"Second_[70,75)",Vac,2024,70,NA,C_GP_NonPHN_d,11817165.202080969,12233164.390876085,10049189.402601866,12642493.270508792
"Second_[70,75)",Vac,2024,70,NA,C_GP_PHN_d,5079964.851909517,5088549.513412766,4478095.194819136,5674140.670941926
