Age,Arm,Index,M,fn
60,RZV_2d,Thres20_50,85.05443688593535,zlg
60,RZV_2d,Thres30_90,92.77653816337227,zlg
65,RZV_2d,Thres20_50,95.47639265243575,zlg
65,RZV_2d,Thres30_90,107.36494310686889,zlg
70,RZV_2d,Thres20_50,102.45843831268742,zlg
70,RZV_2d,Thres30_90,119.0362839325369,zlg
75,RZV_2d,Thres20_50,102.82197753800915,zlg
75,RZV_2d,Thres30_90,123.77874812032442,zlg
80,RZV_1d,Thres20_50,153.95878415039778,zlg
80,RZV_1d,Thres30_90,183.32858846129017,zlg
80,RZV_2d,Thres20_50,94.8197056342965,zlg
80,RZV_2d,Thres30_90,116.8372014887734,zlg
85,RZV_1d,Thres20_50,132.3045832343402,zlg
85,RZV_1d,Thres30_90,156.4369900665994,zlg
85,RZV_2d,Thres20_50,80.05447684466661,zlg
85,RZV_2d,Thres30_90,98.56772203544313,zlg
90,RZV_1d,Thres20_50,103.82681150408413,zlg
90,RZV_1d,Thres30_90,118.8384596639547,zlg
90,RZV_2d,Thres20_50,61.453958728467065,zlg
90,RZV_2d,Thres30_90,74.21677365404663,zlg
95,RZV_1d,Thres20_50,71.15176330849872,zlg
95,RZV_1d,Thres30_90,78.95702207205201,zlg
95,RZV_2d,Thres20_50,41.29257532595045,zlg
95,RZV_2d,Thres30_90,48.680357990626796,zlg
60,RZV_2d,Thres20_50,46.71432142292211,zlg_short
60,RZV_2d,Thres30_90,59.950902037952154,zlg_short
65,RZV_2d,Thres20_50,56.556339386087544,zlg_short
65,RZV_2d,Thres30_90,72.51899135050961,zlg_short
70,RZV_2d,Thres20_50,67.25942813878818,zlg_short
70,RZV_2d,Thres30_90,86.04220477577238,zlg_short
75,RZV_2d,Thres20_50,76.06325516843589,zlg_short
75,RZV_2d,Thres30_90,96.47467536891453,zlg_short
80,RZV_1d,Thres20_50,130.90924031134892,zlg_short
80,RZV_1d,Thres30_90,156.49254240525818,zlg_short
80,RZV_2d,Thres20_50,78.94424240879229,zlg_short
80,RZV_2d,Thres30_90,98.95533047762933,zlg_short
85,RZV_1d,Thres20_50,122.42804986918793,zlg_short
85,RZV_1d,Thres30_90,143.71873741530604,zlg_short
85,RZV_2d,Thres20_50,73.3033116867779,zlg_short
85,RZV_2d,Thres30_90,90.24018009512133,zlg_short
90,RZV_1d,Thres20_50,102.39936591657295,zlg_short
90,RZV_1d,Thres30_90,117.42690872093475,zlg_short
90,RZV_2d,Thres20_50,60.6494283692672,zlg_short
90,RZV_2d,Thres30_90,73.19983189540997,zlg_short
95,RZV_1d,Thres20_50,70.90839680912987,zlg_short
95,RZV_1d,Thres30_90,78.06239854478676,zlg_short
95,RZV_2d,Thres20_50,41.290537164221135,zlg_short
95,RZV_2d,Thres30_90,48.65403312622695,zlg_short
60,RZV_2d,Thres20_50,134.20995166471022,zlg_long
60,RZV_2d,Thres30_90,155.6550371465761,zlg_long
65,RZV_2d,Thres20_50,130.38697608647541,zlg_long
65,RZV_2d,Thres30_90,154.07706971642443,zlg_long
70,RZV_2d,Thres20_50,124.02973314214168,zlg_long
70,RZV_2d,Thres30_90,149.8539746899255,zlg_long
75,RZV_2d,Thres20_50,113.80525940127634,zlg_long
75,RZV_2d,Thres30_90,139.42499993271718,zlg_long
80,RZV_1d,Thres20_50,161.37898639470126,zlg_long
80,RZV_1d,Thres30_90,191.62883643944477,zlg_long
80,RZV_2d,Thres20_50,99.12038456122075,zlg_long
80,RZV_2d,Thres30_90,122.4815373192551,zlg_long
85,RZV_1d,Thres20_50,134.4108847391797,zlg_long
85,RZV_1d,Thres30_90,156.44039271639065,zlg_long
85,RZV_2d,Thres20_50,80.98067935120338,zlg_long
85,RZV_2d,Thres30_90,99.51548796579634,zlg_long
90,RZV_1d,Thres20_50,103.79956426456047,zlg_long
90,RZV_1d,Thres30_90,117.62917000364277,zlg_long
90,RZV_2d,Thres20_50,61.54340273667684,zlg_long
90,RZV_2d,Thres30_90,73.82703422477941,zlg_long
95,RZV_1d,Thres20_50,70.82245555909302,zlg_long
95,RZV_1d,Thres30_90,77.60169027577236,zlg_long
95,RZV_2d,Thres20_50,41.21804288950166,zlg_long
95,RZV_2d,Thres30_90,48.317481159607496,zlg_long
60,RZV_2d,Thres20_50,150.20665213986945,zle
60,RZV_2d,Thres30_90,185.15700582123117,zle
65,RZV_2d,Thres20_50,149.10698511312523,zle
65,RZV_2d,Thres30_90,188.48047695546612,zle
70,RZV_2d,Thres20_50,143.2853671608751,zle
70,RZV_2d,Thres30_90,183.4073324115971,zle
75,RZV_2d,Thres20_50,130.75785642556227,zle
75,RZV_2d,Thres30_90,168.60279445995093,zle
80,RZV_1d,Thres20_50,189.27735075353576,zle
80,RZV_1d,Thres30_90,240.01011483482546,zle
80,RZV_2d,Thres20_50,111.95942733310159,zle
80,RZV_2d,Thres30_90,144.6045041880257,zle
85,RZV_1d,Thres20_50,153.0491583105263,zle
85,RZV_1d,Thres30_90,193.52202543748825,zle
85,RZV_2d,Thres20_50,89.16300809147758,zle
85,RZV_2d,Thres30_90,114.8315368690293,zle
90,RZV_1d,Thres20_50,114.77685201399623,zle
90,RZV_1d,Thres30_90,143.45522186696772,zle
90,RZV_2d,Thres20_50,66.01854078175627,zle
90,RZV_2d,Thres30_90,84.0376232083407,zle
95,RZV_1d,Thres20_50,76.34812128095456,zle
95,RZV_1d,Thres30_90,94.23159154998503,zle
95,RZV_2d,Thres20_50,43.35369844552891,zle
95,RZV_2d,Thres30_90,54.440843579752304,zle
