Scenario,Age0,Age1,Arm,Year0,N0,Index,A,M,L,U
Overall,70,80,ReRZV_1d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dYear_Life,3.5232047329209235e-4,3.494182147818492e-4,2.6466517802266055e-4,4.581653480546954e-4
Overall,70,80,ReRZV_1d,2024,1,dYear_Immunised,6.99118664491806,6.985869394224079,5.936287374789642,8.124434488714753
Overall,70,80,ReRZV_1d,2024,1,dRisk_HZ,-0.06217883953476921,-0.06208376255547942,-0.07299821764522854,-0.052232894323131364
Overall,70,80,ReRZV_1d,2024,1,dRisk_Hosp,-0.0026035817574231626,-0.0025726650579663128,-0.0035066602752375576,-0.0019005642961957758
Overall,70,80,ReRZV_1d,2024,1,dRisk_PHN,-0.0050518237239812495,-0.005021687098166336,-0.0060948447851153905,-0.0041045001808951995
Overall,70,80,ReRZV_1d,2024,1,dRisk_Death,-7.002533587014576e-7,-6.901934294932091e-7,-9.392760504557233e-7,-5.133507789585261e-7
Overall,70,80,ReRZV_1d,2024,1,dQ_Life,2.4358115294613203e-4,2.416065274379875e-4,1.8462359973376864e-4,3.1391291496607454e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ,0.00873399430929408,0.008682640734426995,0.007075040172865221,0.01068633115773632
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm,0.0028562108827445464,0.0028492703899046764,0.002328089035354552,0.003463085511881292
Overall,70,80,ReRZV_1d,2024,1,dQ_All,0.008974748250588561,0.00892390312073843,0.007283230739263802,0.01096724257903956
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_d,0.007580240141430588,0.0075457395219305145,0.006216745832694613,0.009198170511888794
Overall,70,80,ReRZV_1d,2024,1,dQ_HZ_Norm_d,0.002503388351210198,0.002498491930583777,0.00205454076630112,0.0030049007081853103
Overall,70,80,ReRZV_1d,2024,1,dQ_Life_d,1.8472589313552312e-4,1.8323560576671838e-4,1.4082767318881472e-4,2.350705377172079e-4
Overall,70,80,ReRZV_1d,2024,1,dQ_All_d,0.007764966034566082,0.007731202238383084,0.006366830718835814,0.009398716561421414
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp,-10.655634897586026,-10.506581381047445,-14.64983649361123,-7.618466588688887
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN,-5.614432210794602,-5.607599815398925,-6.563789844894211,-4.738166306871279
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN,-2.2229816269901965,-2.216192293448314,-2.6887747934902695,-1.7948223301632904
Overall,70,80,ReRZV_1d,2024,1,dC_GP,-7.837413837784799,-7.819022351933243,-9.161289429185322,-6.589552589075948
Overall,70,80,ReRZV_1d,2024,1,dC_Med,-18.493048735370824,-18.331516345426458,-23.475781128333765,-14.420759878072582
Overall,70,80,ReRZV_1d,2024,1,dC_VacZVL,110,110,110,110
Overall,70,80,ReRZV_1d,2024,1,dC_VacRZV,68.66176424792715,68.66176594759384,68.66161820856776,68.66190011517705
Overall,70,80,ReRZV_1d,2024,1,dC_Vac,178.66176424792715,178.66176594759384,178.66161820856775,178.66190011517705
Overall,70,80,ReRZV_1d,2024,1,dC_All,160.16871551255633,160.33015847597855,155.18593953670126,164.24105028265427
Overall,70,80,ReRZV_1d,2024,1,dC_Hosp_d,-8.730512875328952,-8.620331412797453,-11.727204381565427,-6.358173597685
Overall,70,80,ReRZV_1d,2024,1,dC_GP_NonPHN_d,-4.922246517326699,-4.91384503365113,-5.677907801207532,-4.202887394980796
Overall,70,80,ReRZV_1d,2024,1,dC_GP_PHN_d,-1.9224279452465827,-1.9167726225256632,-2.305553312391217,-1.5739217377513564
Overall,70,80,ReRZV_1d,2024,1,dC_GP_d,-6.844674462573281,-6.826303150253621,-7.9469754351845685,-5.829871044703903
Overall,70,80,ReRZV_1d,2024,1,dC_Med_d,-15.575187337902234,-15.43679442297814,-19.389506897711186,-12.376678147671088
Overall,70,80,ReRZV_1d,2024,1,dC_VacZVL_d,110,110,110,110
Overall,70,80,ReRZV_1d,2024,1,dC_VacRZV_d,59.16359232467263,59.163593789219725,59.163466487342106,59.163709397029734
Overall,70,80,ReRZV_1d,2024,1,dC_Vac_d,169.16359232467263,169.1635937892197,169.16346648734213,169.16370939702972
Overall,70,80,ReRZV_1d,2024,1,dC_All_d,153.5884049867704,153.72679127340228,149.7741062590885,156.78695913163747
Overall,70,80,ReRZV_1d,2024,1,dN_VacZVL,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dN_VacRZV,0.8077854617403194,0.8077854817363981,0.8077837436302091,0.8077870601785534
Overall,70,80,ReRZV_1d,2024,1,dN_VacZVL_d,1,1,1,1
Overall,70,80,ReRZV_1d,2024,1,dN_VacRZV_d,0.6960422626432075,0.6960422798731732,0.6960407822040249,0.6960436399650556
Overall,70,80,ReRZV_1d,2024,1,ICER,19992.668278433102,19849.491237787086,15982.520440253486,24455.108131603698
Overall,70,80,ReRZV_1d,2024,1,Price0,85,85,84.99999999999999,85.00000000000001
Overall,70,80,ReRZV_1d,2024,1,Thres20,245.4944417081634,244.7081054146816,201.92501413543343,296.94873509977737
Overall,70,80,ReRZV_1d,2024,1,Thres30,357.05327064703755,355.8518167570298,294.2045860758411,432.12600572473167
Overall,70,80,ReRZV_1d,2024,1,Thres20_50,NA,244.7081054146816,NA,NA
Overall,70,80,ReRZV_1d,2024,1,Thres30_90,NA,314.10565486202097,NA,NA
Overall,70,80,ReRZV_1d,2024,1,Thres,NA,244.7081054146816,NA,NA
Overall,70,80,ReRZV_2d,2024,1,N0,1,1,1,1
Overall,70,80,ReRZV_2d,2024,1,dYear_Life,4.2908104717289677e-4,4.2660583460296664e-4,3.3263302867165835e-4,5.41544812102046e-4
Overall,70,80,ReRZV_2d,2024,1,dYear_Immunised,7.91356229767867,7.916380128482993,6.872880958846848,8.986735090280755
Overall,70,80,ReRZV_2d,2024,1,dRisk_HZ,-0.0708901949147892,-0.0708898478702347,-0.08136257959651419,-0.06123491020960079
Overall,70,80,ReRZV_2d,2024,1,dRisk_Hosp,-0.0031881556617466603,-0.0031524106264449996,-0.004195226891248095,-0.002390054451187045
Overall,70,80,ReRZV_2d,2024,1,dRisk_PHN,-0.005838622263750534,-0.005816204357402012,-0.006859622879511366,-0.004895014123787868
Overall,70,80,ReRZV_2d,2024,1,dRisk_Death,-8.279582149717144e-7,-8.212922847227665e-7,-1.0555300545605292e-6,-6.292776861775289e-7
Overall,70,80,ReRZV_2d,2024,1,dQ_Life,2.95586107632019e-4,2.938889863788319e-4,2.3066190337930336e-4,3.7041129876675956e-4
Overall,70,80,ReRZV_2d,2024,1,dQ_HZ,0.010039506687073657,0.009971706231725205,0.008296421850518512,0.012064234932064235
Overall,70,80,ReRZV_2d,2024,1,dQ_HZ_Norm,0.003243249640211416,0.003238068518873116,0.002691297396131083,0.00385108806289925
Overall,70,80,ReRZV_2d,2024,1,dQ_All,0.010331279601344395,0.010267338303743045,0.008538903491786298,0.012381404664133731
Overall,70,80,ReRZV_2d,2024,1,dQ_HZ_d,0.008614377882595838,0.008577385291347262,0.007182836387551266,0.010234562813452355
Overall,70,80,ReRZV_2d,2024,1,dQ_HZ_Norm_d,0.002811004602014719,0.002810184680145225,0.002349386593482277,0.003308956699588942
Overall,70,80,ReRZV_2d,2024,1,dQ_Life_d,2.2262427333544555e-4,2.213796172521043e-4,1.7542210707253148e-4,2.759443765894431e-4
Overall,70,80,ReRZV_2d,2024,1,dQ_All_d,0.008837002155931273,0.008799606854265285,0.00739234598275984,0.010477540369967864
Overall,70,80,ReRZV_2d,2024,1,dC_Hosp,-13.15833920173791,-13.00828032348415,-17.449997106450926,-9.70381650749895
Overall,70,80,ReRZV_2d,2024,1,dC_GP_NonPHN,-6.371724303517669,-6.38136801028718,-7.278754889694825,-5.523078698635834
Overall,70,80,ReRZV_2d,2024,1,dC_GP_PHN,-2.561064795406649,-2.5549232019598147,-3.020735834455907,-2.1236724363033375
Overall,70,80,ReRZV_2d,2024,1,dC_GP,-8.932789098924317,-8.926576344283589,-10.22114199975795,-7.697777631808753
Overall,70,80,ReRZV_2d,2024,1,dC_Med,-22.091128300662227,-21.904762422700585,-27.441100252026004,-17.6812817280694
Overall,70,80,ReRZV_2d,2024,1,dC_VacZVL,110,110,110,110
Overall,70,80,ReRZV_2d,2024,1,dC_VacRZV,137.3235284958543,137.32353189518767,137.32323641713552,137.3238002303541
Overall,70,80,ReRZV_2d,2024,1,dC_Vac,247.3235284958543,247.32353189518767,247.32323641713552,247.3238002303541
Overall,70,80,ReRZV_2d,2024,1,dC_All,225.23240019519207,225.41890641179447,219.8824853229831,229.64222263812076
Overall,70,80,ReRZV_2d,2024,1,dC_Hosp_d,-10.672530187467897,-10.579735608854772,-13.895933336646069,-7.965231076001097
Overall,70,80,ReRZV_2d,2024,1,dC_GP_NonPHN_d,-5.524563003128977,-5.530353068039353,-6.240741836326248,-4.83824021144976
Overall,70,80,ReRZV_2d,2024,1,dC_GP_PHN_d,-2.191788604379549,-2.1872572280585434,-2.570202929841243,-1.836433528463244
Overall,70,80,ReRZV_2d,2024,1,dC_GP_d,-7.716351607508526,-7.713040727104839,-8.72752419116661,-6.723911960146739
Overall,70,80,ReRZV_2d,2024,1,dC_Med_d,-18.388881794976424,-18.27466526852041,-22.39464215020435,-14.944538145163905
Overall,70,80,ReRZV_2d,2024,1,dC_VacZVL_d,110,110,110,110
Overall,70,80,ReRZV_2d,2024,1,dC_VacRZV_d,118.32718464934526,118.32718757843945,118.32693297468421,118.32741879405947
Overall,70,80,ReRZV_2d,2024,1,dC_Vac_d,228.32718464934527,228.32718757843944,228.32693297468424,228.32741879405947
Overall,70,80,ReRZV_2d,2024,1,dC_All_d,209.93830285436883,210.05248581309596,205.93252855841368,213.38257451282266
Overall,70,80,ReRZV_2d,2024,1,dN_VacZVL,1,1,1,1
Overall,70,80,ReRZV_2d,2024,1,dN_VacRZV,1.6155709234806388,1.6155709634727962,1.6155674872604182,1.6155741203571068
Overall,70,80,ReRZV_2d,2024,1,dN_VacZVL_d,1,1,1,1
Overall,70,80,ReRZV_2d,2024,1,dN_VacRZV_d,1.392084525286415,1.3920845597463465,1.3920815644080498,1.3920872799301112
Overall,70,80,ReRZV_2d,2024,1,ICER,23962.260038146036,23873.178321791725,19755.066059783225,28768.840080112746
Overall,70,80,ReRZV_2d,2024,1,Price0,85,85,84.99999999999999,85.00000000000001
Overall,70,80,ReRZV_2d,2024,1,Thres20,140.1703129858821,139.54017969228977,117.56758625449223,165.8584076292162
