Scenario,Type,Arm,Age0,Price,CostVac,N_HZ,N_NewUptake,Q_Life_d,Q_HZ_d,Q_All_d,C_Med_d,C_Vac_d,C_All_d,N_Uptake0,N_HZ0,Q_Life_d0,Q_HZ_d0,Q_All_d0,C_Med_d0,C_Vac_d0,C_All_d0,dN_Uptake,dN_HZ,dQ_Life_d,dQ_HZ_d,dQ_All_d,dC_Med_d,dC_Vac_d,dC_All_d,ICER,NMB
Vac_60,Overall,SOC,60,25,70,73627.09942044373,0,4734846.1508583585,-4993.981519036548,4729852.169339322,8859207.009619696,0,8859207.009619696,0,73627.09942044373,4734846.1508583585,-4993.981519036548,4729852.169339322,8859207.009619696,0,8859207.009619696,0,0,0,0,0,0,0,0,0,0
Vac_60,Overall,SOC,60,50,120,73627.09942044373,0,4734846.1508583585,-4993.981519036548,4729852.169339322,8859207.009619696,0,8859207.009619696,0,73627.09942044373,4734846.1508583585,-4993.981519036548,4729852.169339322,8859207.009619696,0,8859207.009619696,0,0,0,0,0,0,0,0,0,0
Vac_60,Overall,SOC,60,75,170,73627.09942044373,0,4734846.1508583585,-4993.981519036548,4729852.169339322,8859207.009619696,0,8859207.009619696,0,73627.09942044373,4734846.1508583585,-4993.981519036548,4729852.169339322,8859207.009619696,0,8859207.009619696,0,0,0,0,0,0,0,0,0,0
Vac_60,Overall,SOC,60,100,220,73627.09942044373,0,4734846.1508583585,-4993.981519036548,4729852.169339322,8859207.009619696,0,8859207.009619696,0,73627.09942044373,4734846.1508583585,-4993.981519036548,4729852.169339322,8859207.009619696,0,8859207.009619696,0,0,0,0,0,0,0,0,0,0
Vac_60,Overall,Vac,60,25,70,41928.1161367569,371510.076,4734868.848639163,-2583.229815233988,4732285.618823929,5283790.667445304,26005705.32,31289495.987445302,0,73627.09942044373,4734846.1508583585,-4993.981519036548,4729852.169339322,8859207.009619696,0,8859207.009619696,371510.076,-31698.983283686826,0,2410.75170380256,2433.4494846073167,-3575416.342174392,26005705.32,22430288.977825608,9254.321813328446,707604556.4043694
Vac_60,Overall,Vac,60,50,120,41928.1161367569,371510.076,4734868.848639163,-2583.229815233988,4732285.618823929,5283790.667445304,44581209.12,49864999.7874453,0,73627.09942044373,4734846.1508583585,-4993.981519036548,4729852.169339322,8859207.009619696,0,8859207.009619696,371510.076,-31698.983283686826,0,2410.75170380256,2433.4494846073167,-3575416.342174392,44581209.12,41005792.77782561,16917.283193690186,689029052.6043694
Vac_60,Overall,Vac,60,75,170,41928.1161367569,371510.076,4734868.848639163,-2583.229815233988,4732285.618823929,5283790.667445304,63156712.92,68440503.5874453,0,73627.09942044373,4734846.1508583585,-4993.981519036548,4729852.169339322,8859207.009619696,0,8859207.009619696,371510.076,-31698.983283686826,0,2410.75170380256,2433.4494846073167,-3575416.342174392,63156712.92,59581296.57782561,24580.24457405193,670453548.8043693
Vac_60,Overall,Vac,60,100,220,41928.1161367569,371510.076,4734868.848639163,-2583.229815233988,4732285.618823929,5283790.667445304,81732216.72,87016007.3874453,0,73627.09942044373,4734846.1508583585,-4993.981519036548,4729852.169339322,8859207.009619696,0,8859207.009619696,371510.076,-31698.983283686826,0,2410.75170380256,2433.4494846073167,-3575416.342174392,81732216.72,78156800.3778256,32243.205954413665,651878045.0043694
Vac_61,Overall,SOC,61,25,70,70157.0462476823,0,4498306.045236226,-4877.494421346578,4493428.55081488,8736212.615616905,0,8736212.615616905,0,70157.0462476823,4498306.045236226,-4877.494421346578,4493428.55081488,8736212.615616905,0,8736212.615616905,0,0,0,0,0,0,0,0,0,0
Vac_61,Overall,SOC,61,50,120,70157.0462476823,0,4498306.045236226,-4877.494421346578,4493428.55081488,8736212.615616905,0,8736212.615616905,0,70157.0462476823,4498306.045236226,-4877.494421346578,4493428.55081488,8736212.615616905,0,8736212.615616905,0,0,0,0,0,0,0,0,0,0
