Scenario,Type,Arm,Age0,Price,CostVac,N_HZ,N_NewUptake,Q_Life_d,Q_HZ_d,Q_All_d,C_Med_d,C_Vac_d,C_All_d,N_Uptake0,N_HZ0,Q_Life_d0,Q_HZ_d0,Q_All_d0,C_Med_d0,C_Vac_d0,C_All_d0,dN_Uptake,dN_HZ,dQ_Life_d,dQ_HZ_d,dQ_All_d,dC_Med_d,dC_Vac_d,dC_All_d,ICER,NMB
Vac_61,Overall,SOC,61,75,170,70157.0462476823,0,4498306.045236226,-4877.494421346578,4493428.55081488,8736212.615616905,0,8736212.615616905,0,70157.0462476823,4498306.045236226,-4877.494421346578,4493428.55081488,8736212.615616905,0,8736212.615616905,0,0,0,0,0,0,0,0,0,0
Vac_61,Overall,SOC,61,100,220,70157.0462476823,0,4498306.045236226,-4877.494421346578,4493428.55081488,8736212.615616905,0,8736212.615616905,0,70157.0462476823,4498306.045236226,-4877.494421346578,4493428.55081488,8736212.615616905,0,8736212.615616905,0,0,0,0,0,0,0,0,0,0
Vac_61,Overall,Vac,61,25,70,38882.42801197529,362094.957,4498330.568466206,-2456.4581888681673,4495874.110277338,5096489.801915155,25346646.99,30443136.791915152,0,70157.0462476823,4498306.045236226,-4877.494421346578,4493428.55081488,8736212.615616905,0,8736212.615616905,362094.957,-31274.61823570702,0,2421.036232478411,2445.5594624582072,-3639722.8137017502,25346646.99,21706924.17629825,8911.16567521471,711960914.5611639
Vac_61,Overall,Vac,61,50,120,38882.42801197529,362094.957,4498330.568466206,-2456.4581888681673,4495874.110277338,5096489.801915155,43451394.839999996,48547884.64191515,0,70157.0462476823,4498306.045236226,-4877.494421346578,4493428.55081488,8736212.615616905,0,8736212.615616905,362094.957,-31274.61823570702,0,2421.036232478411,2445.5594624582072,-3639722.8137017502,43451394.839999996,39811672.02629825,16342.621129361327,693856166.711164
Vac_61,Overall,Vac,61,75,170,38882.42801197529,362094.957,4498330.568466206,-2456.4581888681673,4495874.110277338,5096489.801915155,61556142.69,66652632.49191515,0,70157.0462476823,4498306.045236226,-4877.494421346578,4493428.55081488,8736212.615616905,0,8736212.615616905,362094.957,-31274.61823570702,0,2421.036232478411,2445.5594624582072,-3639722.8137017502,61556142.69,57916419.87629825,23774.076583507944,675751418.861164
Vac_61,Overall,Vac,61,100,220,38882.42801197529,362094.957,4498330.568466206,-2456.4581888681673,4495874.110277338,5096489.801915155,79660890.53999999,84757380.34191515,0,70157.0462476823,4498306.045236226,-4877.494421346578,4493428.55081488,8736212.615616905,0,8736212.615616905,362094.957,-31274.61823570702,0,2421.036232478411,2445.5594624582072,-3639722.8137017502,79660890.53999999,76021167.72629824,31205.53203765456,657646671.011164
Vac_62,Overall,SOC,62,25,70,66685.46500326581,0,4263130.713535087,-4750.647398159611,4258380.066136927,8598877.161310157,0,8598877.161310157,0,66685.46500326581,4263130.713535087,-4750.647398159611,4258380.066136927,8598877.161310157,0,8598877.161310157,0,0,0,0,0,0,0,0,0,0
Vac_62,Overall,SOC,62,50,120,66685.46500326581,0,4263130.713535087,-4750.647398159611,4258380.066136927,8598877.161310157,0,8598877.161310157,0,66685.46500326581,4263130.713535087,-4750.647398159611,4258380.066136927,8598877.161310157,0,8598877.161310157,0,0,0,0,0,0,0,0,0,0
Vac_62,Overall,SOC,62,75,170,66685.46500326581,0,4263130.713535087,-4750.647398159611,4258380.066136927,8598877.161310157,0,8598877.161310157,0,66685.46500326581,4263130.713535087,-4750.647398159611,4258380.066136927,8598877.161310157,0,8598877.161310157,0,0,0,0,0,0,0,0,0,0
Vac_62,Overall,SOC,62,100,220,66685.46500326581,0,4263130.713535087,-4750.647398159611,4258380.066136927,8598877.161310157,0,8598877.161310157,0,66685.46500326581,4263130.713535087,-4750.647398159611,4258380.066136927,8598877.161310157,0,8598877.161310157,0,0,0,0,0,0,0,0,0,0
Vac_62,Overall,Vac,62,25,70,35929.10402929282,352485.67199999996,4263157.114292144,-2327.3180385184874,4260829.796253625,4900079.128317023,24673997.04,29574076.16831702,0,66685.46500326581,4263130.713535087,-4750.647398159611,4258380.066136927,8598877.161310157,0,8598877.161310157,352485.67199999996,-30756.36097397299,0,2423.3293596411236,2449.730116697373,-3698798.0329931346,24673997.04,20975199.007006865,8595.80037721533,713943836.002205
Vac_62,Overall,Vac,62,50,120,35929.10402929282,352485.67199999996,4263157.114292144,-2327.3180385184874,4260829.796253625,4900079.128317023,42298280.63999999,47198359.768317014,0,66685.46500326581,4263130.713535087,-4750.647398159611,4258380.066136927,8598877.161310157,0,8598877.161310157,352485.67199999996,-30756.36097397299,0,2423.3293596411236,2449.730116697373,-3698798.0329931346,42298280.63999999,38599482.60700686,15817.443388736368,696319552.402205
Vac_62,Overall,Vac,62,75,170,35929.10402929282,352485.67199999996,4263157.114292144,-2327.3180385184874,4260829.796253625,4900079.128317023,59922564.239999995,64822643.368317015,0,66685.46500326581,4263130.713535087,-4750.647398159611,4258380.066136927,8598877.161310157,0,8598877.161310157,352485.67199999996,-30756.36097397299,0,2423.3293596411236,2449.730116697373,-3698798.0329931346,59922564.239999995,56223766.20700686,23039.08640025741,678695268.802205
Vac_62,Overall,Vac,62,100,220,35929.10402929282,352485.67199999996,4263157.114292144,-2327.3180385184874,4260829.796253625,4900079.128317023,77546847.83999999,82446926.96831702,0,66685.46500326581,4263130.713535087,-4750.647398159611,4258380.066136927,8598877.161310157,0,8598877.161310157,352485.67199999996,-30756.36097397299,0,2423.3293596411236,2449.730116697373,-3698798.0329931346,77546847.83999999,73848049.80700685,30260.729411778448,661070985.2022051
Vac_63,Overall,SOC,63,25,70,62588.64648870768,0,3987482.1603862154,-4568.378775992739,3982913.7816102225,8363243.743390113,0,8363243.743390113,0,62588.64648870768,3987482.1603862154,-4568.378775992739,3982913.7816102225,8363243.743390113,0,8363243.743390113,0,0,0,0,0,0,0,0,0,0
Vac_63,Overall,SOC,63,50,120,62588.64648870768,0,3987482.1603862154,-4568.378775992739,3982913.7816102225,8363243.743390113,0,8363243.743390113,0,62588.64648870768,3987482.1603862154,-4568.378775992739,3982913.7816102225,8363243.743390113,0,8363243.743390113,0,0,0,0,0,0,0,0,0,0
Vac_63,Overall,SOC,63,75,170,62588.64648870768,0,3987482.1603862154,-4568.378775992739,3982913.7816102225,8363243.743390113,0,8363243.743390113,0,62588.64648870768,3987482.1603862154,-4568.378775992739,3982913.7816102225,8363243.743390113,0,8363243.743390113,0,0,0,0,0,0,0,0,0,0
Vac_63,Overall,SOC,63,100,220,62588.64648870768,0,3987482.1603862154,-4568.378775992739,3982913.7816102225,8363243.743390113,0,8363243.743390113,0,62588.64648870768,3987482.1603862154,-4568.378775992739,3982913.7816102225,8363243.743390113,0,8363243.743390113,0,0,0,0,0,0,0,0,0,0
Vac_63,Overall,Vac,63,25,70,32733.97707089567,339095.946,3987510.17944336,-2173.932047409446,3985336.2473959504,4646770.315141502,23736716.22,28383486.5351415,0,62588.64648870768,3987482.1603862154,-4568.378775992739,3982913.7816102225,8363243.743390113,0,8363243.743390113,339095.946,-29854.669417812012,0,2394.446728583293,2422.465785727692,-3716473.4282486117,23736716.22,20020242.79175139,8296.564953804502,706719492.9265561
Vac_63,Overall,Vac,63,50,120,32733.97707089567,339095.946,3987510.17944336,-2173.932047409446,3985336.2473959504,4646770.315141502,40691513.519999996,45338283.835141495,0,62588.64648870768,3987482.1603862154,-4568.378775992739,3982913.7816102225,8363243.743390113,0,8363243.743390113,339095.946,-29854.669417812012,0,2394.446728583293,2422.465785727692,-3716473.4282486117,40691513.519999996,36975040.09175138,15321.882932686578,689764695.6265562
Vac_63,Overall,Vac,63,75,170,32733.97707089567,339095.946,3987510.17944336,-2173.932047409446,3985336.2473959504,4646770.315141502,57646310.82,62293081.1351415,0,62588.64648870768,3987482.1603862154,-4568.378775992739,3982913.7816102225,8363243.743390113,0,8363243.743390113,339095.946,-29854.669417812012,0,2394.446728583293,2422.465785727692,-3716473.4282486117,57646310.82,53929837.391751386,22347.200911568656,672809898.3265562
Vac_63,Overall,Vac,63,100,220,32733.97707089567,339095.946,3987510.17944336,-2173.932047409446,3985336.2473959504,4646770.315141502,74601108.12,79247878.4351415,0,62588.64648870768,3987482.1603862154,-4568.378775992739,3982913.7816102225,8363243.743390113,0,8363243.743390113,339095.946,-29854.669417812012,0,2394.446728583293,2422.465785727692,-3716473.4282486117,74601108.12,70884634.69175139,29372.518890450734,655855101.0265561
Vac_64,Overall,SOC,64,25,70,58231.638325183434,0,3697396.9943026328,-4353.411736612897,3693043.58256602,8067645.521399515,0,8067645.521399515,0,58231.638325183434,3697396.9943026328,-4353.411736612897,3693043.58256602,8067645.521399515,0,8067645.521399515,0,0,0,0,0,0,0,0,0,0
Vac_64,Overall,SOC,64,50,120,58231.638325183434,0,3697396.9943026328,-4353.411736612897,3693043.58256602,8067645.521399515,0,8067645.521399515,0,58231.638325183434,3697396.9943026328,-4353.411736612897,3693043.58256602,8067645.521399515,0,8067645.521399515,0,0,0,0,0,0,0,0,0,0
Vac_64,Overall,SOC,64,75,170,58231.638325183434,0,3697396.9943026328,-4353.411736612897,3693043.58256602,8067645.521399515,0,8067645.521399515,0,58231.638325183434,3697396.9943026328,-4353.411736612897,3693043.58256602,8067645.521399515,0,8067645.521399515,0,0,0,0,0,0,0,0,0,0
Vac_64,Overall,SOC,64,100,220,58231.638325183434,0,3697396.9943026328,-4353.411736612897,3693043.58256602,8067645.521399515,0,8067645.521399515,0,58231.638325183434,3697396.9943026328,-4353.411736612897,3693043.58256602,8067645.521399515,0,8067645.521399515,0,0,0,0,0,0,0,0,0,0
Vac_64,Overall,Vac,64,25,70,29530.75956537599,323855.847,3697426.4405164234,-2010.519482535338,3695415.921033888,4364635.23796573,22669909.29,27034544.52796573,0,58231.638325183434,3697396.9943026328,-4353.411736612897,3693043.58256602,8067645.521399515,0,8067645.521399515,323855.847,-28700.87875980745,0,2342.8922540775584,2372.338467868315,-3703010.283433785,22669909.29,18966899.006566215,8025.743850122429,692734641.3539283
Vac_64,Overall,Vac,64,50,120,29530.75956537599,323855.847,3697426.4405164234,-2010.519482535338,3695415.921033888,4364635.23796573,38862701.64,43227336.87796573,0,58231.638325183434,3697396.9943026328,-4353.411736612897,3693043.58256602,8067645.521399515,0,8067645.521399515,323855.847,-28700.87875980745,0,2342.8922540775584,2372.338467868315,-3703010.283433785,38862701.64,35159691.35656621,14876.776121071836,676541849.0039283
Vac_64,Overall,Vac,64,75,170,29530.75956537599,323855.847,3697426.4405164234,-2010.519482535338,3695415.921033888,4364635.23796573,55055493.99,59420129.227965735,0,58231.638325183434,3697396.9943026328,-4353.411736612897,3693043.58256602,8067645.521399515,0,8067645.521399515,323855.847,-28700.87875980745,0,2342.8922540775584,2372.338467868315,-3703010.283433785,55055493.99,51352483.706566215,21727.808392021245,660349056.6539283
Vac_64,Overall,Vac,64,100,220,29530.75956537599,323855.847,3697426.4405164234,-2010.519482535338,3695415.921033888,4364635.23796573,71248286.34,75612921.57796574,0,58231.638325183434,3697396.9943026328,-4353.411736612897,3693043.58256602,8067645.521399515,0,8067645.521399515,323855.847,-28700.87875980745,0,2342.8922540775584,2372.338467868315,-3703010.283433785,71248286.34,67545276.05656622,28578.84066297065,644156264.3039283
Vac_65,Overall,SOC,65,25,70,55134.16988230087,0,3487950.571831916,-4220.935249547617,3483729.6365823685,7928171.362343764,0,7928171.362343764,0,55134.16988230087,3487950.571831916,-4220.935249547617,3483729.6365823685,7928171.362343764,0,7928171.362343764,0,0,0,0,0,0,0,0,0,0
Vac_65,Overall,SOC,65,50,120,55134.16988230087,0,3487950.571831916,-4220.935249547617,3483729.6365823685,7928171.362343764,0,7928171.362343764,0,55134.16988230087,3487950.571831916,-4220.935249547617,3483729.6365823685,7928171.362343764,0,7928171.362343764,0,0,0,0,0,0,0,0,0,0
Vac_65,Overall,SOC,65,75,170,55134.16988230087,0,3487950.571831916,-4220.935249547617,3483729.6365823685,7928171.362343764,0,7928171.362343764,0,55134.16988230087,3487950.571831916,-4220.935249547617,3483729.6365823685,7928171.362343764,0,7928171.362343764,0,0,0,0,0,0,0,0,0,0
Vac_65,Overall,SOC,65,100,220,55134.16988230087,0,3487950.571831916,-4220.935249547617,3483729.6365823685,7928171.362343764,0,7928171.362343764,0,55134.16988230087,3487950.571831916,-4220.935249547617,3483729.6365823685,7928171.362343764,0,7928171.362343764,0,0,0,0,0,0,0,0,0,0
Vac_65,Overall,Vac,65,25,70,27074.735933466734,315152.187,3487982.016524076,-1889.5384032344869,3486092.478120841,4167995.4003434675,22060653.09,26228648.490343466,0,55134.16988230087,3487950.571831916,-4220.935249547617,3483729.6365823685,7928171.362343764,0,7928171.362343764,315152.187,-28059.433948834132,0,2331.3968463131296,2362.8415384727064,-3760175.9620002965,22060653.09,18300477.127999704,7774.7395206551355,690551984.4138123
Vac_65,Overall,Vac,65,50,120,27074.735933466734,315152.187,3487982.016524076,-1889.5384032344869,3486092.478120841,4167995.4003434675,37818262.44,41986257.84034347,0,55134.16988230087,3487950.571831916,-4220.935249547617,3483729.6365823685,7928171.362343764,0,7928171.362343764,315152.187,-28059.433948834132,0,2331.3968463131296,2362.8415384727064,-3760175.9620002965,37818262.44,34058086.4779997,14468.319786810838,674794375.0638123
Vac_65,Overall,Vac,65,75,170,27074.735933466734,315152.187,3487982.016524076,-1889.5384032344869,3486092.478120841,4167995.4003434675,53575871.79,57743867.19034347,0,55134.16988230087,3487950.571831916,-4220.935249547617,3483729.6365823685,7928171.362343764,0,7928171.362343764,315152.187,-28059.433948834132,0,2331.3968463131296,2362.8415384727064,-3760175.9620002965,53575871.79,49815695.8279997,21161.900052966543,659036765.7138122
Vac_65,Overall,Vac,65,100,220,27074.735933466734,315152.187,3487982.016524076,-1889.5384032344869,3486092.478120841,4167995.4003434675,69333481.14,73501476.54034346,0,55134.16988230087,3487950.571831916,-4220.935249547617,3483729.6365823685,7928171.362343764,0,7928171.362343764,315152.187,-28059.433948834132,0,2331.3968463131296,2362.8415384727064,-3760175.9620002965,69333481.14,65573305.177999705,27855.480319122245,643279156.3638122
Vac_66,Overall,SOC,66,25,70,52123.08626858898,0,3296729.2335874722,-4085.2034874505953,3292644.0301000215,7783887.4280494675,0,7783887.4280494675,0,52123.08626858898,3296729.2335874722,-4085.2034874505953,3292644.0301000215,7783887.4280494675,0,7783887.4280494675,0,0,0,0,0,0,0,0,0,0
Vac_66,Overall,SOC,66,50,120,52123.08626858898,0,3296729.2335874722,-4085.2034874505953,3292644.0301000215,7783887.4280494675,0,7783887.4280494675,0,52123.08626858898,3296729.2335874722,-4085.2034874505953,3292644.0301000215,7783887.4280494675,0,7783887.4280494675,0,0,0,0,0,0,0,0,0,0
Vac_66,Overall,SOC,66,75,170,52123.08626858898,0,3296729.2335874722,-4085.2034874505953,3292644.0301000215,7783887.4280494675,0,7783887.4280494675,0,52123.08626858898,3296729.2335874722,-4085.2034874505953,3292644.0301000215,7783887.4280494675,0,7783887.4280494675,0,0,0,0,0,0,0,0,0,0
Vac_66,Overall,SOC,66,100,220,52123.08626858898,0,3296729.2335874722,-4085.2034874505953,3292644.0301000215,7783887.4280494675,0,7783887.4280494675,0,52123.08626858898,3296729.2335874722,-4085.2034874505953,3292644.0301000215,7783887.4280494675,0,7783887.4280494675,0,0,0,0,0,0,0,0,0,0
Vac_66,Overall,Vac,66,25,70,24755.25936049665,306688.095,3296762.7163652177,-1770.818758334552,3294991.897606883,3970193.0150938137,21468166.65,25438359.665093813,0,52123.08626858898,3296729.2335874722,-4085.2034874505953,3292644.0301000215,7783887.4280494675,0,7783887.4280494675,306688.095,-27367.82690809233,0,2314.384729116043,2347.8675068616426,-3813694.412955654,21468166.65,17654472.237044346,7547.91933211682,686705779.8214484
Vac_66,Overall,Vac,66,50,120,24755.25936049665,306688.095,3296762.7163652177,-1770.818758334552,3294991.897606883,3970193.0150938137,36802571.4,40772764.41509381,0,52123.08626858898,3296729.2335874722,-4085.2034874505953,3292644.0301000215,7783887.4280494675,0,7783887.4280494675,306688.095,-27367.82690809233,0,2314.384729116043,2347.8675068616426,-3813694.412955654,36802571.4,32988876.987044346,14103.109463957773,671371375.0714484
Vac_66,Overall,Vac,66,75,170,24755.25936049665,306688.095,3296762.7163652177,-1770.818758334552,3294991.897606883,3970193.0150938137,52136976.15,56107169.16509381,0,52123.08626858898,3296729.2335874722,-4085.2034874505953,3292644.0301000215,7783887.4280494675,0,7783887.4280494675,306688.095,-27367.82690809233,0,2314.384729116043,2347.8675068616426,-3813694.412955654,52136976.15,48323281.73704434,20658.299595798726,656036970.3214484
Vac_66,Overall,Vac,66,100,220,24755.25936049665,306688.095,3296762.7163652177,-1770.818758334552,3294991.897606883,3970193.0150938137,67471380.89999999,71441573.91509381,0,52123.08626858898,3296729.2335874722,-4085.2034874505953,3292644.0301000215,7783887.4280494675,0,7783887.4280494675,306688.095,-27367.82690809233,0,2314.384729116043,2347.8675068616426,-3813694.412955654,67471380.89999999,63657686.487044334,27213.489727639677,640702565.5714484
Vac_67,Overall,SOC,67,25,70,48397.89374626611,0,3060534.805820192,-3882.450755856911,3056652.3550643353,7510931.398089558,0,7510931.398089558,0,48397.89374626611,3060534.805820192,-3882.450755856911,3056652.3550643353,7510931.398089558,0,7510931.398089558,0,0,0,0,0,0,0,0,0,0
Vac_67,Overall,SOC,67,50,120,48397.89374626611,0,3060534.805820192,-3882.450755856911,3056652.3550643353,7510931.398089558,0,7510931.398089558,0,48397.89374626611,3060534.805820192,-3882.450755856911,3056652.3550643353,7510931.398089558,0,7510931.398089558,0,0,0,0,0,0,0,0,0,0
Vac_67,Overall,SOC,67,75,170,48397.89374626611,0,3060534.805820192,-3882.450755856911,3056652.3550643353,7510931.398089558,0,7510931.398089558,0,48397.89374626611,3060534.805820192,-3882.450755856911,3056652.3550643353,7510931.398089558,0,7510931.398089558,0,0,0,0,0,0,0,0,0,0
Vac_67,Overall,SOC,67,100,220,48397.89374626611,0,3060534.805820192,-3882.450755856911,3056652.3550643353,7510931.398089558,0,7510931.398089558,0,48397.89374626611,3060534.805820192,-3882.450755856911,3056652.3550643353,7510931.398089558,0,7510931.398089558,0,0,0,0,0,0,0,0,0,0
Vac_67,Overall,Vac,67,25,70,22201.503522979576,293561.121,3060569.7691220194,-1627.690294324076,3058942.0788276955,3710119.4766859286,20549278.47,24259397.94668593,0,48397.89374626611,3060534.805820192,-3882.450755856911,3056652.3550643353,7510931.398089558,0,7510931.398089558,293561.121,-26196.39022328654,0,2254.7604615328355,2289.723763359976,-3800811.921403629,20549278.47,16748466.548596371,7342.414504795981,670168662.4593965
Vac_67,Overall,Vac,67,50,120,22201.503522979576,293561.121,3060569.7691220194,-1627.690294324076,3058942.0788276955,3710119.4766859286,35227334.519999996,38937453.99668592,0,48397.89374626611,3060534.805820192,-3882.450755856911,3056652.3550643353,7510931.398089558,0,7510931.398089558,293561.121,-26196.39022328654,0,2254.7604615328355,2289.723763359976,-3800811.921403629,35227334.519999996,31426522.598596368,13776.312537206395,655490606.4093964
Vac_67,Overall,Vac,67,75,170,22201.503522979576,293561.121,3060569.7691220194,-1627.690294324076,3058942.0788276955,3710119.4766859286,49905390.57,53615510.04668593,0,48397.89374626611,3060534.805820192,-3882.450755856911,3056652.3550643353,7510931.398089558,0,7510931.398089558,293561.121,-26196.39022328654,0,2254.7604615328355,2289.723763359976,-3800811.921403629,49905390.57,46104578.64859637,20210.210569616815,640812550.3593965
Vac_67,Overall,Vac,67,100,220,22201.503522979576,293561.121,3060569.7691220194,-1627.690294324076,3058942.0788276955,3710119.4766859286,64583446.62,68293566.09668593,0,48397.89374626611,3060534.805820192,-3882.450755856911,3056652.3550643353,7510931.398089558,0,7510931.398089558,293561.121,-26196.39022328654,0,2254.7604615328355,2289.723763359976,-3800811.921403629,64583446.62,60782634.698596366,26644.10860202723,626134494.3093964
Vac_68,Overall,SOC,68,25,70,44870.92573066281,0,2836544.750551854,-3683.478061497925,2832861.2724903557,7243428.555071919,0,7243428.555071919,0,44870.92573066281,2836544.750551854,-3683.478061497925,2832861.2724903557,7243428.555071919,0,7243428.555071919,0,0,0,0,0,0,0,0,0,0
Vac_68,Overall,SOC,68,50,120,44870.92573066281,0,2836544.750551854,-3683.478061497925,2832861.2724903557,7243428.555071919,0,7243428.555071919,0,44870.92573066281,2836544.750551854,-3683.478061497925,2832861.2724903557,7243428.555071919,0,7243428.555071919,0,0,0,0,0,0,0,0,0,0
Vac_68,Overall,SOC,68,75,170,44870.92573066281,0,2836544.750551854,-3683.478061497925,2832861.2724903557,7243428.555071919,0,7243428.555071919,0,44870.92573066281,2836544.750551854,-3683.478061497925,2832861.2724903557,7243428.555071919,0,7243428.555071919,0,0,0,0,0,0,0,0,0,0
Vac_68,Overall,SOC,68,100,220,44870.92573066281,0,2836544.750551854,-3683.478061497925,2832861.2724903557,7243428.555071919,0,7243428.555071919,0,44870.92573066281,2836544.750551854,-3683.478061497925,2832861.2724903557,7243428.555071919,0,7243428.555071919,0,0,0,0,0,0,0,0,0,0
Vac_68,Overall,Vac,68,25,70,19852.982081688737,280964.964,2836581.1410851786,-1491.679114199446,2835089.4619709793,3457726.685451839,19667547.479999997,23125274.165451836,0,44870.92573066281,2836544.750551854,-3683.478061497925,2832861.2724903557,7243428.555071919,0,7243428.555071919,280964.964,-25017.943648974076,0,2191.7989472984787,2228.189480623463,-3785701.8696200796,19667547.479999997,15881845.610379918,7154.739621732049,652574998.5766591
Vac_68,Overall,Vac,68,50,120,19852.982081688737,280964.964,2836581.1410851786,-1491.679114199446,2835089.4619709793,3457726.685451839,33715795.68,37173522.36545184,0,44870.92573066281,2836544.750551854,-3683.478061497925,2832861.2724903557,7243428.555071919,0,7243428.555071919,280964.964,-25017.943648974076,0,2191.7989472984787,2228.189480623463,-3785701.8696200796,33715795.68,29930093.81037992,13482.605034320475,638526750.376659
Vac_68,Overall,Vac,68,75,170,19852.982081688737,280964.964,2836581.1410851786,-1491.679114199446,2835089.4619709793,3457726.685451839,47764043.879999995,51221770.56545184,0,44870.92573066281,2836544.750551854,-3683.478061497925,2832861.2724903557,7243428.555071919,0,7243428.555071919,280964.964,-25017.943648974076,0,2191.7989472984787,2228.189480623463,-3785701.8696200796,47764043.879999995,43978342.01037992,19810.470446908897,624478502.176659
Vac_68,Overall,Vac,68,100,220,19852.982081688737,280964.964,2836581.1410851786,-1491.679114199446,2835089.4619709793,3457726.685451839,61812292.08,65270018.76545184,0,44870.92573066281,2836544.750551854,-3683.478061497925,2832861.2724903557,7243428.555071919,0,7243428.555071919,280964.964,-25017.943648974076,0,2191.7989472984787,2228.189480623463,-3785701.8696200796,61812292.08,58026590.21037992,26138.33585949732,610430253.97665906
Vac_69,Overall,SOC,69,25,70,41482.46333657156,0,2621642.32075556,-3483.897048883852,2618158.423706676,6973091.363551389,0,6973091.363551389,0,41482.46333657156,2621642.32075556,-3483.897048883852,2618158.423706676,6973091.363551389,0,6973091.363551389,0,0,0,0,0,0,0,0,0,0
Vac_69,Overall,SOC,69,50,120,41482.46333657156,0,2621642.32075556,-3483.897048883852,2618158.423706676,6973091.363551389,0,6973091.363551389,0,41482.46333657156,2621642.32075556,-3483.897048883852,2618158.423706676,6973091.363551389,0,6973091.363551389,0,0,0,0,0,0,0,0,0,0
Vac_69,Overall,SOC,69,75,170,41482.46333657156,0,2621642.32075556,-3483.897048883852,2618158.423706676,6973091.363551389,0,6973091.363551389,0,41482.46333657156,2621642.32075556,-3483.897048883852,2618158.423706676,6973091.363551389,0,6973091.363551389,0,0,0,0,0,0,0,0,0,0
Vac_69,Overall,SOC,69,100,220,41482.46333657156,0,2621642.32075556,-3483.897048883852,2618158.423706676,6973091.363551389,0,6973091.363551389,0,41482.46333657156,2621642.32075556,-3483.897048883852,2618158.423706676,6973091.363551389,0,6973091.363551389,0,0,0,0,0,0,0,0,0,0
